force,displacement,judge,name
0,0,0,MODE Reflex
0,0,0,MODE Reflex
0,0,0,MODE Reflex
0.1,0,0,MODE Reflex
0.3,0,0,MODE Reflex
0.2,0,0,MODE Reflex
-0.1,0,0,MODE Reflex
-0.1,0,0,MODE Reflex
0,0,0,MODE Reflex
0.1,0,0,MODE Reflex
0,0,0,MODE Reflex
0,0,0,MODE Reflex
0,0,0,MODE Reflex
0.1,0,0,MODE Reflex
-0.3,0,0,MODE Reflex
-0.4,0,0,MODE Reflex
0,0,0,MODE Reflex
0.2,0,0,MODE Reflex
0.1,0.005,0,MODE Reflex
-0.1,0.005,0,MODE Reflex
0.3,0.01,0,MODE Reflex
2,0.01,0,MODE Reflex
4.3,0.015,0,MODE Reflex
6.3,0.015,0,MODE Reflex
7.9,0.015,0,MODE Reflex
9,0.015,0,MODE Reflex
11.3,0.02,0,MODE Reflex
13.8,0.02,0,MODE Reflex
16.1,0.025,0,MODE Reflex
18.7,0.025,0,MODE Reflex
20.7,0.03,0,MODE Reflex
22,0.03,0,MODE Reflex
23.4,0.03,0,MODE Reflex
24.9,0.035,0,MODE Reflex
26,0.035,0,MODE Reflex
27.2,0.035,0,MODE Reflex
28.5,0.035,0,MODE Reflex
29.7,0.04,0,MODE Reflex
30.6,0.04,0,MODE Reflex
30.9,0.04,0,MODE Reflex
30.8,0.04,0,MODE Reflex
31.1,0.045,0,MODE Reflex
31.3,0.045,0,MODE Reflex
31.7,0.045,0,MODE Reflex
32.1,0.045,0,MODE Reflex
32.7,0.05,0,MODE Reflex
33,0.05,0,MODE Reflex
33.2,0.055,0,MODE Reflex
31.5,0.055,0,MODE Reflex
31.6,0.06,0,MODE Reflex
31.9,0.06,0,MODE Reflex
32.3,0.06,0,MODE Reflex
32.5,0.065,0,MODE Reflex
32.8,0.065,0,MODE Reflex
32.9,0.07,0,MODE Reflex
33,0.07,0,MODE Reflex
33.1,0.075,0,MODE Reflex
33.2,0.075,0,MODE Reflex
33.5,0.08,0,MODE Reflex
33.7,0.08,0,MODE Reflex
33.8,0.085,0,MODE Reflex
33.7,0.085,0,MODE Reflex
33.2,0.09,0,MODE Reflex
33,0.09,0,MODE Reflex
33.1,0.09,0,MODE Reflex
33,0.095,0,MODE Reflex
32.9,0.095,0,MODE Reflex
33.1,0.095,0,MODE Reflex
33.2,0.1,0,MODE Reflex
33.3,0.1,0,MODE Reflex
33.2,0.1,0,MODE Reflex
33.5,0.105,0,MODE Reflex
33.5,0.11,0,MODE Reflex
33.4,0.11,0,MODE Reflex
33.6,0.115,0,MODE Reflex
33.7,0.115,0,MODE Reflex
33.8,0.12,0,MODE Reflex
33.9,0.12,0,MODE Reflex
33.7,0.125,0,MODE Reflex
33.6,0.125,0,MODE Reflex
33.6,0.13,0,MODE Reflex
33.6,0.13,0,MODE Reflex
33.4,0.135,0,MODE Reflex
33.3,0.135,0,MODE Reflex
33.3,0.135,0,MODE Reflex
33.4,0.14,0,MODE Reflex
33.5,0.14,0,MODE Reflex
33.5,0.145,0,MODE Reflex
33.5,0.145,0,MODE Reflex
33.4,0.145,0,MODE Reflex
33.5,0.15,0,MODE Reflex
33.4,0.15,0,MODE Reflex
33.5,0.155,0,MODE Reflex
33.5,0.155,0,MODE Reflex
33.5,0.155,0,MODE Reflex
33.6,0.16,0,MODE Reflex
33.7,0.16,0,MODE Reflex
33.9,0.165,0,MODE Reflex
33.9,0.165,0,MODE Reflex
34,0.17,0,MODE Reflex
34,0.18,0,MODE Reflex
33.9,0.18,0,MODE Reflex
33.9,0.185,0,MODE Reflex
33.8,0.19,0,MODE Reflex
33.8,0.195,0,MODE Reflex
33.8,0.195,0,MODE Reflex
33.9,0.2,0,MODE Reflex
33.9,0.205,0,MODE Reflex
33.8,0.205,0,MODE Reflex
33.8,0.21,0,MODE Reflex
33.6,0.215,0,MODE Reflex
33.6,0.215,0,MODE Reflex
33.5,0.22,0,MODE Reflex
33.7,0.22,0,MODE Reflex
33.9,0.225,0,MODE Reflex
33.9,0.225,0,MODE Reflex
33.9,0.23,0,MODE Reflex
33.9,0.23,0,MODE Reflex
33.9,0.235,0,MODE Reflex
33.8,0.24,0,MODE Reflex
33.8,0.24,0,MODE Reflex
33.7,0.245,0,MODE Reflex
33.7,0.245,0,MODE Reflex
33.6,0.25,0,MODE Reflex
33.6,0.255,0,MODE Reflex
33.6,0.255,0,MODE Reflex
33.6,0.26,0,MODE Reflex
33.6,0.265,0,MODE Reflex
33.8,0.27,0,MODE Reflex
33.8,0.275,0,MODE Reflex
33.7,0.28,0,MODE Reflex
33.7,0.285,0,MODE Reflex
33.8,0.285,0,MODE Reflex
33.8,0.29,0,MODE Reflex
34,0.295,0,MODE Reflex
33.9,0.3,0,MODE Reflex
33.8,0.3,0,MODE Reflex
33.7,0.305,0,MODE Reflex
33.6,0.31,0,MODE Reflex
33.7,0.31,0,MODE Reflex
33.7,0.315,0,MODE Reflex
33.6,0.315,0,MODE Reflex
33.7,0.32,0,MODE Reflex
33.7,0.32,0,MODE Reflex
33.8,0.325,0,MODE Reflex
33.6,0.33,0,MODE Reflex
33.5,0.33,0,MODE Reflex
33.5,0.335,0,MODE Reflex
33.6,0.335,0,MODE Reflex
33.6,0.34,0,MODE Reflex
33.7,0.34,0,MODE Reflex
33.8,0.345,0,MODE Reflex
33.8,0.345,0,MODE Reflex
33.9,0.35,0,MODE Reflex
33.8,0.355,0,MODE Reflex
33.9,0.355,0,MODE Reflex
33.7,0.36,0,MODE Reflex
33.9,0.36,0,MODE Reflex
33.8,0.36,0,MODE Reflex
33.9,0.36,0,MODE Reflex
33.9,0.365,0,MODE Reflex
34,0.365,0,MODE Reflex
34.1,0.365,0,MODE Reflex
34.1,0.37,0,MODE Reflex
34.1,0.37,0,MODE Reflex
34.1,0.375,0,MODE Reflex
34.1,0.375,0,MODE Reflex
34.1,0.375,0,MODE Reflex
34.1,0.38,0,MODE Reflex
34.1,0.38,0,MODE Reflex
34.1,0.385,0,MODE Reflex
34.1,0.385,0,MODE Reflex
34.2,0.39,0,MODE Reflex
34.3,0.39,0,MODE Reflex
