force,displacement,judge,name
-0.1,0,0,MODE Tomorrow Orange Prototype
0,0,0,MODE Tomorrow Orange Prototype
0,0,0,MODE Tomorrow Orange Prototype
0,0,0,MODE Tomorrow Orange Prototype
0.1,0,0,MODE Tomorrow Orange Prototype
-0.1,0,0,MODE Tomorrow Orange Prototype
0,0,0,MODE Tomorrow Orange Prototype
0,0,0,MODE Tomorrow Orange Prototype
0,0,0,MODE Tomorrow Orange Prototype
0,0,0,MODE Tomorrow Orange Prototype
-0.1,0,0,MODE Tomorrow Orange Prototype
0.1,0,0,MODE Tomorrow Orange Prototype
0,0,0,MODE Tomorrow Orange Prototype
-0.1,0,0,MODE Tomorrow Orange Prototype
0.1,0,0,MODE Tomorrow Orange Prototype
0.1,0,0,MODE Tomorrow Orange Prototype
0.1,0,0,MODE Tomorrow Orange Prototype
0,0,0,MODE Tomorrow Orange Prototype
0.1,0,0,MODE Tomorrow Orange Prototype
-0.1,0,0,MODE Tomorrow Orange Prototype
0,0.005,0,MODE Tomorrow Orange Prototype
0,0.005,0,MODE Tomorrow Orange Prototype
0,0.005,0,MODE Tomorrow Orange Prototype
0,0.005,0,MODE Tomorrow Orange Prototype
0.1,0.01,0,MODE Tomorrow Orange Prototype
0,0.01,0,MODE Tomorrow Orange Prototype
0,0.015,0,MODE Tomorrow Orange Prototype
0.1,0.015,0,MODE Tomorrow Orange Prototype
0.1,0.02,0,MODE Tomorrow Orange Prototype
0.9,0.02,0,MODE Tomorrow Orange Prototype
3.4,0.025,0,MODE Tomorrow Orange Prototype
5.9,0.025,0,MODE Tomorrow Orange Prototype
8.1,0.03,0,MODE Tomorrow Orange Prototype
10.3,0.03,0,MODE Tomorrow Orange Prototype
12.3,0.035,0,MODE Tomorrow Orange Prototype
14.3,0.035,0,MODE Tomorrow Orange Prototype
16,0.04,0,MODE Tomorrow Orange Prototype
17.7,0.04,0,MODE Tomorrow Orange Prototype
19.3,0.045,0,MODE Tomorrow Orange Prototype
21.3,0.045,0,MODE Tomorrow Orange Prototype
23.3,0.05,0,MODE Tomorrow Orange Prototype
25.3,0.05,0,MODE Tomorrow Orange Prototype
27.4,0.055,0,MODE Tomorrow Orange Prototype
29.8,0.055,0,MODE Tomorrow Orange Prototype
32.2,0.06,0,MODE Tomorrow Orange Prototype
34.5,0.06,0,MODE Tomorrow Orange Prototype
36.2,0.065,0,MODE Tomorrow Orange Prototype
37.1,0.065,0,MODE Tomorrow Orange Prototype
35.7,0.07,0,MODE Tomorrow Orange Prototype
34.6,0.07,0,MODE Tomorrow Orange Prototype
35,0.075,0,MODE Tomorrow Orange Prototype
