force,displacement,judge,name
0,0,0,MODE Tomorrow Yellow
0.1,0,0,MODE Tomorrow Yellow
-0.1,0,0,MODE Tomorrow Yellow
-0.1,0,0,MODE Tomorrow Yellow
0,0,0,MODE Tomorrow Yellow
0,0,0,MODE Tomorrow Yellow
0,0,0,MODE Tomorrow Yellow
0,0,0,MODE Tomorrow Yellow
0,0,0,MODE Tomorrow Yellow
-0.1,0,0,MODE Tomorrow Yellow
-0.1,0,0,MODE Tomorrow Yellow
0,0,0,MODE Tomorrow Yellow
-0.1,0,0,MODE Tomorrow Yellow
-0.1,0,0,MODE Tomorrow Yellow
0,0,0,MODE Tomorrow Yellow
0,0,0,MODE Tomorrow Yellow
0,0,0,MODE Tomorrow Yellow
0,0,0,MODE Tomorrow Yellow
0,0,0,MODE Tomorrow Yellow
-0.1,0,0,MODE Tomorrow Yellow
-0.1,0,0,MODE Tomorrow Yellow
0,0,0,MODE Tomorrow Yellow
0,0,0,MODE Tomorrow Yellow
0,0,0,MODE Tomorrow Yellow
0,0.005,0,MODE Tomorrow Yellow
0,0.005,0,MODE Tomorrow Yellow
0,0.01,0,MODE Tomorrow Yellow
0,0.01,0,MODE Tomorrow Yellow
0,0.015,0,MODE Tomorrow Yellow
-0.1,0.02,0,MODE Tomorrow Yellow
0,0.025,0,MODE Tomorrow Yellow
0.4,0.03,0,MODE Tomorrow Yellow
5.9,0.04,0,MODE Tomorrow Yellow
11.9,0.045,0,MODE Tomorrow Yellow
19.9,0.05,0,MODE Tomorrow Yellow
28.6,0.06,0,MODE Tomorrow Yellow
33.2,0.065,0,MODE Tomorrow Yellow
36.4,0.07,0,MODE Tomorrow Yellow
38,0.07,0,MODE Tomorrow Yellow
38.3,0.075,0,MODE Tomorrow Yellow
39.1,0.08,0,MODE Tomorrow Yellow
39.2,0.08,0,MODE Tomorrow Yellow
40.7,0.085,0,MODE Tomorrow Yellow
40.4,0.09,0,MODE Tomorrow Yellow
40.4,0.09,0,MODE Tomorrow Yellow
40.4,0.09,0,MODE Tomorrow Yellow
40.2,0.09,0,MODE Tomorrow Yellow
40.3,0.09,0,MODE Tomorrow Yellow
40.4,0.09,0,MODE Tomorrow Yellow
40.7,0.09,0,MODE Tomorrow Yellow
41,0.095,0,MODE Tomorrow Yellow
41.3,0.095,0,MODE Tomorrow Yellow
40.8,0.095,0,MODE Tomorrow Yellow
41.4,0.095,0,MODE Tomorrow Yellow
41.5,0.1,0,MODE Tomorrow Yellow
41.3,0.1,0,MODE Tomorrow Yellow
41.8,0.105,0,MODE Tomorrow Yellow
41.9,0.105,0,MODE Tomorrow Yellow
41.8,0.11,0,MODE Tomorrow Yellow
41.7,0.11,0,MODE Tomorrow Yellow
41.7,0.115,0,MODE Tomorrow Yellow
42,0.115,0,MODE Tomorrow Yellow
42.1,0.12,0,MODE Tomorrow Yellow
42.1,0.12,0,MODE Tomorrow Yellow
42.4,0.12,0,MODE Tomorrow Yellow
42.4,0.125,0,MODE Tomorrow Yellow
42.5,0.125,0,MODE Tomorrow Yellow
42.5,0.13,0,MODE Tomorrow Yellow
42.7,0.13,0,MODE Tomorrow Yellow
43,0.135,0,MODE Tomorrow Yellow
43,0.135,0,MODE Tomorrow Yellow
43.1,0.14,0,MODE Tomorrow Yellow
43.1,0.145,0,MODE Tomorrow Yellow
43.2,0.145,0,MODE Tomorrow Yellow
43.1,0.15,0,MODE Tomorrow Yellow
43.3,0.15,0,MODE Tomorrow Yellow
43.4,0.15,0,MODE Tomorrow Yellow
43.4,0.15,0,MODE Tomorrow Yellow
43.6,0.155,0,MODE Tomorrow Yellow
43.6,0.155,0,MODE Tomorrow Yellow
43.5,0.155,0,MODE Tomorrow Yellow
43.7,0.155,0,MODE Tomorrow Yellow
43.9,0.155,0,MODE Tomorrow Yellow
44,0.155,0,MODE Tomorrow Yellow
44.2,0.16,0,MODE Tomorrow Yellow
44.4,0.16,0,MODE Tomorrow Yellow
44.4,0.165,0,MODE Tomorrow Yellow
44.4,0.165,0,MODE Tomorrow Yellow
44.6,0.165,0,MODE Tomorrow Yellow
44.7,0.17,0,MODE Tomorrow Yellow
44.8,0.17,0,MODE Tomorrow Yellow
45.1,0.17,0,MODE Tomorrow Yellow
45,0.175,0,MODE Tomorrow Yellow
45.1,0.175,0,MODE Tomorrow Yellow
45.2,0.175,0,MODE Tomorrow Yellow
45.3,0.175,0,MODE Tomorrow Yellow
45.5,0.175,0,MODE Tomorrow Yellow
45.5,0.18,0,MODE Tomorrow Yellow
45.8,0.18,0,MODE Tomorrow Yellow
45.8,0.18,0,MODE Tomorrow Yellow
46,0.185,0,MODE Tomorrow Yellow
46.1,0.185,0,MODE Tomorrow Yellow
46.3,0.19,0,MODE Tomorrow Yellow
46.5,0.19,0,MODE Tomorrow Yellow
46.7,0.195,0,MODE Tomorrow Yellow
47.1,0.195,0,MODE Tomorrow Yellow
47.2,0.2,0,MODE Tomorrow Yellow
47.6,0.2,0,MODE Tomorrow Yellow
48,0.205,0,MODE Tomorrow Yellow
48.2,0.205,0,MODE Tomorrow Yellow
48.4,0.21,0,MODE Tomorrow Yellow
48.7,0.21,0,MODE Tomorrow Yellow
48.9,0.215,0,MODE Tomorrow Yellow
49.1,0.215,0,MODE Tomorrow Yellow
49.3,0.215,0,MODE Tomorrow Yellow
49.5,0.22,0,MODE Tomorrow Yellow
49.6,0.225,0,MODE Tomorrow Yellow
49.8,0.225,0,MODE Tomorrow Yellow
50.2,0.23,0,MODE Tomorrow Yellow
50.5,0.235,0,MODE Tomorrow Yellow
50.7,0.24,0,MODE Tomorrow Yellow
50.9,0.245,0,MODE Tomorrow Yellow
51.4,0.25,0,MODE Tomorrow Yellow
51.8,0.255,0,MODE Tomorrow Yellow
51.9,0.26,0,MODE Tomorrow Yellow
52.1,0.265,0,MODE Tomorrow Yellow
52.2,0.27,0,MODE Tomorrow Yellow
52.4,0.275,0,MODE Tomorrow Yellow
52.7,0.28,0,MODE Tomorrow Yellow
52.9,0.285,0,MODE Tomorrow Yellow
53.3,0.29,0,MODE Tomorrow Yellow
53.4,0.295,0,MODE Tomorrow Yellow
53.5,0.3,0,MODE Tomorrow Yellow
53.7,0.3,0,MODE Tomorrow Yellow
53.9,0.305,0,MODE Tomorrow Yellow
54.1,0.31,0,MODE Tomorrow Yellow
54.1,0.31,0,MODE Tomorrow Yellow
54.3,0.315,0,MODE Tomorrow Yellow
54.4,0.315,0,MODE Tomorrow Yellow
54.6,0.32,0,MODE Tomorrow Yellow
54.9,0.32,0,MODE Tomorrow Yellow
55,0.325,0,MODE Tomorrow Yellow
55.1,0.33,0,MODE Tomorrow Yellow
55.2,0.33,0,MODE Tomorrow Yellow
55.4,0.335,0,MODE Tomorrow Yellow
55.5,0.335,0,MODE Tomorrow Yellow
55.5,0.34,0,MODE Tomorrow Yellow
55.6,0.34,0,MODE Tomorrow Yellow
55.6,0.34,0,MODE Tomorrow Yellow
55.7,0.345,0,MODE Tomorrow Yellow
55.7,0.345,0,MODE Tomorrow Yellow
55.9,0.35,0,MODE Tomorrow Yellow
56,0.35,0,MODE Tomorrow Yellow
56,0.355,0,MODE Tomorrow Yellow
56.1,0.355,0,MODE Tomorrow Yellow
56.2,0.36,0,MODE Tomorrow Yellow
56.1,0.365,0,MODE Tomorrow Yellow
56,0.365,0,MODE Tomorrow Yellow
56,0.37,0,MODE Tomorrow Yellow
56,0.37,0,MODE Tomorrow Yellow
56.1,0.375,0,MODE Tomorrow Yellow
56.2,0.375,0,MODE Tomorrow Yellow
56.3,0.375,0,MODE Tomorrow Yellow
56.3,0.38,0,MODE Tomorrow Yellow
56.4,0.38,0,MODE Tomorrow Yellow
56.4,0.385,0,MODE Tomorrow Yellow
56.4,0.385,0,MODE Tomorrow Yellow
56.4,0.39,0,MODE Tomorrow Yellow
