force,displacement,judge,name
0,0,0,Meirun Orange Sample
0,0,0,Meirun Orange Sample
0,0,0,Meirun Orange Sample
0.1,0,0,Meirun Orange Sample
0,0,0,Meirun Orange Sample
-0.1,0,0,Meirun Orange Sample
0.1,0,0,Meirun Orange Sample
0.1,0,0,Meirun Orange Sample
0,0,0,Meirun Orange Sample
-0.1,0,0,Meirun Orange Sample
0,0,0,Meirun Orange Sample
0.1,0,0,Meirun Orange Sample
0.2,0,0,Meirun Orange Sample
0.2,0,0,Meirun Orange Sample
0,0,0,Meirun Orange Sample
-0.2,0,0,Meirun Orange Sample
-0.2,0,0,Meirun Orange Sample
0,0,0,Meirun Orange Sample
0.1,0,0,Meirun Orange Sample
0.1,0,0,Meirun Orange Sample
0.1,0.005,0,Meirun Orange Sample
0.9,0.005,0,Meirun Orange Sample
2.8,0.005,0,Meirun Orange Sample
4.5,0.01,0,Meirun Orange Sample
6.7,0.01,0,Meirun Orange Sample
9.7,0.015,0,Meirun Orange Sample
12.6,0.015,0,Meirun Orange Sample
14.8,0.02,0,Meirun Orange Sample
16.7,0.02,0,Meirun Orange Sample
18.6,0.02,0,Meirun Orange Sample
20.6,0.025,0,Meirun Orange Sample
22.2,0.025,0,Meirun Orange Sample
23.4,0.025,0,Meirun Orange Sample
24.1,0.03,0,Meirun Orange Sample
24.9,0.03,0,Meirun Orange Sample
26.2,0.03,0,Meirun Orange Sample
27.5,0.03,0,Meirun Orange Sample
29.1,0.035,0,Meirun Orange Sample
30.6,0.035,0,Meirun Orange Sample
32.5,0.035,0,Meirun Orange Sample
34.3,0.04,0,Meirun Orange Sample
36.1,0.04,0,Meirun Orange Sample
37.3,0.04,0,Meirun Orange Sample
38.8,0.045,0,Meirun Orange Sample
39.9,0.045,0,Meirun Orange Sample
40.7,0.045,0,Meirun Orange Sample
41.3,0.045,0,Meirun Orange Sample
40.5,0.05,0,Meirun Orange Sample
39.2,0.05,0,Meirun Orange Sample
39.2,0.05,0,Meirun Orange Sample
39.3,0.05,0,Meirun Orange Sample
39.4,0.05,0,Meirun Orange Sample
39.4,0.05,0,Meirun Orange Sample
39.4,0.05,0,Meirun Orange Sample
39.3,0.05,0,Meirun Orange Sample
39.3,0.05,0,Meirun Orange Sample
39.4,0.055,0,Meirun Orange Sample
39.8,0.055,0,Meirun Orange Sample
39.7,0.055,0,Meirun Orange Sample
39.8,0.055,0,Meirun Orange Sample
39.9,0.06,0,Meirun Orange Sample
40,0.06,0,Meirun Orange Sample
40.2,0.06,0,Meirun Orange Sample
40,0.06,0,Meirun Orange Sample
39.9,0.065,0,Meirun Orange Sample
39.8,0.065,0,Meirun Orange Sample
39.9,0.07,0,Meirun Orange Sample
39.4,0.07,0,Meirun Orange Sample
39.6,0.07,0,Meirun Orange Sample
39.9,0.07,0,Meirun Orange Sample
