force,displacement,judge,name
0.1,0,0,Melgeek Plastic
0,0,0,Melgeek Plastic
0,0,0,Melgeek Plastic
0,0,0,Melgeek Plastic
0,0,0,Melgeek Plastic
0,0,0,Melgeek Plastic
0,0,0,Melgeek Plastic
0,0,0,Melgeek Plastic
0,0,0,Melgeek Plastic
0,0,0,Melgeek Plastic
0,0,0,Melgeek Plastic
0,0,0,Melgeek Plastic
0,0,0,Melgeek Plastic
0,0,0,Melgeek Plastic
0,0,0,Melgeek Plastic
0,0,0,Melgeek Plastic
0,0,0,Melgeek Plastic
0,0,0,Melgeek Plastic
0,0,0,Melgeek Plastic
0,0,0,Melgeek Plastic
0,0,0,Melgeek Plastic
0,0,0,Melgeek Plastic
0,0,0,Melgeek Plastic
0,0,0,Melgeek Plastic
0,0,0,Melgeek Plastic
0,0.005,0,Melgeek Plastic
0,0.005,0,Melgeek Plastic
0,0.005,0,Melgeek Plastic
0,0.005,0,Melgeek Plastic
0,0.01,0,Melgeek Plastic
0,0.01,0,Melgeek Plastic
0,0.01,0,Melgeek Plastic
0,0.015,0,Melgeek Plastic
0.4,0.015,0,Melgeek Plastic
1.5,0.015,0,Melgeek Plastic
2.6,0.02,0,Melgeek Plastic
3.6,0.02,0,Melgeek Plastic
4.4,0.02,0,Melgeek Plastic
5.1,0.02,0,Melgeek Plastic
5.9,0.02,0,Melgeek Plastic
6.8,0.02,0,Melgeek Plastic
8,0.025,0,Melgeek Plastic
9,0.025,0,Melgeek Plastic
9.9,0.025,0,Melgeek Plastic
10.5,0.025,0,Melgeek Plastic
11.1,0.025,0,Melgeek Plastic
11.6,0.025,0,Melgeek Plastic
12,0.03,0,Melgeek Plastic
12.3,0.03,0,Melgeek Plastic
12.7,0.03,0,Melgeek Plastic
12.9,0.03,0,Melgeek Plastic
13.2,0.03,0,Melgeek Plastic
13.6,0.03,0,Melgeek Plastic
14,0.03,0,Melgeek Plastic
14.3,0.03,0,Melgeek Plastic
14.7,0.03,0,Melgeek Plastic
15.2,0.03,0,Melgeek Plastic
15.7,0.03,0,Melgeek Plastic
16.2,0.035,0,Melgeek Plastic
16.6,0.035,0,Melgeek Plastic
16.8,0.035,0,Melgeek Plastic
17.3,0.035,0,Melgeek Plastic
17.6,0.035,0,Melgeek Plastic
17.9,0.035,0,Melgeek Plastic
