force,displacement,judge,name
0,0,0,Melon Milk Linear
0,0,0,Melon Milk Linear
0,0,0,Melon Milk Linear
0,0,0,Melon Milk Linear
0,0,0,Melon Milk Linear
0,0,0,Melon Milk Linear
0,0,0,Melon Milk Linear
0,0,0,Melon Milk Linear
0,0,0,Melon Milk Linear
0,0,0,Melon Milk Linear
0,0,0,Melon Milk Linear
0,0,0,Melon Milk Linear
0,0,0,Melon Milk Linear
0,0,0,Melon Milk Linear
0,0,0,Melon Milk Linear
0,0,0,Melon Milk Linear
0,0,0,Melon Milk Linear
0,0,0,Melon Milk Linear
0,0,0,Melon Milk Linear
0,0,0,Melon Milk Linear
0,0,0,Melon Milk Linear
0,0,0,Melon Milk Linear
0,0.005,0,Melon Milk Linear
0,0.005,0,Melon Milk Linear
0,0.005,0,Melon Milk Linear
0,0.005,0,Melon Milk Linear
0,0.01,0,Melon Milk Linear
0,0.01,0,Melon Milk Linear
0,0.015,0,Melon Milk Linear
0.4,0.015,0,Melon Milk Linear
2.4,0.02,0,Melon Milk Linear
4.6,0.02,0,Melon Milk Linear
6.8,0.025,0,Melon Milk Linear
8.7,0.025,0,Melon Milk Linear
10.5,0.03,0,Melon Milk Linear
12.2,0.03,0,Melon Milk Linear
13.9,0.03,0,Melon Milk Linear
15.8,0.035,0,Melon Milk Linear
17.9,0.035,0,Melon Milk Linear
20,0.035,0,Melon Milk Linear
21.6,0.04,0,Melon Milk Linear
23.3,0.04,0,Melon Milk Linear
25.2,0.045,0,Melon Milk Linear
27.3,0.045,0,Melon Milk Linear
29.2,0.045,0,Melon Milk Linear
30.8,0.05,0,Melon Milk Linear
32.5,0.05,0,Melon Milk Linear
34.2,0.05,0,Melon Milk Linear
35.1,0.055,0,Melon Milk Linear
36.2,0.055,0,Melon Milk Linear
37.3,0.055,0,Melon Milk Linear
38.4,0.055,0,Melon Milk Linear
39.3,0.06,0,Melon Milk Linear
40.3,0.06,0,Melon Milk Linear
41.1,0.06,0,Melon Milk Linear
41.6,0.06,0,Melon Milk Linear
41.8,0.065,0,Melon Milk Linear
42,0.065,0,Melon Milk Linear
42.2,0.065,0,Melon Milk Linear
42.4,0.065,0,Melon Milk Linear
42.5,0.065,0,Melon Milk Linear
42.5,0.065,0,Melon Milk Linear
42.6,0.065,0,Melon Milk Linear
42.7,0.065,0,Melon Milk Linear
42.8,0.07,0,Melon Milk Linear
42.8,0.07,0,Melon Milk Linear
42.9,0.07,0,Melon Milk Linear
43,0.07,0,Melon Milk Linear
43,0.07,0,Melon Milk Linear
43.1,0.07,0,Melon Milk Linear
43.2,0.07,0,Melon Milk Linear
43.3,0.07,0,Melon Milk Linear
43.3,0.07,0,Melon Milk Linear
43.4,0.07,0,Melon Milk Linear
43.4,0.07,0,Melon Milk Linear
43.4,0.07,0,Melon Milk Linear
43.4,0.07,0,Melon Milk Linear
43.4,0.07,0,Melon Milk Linear
43.4,0.07,0,Melon Milk Linear
43.3,0.07,0,Melon Milk Linear
43.2,0.07,0,Melon Milk Linear
43.1,0.07,0,Melon Milk Linear
43,0.07,0,Melon Milk Linear
43,0.07,0,Melon Milk Linear
43,0.07,0,Melon Milk Linear
43,0.07,0,Melon Milk Linear
42.9,0.07,0,Melon Milk Linear
42.9,0.07,0,Melon Milk Linear
