force,displacement,judge,name
0,0,0,Melon Milk Tactile
0,0,0,Melon Milk Tactile
0,0,0,Melon Milk Tactile
0,0,0,Melon Milk Tactile
0,0,0,Melon Milk Tactile
0,0,0,Melon Milk Tactile
0,0,0,Melon Milk Tactile
0,0,0,Melon Milk Tactile
0,0,0,Melon Milk Tactile
0,0,0,Melon Milk Tactile
0,0,0,Melon Milk Tactile
0,0,0,Melon Milk Tactile
0,0,0,Melon Milk Tactile
0,0,0,Melon Milk Tactile
0,0,0,Melon Milk Tactile
0,0,0,Melon Milk Tactile
0,0,0,Melon Milk Tactile
0,0,0,Melon Milk Tactile
0,0,0,Melon Milk Tactile
0,0,0,Melon Milk Tactile
0,0,0,Melon Milk Tactile
0,0,0,Melon Milk Tactile
0,0.005,0,Melon Milk Tactile
0,0.005,0,Melon Milk Tactile
0,0.005,0,Melon Milk Tactile
0,0.005,0,Melon Milk Tactile
0,0.005,0,Melon Milk Tactile
0,0.01,0,Melon Milk Tactile
0,0.01,0,Melon Milk Tactile
0,0.015,0,Melon Milk Tactile
0,0.015,0,Melon Milk Tactile
0,0.02,0,Melon Milk Tactile
0,0.02,0,Melon Milk Tactile
2.5,0.025,0,Melon Milk Tactile
5.1,0.025,0,Melon Milk Tactile
7.7,0.03,0,Melon Milk Tactile
9.9,0.03,0,Melon Milk Tactile
12.1,0.035,0,Melon Milk Tactile
13.7,0.035,0,Melon Milk Tactile
15.3,0.035,0,Melon Milk Tactile
17,0.04,0,Melon Milk Tactile
18.9,0.04,0,Melon Milk Tactile
20.9,0.045,0,Melon Milk Tactile
22.4,0.045,0,Melon Milk Tactile
23.8,0.045,0,Melon Milk Tactile
24.8,0.045,0,Melon Milk Tactile
26,0.05,0,Melon Milk Tactile
27.6,0.05,0,Melon Milk Tactile
29,0.05,0,Melon Milk Tactile
30.2,0.055,0,Melon Milk Tactile
31.3,0.055,0,Melon Milk Tactile
32.4,0.055,0,Melon Milk Tactile
33.4,0.06,0,Melon Milk Tactile
34.3,0.06,0,Melon Milk Tactile
35.1,0.06,0,Melon Milk Tactile
36.2,0.065,0,Melon Milk Tactile
37.2,0.065,0,Melon Milk Tactile
37.8,0.065,0,Melon Milk Tactile
38.5,0.07,0,Melon Milk Tactile
39.6,0.075,0,Melon Milk Tactile
40.3,0.075,0,Melon Milk Tactile
40.6,0.08,0,Melon Milk Tactile
38.3,0.08,0,Melon Milk Tactile
39.1,0.085,0,Melon Milk Tactile
39.6,0.085,0,Melon Milk Tactile
40.1,0.085,0,Melon Milk Tactile
40.7,0.09,0,Melon Milk Tactile
41.2,0.09,0,Melon Milk Tactile
41.6,0.09,0,Melon Milk Tactile
41.9,0.095,0,Melon Milk Tactile
42.3,0.095,0,Melon Milk Tactile
42.7,0.095,0,Melon Milk Tactile
43,0.1,0,Melon Milk Tactile
43.4,0.1,0,Melon Milk Tactile
43.8,0.1,0,Melon Milk Tactile
44.1,0.1,0,Melon Milk Tactile
44.5,0.105,0,Melon Milk Tactile
44.9,0.105,0,Melon Milk Tactile
45.2,0.105,0,Melon Milk Tactile
45.5,0.11,0,Melon Milk Tactile
45.4,0.11,0,Melon Milk Tactile
45.4,0.11,0,Melon Milk Tactile
45.4,0.115,0,Melon Milk Tactile
45.6,0.115,0,Melon Milk Tactile
45.7,0.12,0,Melon Milk Tactile
46,0.12,0,Melon Milk Tactile
46.4,0.125,0,Melon Milk Tactile
46.8,0.125,0,Melon Milk Tactile
47,0.125,0,Melon Milk Tactile
47.3,0.13,0,Melon Milk Tactile
47.6,0.13,0,Melon Milk Tactile
47.9,0.13,0,Melon Milk Tactile
48.1,0.13,0,Melon Milk Tactile
48.4,0.135,0,Melon Milk Tactile
48.7,0.135,0,Melon Milk Tactile
48.9,0.135,0,Melon Milk Tactile
49,0.135,0,Melon Milk Tactile
49.3,0.14,0,Melon Milk Tactile
49.5,0.14,0,Melon Milk Tactile
49.7,0.14,0,Melon Milk Tactile
50,0.14,0,Melon Milk Tactile
50.2,0.145,0,Melon Milk Tactile
50.2,0.145,0,Melon Milk Tactile
50.3,0.145,0,Melon Milk Tactile
50.6,0.145,0,Melon Milk Tactile
50.8,0.15,0,Melon Milk Tactile
51.1,0.15,0,Melon Milk Tactile
51.1,0.155,0,Melon Milk Tactile
51.3,0.155,0,Melon Milk Tactile
51.6,0.155,0,Melon Milk Tactile
51.8,0.155,0,Melon Milk Tactile
52,0.155,0,Melon Milk Tactile
52.1,0.16,0,Melon Milk Tactile
52.3,0.16,0,Melon Milk Tactile
52.5,0.16,0,Melon Milk Tactile
52.6,0.16,0,Melon Milk Tactile
52.7,0.165,0,Melon Milk Tactile
52.7,0.165,0,Melon Milk Tactile
52.8,0.165,0,Melon Milk Tactile
52.8,0.17,0,Melon Milk Tactile
52.9,0.17,0,Melon Milk Tactile
52.9,0.175,0,Melon Milk Tactile
53,0.175,0,Melon Milk Tactile
53.2,0.175,0,Melon Milk Tactile
53.4,0.18,0,Melon Milk Tactile
53.6,0.18,0,Melon Milk Tactile
53.9,0.185,0,Melon Milk Tactile
54.3,0.185,0,Melon Milk Tactile
54.5,0.185,0,Melon Milk Tactile
54.8,0.19,0,Melon Milk Tactile
55,0.19,0,Melon Milk Tactile
55.3,0.195,0,Melon Milk Tactile
55.5,0.195,0,Melon Milk Tactile
55.7,0.195,0,Melon Milk Tactile
55.9,0.2,0,Melon Milk Tactile
56.1,0.2,0,Melon Milk Tactile
56.3,0.205,0,Melon Milk Tactile
56.4,0.205,0,Melon Milk Tactile
56.5,0.21,0,Melon Milk Tactile
56.7,0.21,0,Melon Milk Tactile
56.9,0.215,0,Melon Milk Tactile
57.1,0.215,0,Melon Milk Tactile
57.2,0.22,0,Melon Milk Tactile
57.3,0.22,0,Melon Milk Tactile
57.5,0.225,0,Melon Milk Tactile
57.7,0.225,0,Melon Milk Tactile
57.9,0.23,0,Melon Milk Tactile
58.1,0.235,0,Melon Milk Tactile
58.2,0.235,0,Melon Milk Tactile
58.3,0.24,0,Melon Milk Tactile
58.3,0.24,0,Melon Milk Tactile
58.5,0.245,0,Melon Milk Tactile
58.6,0.245,0,Melon Milk Tactile
58.7,0.245,0,Melon Milk Tactile
58.7,0.25,0,Melon Milk Tactile
58.8,0.25,0,Melon Milk Tactile
59,0.255,0,Melon Milk Tactile
59,0.255,0,Melon Milk Tactile
59,0.255,0,Melon Milk Tactile
59.1,0.26,0,Melon Milk Tactile
59.2,0.26,0,Melon Milk Tactile
59.2,0.265,0,Melon Milk Tactile
59.4,0.265,0,Melon Milk Tactile
59.5,0.265,0,Melon Milk Tactile
59.6,0.27,0,Melon Milk Tactile
59.7,0.27,0,Melon Milk Tactile
59.8,0.275,0,Melon Milk Tactile
59.9,0.275,0,Melon Milk Tactile
60.1,0.28,0,Melon Milk Tactile
60.1,0.28,0,Melon Milk Tactile
60.2,0.28,0,Melon Milk Tactile
60.3,0.285,0,Melon Milk Tactile
60.3,0.285,0,Melon Milk Tactile
60.4,0.285,0,Melon Milk Tactile
60.5,0.285,0,Melon Milk Tactile
60.5,0.29,0,Melon Milk Tactile
60.6,0.29,0,Melon Milk Tactile
60.6,0.29,0,Melon Milk Tactile
60.7,0.295,0,Melon Milk Tactile
60.7,0.295,0,Melon Milk Tactile
60.8,0.295,0,Melon Milk Tactile
61,0.3,0,Melon Milk Tactile
61,0.3,0,Melon Milk Tactile
61,0.305,0,Melon Milk Tactile
61.1,0.305,0,Melon Milk Tactile
61.1,0.31,0,Melon Milk Tactile
61.2,0.31,0,Melon Milk Tactile
61.1,0.315,0,Melon Milk Tactile
61.1,0.315,0,Melon Milk Tactile
61.1,0.32,0,Melon Milk Tactile
61.2,0.32,0,Melon Milk Tactile
61.3,0.325,0,Melon Milk Tactile
61.1,0.335,0,Melon Milk Tactile
61,0.335,0,Melon Milk Tactile
61,0.34,0,Melon Milk Tactile
61,0.34,0,Melon Milk Tactile
61,0.34,0,Melon Milk Tactile
61.1,0.345,0,Melon Milk Tactile
61,0.345,0,Melon Milk Tactile
61.1,0.35,0,Melon Milk Tactile
61,0.35,0,Melon Milk Tactile
61,0.355,0,Melon Milk Tactile
61,0.355,0,Melon Milk Tactile
61,0.36,0,Melon Milk Tactile
61,0.36,0,Melon Milk Tactile
60.9,0.365,0,Melon Milk Tactile
60.9,0.365,0,Melon Milk Tactile
60.9,0.37,0,Melon Milk Tactile
60.8,0.37,0,Melon Milk Tactile
60.7,0.375,0,Melon Milk Tactile
60.8,0.375,0,Melon Milk Tactile
60.6,0.38,0,Melon Milk Tactile
