force,displacement,judge,name
0,0,0,Moondrop x G-Square Lunalight
0,0,0,Moondrop x G-Square Lunalight
0,0,0,Moondrop x G-Square Lunalight
0,0,0,Moondrop x G-Square Lunalight
0,0,0,Moondrop x G-Square Lunalight
0,0,0,Moondrop x G-Square Lunalight
0,0,0,Moondrop x G-Square Lunalight
0,0,0,Moondrop x G-Square Lunalight
0,0,0,Moondrop x G-Square Lunalight
0,0,0,Moondrop x G-Square Lunalight
0,0,0,Moondrop x G-Square Lunalight
0,0,0,Moondrop x G-Square Lunalight
0,0,0,Moondrop x G-Square Lunalight
0,0,0,Moondrop x G-Square Lunalight
0,0,0,Moondrop x G-Square Lunalight
0,0,0,Moondrop x G-Square Lunalight
0,0,0,Moondrop x G-Square Lunalight
0,0,0,Moondrop x G-Square Lunalight
0,0,0,Moondrop x G-Square Lunalight
0,0.005,0,Moondrop x G-Square Lunalight
0,0.005,0,Moondrop x G-Square Lunalight
0,0.005,0,Moondrop x G-Square Lunalight
0,0.005,0,Moondrop x G-Square Lunalight
0,0.01,0,Moondrop x G-Square Lunalight
0,0.01,0,Moondrop x G-Square Lunalight
0,0.015,0,Moondrop x G-Square Lunalight
0,0.015,0,Moondrop x G-Square Lunalight
1.4,0.02,0,Moondrop x G-Square Lunalight
3.5,0.02,0,Moondrop x G-Square Lunalight
5.6,0.025,0,Moondrop x G-Square Lunalight
7.3,0.025,0,Moondrop x G-Square Lunalight
8.7,0.025,0,Moondrop x G-Square Lunalight
9.8,0.025,0,Moondrop x G-Square Lunalight
10.8,0.03,0,Moondrop x G-Square Lunalight
11.7,0.03,0,Moondrop x G-Square Lunalight
12.6,0.03,0,Moondrop x G-Square Lunalight
13.6,0.03,0,Moondrop x G-Square Lunalight
14.6,0.03,0,Moondrop x G-Square Lunalight
15.3,0.035,0,Moondrop x G-Square Lunalight
16.3,0.035,0,Moondrop x G-Square Lunalight
17.3,0.035,0,Moondrop x G-Square Lunalight
18.1,0.035,0,Moondrop x G-Square Lunalight
18.8,0.035,0,Moondrop x G-Square Lunalight
20,0.035,0,Moondrop x G-Square Lunalight
21.9,0.04,0,Moondrop x G-Square Lunalight
24.2,0.04,0,Moondrop x G-Square Lunalight
26.3,0.045,0,Moondrop x G-Square Lunalight
28.1,0.045,0,Moondrop x G-Square Lunalight
29.5,0.05,0,Moondrop x G-Square Lunalight
31.5,0.05,0,Moondrop x G-Square Lunalight
33.2,0.055,0,Moondrop x G-Square Lunalight
34.7,0.055,0,Moondrop x G-Square Lunalight
36,0.055,0,Moondrop x G-Square Lunalight
37.2,0.06,0,Moondrop x G-Square Lunalight
38,0.06,0,Moondrop x G-Square Lunalight
38.6,0.065,0,Moondrop x G-Square Lunalight
37.4,0.065,0,Moondrop x G-Square Lunalight
37.2,0.07,0,Moondrop x G-Square Lunalight
37,0.075,0,Moondrop x G-Square Lunalight
36.8,0.085,0,Moondrop x G-Square Lunalight
36.9,0.09,0,Moondrop x G-Square Lunalight
36.9,0.095,0,Moondrop x G-Square Lunalight
36.5,0.1,0,Moondrop x G-Square Lunalight
36.4,0.1,0,Moondrop x G-Square Lunalight
36.3,0.105,0,Moondrop x G-Square Lunalight
36.1,0.105,0,Moondrop x G-Square Lunalight
36.1,0.11,0,Moondrop x G-Square Lunalight
36.3,0.115,0,Moondrop x G-Square Lunalight
36.3,0.115,0,Moondrop x G-Square Lunalight
36.4,0.12,0,Moondrop x G-Square Lunalight
36.5,0.125,0,Moondrop x G-Square Lunalight
36.4,0.125,0,Moondrop x G-Square Lunalight
36.4,0.13,0,Moondrop x G-Square Lunalight
36.4,0.13,0,Moondrop x G-Square Lunalight
36.4,0.135,0,Moondrop x G-Square Lunalight
36.4,0.14,0,Moondrop x G-Square Lunalight
36.5,0.14,0,Moondrop x G-Square Lunalight
36.6,0.145,0,Moondrop x G-Square Lunalight
36.5,0.15,0,Moondrop x G-Square Lunalight
36.6,0.15,0,Moondrop x G-Square Lunalight
36.5,0.155,0,Moondrop x G-Square Lunalight
36.4,0.155,0,Moondrop x G-Square Lunalight
36.2,0.16,0,Moondrop x G-Square Lunalight
36.2,0.165,0,Moondrop x G-Square Lunalight
36.2,0.165,0,Moondrop x G-Square Lunalight
36.1,0.17,0,Moondrop x G-Square Lunalight
36.1,0.17,0,Moondrop x G-Square Lunalight
36.1,0.17,0,Moondrop x G-Square Lunalight
36.2,0.17,0,Moondrop x G-Square Lunalight
36.2,0.175,0,Moondrop x G-Square Lunalight
36.1,0.175,0,Moondrop x G-Square Lunalight
36.1,0.175,0,Moondrop x G-Square Lunalight
36.1,0.18,0,Moondrop x G-Square Lunalight
36.1,0.18,0,Moondrop x G-Square Lunalight
36.1,0.18,0,Moondrop x G-Square Lunalight
36.2,0.185,0,Moondrop x G-Square Lunalight
36.1,0.185,0,Moondrop x G-Square Lunalight
36,0.19,0,Moondrop x G-Square Lunalight
35.9,0.19,0,Moondrop x G-Square Lunalight
36,0.195,0,Moondrop x G-Square Lunalight
36.1,0.2,0,Moondrop x G-Square Lunalight
36.1,0.2,0,Moondrop x G-Square Lunalight
36.1,0.205,0,Moondrop x G-Square Lunalight
36.2,0.21,0,Moondrop x G-Square Lunalight
36.1,0.215,0,Moondrop x G-Square Lunalight
36,0.215,0,Moondrop x G-Square Lunalight
35.9,0.22,0,Moondrop x G-Square Lunalight
36,0.225,0,Moondrop x G-Square Lunalight
36,0.225,0,Moondrop x G-Square Lunalight
36,0.23,0,Moondrop x G-Square Lunalight
35.9,0.23,0,Moondrop x G-Square Lunalight
35.9,0.235,0,Moondrop x G-Square Lunalight
36,0.235,0,Moondrop x G-Square Lunalight
36.1,0.24,0,Moondrop x G-Square Lunalight
36.1,0.24,0,Moondrop x G-Square Lunalight
36.1,0.245,0,Moondrop x G-Square Lunalight
36,0.245,0,Moondrop x G-Square Lunalight
36.1,0.245,0,Moondrop x G-Square Lunalight
36.2,0.25,0,Moondrop x G-Square Lunalight
36.2,0.25,0,Moondrop x G-Square Lunalight
36.3,0.255,0,Moondrop x G-Square Lunalight
36.3,0.255,0,Moondrop x G-Square Lunalight
36.3,0.255,0,Moondrop x G-Square Lunalight
36.3,0.26,0,Moondrop x G-Square Lunalight
36.3,0.26,0,Moondrop x G-Square Lunalight
36.3,0.265,0,Moondrop x G-Square Lunalight
36.4,0.27,0,Moondrop x G-Square Lunalight
36.4,0.27,0,Moondrop x G-Square Lunalight
36.3,0.275,0,Moondrop x G-Square Lunalight
36.3,0.275,0,Moondrop x G-Square Lunalight
36.3,0.28,0,Moondrop x G-Square Lunalight
36.4,0.28,0,Moondrop x G-Square Lunalight
36.5,0.285,0,Moondrop x G-Square Lunalight
36.6,0.29,0,Moondrop x G-Square Lunalight
36.5,0.29,0,Moondrop x G-Square Lunalight
36.5,0.29,0,Moondrop x G-Square Lunalight
36.5,0.295,0,Moondrop x G-Square Lunalight
36.4,0.295,0,Moondrop x G-Square Lunalight
36.5,0.295,0,Moondrop x G-Square Lunalight
36.5,0.3,0,Moondrop x G-Square Lunalight
36.5,0.3,0,Moondrop x G-Square Lunalight
36.4,0.305,0,Moondrop x G-Square Lunalight
36.4,0.305,0,Moondrop x G-Square Lunalight
36.4,0.31,0,Moondrop x G-Square Lunalight
36.5,0.31,0,Moondrop x G-Square Lunalight
36.5,0.315,0,Moondrop x G-Square Lunalight
36.5,0.315,0,Moondrop x G-Square Lunalight
36.6,0.315,0,Moondrop x G-Square Lunalight
36.7,0.32,0,Moondrop x G-Square Lunalight
36.8,0.325,0,Moondrop x G-Square Lunalight
36.7,0.325,0,Moondrop x G-Square Lunalight
36.7,0.33,0,Moondrop x G-Square Lunalight
36.6,0.33,0,Moondrop x G-Square Lunalight
36.6,0.335,0,Moondrop x G-Square Lunalight
36.6,0.335,0,Moondrop x G-Square Lunalight
36.6,0.335,0,Moondrop x G-Square Lunalight
36.6,0.34,0,Moondrop x G-Square Lunalight
36.6,0.34,0,Moondrop x G-Square Lunalight
36.7,0.34,0,Moondrop x G-Square Lunalight
36.8,0.345,0,Moondrop x G-Square Lunalight
36.8,0.345,0,Moondrop x G-Square Lunalight
36.7,0.35,0,Moondrop x G-Square Lunalight
36.9,0.355,0,Moondrop x G-Square Lunalight
36.9,0.355,0,Moondrop x G-Square Lunalight
36.8,0.36,0,Moondrop x G-Square Lunalight
36.8,0.36,0,Moondrop x G-Square Lunalight
36.8,0.365,0,Moondrop x G-Square Lunalight
36.8,0.365,0,Moondrop x G-Square Lunalight
36.9,0.37,0,Moondrop x G-Square Lunalight
36.8,0.37,0,Moondrop x G-Square Lunalight
36.8,0.375,0,Moondrop x G-Square Lunalight
36.7,0.375,0,Moondrop x G-Square Lunalight
36.8,0.375,0,Moondrop x G-Square Lunalight
36.8,0.38,0,Moondrop x G-Square Lunalight
36.8,0.38,0,Moondrop x G-Square Lunalight
36.9,0.38,0,Moondrop x G-Square Lunalight
36.9,0.38,0,Moondrop x G-Square Lunalight
37,0.385,0,Moondrop x G-Square Lunalight
36.9,0.385,0,Moondrop x G-Square Lunalight
36.9,0.385,0,Moondrop x G-Square Lunalight
36.9,0.39,0,Moondrop x G-Square Lunalight
36.9,0.39,0,Moondrop x G-Square Lunalight
36.9,0.39,0,Moondrop x G-Square Lunalight
36.9,0.395,0,Moondrop x G-Square Lunalight
36.9,0.395,0,Moondrop x G-Square Lunalight
36.9,0.4,0,Moondrop x G-Square Lunalight
36.9,0.4,0,Moondrop x G-Square Lunalight
37,0.405,0,Moondrop x G-Square Lunalight
36.9,0.405,0,Moondrop x G-Square Lunalight
36.9,0.41,0,Moondrop x G-Square Lunalight
36.9,0.41,0,Moondrop x G-Square Lunalight
36.8,0.415,0,Moondrop x G-Square Lunalight
36.8,0.415,0,Moondrop x G-Square Lunalight
37,0.415,0,Moondrop x G-Square Lunalight
37.1,0.42,0,Moondrop x G-Square Lunalight
37,0.42,0,Moondrop x G-Square Lunalight
36.9,0.425,0,Moondrop x G-Square Lunalight
36.9,0.425,0,Moondrop x G-Square Lunalight
36.9,0.43,0,Moondrop x G-Square Lunalight
36.9,0.43,0,Moondrop x G-Square Lunalight
36.9,0.435,0,Moondrop x G-Square Lunalight
36.9,0.435,0,Moondrop x G-Square Lunalight
36.8,0.44,0,Moondrop x G-Square Lunalight
36.9,0.44,0,Moondrop x G-Square Lunalight
37,0.445,0,Moondrop x G-Square Lunalight
37.1,0.445,0,Moondrop x G-Square Lunalight
37.2,0.45,0,Moondrop x G-Square Lunalight
37.3,0.45,0,Moondrop x G-Square Lunalight
37.3,0.45,0,Moondrop x G-Square Lunalight
37.3,0.455,0,Moondrop x G-Square Lunalight
37.1,0.455,0,Moondrop x G-Square Lunalight
37.1,0.46,0,Moondrop x G-Square Lunalight
37.1,0.46,0,Moondrop x G-Square Lunalight
37.1,0.46,0,Moondrop x G-Square Lunalight
37.2,0.465,0,Moondrop x G-Square Lunalight
37.1,0.465,0,Moondrop x G-Square Lunalight
37.2,0.465,0,Moondrop x G-Square Lunalight
37.5,0.47,0,Moondrop x G-Square Lunalight
37.4,0.47,0,Moondrop x G-Square Lunalight
37.3,0.475,0,Moondrop x G-Square Lunalight
37.2,0.475,0,Moondrop x G-Square Lunalight
37.2,0.475,0,Moondrop x G-Square Lunalight
37.2,0.475,0,Moondrop x G-Square Lunalight
37.2,0.475,0,Moondrop x G-Square Lunalight
37.3,0.48,0,Moondrop x G-Square Lunalight
37.3,0.48,0,Moondrop x G-Square Lunalight
37.3,0.48,0,Moondrop x G-Square Lunalight
37.4,0.485,0,Moondrop x G-Square Lunalight
37.4,0.485,0,Moondrop x G-Square Lunalight
37.4,0.485,0,Moondrop x G-Square Lunalight
37.3,0.49,0,Moondrop x G-Square Lunalight
37.4,0.49,0,Moondrop x G-Square Lunalight
37.5,0.49,0,Moondrop x G-Square Lunalight
37.5,0.495,0,Moondrop x G-Square Lunalight
37.4,0.495,0,Moondrop x G-Square Lunalight
37.4,0.5,0,Moondrop x G-Square Lunalight
37.5,0.5,0,Moondrop x G-Square Lunalight
37.5,0.505,0,Moondrop x G-Square Lunalight
37.5,0.505,0,Moondrop x G-Square Lunalight
37.5,0.505,0,Moondrop x G-Square Lunalight
37.6,0.51,0,Moondrop x G-Square Lunalight
37.6,0.51,0,Moondrop x G-Square Lunalight
37.6,0.51,0,Moondrop x G-Square Lunalight
37.6,0.515,0,Moondrop x G-Square Lunalight
37.7,0.515,0,Moondrop x G-Square Lunalight
37.8,0.52,0,Moondrop x G-Square Lunalight
37.7,0.52,0,Moondrop x G-Square Lunalight
37.7,0.525,0,Moondrop x G-Square Lunalight
37.7,0.525,0,Moondrop x G-Square Lunalight
37.7,0.525,0,Moondrop x G-Square Lunalight
37.7,0.53,0,Moondrop x G-Square Lunalight
37.6,0.53,0,Moondrop x G-Square Lunalight
37.5,0.535,0,Moondrop x G-Square Lunalight
37.4,0.535,0,Moondrop x G-Square Lunalight
37.4,0.54,0,Moondrop x G-Square Lunalight
37.4,0.54,0,Moondrop x G-Square Lunalight
37.4,0.54,0,Moondrop x G-Square Lunalight
37.5,0.545,0,Moondrop x G-Square Lunalight
37.6,0.545,0,Moondrop x G-Square Lunalight
37.7,0.55,0,Moondrop x G-Square Lunalight
37.8,0.555,0,Moondrop x G-Square Lunalight
37.7,0.555,0,Moondrop x G-Square Lunalight
37.8,0.56,0,Moondrop x G-Square Lunalight
37.8,0.56,0,Moondrop x G-Square Lunalight
37.8,0.565,0,Moondrop x G-Square Lunalight
37.7,0.57,0,Moondrop x G-Square Lunalight
37.8,0.57,0,Moondrop x G-Square Lunalight
37.8,0.575,0,Moondrop x G-Square Lunalight
37.8,0.58,0,Moondrop x G-Square Lunalight
37.8,0.58,0,Moondrop x G-Square Lunalight
37.8,0.585,0,Moondrop x G-Square Lunalight
37.8,0.585,0,Moondrop x G-Square Lunalight
37.7,0.59,0,Moondrop x G-Square Lunalight
37.7,0.59,0,Moondrop x G-Square Lunalight
37.7,0.595,0,Moondrop x G-Square Lunalight
37.7,0.595,0,Moondrop x G-Square Lunalight
37.8,0.595,0,Moondrop x G-Square Lunalight
37.8,0.6,0,Moondrop x G-Square Lunalight
37.7,0.6,0,Moondrop x G-Square Lunalight
37.7,0.605,0,Moondrop x G-Square Lunalight
37.7,0.605,0,Moondrop x G-Square Lunalight
37.7,0.61,0,Moondrop x G-Square Lunalight
37.8,0.61,0,Moondrop x G-Square Lunalight
37.8,0.615,0,Moondrop x G-Square Lunalight
37.9,0.615,0,Moondrop x G-Square Lunalight
37.8,0.62,0,Moondrop x G-Square Lunalight
37.8,0.62,0,Moondrop x G-Square Lunalight
37.9,0.62,0,Moondrop x G-Square Lunalight
37.8,0.625,0,Moondrop x G-Square Lunalight
37.8,0.625,0,Moondrop x G-Square Lunalight
37.8,0.63,0,Moondrop x G-Square Lunalight
37.8,0.63,0,Moondrop x G-Square Lunalight
37.8,0.635,0,Moondrop x G-Square Lunalight
37.8,0.635,0,Moondrop x G-Square Lunalight
37.8,0.64,0,Moondrop x G-Square Lunalight
37.7,0.64,0,Moondrop x G-Square Lunalight
37.8,0.645,0,Moondrop x G-Square Lunalight
37.8,0.645,0,Moondrop x G-Square Lunalight
37.8,0.65,0,Moondrop x G-Square Lunalight
