force,displacement,judge,name
0,0,0,Mountain Tactile 55g
-0.1,0,0,Mountain Tactile 55g
0,0,0,Mountain Tactile 55g
0,0,0,Mountain Tactile 55g
0,0,0,Mountain Tactile 55g
0,0,0,Mountain Tactile 55g
0,0,0,Mountain Tactile 55g
0,0,0,Mountain Tactile 55g
0,0,0,Mountain Tactile 55g
0,0,0,Mountain Tactile 55g
0,0,0,Mountain Tactile 55g
0,0,0,Mountain Tactile 55g
0,0,0,Mountain Tactile 55g
0,0,0,Mountain Tactile 55g
0,0,0,Mountain Tactile 55g
0,0,0,Mountain Tactile 55g
0,0,0,Mountain Tactile 55g
0,0,0,Mountain Tactile 55g
0,0,0,Mountain Tactile 55g
0,0,0,Mountain Tactile 55g
0,0.005,0,Mountain Tactile 55g
0,0.005,0,Mountain Tactile 55g
0,0.005,0,Mountain Tactile 55g
0,0.005,0,Mountain Tactile 55g
0,0.01,0,Mountain Tactile 55g
0,0.01,0,Mountain Tactile 55g
0,0.015,0,Mountain Tactile 55g
0,0.02,0,Mountain Tactile 55g
0,0.02,0,Mountain Tactile 55g
0,0.025,0,Mountain Tactile 55g
0,0.03,0,Mountain Tactile 55g
0,0.035,0,Mountain Tactile 55g
0,0.035,0,Mountain Tactile 55g
0,0.04,0,Mountain Tactile 55g
0,0.045,0,Mountain Tactile 55g
0,0.05,0,Mountain Tactile 55g
0,0.05,0,Mountain Tactile 55g
0,0.055,0,Mountain Tactile 55g
0,0.055,0,Mountain Tactile 55g
0,0.06,0,Mountain Tactile 55g
0,0.065,0,Mountain Tactile 55g
0,0.065,0,Mountain Tactile 55g
0,0.07,0,Mountain Tactile 55g
0,0.075,0,Mountain Tactile 55g
0,0.075,0,Mountain Tactile 55g
0,0.08,0,Mountain Tactile 55g
0,0.09,0,Mountain Tactile 55g
0,0.095,0,Mountain Tactile 55g
0,0.1,0,Mountain Tactile 55g
0,0.105,0,Mountain Tactile 55g
0,0.115,0,Mountain Tactile 55g
3.9,0.12,0,Mountain Tactile 55g
9,0.125,0,Mountain Tactile 55g
13.8,0.13,0,Mountain Tactile 55g
17.7,0.135,0,Mountain Tactile 55g
20.9,0.135,0,Mountain Tactile 55g
24.1,0.14,0,Mountain Tactile 55g
27.2,0.14,0,Mountain Tactile 55g
30,0.145,0,Mountain Tactile 55g
32.5,0.15,0,Mountain Tactile 55g
34.6,0.15,0,Mountain Tactile 55g
36.7,0.155,0,Mountain Tactile 55g
38.2,0.155,0,Mountain Tactile 55g
38.4,0.16,0,Mountain Tactile 55g
38.8,0.16,0,Mountain Tactile 55g
38.9,0.165,0,Mountain Tactile 55g
39.1,0.165,0,Mountain Tactile 55g
39.5,0.17,0,Mountain Tactile 55g
39.3,0.175,0,Mountain Tactile 55g
39.3,0.175,0,Mountain Tactile 55g
39.3,0.175,0,Mountain Tactile 55g
39.4,0.18,0,Mountain Tactile 55g
39.4,0.18,0,Mountain Tactile 55g
39.4,0.18,0,Mountain Tactile 55g
39.6,0.18,0,Mountain Tactile 55g
39.8,0.185,0,Mountain Tactile 55g
39.9,0.185,0,Mountain Tactile 55g
39.8,0.185,0,Mountain Tactile 55g
39.9,0.19,0,Mountain Tactile 55g
39.9,0.19,0,Mountain Tactile 55g
39.8,0.195,0,Mountain Tactile 55g
39.7,0.195,0,Mountain Tactile 55g
40.1,0.2,0,Mountain Tactile 55g
40.2,0.205,0,Mountain Tactile 55g
39.8,0.21,0,Mountain Tactile 55g
39.3,0.21,0,Mountain Tactile 55g
39.2,0.21,0,Mountain Tactile 55g
40.2,0.215,0,Mountain Tactile 55g
39.8,0.22,0,Mountain Tactile 55g
39.3,0.225,0,Mountain Tactile 55g
39.2,0.23,0,Mountain Tactile 55g
39.2,0.235,0,Mountain Tactile 55g
39.4,0.24,0,Mountain Tactile 55g
38.9,0.24,0,Mountain Tactile 55g
38.9,0.24,0,Mountain Tactile 55g
38.8,0.245,0,Mountain Tactile 55g
39.1,0.245,0,Mountain Tactile 55g
39.7,0.25,0,Mountain Tactile 55g
39.3,0.255,0,Mountain Tactile 55g
39.6,0.26,0,Mountain Tactile 55g
39.1,0.265,0,Mountain Tactile 55g
39.3,0.275,0,Mountain Tactile 55g
39.4,0.28,0,Mountain Tactile 55g
39.2,0.29,0,Mountain Tactile 55g
38.9,0.29,0,Mountain Tactile 55g
