force,displacement,judge,name
0,0,0,Moyu Pansy
0,0,0,Moyu Pansy
-0.1,0,0,Moyu Pansy
-0.1,0,0,Moyu Pansy
0,0,0,Moyu Pansy
0,0,0,Moyu Pansy
0,0,0,Moyu Pansy
0,0,0,Moyu Pansy
0,0,0,Moyu Pansy
0,0,0,Moyu Pansy
0,0,0,Moyu Pansy
0,0,0,Moyu Pansy
0,0,0,Moyu Pansy
0,0,0,Moyu Pansy
0,0,0,Moyu Pansy
-0.1,0,0,Moyu Pansy
0,0,0,Moyu Pansy
0,0,0,Moyu Pansy
0,0,0,Moyu Pansy
0,0,0,Moyu Pansy
0,0.005,0,Moyu Pansy
0,0.005,0,Moyu Pansy
0,0.005,0,Moyu Pansy
0.1,0.005,0,Moyu Pansy
0,0.005,0,Moyu Pansy
-0.1,0.005,0,Moyu Pansy
0,0.01,0,Moyu Pansy
0,0.01,0,Moyu Pansy
0,0.015,0,Moyu Pansy
0,0.015,0,Moyu Pansy
0.4,0.02,0,Moyu Pansy
2,0.02,0,Moyu Pansy
3.5,0.025,0,Moyu Pansy
5.1,0.025,0,Moyu Pansy
6.2,0.025,0,Moyu Pansy
7,0.025,0,Moyu Pansy
7.7,0.03,0,Moyu Pansy
8.5,0.03,0,Moyu Pansy
9.2,0.03,0,Moyu Pansy
9.8,0.03,0,Moyu Pansy
10.5,0.03,0,Moyu Pansy
11.2,0.03,0,Moyu Pansy
12.2,0.03,0,Moyu Pansy
12.8,0.035,0,Moyu Pansy
13.6,0.035,0,Moyu Pansy
14.7,0.035,0,Moyu Pansy
15.4,0.035,0,Moyu Pansy
15.9,0.035,0,Moyu Pansy
16.5,0.035,0,Moyu Pansy
17.5,0.04,0,Moyu Pansy
19,0.04,0,Moyu Pansy
20.1,0.04,0,Moyu Pansy
21.1,0.04,0,Moyu Pansy
22.2,0.045,0,Moyu Pansy
23.3,0.045,0,Moyu Pansy
24.4,0.045,0,Moyu Pansy
25.7,0.045,0,Moyu Pansy
27.2,0.05,0,Moyu Pansy
28.8,0.05,0,Moyu Pansy
30.4,0.05,0,Moyu Pansy
32.3,0.055,0,Moyu Pansy
34,0.055,0,Moyu Pansy
36,0.055,0,Moyu Pansy
37.9,0.06,0,Moyu Pansy
39.2,0.06,0,Moyu Pansy
40.4,0.065,0,Moyu Pansy
41.7,0.065,0,Moyu Pansy
42.9,0.065,0,Moyu Pansy
44.3,0.07,0,Moyu Pansy
45.7,0.07,0,Moyu Pansy
44.7,0.075,0,Moyu Pansy
44.6,0.075,0,Moyu Pansy
44.8,0.08,0,Moyu Pansy
45,0.08,0,Moyu Pansy
45.4,0.085,0,Moyu Pansy
45.9,0.085,0,Moyu Pansy
46.1,0.09,0,Moyu Pansy
46,0.095,0,Moyu Pansy
46,0.095,0,Moyu Pansy
45.9,0.1,0,Moyu Pansy
46.2,0.105,0,Moyu Pansy
46.6,0.105,0,Moyu Pansy
46.7,0.11,0,Moyu Pansy
46.8,0.115,0,Moyu Pansy
46.3,0.12,0,Moyu Pansy
46.4,0.12,0,Moyu Pansy
46.9,0.125,0,Moyu Pansy
47.1,0.13,0,Moyu Pansy
47.3,0.13,0,Moyu Pansy
47.2,0.135,0,Moyu Pansy
47,0.14,0,Moyu Pansy
46.8,0.14,0,Moyu Pansy
46.9,0.14,0,Moyu Pansy
47.2,0.145,0,Moyu Pansy
48.8,0.145,0,Moyu Pansy
50.6,0.15,0,Moyu Pansy
52.5,0.15,0,Moyu Pansy
54.2,0.155,0,Moyu Pansy
55.9,0.155,0,Moyu Pansy
57.1,0.16,0,Moyu Pansy
57.8,0.16,0,Moyu Pansy
58.1,0.16,0,Moyu Pansy
58.3,0.165,0,Moyu Pansy
58,0.165,0,Moyu Pansy
58,0.165,0,Moyu Pansy
58,0.17,0,Moyu Pansy
58.1,0.17,0,Moyu Pansy
58.4,0.175,0,Moyu Pansy
58.4,0.175,0,Moyu Pansy
58.5,0.18,0,Moyu Pansy
58.6,0.18,0,Moyu Pansy
58.8,0.185,0,Moyu Pansy
58.9,0.19,0,Moyu Pansy
58.9,0.19,0,Moyu Pansy
58.8,0.19,0,Moyu Pansy
59,0.195,0,Moyu Pansy
59.2,0.195,0,Moyu Pansy
59.4,0.2,0,Moyu Pansy
59.4,0.2,0,Moyu Pansy
59.5,0.2,0,Moyu Pansy
59.6,0.205,0,Moyu Pansy
59.7,0.205,0,Moyu Pansy
59.8,0.21,0,Moyu Pansy
59.9,0.21,0,Moyu Pansy
59.9,0.21,0,Moyu Pansy
60,0.21,0,Moyu Pansy
60.2,0.215,0,Moyu Pansy
60.3,0.215,0,Moyu Pansy
60.4,0.215,0,Moyu Pansy
60.5,0.22,0,Moyu Pansy
60.8,0.22,0,Moyu Pansy
60.9,0.225,0,Moyu Pansy
61,0.225,0,Moyu Pansy
61.2,0.23,0,Moyu Pansy
61.3,0.23,0,Moyu Pansy
61.5,0.235,0,Moyu Pansy
61.6,0.235,0,Moyu Pansy
61.6,0.24,0,Moyu Pansy
61.5,0.24,0,Moyu Pansy
61.7,0.245,0,Moyu Pansy
61.9,0.245,0,Moyu Pansy
62,0.25,0,Moyu Pansy
62.1,0.25,0,Moyu Pansy
62.3,0.255,0,Moyu Pansy
62.3,0.255,0,Moyu Pansy
62.5,0.26,0,Moyu Pansy
62.6,0.26,0,Moyu Pansy
62.7,0.265,0,Moyu Pansy
62.7,0.265,0,Moyu Pansy
62.9,0.27,0,Moyu Pansy
