force,displacement,judge,name
0,0,0,Moyu Studio x XCJZ Snow Grape - 34000 Actuations
0,0,0,Moyu Studio x XCJZ Snow Grape - 34000 Actuations
-0.1,0,0,Moyu Studio x XCJZ Snow Grape - 34000 Actuations
-0.1,0,0,Moyu Studio x XCJZ Snow Grape - 34000 Actuations
0,0,0,Moyu Studio x XCJZ Snow Grape - 34000 Actuations
0,0,0,Moyu Studio x XCJZ Snow Grape - 34000 Actuations
0,0,0,Moyu Studio x XCJZ Snow Grape - 34000 Actuations
0,0,0,Moyu Studio x XCJZ Snow Grape - 34000 Actuations
0,0,0,Moyu Studio x XCJZ Snow Grape - 34000 Actuations
0,0,0,Moyu Studio x XCJZ Snow Grape - 34000 Actuations
0,0,0,Moyu Studio x XCJZ Snow Grape - 34000 Actuations
0,0,0,Moyu Studio x XCJZ Snow Grape - 34000 Actuations
0,0,0,Moyu Studio x XCJZ Snow Grape - 34000 Actuations
0,0,0,Moyu Studio x XCJZ Snow Grape - 34000 Actuations
0,0,0,Moyu Studio x XCJZ Snow Grape - 34000 Actuations
0,0,0,Moyu Studio x XCJZ Snow Grape - 34000 Actuations
0,0,0,Moyu Studio x XCJZ Snow Grape - 34000 Actuations
0,0,0,Moyu Studio x XCJZ Snow Grape - 34000 Actuations
0,0.005,0,Moyu Studio x XCJZ Snow Grape - 34000 Actuations
0,0.005,0,Moyu Studio x XCJZ Snow Grape - 34000 Actuations
0,0.005,0,Moyu Studio x XCJZ Snow Grape - 34000 Actuations
0,0.005,0,Moyu Studio x XCJZ Snow Grape - 34000 Actuations
0,0.005,0,Moyu Studio x XCJZ Snow Grape - 34000 Actuations
0,0.01,0,Moyu Studio x XCJZ Snow Grape - 34000 Actuations
0,0.01,0,Moyu Studio x XCJZ Snow Grape - 34000 Actuations
0,0.01,0,Moyu Studio x XCJZ Snow Grape - 34000 Actuations
0,0.015,0,Moyu Studio x XCJZ Snow Grape - 34000 Actuations
0,0.02,0,Moyu Studio x XCJZ Snow Grape - 34000 Actuations
0,0.02,0,Moyu Studio x XCJZ Snow Grape - 34000 Actuations
0,0.025,0,Moyu Studio x XCJZ Snow Grape - 34000 Actuations
0,0.03,0,Moyu Studio x XCJZ Snow Grape - 34000 Actuations
1.1,0.035,0,Moyu Studio x XCJZ Snow Grape - 34000 Actuations
5,0.04,0,Moyu Studio x XCJZ Snow Grape - 34000 Actuations
8.6,0.04,0,Moyu Studio x XCJZ Snow Grape - 34000 Actuations
