force,displacement,judge,name
0,0,0,NK Silk Mictlan Orange
0,0,0,NK Silk Mictlan Orange
0,0,0,NK Silk Mictlan Orange
0,0,0,NK Silk Mictlan Orange
0,0,0,NK Silk Mictlan Orange
0,0,0,NK Silk Mictlan Orange
0,0,0,NK Silk Mictlan Orange
0,0,0,NK Silk Mictlan Orange
0,0,0,NK Silk Mictlan Orange
0,0,0,NK Silk Mictlan Orange
0,0,0,NK Silk Mictlan Orange
0,0,0,NK Silk Mictlan Orange
0,0,0,NK Silk Mictlan Orange
0,0,0,NK Silk Mictlan Orange
0,0,0,NK Silk Mictlan Orange
0,0,0,NK Silk Mictlan Orange
0,0,0,NK Silk Mictlan Orange
0,0.005,0,NK Silk Mictlan Orange
0,0.005,0,NK Silk Mictlan Orange
0,0.01,0,NK Silk Mictlan Orange
0.5,0.015,0,NK Silk Mictlan Orange
8.3,0.02,0,NK Silk Mictlan Orange
16.2,0.03,0,NK Silk Mictlan Orange
23.3,0.035,0,NK Silk Mictlan Orange
27.3,0.04,0,NK Silk Mictlan Orange
28.9,0.045,0,NK Silk Mictlan Orange
29.7,0.05,0,NK Silk Mictlan Orange
30.9,0.055,0,NK Silk Mictlan Orange
31.5,0.055,0,NK Silk Mictlan Orange
31.4,0.06,0,NK Silk Mictlan Orange
31.4,0.065,0,NK Silk Mictlan Orange
31.4,0.07,0,NK Silk Mictlan Orange
31.4,0.075,0,NK Silk Mictlan Orange
31.3,0.075,0,NK Silk Mictlan Orange
31.2,0.08,0,NK Silk Mictlan Orange
31,0.085,0,NK Silk Mictlan Orange
31,0.09,0,NK Silk Mictlan Orange
31,0.09,0,NK Silk Mictlan Orange
30.9,0.095,0,NK Silk Mictlan Orange
30.7,0.1,0,NK Silk Mictlan Orange
30.8,0.1,0,NK Silk Mictlan Orange
30.8,0.105,0,NK Silk Mictlan Orange
30.8,0.105,0,NK Silk Mictlan Orange
30.8,0.11,0,NK Silk Mictlan Orange
30.8,0.115,0,NK Silk Mictlan Orange
30.7,0.115,0,NK Silk Mictlan Orange
30.7,0.12,0,NK Silk Mictlan Orange
30.7,0.125,0,NK Silk Mictlan Orange
30.7,0.13,0,NK Silk Mictlan Orange
30.7,0.13,0,NK Silk Mictlan Orange
30.7,0.135,0,NK Silk Mictlan Orange
30.7,0.14,0,NK Silk Mictlan Orange
30.6,0.14,0,NK Silk Mictlan Orange
30.6,0.145,0,NK Silk Mictlan Orange
30.6,0.145,0,NK Silk Mictlan Orange
30.6,0.15,0,NK Silk Mictlan Orange
30.7,0.155,0,NK Silk Mictlan Orange
30.6,0.155,0,NK Silk Mictlan Orange
30.6,0.16,0,NK Silk Mictlan Orange
30.6,0.165,0,NK Silk Mictlan Orange
30.7,0.165,0,NK Silk Mictlan Orange
30.7,0.17,0,NK Silk Mictlan Orange
30.8,0.17,0,NK Silk Mictlan Orange
30.7,0.175,0,NK Silk Mictlan Orange
30.8,0.175,0,NK Silk Mictlan Orange
30.7,0.18,0,NK Silk Mictlan Orange
30.8,0.18,0,NK Silk Mictlan Orange
30.8,0.185,0,NK Silk Mictlan Orange
30.9,0.185,0,NK Silk Mictlan Orange
30.9,0.19,0,NK Silk Mictlan Orange
31,0.19,0,NK Silk Mictlan Orange
31,0.195,0,NK Silk Mictlan Orange
31.1,0.195,0,NK Silk Mictlan Orange
31,0.195,0,NK Silk Mictlan Orange
31.1,0.2,0,NK Silk Mictlan Orange
31,0.2,0,NK Silk Mictlan Orange
30.9,0.205,0,NK Silk Mictlan Orange
30.9,0.205,0,NK Silk Mictlan Orange
30.9,0.21,0,NK Silk Mictlan Orange
30.8,0.21,0,NK Silk Mictlan Orange
30.7,0.215,0,NK Silk Mictlan Orange
30.8,0.215,0,NK Silk Mictlan Orange
30.8,0.215,0,NK Silk Mictlan Orange
30.7,0.215,0,NK Silk Mictlan Orange
