force,displacement,judge,name
-0.1,0,0,NK Silk Mictlan Pink
0,0,0,NK Silk Mictlan Pink
0,0,0,NK Silk Mictlan Pink
0,0,0,NK Silk Mictlan Pink
0,0,0,NK Silk Mictlan Pink
0,0,0,NK Silk Mictlan Pink
0,0,0,NK Silk Mictlan Pink
0,0,0,NK Silk Mictlan Pink
0,0,0,NK Silk Mictlan Pink
0,0,0,NK Silk Mictlan Pink
0,0,0,NK Silk Mictlan Pink
0,0,0,NK Silk Mictlan Pink
0,0,0,NK Silk Mictlan Pink
0,0,0,NK Silk Mictlan Pink
0,0,0,NK Silk Mictlan Pink
0,0,0,NK Silk Mictlan Pink
0,0,0,NK Silk Mictlan Pink
0,0,0,NK Silk Mictlan Pink
0,0,0,NK Silk Mictlan Pink
0,0.005,0,NK Silk Mictlan Pink
0,0.005,0,NK Silk Mictlan Pink
0,0.01,0,NK Silk Mictlan Pink
0,0.015,0,NK Silk Mictlan Pink
0,0.02,0,NK Silk Mictlan Pink
0,0.025,0,NK Silk Mictlan Pink
0,0.035,0,NK Silk Mictlan Pink
0,0.045,0,NK Silk Mictlan Pink
1.6,0.05,0,NK Silk Mictlan Pink
4.5,0.05,0,NK Silk Mictlan Pink
9.6,0.055,0,NK Silk Mictlan Pink
14,0.06,0,NK Silk Mictlan Pink
17.4,0.065,0,NK Silk Mictlan Pink
20.2,0.065,0,NK Silk Mictlan Pink
22.8,0.07,0,NK Silk Mictlan Pink
24.9,0.07,0,NK Silk Mictlan Pink
27.1,0.075,0,NK Silk Mictlan Pink
27.9,0.075,0,NK Silk Mictlan Pink
29.2,0.08,0,NK Silk Mictlan Pink
29.2,0.08,0,NK Silk Mictlan Pink
29.1,0.085,0,NK Silk Mictlan Pink
29.4,0.085,0,NK Silk Mictlan Pink
29.9,0.085,0,NK Silk Mictlan Pink
30.2,0.09,0,NK Silk Mictlan Pink
30.3,0.09,0,NK Silk Mictlan Pink
30.3,0.09,0,NK Silk Mictlan Pink
30.3,0.095,0,NK Silk Mictlan Pink
30.3,0.095,0,NK Silk Mictlan Pink
30.3,0.095,0,NK Silk Mictlan Pink
30.6,0.1,0,NK Silk Mictlan Pink
30.5,0.105,0,NK Silk Mictlan Pink
30.3,0.105,0,NK Silk Mictlan Pink
30.2,0.11,0,NK Silk Mictlan Pink
30.1,0.115,0,NK Silk Mictlan Pink
30.1,0.115,0,NK Silk Mictlan Pink
30,0.12,0,NK Silk Mictlan Pink
30,0.12,0,NK Silk Mictlan Pink
30,0.125,0,NK Silk Mictlan Pink
29.9,0.125,0,NK Silk Mictlan Pink
29.8,0.125,0,NK Silk Mictlan Pink
29.8,0.13,0,NK Silk Mictlan Pink
29.7,0.13,0,NK Silk Mictlan Pink
29.7,0.13,0,NK Silk Mictlan Pink
29.6,0.13,0,NK Silk Mictlan Pink
29.7,0.135,0,NK Silk Mictlan Pink
29.7,0.135,0,NK Silk Mictlan Pink
29.8,0.135,0,NK Silk Mictlan Pink
29.8,0.135,0,NK Silk Mictlan Pink
29.7,0.14,0,NK Silk Mictlan Pink
29.7,0.14,0,NK Silk Mictlan Pink
29.7,0.145,0,NK Silk Mictlan Pink
29.7,0.145,0,NK Silk Mictlan Pink
29.6,0.15,0,NK Silk Mictlan Pink
29.6,0.155,0,NK Silk Mictlan Pink
29.6,0.16,0,NK Silk Mictlan Pink
29.5,0.165,0,NK Silk Mictlan Pink
29.6,0.165,0,NK Silk Mictlan Pink
29.6,0.17,0,NK Silk Mictlan Pink
29.6,0.175,0,NK Silk Mictlan Pink
29.5,0.18,0,NK Silk Mictlan Pink
29.6,0.18,0,NK Silk Mictlan Pink
29.6,0.185,0,NK Silk Mictlan Pink
29.5,0.19,0,NK Silk Mictlan Pink
29.5,0.195,0,NK Silk Mictlan Pink
29.5,0.2,0,NK Silk Mictlan Pink
29.5,0.2,0,NK Silk Mictlan Pink
29.6,0.205,0,NK Silk Mictlan Pink
29.6,0.21,0,NK Silk Mictlan Pink
29.6,0.21,0,NK Silk Mictlan Pink
29.6,0.215,0,NK Silk Mictlan Pink
29.7,0.215,0,NK Silk Mictlan Pink
29.7,0.22,0,NK Silk Mictlan Pink
29.7,0.225,0,NK Silk Mictlan Pink
29.7,0.23,0,NK Silk Mictlan Pink
29.7,0.235,0,NK Silk Mictlan Pink
29.7,0.235,0,NK Silk Mictlan Pink
29.7,0.24,0,NK Silk Mictlan Pink
29.7,0.245,0,NK Silk Mictlan Pink
29.7,0.25,0,NK Silk Mictlan Pink
29.8,0.255,0,NK Silk Mictlan Pink
29.8,0.255,0,NK Silk Mictlan Pink
29.8,0.26,0,NK Silk Mictlan Pink
29.8,0.265,0,NK Silk Mictlan Pink
29.8,0.27,0,NK Silk Mictlan Pink
29.8,0.275,0,NK Silk Mictlan Pink
29.8,0.28,0,NK Silk Mictlan Pink
29.8,0.285,0,NK Silk Mictlan Pink
29.8,0.29,0,NK Silk Mictlan Pink
30,0.295,0,NK Silk Mictlan Pink
30,0.3,0,NK Silk Mictlan Pink
30.2,0.305,0,NK Silk Mictlan Pink
30.2,0.305,0,NK Silk Mictlan Pink
30.1,0.31,0,NK Silk Mictlan Pink
30.1,0.315,0,NK Silk Mictlan Pink
30.1,0.32,0,NK Silk Mictlan Pink
30.1,0.32,0,NK Silk Mictlan Pink
30.1,0.325,0,NK Silk Mictlan Pink
30.1,0.325,0,NK Silk Mictlan Pink
30.1,0.33,0,NK Silk Mictlan Pink
30.1,0.33,0,NK Silk Mictlan Pink
30,0.33,0,NK Silk Mictlan Pink
30.1,0.335,0,NK Silk Mictlan Pink
30,0.34,0,NK Silk Mictlan Pink
30.1,0.34,0,NK Silk Mictlan Pink
30.1,0.345,0,NK Silk Mictlan Pink
30,0.345,0,NK Silk Mictlan Pink
30.1,0.345,0,NK Silk Mictlan Pink
30.1,0.35,0,NK Silk Mictlan Pink
30.1,0.35,0,NK Silk Mictlan Pink
30.1,0.355,0,NK Silk Mictlan Pink
30.2,0.355,0,NK Silk Mictlan Pink
30.2,0.355,0,NK Silk Mictlan Pink
30.2,0.355,0,NK Silk Mictlan Pink
30.2,0.36,0,NK Silk Mictlan Pink
30.2,0.36,0,NK Silk Mictlan Pink
30.2,0.36,0,NK Silk Mictlan Pink
30.3,0.365,0,NK Silk Mictlan Pink
30.3,0.365,0,NK Silk Mictlan Pink
30.2,0.365,0,NK Silk Mictlan Pink
30.3,0.37,0,NK Silk Mictlan Pink
30.3,0.37,0,NK Silk Mictlan Pink
30.3,0.37,0,NK Silk Mictlan Pink
30.3,0.375,0,NK Silk Mictlan Pink
30.4,0.375,0,NK Silk Mictlan Pink
30.4,0.38,0,NK Silk Mictlan Pink
30.5,0.38,0,NK Silk Mictlan Pink
30.5,0.385,0,NK Silk Mictlan Pink
30.4,0.385,0,NK Silk Mictlan Pink
30.5,0.385,0,NK Silk Mictlan Pink
30.5,0.39,0,NK Silk Mictlan Pink
30.5,0.39,0,NK Silk Mictlan Pink
30.6,0.39,0,NK Silk Mictlan Pink
30.6,0.395,0,NK Silk Mictlan Pink
30.6,0.395,0,NK Silk Mictlan Pink
30.6,0.395,0,NK Silk Mictlan Pink
30.6,0.4,0,NK Silk Mictlan Pink
30.6,0.4,0,NK Silk Mictlan Pink
30.6,0.405,0,NK Silk Mictlan Pink
30.6,0.405,0,NK Silk Mictlan Pink
30.6,0.41,0,NK Silk Mictlan Pink
30.6,0.41,0,NK Silk Mictlan Pink
30.7,0.415,0,NK Silk Mictlan Pink
30.7,0.415,0,NK Silk Mictlan Pink
30.6,0.42,0,NK Silk Mictlan Pink
30.8,0.42,0,NK Silk Mictlan Pink
30.7,0.425,0,NK Silk Mictlan Pink
30.7,0.425,0,NK Silk Mictlan Pink
30.7,0.43,0,NK Silk Mictlan Pink
30.7,0.435,0,NK Silk Mictlan Pink
30.7,0.44,0,NK Silk Mictlan Pink
30.8,0.445,0,NK Silk Mictlan Pink
30.8,0.45,0,NK Silk Mictlan Pink
30.9,0.455,0,NK Silk Mictlan Pink
31,0.46,0,NK Silk Mictlan Pink
31.1,0.465,0,NK Silk Mictlan Pink
31.1,0.47,0,NK Silk Mictlan Pink
31.2,0.47,0,NK Silk Mictlan Pink
31.2,0.475,0,NK Silk Mictlan Pink
31.3,0.48,0,NK Silk Mictlan Pink
31.4,0.485,0,NK Silk Mictlan Pink
31.3,0.49,0,NK Silk Mictlan Pink
31.3,0.495,0,NK Silk Mictlan Pink
31.3,0.495,0,NK Silk Mictlan Pink
31.4,0.5,0,NK Silk Mictlan Pink
31.3,0.5,0,NK Silk Mictlan Pink
31.3,0.505,0,NK Silk Mictlan Pink
31.3,0.51,0,NK Silk Mictlan Pink
31.4,0.51,0,NK Silk Mictlan Pink
31.4,0.515,0,NK Silk Mictlan Pink
31.3,0.52,0,NK Silk Mictlan Pink
31.4,0.52,0,NK Silk Mictlan Pink
