force,displacement,judge,name
0,0,0,Novelkeys Box Cream
0.1,0,0,Novelkeys Box Cream
-0.1,0,0,Novelkeys Box Cream
0,0,0,Novelkeys Box Cream
0,0,0,Novelkeys Box Cream
0.1,0,0,Novelkeys Box Cream
0,0,0,Novelkeys Box Cream
0,0,0,Novelkeys Box Cream
0,0,0,Novelkeys Box Cream
0,0,0,Novelkeys Box Cream
0,0,0,Novelkeys Box Cream
0.2,0,0,Novelkeys Box Cream
0.6,0,0,Novelkeys Box Cream
1.3,0,0,Novelkeys Box Cream
1.9,0,0,Novelkeys Box Cream
2.4,0,0,Novelkeys Box Cream
2.9,0,0,Novelkeys Box Cream
3.4,0,0,Novelkeys Box Cream
4.1,0,0,Novelkeys Box Cream
4.8,0.005,0,Novelkeys Box Cream
5.8,0.005,0,Novelkeys Box Cream
7,0.005,0,Novelkeys Box Cream
8.7,0.01,0,Novelkeys Box Cream
10.5,0.01,0,Novelkeys Box Cream
12.1,0.01,0,Novelkeys Box Cream
13.6,0.015,0,Novelkeys Box Cream
15.3,0.015,0,Novelkeys Box Cream
17.1,0.015,0,Novelkeys Box Cream
19,0.02,0,Novelkeys Box Cream
20.8,0.02,0,Novelkeys Box Cream
22.8,0.02,0,Novelkeys Box Cream
23.6,0.025,0,Novelkeys Box Cream
23.7,0.025,0,Novelkeys Box Cream
23.7,0.03,0,Novelkeys Box Cream
23.5,0.03,0,Novelkeys Box Cream
23,0.035,0,Novelkeys Box Cream
22.2,0.035,0,Novelkeys Box Cream
22.2,0.035,0,Novelkeys Box Cream
22.5,0.04,0,Novelkeys Box Cream
23.7,0.045,0,Novelkeys Box Cream
26,0.045,0,Novelkeys Box Cream
28.8,0.05,0,Novelkeys Box Cream
31.2,0.05,0,Novelkeys Box Cream
32.9,0.055,0,Novelkeys Box Cream
32.8,0.06,0,Novelkeys Box Cream
32.8,0.065,0,Novelkeys Box Cream
32.9,0.065,0,Novelkeys Box Cream
33,0.07,0,Novelkeys Box Cream
33.1,0.07,0,Novelkeys Box Cream
33.2,0.075,0,Novelkeys Box Cream
33.2,0.08,0,Novelkeys Box Cream
33.4,0.08,0,Novelkeys Box Cream
33.4,0.085,0,Novelkeys Box Cream
33.6,0.09,0,Novelkeys Box Cream
33.7,0.09,0,Novelkeys Box Cream
33.8,0.095,0,Novelkeys Box Cream
33.8,0.1,0,Novelkeys Box Cream
34,0.1,0,Novelkeys Box Cream
34,0.105,0,Novelkeys Box Cream
34,0.105,0,Novelkeys Box Cream
34,0.11,0,Novelkeys Box Cream
34,0.115,0,Novelkeys Box Cream
34,0.115,0,Novelkeys Box Cream
34,0.12,0,Novelkeys Box Cream
34.1,0.125,0,Novelkeys Box Cream
34.2,0.13,0,Novelkeys Box Cream
34.2,0.135,0,Novelkeys Box Cream
34.2,0.14,0,Novelkeys Box Cream
34.3,0.145,0,Novelkeys Box Cream
34.4,0.15,0,Novelkeys Box Cream
