force,displacement,judge,name
0.2,0,0,Novelkeys Cream Arc Inverted Spring
0,0,0,Novelkeys Cream Arc Inverted Spring
0,0,0,Novelkeys Cream Arc Inverted Spring
0,0,0,Novelkeys Cream Arc Inverted Spring
0.1,0,0,Novelkeys Cream Arc Inverted Spring
-0.1,0,0,Novelkeys Cream Arc Inverted Spring
0,0,0,Novelkeys Cream Arc Inverted Spring
0.1,0,0,Novelkeys Cream Arc Inverted Spring
0,0,0,Novelkeys Cream Arc Inverted Spring
0.1,0,0,Novelkeys Cream Arc Inverted Spring
0,0,0,Novelkeys Cream Arc Inverted Spring
0.1,0,0,Novelkeys Cream Arc Inverted Spring
0,0,0,Novelkeys Cream Arc Inverted Spring
0,0,0,Novelkeys Cream Arc Inverted Spring
0.1,0,0,Novelkeys Cream Arc Inverted Spring
0.1,0,0,Novelkeys Cream Arc Inverted Spring
0,0,0,Novelkeys Cream Arc Inverted Spring
-0.1,0,0,Novelkeys Cream Arc Inverted Spring
0.1,0,0,Novelkeys Cream Arc Inverted Spring
0.1,0,0,Novelkeys Cream Arc Inverted Spring
0.1,0,0,Novelkeys Cream Arc Inverted Spring
0,0,0,Novelkeys Cream Arc Inverted Spring
-0.1,0,0,Novelkeys Cream Arc Inverted Spring
0,0,0,Novelkeys Cream Arc Inverted Spring
0.1,0.005,0,Novelkeys Cream Arc Inverted Spring
0.1,0.005,0,Novelkeys Cream Arc Inverted Spring
-0.1,0.005,0,Novelkeys Cream Arc Inverted Spring
0,0.005,0,Novelkeys Cream Arc Inverted Spring
0.1,0.01,0,Novelkeys Cream Arc Inverted Spring
0,0.02,0,Novelkeys Cream Arc Inverted Spring
0,0.03,0,Novelkeys Cream Arc Inverted Spring
0.1,0.035,0,Novelkeys Cream Arc Inverted Spring
0.1,0.045,0,Novelkeys Cream Arc Inverted Spring
0,0.06,0,Novelkeys Cream Arc Inverted Spring
0,0.07,0,Novelkeys Cream Arc Inverted Spring
0,0.075,0,Novelkeys Cream Arc Inverted Spring
0,0.08,0,Novelkeys Cream Arc Inverted Spring
0,0.085,0,Novelkeys Cream Arc Inverted Spring
0,0.095,0,Novelkeys Cream Arc Inverted Spring
-0.1,0.1,0,Novelkeys Cream Arc Inverted Spring
0.2,0.1,0,Novelkeys Cream Arc Inverted Spring
0.1,0.105,0,Novelkeys Cream Arc Inverted Spring
-0.1,0.115,0,Novelkeys Cream Arc Inverted Spring
-0.1,0.125,0,Novelkeys Cream Arc Inverted Spring
0,0.13,0,Novelkeys Cream Arc Inverted Spring
0.2,0.135,0,Novelkeys Cream Arc Inverted Spring
-0.1,0.145,0,Novelkeys Cream Arc Inverted Spring
-0.1,0.15,0,Novelkeys Cream Arc Inverted Spring
-0.1,0.155,0,Novelkeys Cream Arc Inverted Spring
0.1,0.16,0,Novelkeys Cream Arc Inverted Spring
0,0.165,0,Novelkeys Cream Arc Inverted Spring
0,0.175,0,Novelkeys Cream Arc Inverted Spring
-0.1,0.18,0,Novelkeys Cream Arc Inverted Spring
0.1,0.19,0,Novelkeys Cream Arc Inverted Spring
0.1,0.195,0,Novelkeys Cream Arc Inverted Spring
0.1,0.205,0,Novelkeys Cream Arc Inverted Spring
0,0.21,0,Novelkeys Cream Arc Inverted Spring
0,0.215,0,Novelkeys Cream Arc Inverted Spring
0.1,0.22,0,Novelkeys Cream Arc Inverted Spring
0,0.23,0,Novelkeys Cream Arc Inverted Spring
0,0.235,0,Novelkeys Cream Arc Inverted Spring
0,0.24,0,Novelkeys Cream Arc Inverted Spring
0.1,0.245,0,Novelkeys Cream Arc Inverted Spring
0.1,0.25,0,Novelkeys Cream Arc Inverted Spring
-0.1,0.255,0,Novelkeys Cream Arc Inverted Spring
0.1,0.26,0,Novelkeys Cream Arc Inverted Spring
0,0.265,0,Novelkeys Cream Arc Inverted Spring
0,0.27,0,Novelkeys Cream Arc Inverted Spring
0,0.275,0,Novelkeys Cream Arc Inverted Spring
0.1,0.285,0,Novelkeys Cream Arc Inverted Spring
0,0.295,0,Novelkeys Cream Arc Inverted Spring
0,0.3,0,Novelkeys Cream Arc Inverted Spring
0,0.305,0,Novelkeys Cream Arc Inverted Spring
-0.1,0.31,0,Novelkeys Cream Arc Inverted Spring
0,0.315,0,Novelkeys Cream Arc Inverted Spring
0.1,0.325,0,Novelkeys Cream Arc Inverted Spring
0,0.33,0,Novelkeys Cream Arc Inverted Spring
-0.1,0.34,0,Novelkeys Cream Arc Inverted Spring
0.1,0.345,0,Novelkeys Cream Arc Inverted Spring
0.1,0.355,0,Novelkeys Cream Arc Inverted Spring
0,0.36,0,Novelkeys Cream Arc Inverted Spring
4.6,0.365,0,Novelkeys Cream Arc Inverted Spring
9.9,0.37,0,Novelkeys Cream Arc Inverted Spring
14.6,0.375,0,Novelkeys Cream Arc Inverted Spring
19.9,0.38,0,Novelkeys Cream Arc Inverted Spring
24.3,0.385,0,Novelkeys Cream Arc Inverted Spring
28.5,0.39,0,Novelkeys Cream Arc Inverted Spring
32.5,0.395,0,Novelkeys Cream Arc Inverted Spring
36.4,0.4,0,Novelkeys Cream Arc Inverted Spring
40.2,0.4,0,Novelkeys Cream Arc Inverted Spring
44,0.405,0,Novelkeys Cream Arc Inverted Spring
47.2,0.41,0,Novelkeys Cream Arc Inverted Spring
49.4,0.41,0,Novelkeys Cream Arc Inverted Spring
51.2,0.415,0,Novelkeys Cream Arc Inverted Spring
52.7,0.415,0,Novelkeys Cream Arc Inverted Spring
54.1,0.42,0,Novelkeys Cream Arc Inverted Spring
55.3,0.42,0,Novelkeys Cream Arc Inverted Spring
56.4,0.42,0,Novelkeys Cream Arc Inverted Spring
56.8,0.425,0,Novelkeys Cream Arc Inverted Spring
56.8,0.425,0,Novelkeys Cream Arc Inverted Spring
57.2,0.425,0,Novelkeys Cream Arc Inverted Spring
57.4,0.43,0,Novelkeys Cream Arc Inverted Spring
