force,displacement,judge,name
0,0,0,Novelkeys Cream Clickie
0.1,0,0,Novelkeys Cream Clickie
-0.1,0,0,Novelkeys Cream Clickie
0,0,0,Novelkeys Cream Clickie
0,0,0,Novelkeys Cream Clickie
-0.1,0,0,Novelkeys Cream Clickie
0,0,0,Novelkeys Cream Clickie
0,0,0,Novelkeys Cream Clickie
0,0,0,Novelkeys Cream Clickie
0,0,0,Novelkeys Cream Clickie
0,0,0,Novelkeys Cream Clickie
-0.1,0,0,Novelkeys Cream Clickie
0,0,0,Novelkeys Cream Clickie
0.1,0,0,Novelkeys Cream Clickie
0,0,0,Novelkeys Cream Clickie
0,0,0,Novelkeys Cream Clickie
0,0,0,Novelkeys Cream Clickie
0,0,0,Novelkeys Cream Clickie
0,0,0,Novelkeys Cream Clickie
-0.1,0,0,Novelkeys Cream Clickie
0,0,0,Novelkeys Cream Clickie
0,0,0,Novelkeys Cream Clickie
0,0,0,Novelkeys Cream Clickie
0,0,0,Novelkeys Cream Clickie
0,0,0,Novelkeys Cream Clickie
0,0.005,0,Novelkeys Cream Clickie
0,0.005,0,Novelkeys Cream Clickie
0,0.005,0,Novelkeys Cream Clickie
0,0.01,0,Novelkeys Cream Clickie
-0.1,0.01,0,Novelkeys Cream Clickie
0,0.01,0,Novelkeys Cream Clickie
0,0.015,0,Novelkeys Cream Clickie
0,0.015,0,Novelkeys Cream Clickie
0.2,0.02,0,Novelkeys Cream Clickie
1.4,0.02,0,Novelkeys Cream Clickie
2.7,0.02,0,Novelkeys Cream Clickie
4.5,0.025,0,Novelkeys Cream Clickie
6,0.025,0,Novelkeys Cream Clickie
6.9,0.025,0,Novelkeys Cream Clickie
7.9,0.03,0,Novelkeys Cream Clickie
9.2,0.03,0,Novelkeys Cream Clickie
10.1,0.03,0,Novelkeys Cream Clickie
10.6,0.03,0,Novelkeys Cream Clickie
11.1,0.03,0,Novelkeys Cream Clickie
11.7,0.03,0,Novelkeys Cream Clickie
12.3,0.035,0,Novelkeys Cream Clickie
12.9,0.035,0,Novelkeys Cream Clickie
13.9,0.035,0,Novelkeys Cream Clickie
16,0.035,0,Novelkeys Cream Clickie
18.3,0.04,0,Novelkeys Cream Clickie
17,0.045,0,Novelkeys Cream Clickie
18,0.045,0,Novelkeys Cream Clickie
19.1,0.045,0,Novelkeys Cream Clickie
20.1,0.05,0,Novelkeys Cream Clickie
21.1,0.05,0,Novelkeys Cream Clickie
22,0.055,0,Novelkeys Cream Clickie
23.1,0.055,0,Novelkeys Cream Clickie
24.1,0.055,0,Novelkeys Cream Clickie
25.1,0.06,0,Novelkeys Cream Clickie
25.9,0.06,0,Novelkeys Cream Clickie
26.8,0.06,0,Novelkeys Cream Clickie
27.5,0.065,0,Novelkeys Cream Clickie
28.2,0.065,0,Novelkeys Cream Clickie
28.8,0.065,0,Novelkeys Cream Clickie
29.2,0.065,0,Novelkeys Cream Clickie
29.5,0.07,0,Novelkeys Cream Clickie
29.9,0.07,0,Novelkeys Cream Clickie
30.4,0.07,0,Novelkeys Cream Clickie
30.6,0.07,0,Novelkeys Cream Clickie
31,0.07,0,Novelkeys Cream Clickie
31.4,0.07,0,Novelkeys Cream Clickie
31.6,0.07,0,Novelkeys Cream Clickie
31.8,0.07,0,Novelkeys Cream Clickie
32.2,0.075,0,Novelkeys Cream Clickie
32.4,0.075,0,Novelkeys Cream Clickie
32.7,0.075,0,Novelkeys Cream Clickie
33,0.075,0,Novelkeys Cream Clickie
33.2,0.075,0,Novelkeys Cream Clickie
33.4,0.075,0,Novelkeys Cream Clickie
33.8,0.075,0,Novelkeys Cream Clickie
34,0.075,0,Novelkeys Cream Clickie
34.4,0.075,0,Novelkeys Cream Clickie
34.8,0.08,0,Novelkeys Cream Clickie
35.1,0.08,0,Novelkeys Cream Clickie
35.6,0.08,0,Novelkeys Cream Clickie
36.1,0.08,0,Novelkeys Cream Clickie
36.5,0.08,0,Novelkeys Cream Clickie
37.2,0.085,0,Novelkeys Cream Clickie
37.7,0.085,0,Novelkeys Cream Clickie
38.2,0.085,0,Novelkeys Cream Clickie
38.6,0.09,0,Novelkeys Cream Clickie
38.8,0.09,0,Novelkeys Cream Clickie
38.9,0.09,0,Novelkeys Cream Clickie
39.2,0.09,0,Novelkeys Cream Clickie
39.5,0.09,0,Novelkeys Cream Clickie
39.7,0.09,0,Novelkeys Cream Clickie
40,0.095,0,Novelkeys Cream Clickie
40.5,0.095,0,Novelkeys Cream Clickie
40.7,0.095,0,Novelkeys Cream Clickie
41,0.095,0,Novelkeys Cream Clickie
41.3,0.095,0,Novelkeys Cream Clickie
41.8,0.1,0,Novelkeys Cream Clickie
42.4,0.1,0,Novelkeys Cream Clickie
42.3,0.105,0,Novelkeys Cream Clickie
42.5,0.105,0,Novelkeys Cream Clickie
