force,displacement,judge,name
0.1,0,0,Novelkeys Cream Tactile
0,0,0,Novelkeys Cream Tactile
0,0,0,Novelkeys Cream Tactile
-0.1,0,0,Novelkeys Cream Tactile
-0.1,0,0,Novelkeys Cream Tactile
0.1,0,0,Novelkeys Cream Tactile
0.1,0,0,Novelkeys Cream Tactile
0,0,0,Novelkeys Cream Tactile
0,0,0,Novelkeys Cream Tactile
0.1,0,0,Novelkeys Cream Tactile
0.1,0,0,Novelkeys Cream Tactile
0.1,0,0,Novelkeys Cream Tactile
0.3,0,0,Novelkeys Cream Tactile
0.1,0,0,Novelkeys Cream Tactile
-0.3,0,0,Novelkeys Cream Tactile
-0.1,0,0,Novelkeys Cream Tactile
0,0,0,Novelkeys Cream Tactile
0,0,0,Novelkeys Cream Tactile
0,0,0,Novelkeys Cream Tactile
0,0,0,Novelkeys Cream Tactile
0.1,0,0,Novelkeys Cream Tactile
0.1,0.005,0,Novelkeys Cream Tactile
0,0.01,0,Novelkeys Cream Tactile
0,0.015,0,Novelkeys Cream Tactile
0,0.02,0,Novelkeys Cream Tactile
-0.1,0.03,0,Novelkeys Cream Tactile
0,0.035,0,Novelkeys Cream Tactile
0.1,0.04,0,Novelkeys Cream Tactile
1.5,0.045,0,Novelkeys Cream Tactile
6.2,0.05,0,Novelkeys Cream Tactile
10.8,0.055,0,Novelkeys Cream Tactile
16.1,0.06,0,Novelkeys Cream Tactile
20.8,0.065,0,Novelkeys Cream Tactile
25.1,0.07,0,Novelkeys Cream Tactile
29,0.075,0,Novelkeys Cream Tactile
32.4,0.075,0,Novelkeys Cream Tactile
35.6,0.08,0,Novelkeys Cream Tactile
38.8,0.08,0,Novelkeys Cream Tactile
41.8,0.085,0,Novelkeys Cream Tactile
44.2,0.09,0,Novelkeys Cream Tactile
46.6,0.095,0,Novelkeys Cream Tactile
48.7,0.095,0,Novelkeys Cream Tactile
44.8,0.1,0,Novelkeys Cream Tactile
46.4,0.1,0,Novelkeys Cream Tactile
48.1,0.105,0,Novelkeys Cream Tactile
47.3,0.11,0,Novelkeys Cream Tactile
49,0.11,0,Novelkeys Cream Tactile
49.9,0.115,0,Novelkeys Cream Tactile
50.2,0.12,0,Novelkeys Cream Tactile
48.6,0.12,0,Novelkeys Cream Tactile
49.3,0.125,0,Novelkeys Cream Tactile
49.6,0.125,0,Novelkeys Cream Tactile
50,0.13,0,Novelkeys Cream Tactile
50,0.13,0,Novelkeys Cream Tactile
50,0.135,0,Novelkeys Cream Tactile
50.2,0.135,0,Novelkeys Cream Tactile
50.3,0.135,0,Novelkeys Cream Tactile
50.1,0.14,0,Novelkeys Cream Tactile
49.8,0.145,0,Novelkeys Cream Tactile
49.8,0.145,0,Novelkeys Cream Tactile
49.3,0.15,0,Novelkeys Cream Tactile
48.2,0.155,0,Novelkeys Cream Tactile
48.9,0.155,0,Novelkeys Cream Tactile
49.2,0.16,0,Novelkeys Cream Tactile
49.6,0.165,0,Novelkeys Cream Tactile
49.8,0.165,0,Novelkeys Cream Tactile
49.8,0.17,0,Novelkeys Cream Tactile
50,0.175,0,Novelkeys Cream Tactile
50.3,0.175,0,Novelkeys Cream Tactile
50.4,0.18,0,Novelkeys Cream Tactile
50.6,0.18,0,Novelkeys Cream Tactile
50.9,0.185,0,Novelkeys Cream Tactile
51.1,0.185,0,Novelkeys Cream Tactile
51.1,0.19,0,Novelkeys Cream Tactile
51.1,0.19,0,Novelkeys Cream Tactile
51.3,0.19,0,Novelkeys Cream Tactile
51.4,0.195,0,Novelkeys Cream Tactile
51.5,0.195,0,Novelkeys Cream Tactile
51.6,0.195,0,Novelkeys Cream Tactile
51.6,0.2,0,Novelkeys Cream Tactile
51.5,0.2,0,Novelkeys Cream Tactile
51.4,0.205,0,Novelkeys Cream Tactile
