force,displacement,judge,name
0,0,0,Novelkeys Cream+ (Copper Insert)
0,0,0,Novelkeys Cream+ (Copper Insert)
-0.1,0,0,Novelkeys Cream+ (Copper Insert)
0.1,0,0,Novelkeys Cream+ (Copper Insert)
0.1,0,0,Novelkeys Cream+ (Copper Insert)
0,0,0,Novelkeys Cream+ (Copper Insert)
0.1,0,0,Novelkeys Cream+ (Copper Insert)
0,0,0,Novelkeys Cream+ (Copper Insert)
-0.1,0,0,Novelkeys Cream+ (Copper Insert)
0,0,0,Novelkeys Cream+ (Copper Insert)
0,0,0,Novelkeys Cream+ (Copper Insert)
0.1,0,0,Novelkeys Cream+ (Copper Insert)
0,0,0,Novelkeys Cream+ (Copper Insert)
0.1,0,0,Novelkeys Cream+ (Copper Insert)
-0.1,0,0,Novelkeys Cream+ (Copper Insert)
-0.1,0,0,Novelkeys Cream+ (Copper Insert)
0,0,0,Novelkeys Cream+ (Copper Insert)
0,0.005,0,Novelkeys Cream+ (Copper Insert)
-0.1,0.005,0,Novelkeys Cream+ (Copper Insert)
-0.1,0.005,0,Novelkeys Cream+ (Copper Insert)
0,0.01,0,Novelkeys Cream+ (Copper Insert)
0,0.015,0,Novelkeys Cream+ (Copper Insert)
0,0.015,0,Novelkeys Cream+ (Copper Insert)
0,0.02,0,Novelkeys Cream+ (Copper Insert)
0,0.025,0,Novelkeys Cream+ (Copper Insert)
1.5,0.03,0,Novelkeys Cream+ (Copper Insert)
5,0.03,0,Novelkeys Cream+ (Copper Insert)
7.7,0.035,0,Novelkeys Cream+ (Copper Insert)
10.6,0.035,0,Novelkeys Cream+ (Copper Insert)
13.2,0.04,0,Novelkeys Cream+ (Copper Insert)
15.2,0.04,0,Novelkeys Cream+ (Copper Insert)
17.4,0.045,0,Novelkeys Cream+ (Copper Insert)
19.5,0.045,0,Novelkeys Cream+ (Copper Insert)
20.9,0.045,0,Novelkeys Cream+ (Copper Insert)
21.9,0.05,0,Novelkeys Cream+ (Copper Insert)
23.4,0.05,0,Novelkeys Cream+ (Copper Insert)
24.5,0.05,0,Novelkeys Cream+ (Copper Insert)
25.4,0.05,0,Novelkeys Cream+ (Copper Insert)
26,0.055,0,Novelkeys Cream+ (Copper Insert)
26.8,0.055,0,Novelkeys Cream+ (Copper Insert)
