force,displacement,judge,name
-0.1,0,0,Novelkeys Cream+ (Silicone Insert Proto)
0,0,0,Novelkeys Cream+ (Silicone Insert Proto)
0,0,0,Novelkeys Cream+ (Silicone Insert Proto)
0,0,0,Novelkeys Cream+ (Silicone Insert Proto)
-0.1,0,0,Novelkeys Cream+ (Silicone Insert Proto)
0,0,0,Novelkeys Cream+ (Silicone Insert Proto)
0,0,0,Novelkeys Cream+ (Silicone Insert Proto)
-0.1,0,0,Novelkeys Cream+ (Silicone Insert Proto)
0,0,0,Novelkeys Cream+ (Silicone Insert Proto)
0,0,0,Novelkeys Cream+ (Silicone Insert Proto)
0,0,0,Novelkeys Cream+ (Silicone Insert Proto)
0.2,0,0,Novelkeys Cream+ (Silicone Insert Proto)
-0.4,0,0,Novelkeys Cream+ (Silicone Insert Proto)
-0.1,0,0,Novelkeys Cream+ (Silicone Insert Proto)
0,0,0,Novelkeys Cream+ (Silicone Insert Proto)
0.1,0,0,Novelkeys Cream+ (Silicone Insert Proto)
0,0,0,Novelkeys Cream+ (Silicone Insert Proto)
0,0,0,Novelkeys Cream+ (Silicone Insert Proto)
-0.1,0,0,Novelkeys Cream+ (Silicone Insert Proto)
0.1,0.005,0,Novelkeys Cream+ (Silicone Insert Proto)
0.1,0.005,0,Novelkeys Cream+ (Silicone Insert Proto)
0,0.005,0,Novelkeys Cream+ (Silicone Insert Proto)
-0.1,0.005,0,Novelkeys Cream+ (Silicone Insert Proto)
0,0.005,0,Novelkeys Cream+ (Silicone Insert Proto)
1,0.01,0,Novelkeys Cream+ (Silicone Insert Proto)
4.4,0.01,0,Novelkeys Cream+ (Silicone Insert Proto)
8.5,0.015,0,Novelkeys Cream+ (Silicone Insert Proto)
12.3,0.02,0,Novelkeys Cream+ (Silicone Insert Proto)
15.9,0.025,0,Novelkeys Cream+ (Silicone Insert Proto)
19.1,0.025,0,Novelkeys Cream+ (Silicone Insert Proto)
22.1,0.03,0,Novelkeys Cream+ (Silicone Insert Proto)
24.7,0.03,0,Novelkeys Cream+ (Silicone Insert Proto)
26.2,0.035,0,Novelkeys Cream+ (Silicone Insert Proto)
28,0.035,0,Novelkeys Cream+ (Silicone Insert Proto)
29.5,0.04,0,Novelkeys Cream+ (Silicone Insert Proto)
31.4,0.04,0,Novelkeys Cream+ (Silicone Insert Proto)
34.5,0.045,0,Novelkeys Cream+ (Silicone Insert Proto)
34.7,0.045,0,Novelkeys Cream+ (Silicone Insert Proto)
35.5,0.05,0,Novelkeys Cream+ (Silicone Insert Proto)
36.2,0.055,0,Novelkeys Cream+ (Silicone Insert Proto)
36.8,0.06,0,Novelkeys Cream+ (Silicone Insert Proto)
33.4,0.06,0,Novelkeys Cream+ (Silicone Insert Proto)
34.4,0.065,0,Novelkeys Cream+ (Silicone Insert Proto)
35.1,0.065,0,Novelkeys Cream+ (Silicone Insert Proto)
35.5,0.07,0,Novelkeys Cream+ (Silicone Insert Proto)
34.5,0.07,0,Novelkeys Cream+ (Silicone Insert Proto)
35,0.075,0,Novelkeys Cream+ (Silicone Insert Proto)
35.6,0.08,0,Novelkeys Cream+ (Silicone Insert Proto)
36.2,0.08,0,Novelkeys Cream+ (Silicone Insert Proto)
36.6,0.085,0,Novelkeys Cream+ (Silicone Insert Proto)
37,0.085,0,Novelkeys Cream+ (Silicone Insert Proto)
37.4,0.09,0,Novelkeys Cream+ (Silicone Insert Proto)
37.4,0.09,0,Novelkeys Cream+ (Silicone Insert Proto)
37.5,0.095,0,Novelkeys Cream+ (Silicone Insert Proto)
37.3,0.095,0,Novelkeys Cream+ (Silicone Insert Proto)
37.2,0.1,0,Novelkeys Cream+ (Silicone Insert Proto)
37.1,0.1,0,Novelkeys Cream+ (Silicone Insert Proto)
37.1,0.105,0,Novelkeys Cream+ (Silicone Insert Proto)
37,0.105,0,Novelkeys Cream+ (Silicone Insert Proto)
37.1,0.11,0,Novelkeys Cream+ (Silicone Insert Proto)
37.1,0.11,0,Novelkeys Cream+ (Silicone Insert Proto)
37.2,0.11,0,Novelkeys Cream+ (Silicone Insert Proto)
37.3,0.115,0,Novelkeys Cream+ (Silicone Insert Proto)
37.3,0.115,0,Novelkeys Cream+ (Silicone Insert Proto)
37.5,0.12,0,Novelkeys Cream+ (Silicone Insert Proto)
37.6,0.12,0,Novelkeys Cream+ (Silicone Insert Proto)
37.6,0.125,0,Novelkeys Cream+ (Silicone Insert Proto)
37.8,0.125,0,Novelkeys Cream+ (Silicone Insert Proto)
37.8,0.125,0,Novelkeys Cream+ (Silicone Insert Proto)
38,0.13,0,Novelkeys Cream+ (Silicone Insert Proto)
38.1,0.13,0,Novelkeys Cream+ (Silicone Insert Proto)
38.2,0.13,0,Novelkeys Cream+ (Silicone Insert Proto)
38.4,0.135,0,Novelkeys Cream+ (Silicone Insert Proto)
38.5,0.135,0,Novelkeys Cream+ (Silicone Insert Proto)
38.5,0.135,0,Novelkeys Cream+ (Silicone Insert Proto)
38.6,0.14,0,Novelkeys Cream+ (Silicone Insert Proto)
38.8,0.14,0,Novelkeys Cream+ (Silicone Insert Proto)
38.8,0.145,0,Novelkeys Cream+ (Silicone Insert Proto)
38.8,0.145,0,Novelkeys Cream+ (Silicone Insert Proto)
39,0.145,0,Novelkeys Cream+ (Silicone Insert Proto)
39,0.15,0,Novelkeys Cream+ (Silicone Insert Proto)
39,0.15,0,Novelkeys Cream+ (Silicone Insert Proto)
39,0.155,0,Novelkeys Cream+ (Silicone Insert Proto)
39.1,0.155,0,Novelkeys Cream+ (Silicone Insert Proto)
39.1,0.16,0,Novelkeys Cream+ (Silicone Insert Proto)
39.2,0.16,0,Novelkeys Cream+ (Silicone Insert Proto)
39.3,0.165,0,Novelkeys Cream+ (Silicone Insert Proto)
39.2,0.165,0,Novelkeys Cream+ (Silicone Insert Proto)
39.2,0.165,0,Novelkeys Cream+ (Silicone Insert Proto)
39.2,0.17,0,Novelkeys Cream+ (Silicone Insert Proto)
39,0.17,0,Novelkeys Cream+ (Silicone Insert Proto)
39,0.175,0,Novelkeys Cream+ (Silicone Insert Proto)
39,0.175,0,Novelkeys Cream+ (Silicone Insert Proto)
39.2,0.18,0,Novelkeys Cream+ (Silicone Insert Proto)
39,0.18,0,Novelkeys Cream+ (Silicone Insert Proto)
38.8,0.185,0,Novelkeys Cream+ (Silicone Insert Proto)
38.8,0.185,0,Novelkeys Cream+ (Silicone Insert Proto)
38.9,0.19,0,Novelkeys Cream+ (Silicone Insert Proto)
38.9,0.19,0,Novelkeys Cream+ (Silicone Insert Proto)
39,0.195,0,Novelkeys Cream+ (Silicone Insert Proto)
38.9,0.195,0,Novelkeys Cream+ (Silicone Insert Proto)
38.9,0.2,0,Novelkeys Cream+ (Silicone Insert Proto)
38.8,0.2,0,Novelkeys Cream+ (Silicone Insert Proto)
38.7,0.205,0,Novelkeys Cream+ (Silicone Insert Proto)
38.6,0.205,0,Novelkeys Cream+ (Silicone Insert Proto)
38.7,0.21,0,Novelkeys Cream+ (Silicone Insert Proto)
38.7,0.21,0,Novelkeys Cream+ (Silicone Insert Proto)
38.6,0.215,0,Novelkeys Cream+ (Silicone Insert Proto)
38.5,0.22,0,Novelkeys Cream+ (Silicone Insert Proto)
38.6,0.22,0,Novelkeys Cream+ (Silicone Insert Proto)
38.5,0.225,0,Novelkeys Cream+ (Silicone Insert Proto)
38.5,0.225,0,Novelkeys Cream+ (Silicone Insert Proto)
38.5,0.225,0,Novelkeys Cream+ (Silicone Insert Proto)
38.5,0.23,0,Novelkeys Cream+ (Silicone Insert Proto)
38.5,0.23,0,Novelkeys Cream+ (Silicone Insert Proto)
38.6,0.235,0,Novelkeys Cream+ (Silicone Insert Proto)
38.5,0.235,0,Novelkeys Cream+ (Silicone Insert Proto)
38.5,0.235,0,Novelkeys Cream+ (Silicone Insert Proto)
