force,displacement,judge,name
0,0,0,Novelkeys Cream+ (Titanium Insert)
0,0,0,Novelkeys Cream+ (Titanium Insert)
0,0,0,Novelkeys Cream+ (Titanium Insert)
0,0,0,Novelkeys Cream+ (Titanium Insert)
-0.1,0,0,Novelkeys Cream+ (Titanium Insert)
0,0,0,Novelkeys Cream+ (Titanium Insert)
0,0,0,Novelkeys Cream+ (Titanium Insert)
0.1,0,0,Novelkeys Cream+ (Titanium Insert)
-0.2,0,0,Novelkeys Cream+ (Titanium Insert)
-0.1,0,0,Novelkeys Cream+ (Titanium Insert)
0,0,0,Novelkeys Cream+ (Titanium Insert)
-0.1,0,0,Novelkeys Cream+ (Titanium Insert)
-0.1,0,0,Novelkeys Cream+ (Titanium Insert)
0,0,0,Novelkeys Cream+ (Titanium Insert)
-0.1,0,0,Novelkeys Cream+ (Titanium Insert)
0.1,0,0,Novelkeys Cream+ (Titanium Insert)
0,0,0,Novelkeys Cream+ (Titanium Insert)
0,0,0,Novelkeys Cream+ (Titanium Insert)
-0.1,0,0,Novelkeys Cream+ (Titanium Insert)
0,0.005,0,Novelkeys Cream+ (Titanium Insert)
0,0.005,0,Novelkeys Cream+ (Titanium Insert)
0,0.005,0,Novelkeys Cream+ (Titanium Insert)
0,0.01,0,Novelkeys Cream+ (Titanium Insert)
0,0.01,0,Novelkeys Cream+ (Titanium Insert)
0,0.015,0,Novelkeys Cream+ (Titanium Insert)
0.5,0.02,0,Novelkeys Cream+ (Titanium Insert)
4.6,0.025,0,Novelkeys Cream+ (Titanium Insert)
7.8,0.03,0,Novelkeys Cream+ (Titanium Insert)
10.5,0.03,0,Novelkeys Cream+ (Titanium Insert)
12.8,0.035,0,Novelkeys Cream+ (Titanium Insert)
14.9,0.035,0,Novelkeys Cream+ (Titanium Insert)
16.8,0.035,0,Novelkeys Cream+ (Titanium Insert)
18.7,0.04,0,Novelkeys Cream+ (Titanium Insert)
20.8,0.04,0,Novelkeys Cream+ (Titanium Insert)
23,0.045,0,Novelkeys Cream+ (Titanium Insert)
25.5,0.045,0,Novelkeys Cream+ (Titanium Insert)
27.5,0.05,0,Novelkeys Cream+ (Titanium Insert)
29.7,0.05,0,Novelkeys Cream+ (Titanium Insert)
31.3,0.05,0,Novelkeys Cream+ (Titanium Insert)
32.1,0.055,0,Novelkeys Cream+ (Titanium Insert)
31.1,0.055,0,Novelkeys Cream+ (Titanium Insert)
30.6,0.06,0,Novelkeys Cream+ (Titanium Insert)
30.8,0.06,0,Novelkeys Cream+ (Titanium Insert)
31.1,0.06,0,Novelkeys Cream+ (Titanium Insert)
31.8,0.065,0,Novelkeys Cream+ (Titanium Insert)
32.7,0.065,0,Novelkeys Cream+ (Titanium Insert)
33.2,0.065,0,Novelkeys Cream+ (Titanium Insert)
33.8,0.07,0,Novelkeys Cream+ (Titanium Insert)
34.3,0.07,0,Novelkeys Cream+ (Titanium Insert)
34.6,0.07,0,Novelkeys Cream+ (Titanium Insert)
34.9,0.075,0,Novelkeys Cream+ (Titanium Insert)
35,0.075,0,Novelkeys Cream+ (Titanium Insert)
35.2,0.075,0,Novelkeys Cream+ (Titanium Insert)
35.7,0.075,0,Novelkeys Cream+ (Titanium Insert)
35.9,0.075,0,Novelkeys Cream+ (Titanium Insert)
36,0.08,0,Novelkeys Cream+ (Titanium Insert)
36.2,0.08,0,Novelkeys Cream+ (Titanium Insert)
36.3,0.08,0,Novelkeys Cream+ (Titanium Insert)
36.5,0.08,0,Novelkeys Cream+ (Titanium Insert)
36.7,0.085,0,Novelkeys Cream+ (Titanium Insert)
36.4,0.085,0,Novelkeys Cream+ (Titanium Insert)
36.2,0.09,0,Novelkeys Cream+ (Titanium Insert)
36.2,0.09,0,Novelkeys Cream+ (Titanium Insert)
36.2,0.095,0,Novelkeys Cream+ (Titanium Insert)
36.3,0.095,0,Novelkeys Cream+ (Titanium Insert)
36.4,0.095,0,Novelkeys Cream+ (Titanium Insert)
36.6,0.095,0,Novelkeys Cream+ (Titanium Insert)
36.8,0.1,0,Novelkeys Cream+ (Titanium Insert)
36.3,0.11,0,Novelkeys Cream+ (Titanium Insert)
36.3,0.12,0,Novelkeys Cream+ (Titanium Insert)
36.1,0.125,0,Novelkeys Cream+ (Titanium Insert)
36,0.135,0,Novelkeys Cream+ (Titanium Insert)
36.1,0.14,0,Novelkeys Cream+ (Titanium Insert)
35.8,0.16,0,Novelkeys Cream+ (Titanium Insert)
35.7,0.17,0,Novelkeys Cream+ (Titanium Insert)
36.1,0.18,0,Novelkeys Cream+ (Titanium Insert)
35.7,0.185,0,Novelkeys Cream+ (Titanium Insert)
35.8,0.19,0,Novelkeys Cream+ (Titanium Insert)
35.8,0.2,0,Novelkeys Cream+ (Titanium Insert)
35.7,0.2,0,Novelkeys Cream+ (Titanium Insert)
35.7,0.205,0,Novelkeys Cream+ (Titanium Insert)
35.7,0.21,0,Novelkeys Cream+ (Titanium Insert)
35.8,0.215,0,Novelkeys Cream+ (Titanium Insert)
35.8,0.215,0,Novelkeys Cream+ (Titanium Insert)
35.7,0.22,0,Novelkeys Cream+ (Titanium Insert)
35.7,0.22,0,Novelkeys Cream+ (Titanium Insert)
35.8,0.225,0,Novelkeys Cream+ (Titanium Insert)
35.7,0.23,0,Novelkeys Cream+ (Titanium Insert)
35.6,0.235,0,Novelkeys Cream+ (Titanium Insert)
35.6,0.235,0,Novelkeys Cream+ (Titanium Insert)
35.6,0.24,0,Novelkeys Cream+ (Titanium Insert)
35.6,0.245,0,Novelkeys Cream+ (Titanium Insert)
