force,displacement,judge,name
-0.1,0,0,Novelkeys Cream - 100000 Actuations 2
0,0,0,Novelkeys Cream - 100000 Actuations 2
0,0,0,Novelkeys Cream - 100000 Actuations 2
0.1,0,0,Novelkeys Cream - 100000 Actuations 2
0.1,0,0,Novelkeys Cream - 100000 Actuations 2
0,0,0,Novelkeys Cream - 100000 Actuations 2
0,0,0,Novelkeys Cream - 100000 Actuations 2
0,0,0,Novelkeys Cream - 100000 Actuations 2
0,0,0,Novelkeys Cream - 100000 Actuations 2
0,0,0,Novelkeys Cream - 100000 Actuations 2
0,0,0,Novelkeys Cream - 100000 Actuations 2
0,0,0,Novelkeys Cream - 100000 Actuations 2
0.1,0,0,Novelkeys Cream - 100000 Actuations 2
0,0,0,Novelkeys Cream - 100000 Actuations 2
0,0,0,Novelkeys Cream - 100000 Actuations 2
0,0,0,Novelkeys Cream - 100000 Actuations 2
0,0,0,Novelkeys Cream - 100000 Actuations 2
0,0,0,Novelkeys Cream - 100000 Actuations 2
0,0,0,Novelkeys Cream - 100000 Actuations 2
0,0,0,Novelkeys Cream - 100000 Actuations 2
0,0,0,Novelkeys Cream - 100000 Actuations 2
0,0,0,Novelkeys Cream - 100000 Actuations 2
0,0,0,Novelkeys Cream - 100000 Actuations 2
0,0,0,Novelkeys Cream - 100000 Actuations 2
0,0,0,Novelkeys Cream - 100000 Actuations 2
0,0.005,0,Novelkeys Cream - 100000 Actuations 2
0,0.005,0,Novelkeys Cream - 100000 Actuations 2
0,0.005,0,Novelkeys Cream - 100000 Actuations 2
0,0.005,0,Novelkeys Cream - 100000 Actuations 2
0,0.005,0,Novelkeys Cream - 100000 Actuations 2
0,0.01,0,Novelkeys Cream - 100000 Actuations 2
0,0.015,0,Novelkeys Cream - 100000 Actuations 2
0,0.02,0,Novelkeys Cream - 100000 Actuations 2
0,0.025,0,Novelkeys Cream - 100000 Actuations 2
0,0.03,0,Novelkeys Cream - 100000 Actuations 2
0,0.04,0,Novelkeys Cream - 100000 Actuations 2
0,0.05,0,Novelkeys Cream - 100000 Actuations 2
0,0.06,0,Novelkeys Cream - 100000 Actuations 2
0,0.07,0,Novelkeys Cream - 100000 Actuations 2
0,0.075,0,Novelkeys Cream - 100000 Actuations 2
2.8,0.085,0,Novelkeys Cream - 100000 Actuations 2
8.5,0.09,0,Novelkeys Cream - 100000 Actuations 2
13.4,0.095,0,Novelkeys Cream - 100000 Actuations 2
17.6,0.1,0,Novelkeys Cream - 100000 Actuations 2
21.2,0.1,0,Novelkeys Cream - 100000 Actuations 2
24.4,0.105,0,Novelkeys Cream - 100000 Actuations 2
