force,displacement,judge,name
0.1,0,0,Novelkeys Cream 4
0,0,0,Novelkeys Cream 4
0.1,0,0,Novelkeys Cream 4
0.1,0,0,Novelkeys Cream 4
0.1,0,0,Novelkeys Cream 4
0,0,0,Novelkeys Cream 4
0,0,0,Novelkeys Cream 4
0,0,0,Novelkeys Cream 4
0,0,0,Novelkeys Cream 4
0,0,0,Novelkeys Cream 4
0,0,0,Novelkeys Cream 4
0,0,0,Novelkeys Cream 4
0,0,0,Novelkeys Cream 4
0.2,0,0,Novelkeys Cream 4
0,0,0,Novelkeys Cream 4
-0.1,0,0,Novelkeys Cream 4
0,0,0,Novelkeys Cream 4
0,0,0,Novelkeys Cream 4
0,0,0,Novelkeys Cream 4
0,0,0,Novelkeys Cream 4
0,0,0,Novelkeys Cream 4
0,0,0,Novelkeys Cream 4
0,0,0,Novelkeys Cream 4
0,0,0,Novelkeys Cream 4
0,0,0,Novelkeys Cream 4
0,0,0,Novelkeys Cream 4
0,0.005,0,Novelkeys Cream 4
0,0.005,0,Novelkeys Cream 4
0,0.005,0,Novelkeys Cream 4
0,0.01,0,Novelkeys Cream 4
0,0.015,0,Novelkeys Cream 4
0,0.015,0,Novelkeys Cream 4
0,0.02,0,Novelkeys Cream 4
0,0.02,0,Novelkeys Cream 4
0.3,0.025,0,Novelkeys Cream 4
2.1,0.025,0,Novelkeys Cream 4
3.6,0.025,0,Novelkeys Cream 4
5.1,0.03,0,Novelkeys Cream 4
6.6,0.03,0,Novelkeys Cream 4
8.1,0.03,0,Novelkeys Cream 4
9.6,0.035,0,Novelkeys Cream 4
11,0.035,0,Novelkeys Cream 4
12,0.035,0,Novelkeys Cream 4
13.1,0.035,0,Novelkeys Cream 4
14.2,0.04,0,Novelkeys Cream 4
15.5,0.04,0,Novelkeys Cream 4
16.7,0.04,0,Novelkeys Cream 4
18.1,0.04,0,Novelkeys Cream 4
19,0.045,0,Novelkeys Cream 4
20,0.045,0,Novelkeys Cream 4
21.2,0.045,0,Novelkeys Cream 4
21.7,0.045,0,Novelkeys Cream 4
22.7,0.045,0,Novelkeys Cream 4
23.3,0.045,0,Novelkeys Cream 4
25.2,0.05,0,Novelkeys Cream 4
26.5,0.05,0,Novelkeys Cream 4
27.2,0.05,0,Novelkeys Cream 4
27.5,0.05,0,Novelkeys Cream 4
27.8,0.05,0,Novelkeys Cream 4
27.9,0.05,0,Novelkeys Cream 4
28.5,0.055,0,Novelkeys Cream 4
29.4,0.055,0,Novelkeys Cream 4
33.3,0.06,0,Novelkeys Cream 4
33.6,0.06,0,Novelkeys Cream 4
34.2,0.06,0,Novelkeys Cream 4
34.5,0.06,0,Novelkeys Cream 4
35.2,0.06,0,Novelkeys Cream 4
35.9,0.06,0,Novelkeys Cream 4
37,0.06,0,Novelkeys Cream 4
37.9,0.065,0,Novelkeys Cream 4
37.6,0.065,0,Novelkeys Cream 4
38,0.065,0,Novelkeys Cream 4
38.2,0.07,0,Novelkeys Cream 4
38.6,0.075,0,Novelkeys Cream 4
39,0.075,0,Novelkeys Cream 4
39.5,0.08,0,Novelkeys Cream 4
40,0.085,0,Novelkeys Cream 4
40.5,0.085,0,Novelkeys Cream 4
41,0.09,0,Novelkeys Cream 4
41.4,0.09,0,Novelkeys Cream 4
41.7,0.095,0,Novelkeys Cream 4
42,0.095,0,Novelkeys Cream 4
42.1,0.1,0,Novelkeys Cream 4
42.1,0.105,0,Novelkeys Cream 4
