force,displacement,judge,name
0.1,0,0,Obsidian L
0,0,0,Obsidian L
0,0,0,Obsidian L
0,0,0,Obsidian L
0,0,0,Obsidian L
-0.3,0,0,Obsidian L
0.1,0,0,Obsidian L
0.1,0,0,Obsidian L
0.1,0,0,Obsidian L
-0.1,0,0,Obsidian L
0,0,0,Obsidian L
0.1,0,0,Obsidian L
0.1,0,0,Obsidian L
-0.1,0,0,Obsidian L
0,0,0,Obsidian L
0,0,0,Obsidian L
0.1,0,0,Obsidian L
0,0,0,Obsidian L
-0.1,0,0,Obsidian L
0,0.005,0,Obsidian L
0,0.005,0,Obsidian L
0,0.005,0,Obsidian L
0,0.005,0,Obsidian L
0,0.01,0,Obsidian L
0.1,0.01,0,Obsidian L
1.4,0.015,0,Obsidian L
3.3,0.02,0,Obsidian L
5.8,0.02,0,Obsidian L
8,0.025,0,Obsidian L
10.3,0.025,0,Obsidian L
12.4,0.03,0,Obsidian L
14.3,0.03,0,Obsidian L
16.4,0.03,0,Obsidian L
18.4,0.035,0,Obsidian L
20.5,0.035,0,Obsidian L
22.1,0.04,0,Obsidian L
23.5,0.04,0,Obsidian L
24.4,0.04,0,Obsidian L
25.1,0.04,0,Obsidian L
25.7,0.04,0,Obsidian L
26.6,0.045,0,Obsidian L
27.5,0.045,0,Obsidian L
28.8,0.045,0,Obsidian L
29.9,0.045,0,Obsidian L
31,0.045,0,Obsidian L
32.2,0.05,0,Obsidian L
33.5,0.05,0,Obsidian L
34.5,0.05,0,Obsidian L
35.8,0.055,0,Obsidian L
37.1,0.055,0,Obsidian L
38.3,0.055,0,Obsidian L
39.4,0.06,0,Obsidian L
39.5,0.06,0,Obsidian L
39.8,0.06,0,Obsidian L
40.1,0.065,0,Obsidian L
40.2,0.065,0,Obsidian L
40,0.065,0,Obsidian L
39.8,0.07,0,Obsidian L
39.8,0.07,0,Obsidian L
39.9,0.07,0,Obsidian L
39.9,0.07,0,Obsidian L
39.9,0.075,0,Obsidian L
39.8,0.075,0,Obsidian L
39.7,0.08,0,Obsidian L
39.7,0.08,0,Obsidian L
39.7,0.085,0,Obsidian L
39.7,0.085,0,Obsidian L
39.7,0.085,0,Obsidian L
39.6,0.09,0,Obsidian L
39.6,0.09,0,Obsidian L
39.6,0.09,0,Obsidian L
39.5,0.095,0,Obsidian L
39.4,0.1,0,Obsidian L
39.3,0.1,0,Obsidian L
39.3,0.105,0,Obsidian L
39.3,0.105,0,Obsidian L
39.4,0.105,0,Obsidian L
39.4,0.11,0,Obsidian L
39.4,0.11,0,Obsidian L
39.3,0.115,0,Obsidian L
39.2,0.115,0,Obsidian L
39.2,0.115,0,Obsidian L
39.2,0.12,0,Obsidian L
39.2,0.12,0,Obsidian L
39.2,0.125,0,Obsidian L
39.2,0.125,0,Obsidian L
39.2,0.13,0,Obsidian L
39.1,0.13,0,Obsidian L
39.1,0.13,0,Obsidian L
39.1,0.135,0,Obsidian L
39.1,0.135,0,Obsidian L
39.1,0.14,0,Obsidian L
39.2,0.14,0,Obsidian L
39.2,0.14,0,Obsidian L
39.2,0.145,0,Obsidian L
39.1,0.145,0,Obsidian L
39.1,0.145,0,Obsidian L
39.1,0.15,0,Obsidian L
39.1,0.15,0,Obsidian L
39.2,0.15,0,Obsidian L
39.2,0.155,0,Obsidian L
39.2,0.155,0,Obsidian L
39.2,0.155,0,Obsidian L
39.3,0.155,0,Obsidian L
39.2,0.16,0,Obsidian L
39.3,0.16,0,Obsidian L
39.3,0.16,0,Obsidian L
39.2,0.165,0,Obsidian L
39.3,0.165,0,Obsidian L
39.2,0.17,0,Obsidian L
39.2,0.17,0,Obsidian L
39.2,0.17,0,Obsidian L
39.2,0.175,0,Obsidian L
39.2,0.175,0,Obsidian L
39.3,0.18,0,Obsidian L
39.3,0.18,0,Obsidian L
39.2,0.185,0,Obsidian L
39.3,0.185,0,Obsidian L
39.3,0.19,0,Obsidian L
39.3,0.19,0,Obsidian L
39.3,0.195,0,Obsidian L
39.3,0.195,0,Obsidian L
39.3,0.2,0,Obsidian L
39.3,0.2,0,Obsidian L
39.1,0.205,0,Obsidian L
39.2,0.21,0,Obsidian L
39.2,0.215,0,Obsidian L
39.3,0.215,0,Obsidian L
39.3,0.22,0,Obsidian L
39.4,0.22,0,Obsidian L
39.5,0.22,0,Obsidian L
39.5,0.225,0,Obsidian L
39.5,0.225,0,Obsidian L
39.5,0.225,0,Obsidian L
39.5,0.225,0,Obsidian L
39.6,0.23,0,Obsidian L
39.6,0.23,0,Obsidian L
39.5,0.23,0,Obsidian L
39.6,0.23,0,Obsidian L
39.5,0.235,0,Obsidian L
39.5,0.235,0,Obsidian L
39.5,0.235,0,Obsidian L
39.4,0.24,0,Obsidian L
39.4,0.24,0,Obsidian L
39.4,0.24,0,Obsidian L
39.3,0.245,0,Obsidian L
39.5,0.245,0,Obsidian L
39.6,0.245,0,Obsidian L
39.7,0.245,0,Obsidian L
39.6,0.245,0,Obsidian L
39.6,0.25,0,Obsidian L
39.5,0.25,0,Obsidian L
39.5,0.255,0,Obsidian L
39.4,0.255,0,Obsidian L
39.3,0.26,0,Obsidian L
39.2,0.265,0,Obsidian L
39.2,0.27,0,Obsidian L
39.2,0.275,0,Obsidian L
39.2,0.28,0,Obsidian L
39.3,0.28,0,Obsidian L
39.3,0.28,0,Obsidian L
39.3,0.285,0,Obsidian L
39.4,0.285,0,Obsidian L
39.5,0.285,0,Obsidian L
39.5,0.29,0,Obsidian L
39.4,0.29,0,Obsidian L
39.4,0.29,0,Obsidian L
39.4,0.29,0,Obsidian L
39.4,0.295,0,Obsidian L
39.4,0.295,0,Obsidian L
39.5,0.295,0,Obsidian L
39.5,0.295,0,Obsidian L
39.5,0.295,0,Obsidian L
39.5,0.295,0,Obsidian L
39.5,0.3,0,Obsidian L
39.6,0.3,0,Obsidian L
39.6,0.3,0,Obsidian L
39.6,0.3,0,Obsidian L
39.7,0.3,0,Obsidian L
39.7,0.3,0,Obsidian L
39.6,0.3,0,Obsidian L
39.5,0.3,0,Obsidian L
39.7,0.3,0,Obsidian L
39.5,0.305,0,Obsidian L
39.7,0.305,0,Obsidian L
39.6,0.305,0,Obsidian L
39.7,0.305,0,Obsidian L
39.7,0.305,0,Obsidian L
39.7,0.305,0,Obsidian L
39.7,0.305,0,Obsidian L
39.8,0.305,0,Obsidian L
39.8,0.305,0,Obsidian L
39.8,0.31,0,Obsidian L
39.7,0.31,0,Obsidian L
39.6,0.31,0,Obsidian L
39.6,0.31,0,Obsidian L
39.6,0.315,0,Obsidian L
39.6,0.315,0,Obsidian L
