force,displacement,judge,name
-0.2,0,0,Obsidian Pro
-0.1,0,0,Obsidian Pro
-0.1,0,0,Obsidian Pro
0,0,0,Obsidian Pro
0,0,0,Obsidian Pro
-0.1,0,0,Obsidian Pro
-0.1,0,0,Obsidian Pro
-0.1,0,0,Obsidian Pro
0.1,0,0,Obsidian Pro
0.1,0,0,Obsidian Pro
0,0,0,Obsidian Pro
-0.2,0,0,Obsidian Pro
-0.1,0,0,Obsidian Pro
-0.1,0,0,Obsidian Pro
0,0,0,Obsidian Pro
-0.2,0,0,Obsidian Pro
-0.1,0,0,Obsidian Pro
-0.1,0,0,Obsidian Pro
0,0.005,0,Obsidian Pro
0.1,0.005,0,Obsidian Pro
0,0.005,0,Obsidian Pro
0,0.005,0,Obsidian Pro
0,0.005,0,Obsidian Pro
0.1,0.005,0,Obsidian Pro
0,0.005,0,Obsidian Pro
-0.1,0.005,0,Obsidian Pro
0,0.005,0,Obsidian Pro
0,0.01,0,Obsidian Pro
0,0.01,0,Obsidian Pro
-0.1,0.015,0,Obsidian Pro
-0.1,0.02,0,Obsidian Pro
-0.1,0.025,0,Obsidian Pro
0,0.03,0,Obsidian Pro
0,0.045,0,Obsidian Pro
0,0.06,0,Obsidian Pro
-0.2,0.07,0,Obsidian Pro
-0.1,0.085,0,Obsidian Pro
0,0.095,0,Obsidian Pro
-0.1,0.11,0,Obsidian Pro
-0.1,0.12,0,Obsidian Pro
0,0.135,0,Obsidian Pro
0,0.145,0,Obsidian Pro
0,0.155,0,Obsidian Pro
0,0.165,0,Obsidian Pro
0,0.175,0,Obsidian Pro
-0.2,0.185,0,Obsidian Pro
0,0.195,0,Obsidian Pro
0,0.205,0,Obsidian Pro
3,0.215,0,Obsidian Pro
11.1,0.225,0,Obsidian Pro
20.5,0.235,0,Obsidian Pro
28.6,0.245,0,Obsidian Pro
32.1,0.255,0,Obsidian Pro
32.1,0.26,0,Obsidian Pro
33.4,0.265,0,Obsidian Pro
35.4,0.27,0,Obsidian Pro
36.1,0.28,0,Obsidian Pro
36.9,0.285,0,Obsidian Pro
37.3,0.29,0,Obsidian Pro
37.3,0.295,0,Obsidian Pro
37.1,0.3,0,Obsidian Pro
37.9,0.305,0,Obsidian Pro
37.4,0.31,0,Obsidian Pro
37.3,0.315,0,Obsidian Pro
37.4,0.32,0,Obsidian Pro
37.4,0.325,0,Obsidian Pro
37.5,0.33,0,Obsidian Pro
37.6,0.335,0,Obsidian Pro
37.8,0.34,0,Obsidian Pro
37.9,0.345,0,Obsidian Pro
37.9,0.345,0,Obsidian Pro
38,0.35,0,Obsidian Pro
38,0.355,0,Obsidian Pro
37.9,0.36,0,Obsidian Pro
37.9,0.36,0,Obsidian Pro
38,0.365,0,Obsidian Pro
38,0.37,0,Obsidian Pro
38.1,0.375,0,Obsidian Pro
38.1,0.38,0,Obsidian Pro
38,0.385,0,Obsidian Pro
38.1,0.39,0,Obsidian Pro
37.5,0.39,0,Obsidian Pro
37.6,0.39,0,Obsidian Pro
37.7,0.395,0,Obsidian Pro
37.7,0.395,0,Obsidian Pro
37.9,0.4,0,Obsidian Pro
38,0.4,0,Obsidian Pro
38,0.405,0,Obsidian Pro
38,0.41,0,Obsidian Pro
37.9,0.415,0,Obsidian Pro
38,0.415,0,Obsidian Pro
37.9,0.42,0,Obsidian Pro
37.9,0.425,0,Obsidian Pro
38.1,0.43,0,Obsidian Pro
38.1,0.43,0,Obsidian Pro
38,0.435,0,Obsidian Pro
37.8,0.435,0,Obsidian Pro
37.9,0.44,0,Obsidian Pro
37.9,0.44,0,Obsidian Pro
38,0.445,0,Obsidian Pro
38,0.445,0,Obsidian Pro
38,0.45,0,Obsidian Pro
38.2,0.455,0,Obsidian Pro
38.1,0.455,0,Obsidian Pro
38.2,0.46,0,Obsidian Pro
38.1,0.465,0,Obsidian Pro
38.1,0.47,0,Obsidian Pro
38.1,0.475,0,Obsidian Pro
38.2,0.475,0,Obsidian Pro
38.4,0.48,0,Obsidian Pro
38.4,0.49,0,Obsidian Pro
38.5,0.495,0,Obsidian Pro
38.4,0.5,0,Obsidian Pro
38.4,0.505,0,Obsidian Pro
38.4,0.505,0,Obsidian Pro
38.4,0.51,0,Obsidian Pro
38.6,0.515,0,Obsidian Pro
38.6,0.52,0,Obsidian Pro
38.6,0.525,0,Obsidian Pro
38.5,0.53,0,Obsidian Pro
38.6,0.54,0,Obsidian Pro
38.5,0.545,0,Obsidian Pro
38.5,0.55,0,Obsidian Pro
38.5,0.555,0,Obsidian Pro
38.5,0.56,0,Obsidian Pro
38.7,0.565,0,Obsidian Pro
38.6,0.57,0,Obsidian Pro
38.5,0.57,0,Obsidian Pro
38.4,0.575,0,Obsidian Pro
38.4,0.58,0,Obsidian Pro
38.5,0.585,0,Obsidian Pro
38.5,0.59,0,Obsidian Pro
38.4,0.59,0,Obsidian Pro
38.6,0.595,0,Obsidian Pro
38.7,0.6,0,Obsidian Pro
38.7,0.6,0,Obsidian Pro
38.7,0.605,0,Obsidian Pro
38.7,0.61,0,Obsidian Pro
38.8,0.61,0,Obsidian Pro
38.7,0.615,0,Obsidian Pro
38.2,0.615,0,Obsidian Pro
37.9,0.615,0,Obsidian Pro
38,0.615,0,Obsidian Pro
38,0.62,0,Obsidian Pro
38.2,0.62,0,Obsidian Pro
38.6,0.62,0,Obsidian Pro
38.8,0.62,0,Obsidian Pro
38.8,0.625,0,Obsidian Pro
38.7,0.625,0,Obsidian Pro
39.1,0.625,0,Obsidian Pro
39.3,0.63,0,Obsidian Pro
39.3,0.63,0,Obsidian Pro
39.3,0.635,0,Obsidian Pro
39.3,0.64,0,Obsidian Pro
39.4,0.645,0,Obsidian Pro
39.4,0.65,0,Obsidian Pro
39.4,0.65,0,Obsidian Pro
39.4,0.655,0,Obsidian Pro
39.5,0.66,0,Obsidian Pro
39.5,0.665,0,Obsidian Pro
39.5,0.67,0,Obsidian Pro
39.5,0.675,0,Obsidian Pro
39.5,0.68,0,Obsidian Pro
39.7,0.685,0,Obsidian Pro
39.7,0.69,0,Obsidian Pro
39.7,0.69,0,Obsidian Pro
39.6,0.695,0,Obsidian Pro
39.3,0.695,0,Obsidian Pro
39.4,0.7,0,Obsidian Pro
39.5,0.7,0,Obsidian Pro
39.6,0.705,0,Obsidian Pro
39.6,0.705,0,Obsidian Pro
39.7,0.71,0,Obsidian Pro
39.9,0.71,0,Obsidian Pro
40.1,0.715,0,Obsidian Pro
39.9,0.72,0,Obsidian Pro
39.9,0.725,0,Obsidian Pro
39.8,0.73,0,Obsidian Pro
39.6,0.73,0,Obsidian Pro
39.8,0.735,0,Obsidian Pro
40,0.74,0,Obsidian Pro
40.1,0.745,0,Obsidian Pro
39.9,0.75,0,Obsidian Pro
39.9,0.755,0,Obsidian Pro
39.8,0.76,0,Obsidian Pro
39.9,0.765,0,Obsidian Pro
40,0.77,0,Obsidian Pro
40,0.775,0,Obsidian Pro
40.2,0.78,0,Obsidian Pro
40.4,0.785,0,Obsidian Pro
40.4,0.795,0,Obsidian Pro
40.4,0.8,0,Obsidian Pro
40.4,0.8,0,Obsidian Pro
40.7,0.805,0,Obsidian Pro
40.4,0.81,0,Obsidian Pro
40.6,0.815,0,Obsidian Pro
40.7,0.82,0,Obsidian Pro
40.7,0.825,0,Obsidian Pro
40.7,0.835,0,Obsidian Pro
40.7,0.84,0,Obsidian Pro
40.7,0.845,0,Obsidian Pro
40.8,0.855,0,Obsidian Pro
40.7,0.86,0,Obsidian Pro
40.7,0.86,0,Obsidian Pro
41,0.87,0,Obsidian Pro
40.8,0.875,0,Obsidian Pro
40.7,0.88,0,Obsidian Pro
40.7,0.88,0,Obsidian Pro
40.8,0.885,0,Obsidian Pro
40.7,0.885,0,Obsidian Pro
40.7,0.89,0,Obsidian Pro
41.2,0.89,0,Obsidian Pro
41.1,0.895,0,Obsidian Pro
40.8,0.9,0,Obsidian Pro
40.8,0.9,0,Obsidian Pro
40.8,0.905,0,Obsidian Pro
40.6,0.905,0,Obsidian Pro
40.8,0.905,0,Obsidian Pro
40.8,0.905,0,Obsidian Pro
41,0.91,0,Obsidian Pro
41.1,0.91,0,Obsidian Pro
41.2,0.915,0,Obsidian Pro
41.1,0.915,0,Obsidian Pro
41.1,0.92,0,Obsidian Pro
41.2,0.92,0,Obsidian Pro
41.2,0.925,0,Obsidian Pro
41.3,0.925,0,Obsidian Pro
41.3,0.93,0,Obsidian Pro
41.4,0.935,0,Obsidian Pro
41.3,0.935,0,Obsidian Pro
41.4,0.94,0,Obsidian Pro
41.3,0.945,0,Obsidian Pro
41.3,0.95,0,Obsidian Pro
41.3,0.955,0,Obsidian Pro
41.3,0.955,0,Obsidian Pro
41.4,0.96,0,Obsidian Pro
41.3,0.965,0,Obsidian Pro
41.4,0.965,0,Obsidian Pro
41.5,0.97,0,Obsidian Pro
41.3,0.97,0,Obsidian Pro
41,0.975,0,Obsidian Pro
40.9,0.975,0,Obsidian Pro
40.9,0.975,0,Obsidian Pro
41,0.975,0,Obsidian Pro
41.2,0.98,0,Obsidian Pro
41.3,0.98,0,Obsidian Pro
41.3,0.98,0,Obsidian Pro
41.4,0.985,0,Obsidian Pro
41.5,0.985,0,Obsidian Pro
41.8,0.985,0,Obsidian Pro
41.8,0.99,0,Obsidian Pro
41.8,0.995,0,Obsidian Pro
41.8,0.995,0,Obsidian Pro
41.8,1,0,Obsidian Pro
41.8,1.005,0,Obsidian Pro
41.6,1.01,0,Obsidian Pro
41.7,1.01,0,Obsidian Pro
41.8,1.015,0,Obsidian Pro
41.6,1.02,0,Obsidian Pro
41.8,1.025,0,Obsidian Pro
41.7,1.03,0,Obsidian Pro
41.7,1.035,0,Obsidian Pro
41.9,1.04,0,Obsidian Pro
41.8,1.045,0,Obsidian Pro
41.8,1.05,0,Obsidian Pro
41.7,1.055,0,Obsidian Pro
41.6,1.06,0,Obsidian Pro
41.8,1.065,0,Obsidian Pro
41.9,1.07,0,Obsidian Pro
41.9,1.075,0,Obsidian Pro
42,1.08,0,Obsidian Pro
42.2,1.085,0,Obsidian Pro
42.2,1.09,0,Obsidian Pro
42.3,1.095,0,Obsidian Pro
42.1,1.1,0,Obsidian Pro
42.1,1.105,0,Obsidian Pro
42,1.11,0,Obsidian Pro
42.3,1.115,0,Obsidian Pro
42.4,1.125,0,Obsidian Pro
42.3,1.13,0,Obsidian Pro
42.3,1.135,0,Obsidian Pro
42.2,1.14,0,Obsidian Pro
42.5,1.145,0,Obsidian Pro
42.6,1.15,0,Obsidian Pro
42.5,1.155,0,Obsidian Pro
42.5,1.16,0,Obsidian Pro
42.6,1.165,0,Obsidian Pro
42.7,1.165,0,Obsidian Pro
42.7,1.17,0,Obsidian Pro
43,1.175,0,Obsidian Pro
42.9,1.185,0,Obsidian Pro
42.8,1.19,0,Obsidian Pro
42.7,1.19,0,Obsidian Pro
42.5,1.195,0,Obsidian Pro
42.1,1.195,0,Obsidian Pro
42,1.195,0,Obsidian Pro
42.5,1.195,0,Obsidian Pro
43.1,1.2,0,Obsidian Pro
43.1,1.205,0,Obsidian Pro
42.9,1.205,0,Obsidian Pro
42.8,1.21,0,Obsidian Pro
42.7,1.21,0,Obsidian Pro
42.5,1.21,0,Obsidian Pro
42.6,1.21,0,Obsidian Pro
43.1,1.215,0,Obsidian Pro
43.1,1.215,0,Obsidian Pro
42.9,1.215,0,Obsidian Pro
42.5,1.215,0,Obsidian Pro
42.5,1.215,0,Obsidian Pro
43.2,1.22,0,Obsidian Pro
43.4,1.22,0,Obsidian Pro
43.3,1.225,0,Obsidian Pro
43.3,1.225,0,Obsidian Pro
43.4,1.23,0,Obsidian Pro
43.5,1.235,0,Obsidian Pro
43.6,1.235,0,Obsidian Pro
43.6,1.24,0,Obsidian Pro
43.6,1.245,0,Obsidian Pro
43.6,1.25,0,Obsidian Pro
43.6,1.255,0,Obsidian Pro
43.7,1.26,0,Obsidian Pro
43.7,1.26,0,Obsidian Pro
43.6,1.265,0,Obsidian Pro
43.6,1.27,0,Obsidian Pro
43.7,1.275,0,Obsidian Pro
43.7,1.275,0,Obsidian Pro
43.7,1.28,0,Obsidian Pro
43.8,1.285,0,Obsidian Pro
43.8,1.285,0,Obsidian Pro
43.9,1.29,0,Obsidian Pro
43.9,1.295,0,Obsidian Pro
44,1.3,0,Obsidian Pro
43.9,1.3,0,Obsidian Pro
43.9,1.305,0,Obsidian Pro
44,1.31,0,Obsidian Pro
44,1.31,0,Obsidian Pro
44.1,1.315,0,Obsidian Pro
44.1,1.32,0,Obsidian Pro
44.2,1.32,0,Obsidian Pro
44.2,1.325,0,Obsidian Pro
44.1,1.33,0,Obsidian Pro
44.1,1.33,0,Obsidian Pro
44.2,1.335,0,Obsidian Pro
44.2,1.34,0,Obsidian Pro
44.3,1.345,0,Obsidian Pro
44.4,1.35,0,Obsidian Pro
44.4,1.35,0,Obsidian Pro
44.4,1.355,0,Obsidian Pro
44.3,1.365,0,Obsidian Pro
44.3,1.37,0,Obsidian Pro
44.2,1.37,0,Obsidian Pro
44.1,1.375,0,Obsidian Pro
44.2,1.375,0,Obsidian Pro
44.4,1.38,0,Obsidian Pro
44.5,1.385,0,Obsidian Pro
44.5,1.385,0,Obsidian Pro
44.5,1.39,0,Obsidian Pro
44.4,1.395,0,Obsidian Pro
44.3,1.395,0,Obsidian Pro
44.2,1.4,0,Obsidian Pro
44.5,1.4,0,Obsidian Pro
44.6,1.405,0,Obsidian Pro
44.7,1.41,0,Obsidian Pro
44.6,1.41,0,Obsidian Pro
44.7,1.415,0,Obsidian Pro
44.7,1.42,0,Obsidian Pro
44.7,1.42,0,Obsidian Pro
44.6,1.425,0,Obsidian Pro
44.7,1.43,0,Obsidian Pro
44.7,1.43,0,Obsidian Pro
44.6,1.435,0,Obsidian Pro
44.6,1.435,0,Obsidian Pro
44.8,1.44,0,Obsidian Pro
44.7,1.44,0,Obsidian Pro
44.8,1.445,0,Obsidian Pro
44.7,1.45,0,Obsidian Pro
44.9,1.45,0,Obsidian Pro
44.9,1.455,0,Obsidian Pro
44.8,1.455,0,Obsidian Pro
44.9,1.46,0,Obsidian Pro
45.1,1.465,0,Obsidian Pro
45.2,1.47,0,Obsidian Pro
45.4,1.48,0,Obsidian Pro
45.3,1.5,0,Obsidian Pro
45.1,1.53,0,Obsidian Pro
45.4,1.56,0,Obsidian Pro
45.3,1.575,0,Obsidian Pro
45.1,1.58,0,Obsidian Pro
45.3,1.585,0,Obsidian Pro
45.5,1.59,0,Obsidian Pro
45.7,1.595,0,Obsidian Pro
45.7,1.6,0,Obsidian Pro
45.5,1.605,0,Obsidian Pro
45.7,1.61,0,Obsidian Pro
45.9,1.62,0,Obsidian Pro
46.1,1.635,0,Obsidian Pro
45.9,1.665,0,Obsidian Pro
45.7,1.69,0,Obsidian Pro
46.1,1.71,0,Obsidian Pro
46.1,1.72,0,Obsidian Pro
46.2,1.735,0,Obsidian Pro
46.3,1.745,0,Obsidian Pro
46.4,1.75,0,Obsidian Pro
46.4,1.76,0,Obsidian Pro
46.4,1.765,0,Obsidian Pro
46.4,1.77,0,Obsidian Pro
46.4,1.775,0,Obsidian Pro
46.3,1.775,0,Obsidian Pro
46.3,1.78,0,Obsidian Pro
46.4,1.78,0,Obsidian Pro
46.5,1.785,0,Obsidian Pro
46.5,1.785,0,Obsidian Pro
46.6,1.79,0,Obsidian Pro
46.7,1.795,0,Obsidian Pro
46.5,1.795,0,Obsidian Pro
46.6,1.795,0,Obsidian Pro
46.7,1.8,0,Obsidian Pro
46.7,1.805,0,Obsidian Pro
46.5,1.805,0,Obsidian Pro
46.5,1.81,0,Obsidian Pro
46.5,1.81,0,Obsidian Pro
46.5,1.81,0,Obsidian Pro
46.5,1.81,0,Obsidian Pro
46.7,1.815,0,Obsidian Pro
46.8,1.815,0,Obsidian Pro
46.9,1.815,0,Obsidian Pro
46.9,1.82,0,Obsidian Pro
47,1.82,0,Obsidian Pro
46.9,1.825,0,Obsidian Pro
46.9,1.825,0,Obsidian Pro
46.9,1.83,0,Obsidian Pro
46.9,1.83,0,Obsidian Pro
46.9,1.835,0,Obsidian Pro
46.9,1.835,0,Obsidian Pro
46.9,1.84,0,Obsidian Pro
47,1.84,0,Obsidian Pro
47.1,1.845,0,Obsidian Pro
47,1.845,0,Obsidian Pro
47,1.85,0,Obsidian Pro
47,1.85,0,Obsidian Pro
47,1.85,0,Obsidian Pro
47,1.855,0,Obsidian Pro
46.9,1.855,0,Obsidian Pro
46.8,1.855,0,Obsidian Pro
46.7,1.855,0,Obsidian Pro
46.9,1.86,0,Obsidian Pro
47,1.86,0,Obsidian Pro
47.1,1.86,0,Obsidian Pro
47.2,1.865,0,Obsidian Pro
47.2,1.865,0,Obsidian Pro
47.2,1.87,0,Obsidian Pro
47.2,1.87,0,Obsidian Pro
47.3,1.875,0,Obsidian Pro
47.2,1.875,0,Obsidian Pro
47.2,1.88,0,Obsidian Pro
47.3,1.88,0,Obsidian Pro
47.2,1.885,0,Obsidian Pro
47.2,1.89,0,Obsidian Pro
47.2,1.89,0,Obsidian Pro
47.3,1.895,0,Obsidian Pro
47.3,1.9,0,Obsidian Pro
47.4,1.905,0,Obsidian Pro
47.4,1.91,0,Obsidian Pro
47.5,1.91,0,Obsidian Pro
47.7,1.915,0,Obsidian Pro
47.5,1.92,0,Obsidian Pro
47.5,1.925,0,Obsidian Pro
47.4,1.925,0,Obsidian Pro
47.2,1.925,0,Obsidian Pro
47,1.925,0,Obsidian Pro
47,1.925,0,Obsidian Pro
47,1.925,0,Obsidian Pro
47.3,1.93,0,Obsidian Pro
47.5,1.93,0,Obsidian Pro
47.6,1.93,0,Obsidian Pro
47.7,1.93,0,Obsidian Pro
47.7,1.935,0,Obsidian Pro
47.9,1.935,0,Obsidian Pro
47.8,1.94,0,Obsidian Pro
47.8,1.94,0,Obsidian Pro
47.7,1.945,0,Obsidian Pro
47.8,1.945,0,Obsidian Pro
47.8,1.95,0,Obsidian Pro
47.9,1.955,0,Obsidian Pro
47.9,1.955,0,Obsidian Pro
47.9,1.96,0,Obsidian Pro
48,1.96,0,Obsidian Pro
48,1.965,0,Obsidian Pro
48.1,1.97,0,Obsidian Pro
48,1.975,0,Obsidian Pro
48.1,1.98,0,Obsidian Pro
48.1,1.98,0,Obsidian Pro
48,1.985,0,Obsidian Pro
48,1.99,0,Obsidian Pro
48,1.995,0,Obsidian Pro
48.1,1.995,0,Obsidian Pro
48.1,2,0,Obsidian Pro
48.2,2,0,Obsidian Pro
48.2,2.005,0,Obsidian Pro
48.2,2.01,0,Obsidian Pro
48.2,2.01,0,Obsidian Pro
48.2,2.015,0,Obsidian Pro
48.3,2.02,0,Obsidian Pro
48.3,2.02,0,Obsidian Pro
48.2,2.025,0,Obsidian Pro
48.2,2.025,0,Obsidian Pro
48.2,2.03,0,Obsidian Pro
48.2,2.03,0,Obsidian Pro
48.2,2.035,0,Obsidian Pro
48.2,2.035,0,Obsidian Pro
48.3,2.035,0,Obsidian Pro
48.3,2.035,0,Obsidian Pro
48.3,2.04,0,Obsidian Pro
48.3,2.04,0,Obsidian Pro
48.3,2.04,0,Obsidian Pro
48.3,2.045,0,Obsidian Pro
48.3,2.045,0,Obsidian Pro
48.3,2.05,0,Obsidian Pro
48.4,2.05,0,Obsidian Pro
48.4,2.05,0,Obsidian Pro
48.4,2.055,0,Obsidian Pro
48.4,2.055,0,Obsidian Pro
48.4,2.06,0,Obsidian Pro
48.3,2.06,0,Obsidian Pro
48.3,2.065,0,Obsidian Pro
48.4,2.065,0,Obsidian Pro
48.3,2.07,0,Obsidian Pro
48.4,2.07,0,Obsidian Pro
48.4,2.075,0,Obsidian Pro
48.4,2.075,0,Obsidian Pro
48.4,2.08,0,Obsidian Pro
48.4,2.08,0,Obsidian Pro
48.4,2.085,0,Obsidian Pro
48.4,2.085,0,Obsidian Pro
48.4,2.09,0,Obsidian Pro
48.4,2.09,0,Obsidian Pro
48.4,2.09,0,Obsidian Pro
48.4,2.095,0,Obsidian Pro
48.4,2.095,0,Obsidian Pro
48.4,2.095,0,Obsidian Pro
48.4,2.1,0,Obsidian Pro
48.4,2.1,0,Obsidian Pro
48.4,2.1,0,Obsidian Pro
48.4,2.105,0,Obsidian Pro
48.4,2.105,0,Obsidian Pro
48.5,2.105,0,Obsidian Pro
48.5,2.11,0,Obsidian Pro
48.5,2.11,0,Obsidian Pro
48.6,2.11,0,Obsidian Pro
48.6,2.115,0,Obsidian Pro
48.6,2.115,0,Obsidian Pro
48.6,2.12,0,Obsidian Pro
48.6,2.12,0,Obsidian Pro
48.6,2.125,0,Obsidian Pro
48.7,2.125,0,Obsidian Pro
48.6,2.125,0,Obsidian Pro
48.7,2.13,0,Obsidian Pro
48.7,2.13,0,Obsidian Pro
48.7,2.13,0,Obsidian Pro
48.8,2.135,0,Obsidian Pro
48.7,2.135,0,Obsidian Pro
48.7,2.14,0,Obsidian Pro
48.7,2.14,0,Obsidian Pro
48.7,2.145,0,Obsidian Pro
48.7,2.145,0,Obsidian Pro
48.8,2.145,0,Obsidian Pro
48.8,2.15,0,Obsidian Pro
48.8,2.15,0,Obsidian Pro
48.9,2.155,0,Obsidian Pro
48.9,2.155,0,Obsidian Pro
48.9,2.16,0,Obsidian Pro
48.9,2.165,0,Obsidian Pro
48.8,2.165,0,Obsidian Pro
48.9,2.17,0,Obsidian Pro
48.8,2.175,0,Obsidian Pro
48.8,2.18,0,Obsidian Pro
48.8,2.18,0,Obsidian Pro
48.8,2.185,0,Obsidian Pro
48.8,2.19,0,Obsidian Pro
48.9,2.19,0,Obsidian Pro
48.9,2.195,0,Obsidian Pro
48.9,2.2,0,Obsidian Pro
48.8,2.205,0,Obsidian Pro
48.7,2.21,0,Obsidian Pro
48.7,2.21,0,Obsidian Pro
48.7,2.215,0,Obsidian Pro
48.7,2.22,0,Obsidian Pro
48.7,2.22,0,Obsidian Pro
48.7,2.225,0,Obsidian Pro
48.7,2.225,0,Obsidian Pro
48.7,2.23,0,Obsidian Pro
48.7,2.23,0,Obsidian Pro
48.7,2.23,0,Obsidian Pro
48.7,2.235,0,Obsidian Pro
48.7,2.235,0,Obsidian Pro
48.7,2.235,0,Obsidian Pro
48.7,2.235,0,Obsidian Pro
48.7,2.24,0,Obsidian Pro
48.7,2.24,0,Obsidian Pro
48.7,2.24,0,Obsidian Pro
48.8,2.245,0,Obsidian Pro
