force,displacement,judge,name
0,0,0,Outemu Cream Green
0,0,0,Outemu Cream Green
0,0,0,Outemu Cream Green
0,0,0,Outemu Cream Green
0,0,0,Outemu Cream Green
0,0,0,Outemu Cream Green
0,0,0,Outemu Cream Green
0,0,0,Outemu Cream Green
0,0,0,Outemu Cream Green
0,0,0,Outemu Cream Green
0,0,0,Outemu Cream Green
0,0,0,Outemu Cream Green
0,0,0,Outemu Cream Green
0,0,0,Outemu Cream Green
0,0,0,Outemu Cream Green
0,0,0,Outemu Cream Green
0,0,0,Outemu Cream Green
0,0.005,0,Outemu Cream Green
0,0.005,0,Outemu Cream Green
0,0.005,0,Outemu Cream Green
0,0.005,0,Outemu Cream Green
0,0.01,0,Outemu Cream Green
0,0.01,0,Outemu Cream Green
0.1,0.015,0,Outemu Cream Green
2.4,0.015,0,Outemu Cream Green
5.3,0.02,0,Outemu Cream Green
8.4,0.02,0,Outemu Cream Green
11.4,0.025,0,Outemu Cream Green
14,0.03,0,Outemu Cream Green
16.6,0.03,0,Outemu Cream Green
18.8,0.035,0,Outemu Cream Green
20.1,0.035,0,Outemu Cream Green
21.6,0.035,0,Outemu Cream Green
22.7,0.035,0,Outemu Cream Green
23.6,0.04,0,Outemu Cream Green
24.7,0.04,0,Outemu Cream Green
25.9,0.04,0,Outemu Cream Green
27.2,0.04,0,Outemu Cream Green
28.6,0.045,0,Outemu Cream Green
29.8,0.045,0,Outemu Cream Green
31,0.045,0,Outemu Cream Green
32.5,0.05,0,Outemu Cream Green
33.6,0.05,0,Outemu Cream Green
33.3,0.055,0,Outemu Cream Green
33.7,0.055,0,Outemu Cream Green
34.1,0.055,0,Outemu Cream Green
34.5,0.06,0,Outemu Cream Green
34.6,0.06,0,Outemu Cream Green
34.6,0.06,0,Outemu Cream Green
34.6,0.065,0,Outemu Cream Green
34.6,0.065,0,Outemu Cream Green
34.6,0.07,0,Outemu Cream Green
34.5,0.07,0,Outemu Cream Green
34.4,0.07,0,Outemu Cream Green
34.5,0.075,0,Outemu Cream Green
34.4,0.075,0,Outemu Cream Green
34.5,0.075,0,Outemu Cream Green
34.6,0.08,0,Outemu Cream Green
34.4,0.08,0,Outemu Cream Green
34.5,0.085,0,Outemu Cream Green
34.4,0.09,0,Outemu Cream Green
34.4,0.09,0,Outemu Cream Green
34.4,0.09,0,Outemu Cream Green
34.4,0.095,0,Outemu Cream Green
34.4,0.095,0,Outemu Cream Green
34.4,0.095,0,Outemu Cream Green
34.5,0.095,0,Outemu Cream Green
34.4,0.1,0,Outemu Cream Green
34.3,0.1,0,Outemu Cream Green
34.2,0.1,0,Outemu Cream Green
34.4,0.105,0,Outemu Cream Green
34.3,0.105,0,Outemu Cream Green
34.3,0.11,0,Outemu Cream Green
34.3,0.11,0,Outemu Cream Green
34.3,0.115,0,Outemu Cream Green
34.2,0.12,0,Outemu Cream Green
34.2,0.12,0,Outemu Cream Green
