force,displacement,judge,name
0,0,0,Outemu Full Cream Tea
0,0,0,Outemu Full Cream Tea
0,0,0,Outemu Full Cream Tea
0,0,0,Outemu Full Cream Tea
0,0,0,Outemu Full Cream Tea
0.1,0,0,Outemu Full Cream Tea
0,0,0,Outemu Full Cream Tea
0,0,0,Outemu Full Cream Tea
0,0,0,Outemu Full Cream Tea
0,0,0,Outemu Full Cream Tea
0,0,0,Outemu Full Cream Tea
0,0,0,Outemu Full Cream Tea
0,0,0,Outemu Full Cream Tea
0,0,0,Outemu Full Cream Tea
0.1,0,0,Outemu Full Cream Tea
0,0,0,Outemu Full Cream Tea
0,0,0,Outemu Full Cream Tea
0,0.005,0,Outemu Full Cream Tea
0,0.005,0,Outemu Full Cream Tea
0,0.005,0,Outemu Full Cream Tea
0,0.005,0,Outemu Full Cream Tea
0,0.01,0,Outemu Full Cream Tea
0,0.01,0,Outemu Full Cream Tea
0,0.01,0,Outemu Full Cream Tea
0,0.01,0,Outemu Full Cream Tea
0,0.015,0,Outemu Full Cream Tea
0,0.015,0,Outemu Full Cream Tea
0,0.015,0,Outemu Full Cream Tea
0,0.02,0,Outemu Full Cream Tea
0,0.02,0,Outemu Full Cream Tea
0,0.02,0,Outemu Full Cream Tea
0,0.025,0,Outemu Full Cream Tea
0,0.025,0,Outemu Full Cream Tea
0,0.035,0,Outemu Full Cream Tea
0,0.04,0,Outemu Full Cream Tea
0,0.045,0,Outemu Full Cream Tea
0,0.055,0,Outemu Full Cream Tea
0,0.06,0,Outemu Full Cream Tea
0,0.065,0,Outemu Full Cream Tea
0,0.07,0,Outemu Full Cream Tea
0,0.075,0,Outemu Full Cream Tea
0,0.08,0,Outemu Full Cream Tea
0,0.085,0,Outemu Full Cream Tea
0,0.09,0,Outemu Full Cream Tea
0,0.095,0,Outemu Full Cream Tea
0,0.1,0,Outemu Full Cream Tea
0,0.1,0,Outemu Full Cream Tea
0.3,0.105,0,Outemu Full Cream Tea
3,0.11,0,Outemu Full Cream Tea
6.6,0.115,0,Outemu Full Cream Tea
8.9,0.12,0,Outemu Full Cream Tea
10.2,0.12,0,Outemu Full Cream Tea
11,0.125,0,Outemu Full Cream Tea
11.8,0.125,0,Outemu Full Cream Tea
12.6,0.125,0,Outemu Full Cream Tea
13.4,0.13,0,Outemu Full Cream Tea
14.1,0.13,0,Outemu Full Cream Tea
14.7,0.135,0,Outemu Full Cream Tea
15.4,0.135,0,Outemu Full Cream Tea
15.9,0.135,0,Outemu Full Cream Tea
16.4,0.135,0,Outemu Full Cream Tea
16.9,0.14,0,Outemu Full Cream Tea
17.4,0.14,0,Outemu Full Cream Tea
18,0.14,0,Outemu Full Cream Tea
18.8,0.145,0,Outemu Full Cream Tea
19.4,0.145,0,Outemu Full Cream Tea
20.2,0.15,0,Outemu Full Cream Tea
20.8,0.15,0,Outemu Full Cream Tea
21.5,0.155,0,Outemu Full Cream Tea
22.3,0.155,0,Outemu Full Cream Tea
23,0.16,0,Outemu Full Cream Tea
23.5,0.16,0,Outemu Full Cream Tea
24.1,0.165,0,Outemu Full Cream Tea
24.5,0.165,0,Outemu Full Cream Tea
24.8,0.165,0,Outemu Full Cream Tea
25.2,0.17,0,Outemu Full Cream Tea
25.6,0.17,0,Outemu Full Cream Tea
25.8,0.17,0,Outemu Full Cream Tea
26.2,0.17,0,Outemu Full Cream Tea
26.6,0.17,0,Outemu Full Cream Tea
27,0.175,0,Outemu Full Cream Tea
27.5,0.175,0,Outemu Full Cream Tea
28,0.175,0,Outemu Full Cream Tea
