force,displacement,judge,name
0,0,0,Outemu Milk Peach
0.1,0,0,Outemu Milk Peach
0.1,0,0,Outemu Milk Peach
-0.1,0,0,Outemu Milk Peach
0,0,0,Outemu Milk Peach
0,0,0,Outemu Milk Peach
-0.1,0,0,Outemu Milk Peach
0,0,0,Outemu Milk Peach
0.1,0,0,Outemu Milk Peach
0.1,0,0,Outemu Milk Peach
0,0,0,Outemu Milk Peach
-0.1,0,0,Outemu Milk Peach
0,0,0,Outemu Milk Peach
0,0,0,Outemu Milk Peach
0,0,0,Outemu Milk Peach
0,0,0,Outemu Milk Peach
0,0,0,Outemu Milk Peach
-0.1,0,0,Outemu Milk Peach
0.1,0,0,Outemu Milk Peach
0,0,0,Outemu Milk Peach
0.1,0.005,0,Outemu Milk Peach
0.1,0.005,0,Outemu Milk Peach
0,0.005,0,Outemu Milk Peach
0,0.005,0,Outemu Milk Peach
0,0.005,0,Outemu Milk Peach
0.1,0.01,0,Outemu Milk Peach
0,0.01,0,Outemu Milk Peach
0,0.015,0,Outemu Milk Peach
0,0.015,0,Outemu Milk Peach
0,0.02,0,Outemu Milk Peach
-0.1,0.025,0,Outemu Milk Peach
0,0.03,0,Outemu Milk Peach
0.4,0.035,0,Outemu Milk Peach
4.8,0.045,0,Outemu Milk Peach
10.1,0.05,0,Outemu Milk Peach
14,0.055,0,Outemu Milk Peach
17.2,0.06,0,Outemu Milk Peach
20,0.06,0,Outemu Milk Peach
22.6,0.065,0,Outemu Milk Peach
25.2,0.065,0,Outemu Milk Peach
27.6,0.07,0,Outemu Milk Peach
28.7,0.07,0,Outemu Milk Peach
30.9,0.075,0,Outemu Milk Peach
33,0.075,0,Outemu Milk Peach
34.3,0.08,0,Outemu Milk Peach
35.1,0.085,0,Outemu Milk Peach
34.9,0.085,0,Outemu Milk Peach
35,0.09,0,Outemu Milk Peach
35,0.09,0,Outemu Milk Peach
34.9,0.095,0,Outemu Milk Peach
35.1,0.095,0,Outemu Milk Peach
35.2,0.1,0,Outemu Milk Peach
35.2,0.105,0,Outemu Milk Peach
35.3,0.105,0,Outemu Milk Peach
35.3,0.11,0,Outemu Milk Peach
35.4,0.115,0,Outemu Milk Peach
35.5,0.12,0,Outemu Milk Peach
35.5,0.125,0,Outemu Milk Peach
35.5,0.13,0,Outemu Milk Peach
35.6,0.135,0,Outemu Milk Peach
35.5,0.14,0,Outemu Milk Peach
35.4,0.145,0,Outemu Milk Peach
35.3,0.15,0,Outemu Milk Peach
35.1,0.155,0,Outemu Milk Peach
35.1,0.16,0,Outemu Milk Peach
35,0.165,0,Outemu Milk Peach
34.9,0.17,0,Outemu Milk Peach
34.9,0.175,0,Outemu Milk Peach
34.9,0.18,0,Outemu Milk Peach
34.9,0.185,0,Outemu Milk Peach
34.9,0.19,0,Outemu Milk Peach
34.9,0.19,0,Outemu Milk Peach
35,0.195,0,Outemu Milk Peach
35,0.195,0,Outemu Milk Peach
35,0.2,0,Outemu Milk Peach
35,0.205,0,Outemu Milk Peach
35,0.21,0,Outemu Milk Peach
35,0.21,0,Outemu Milk Peach
34.9,0.215,0,Outemu Milk Peach
34.9,0.215,0,Outemu Milk Peach
35.1,0.22,0,Outemu Milk Peach
35.2,0.24,0,Outemu Milk Peach
35,0.255,0,Outemu Milk Peach
34.9,0.265,0,Outemu Milk Peach
34.9,0.275,0,Outemu Milk Peach
35,0.285,0,Outemu Milk Peach
35,0.29,0,Outemu Milk Peach
35.2,0.295,0,Outemu Milk Peach
35.1,0.3,0,Outemu Milk Peach
35.2,0.305,0,Outemu Milk Peach
35.3,0.31,0,Outemu Milk Peach
35.2,0.315,0,Outemu Milk Peach
35.4,0.315,0,Outemu Milk Peach
35.4,0.32,0,Outemu Milk Peach
35.5,0.325,0,Outemu Milk Peach
35.5,0.33,0,Outemu Milk Peach
35.5,0.335,0,Outemu Milk Peach
35.5,0.34,0,Outemu Milk Peach
35.5,0.345,0,Outemu Milk Peach
35.6,0.355,0,Outemu Milk Peach
35.7,0.36,0,Outemu Milk Peach
35.9,0.365,0,Outemu Milk Peach
36,0.375,0,Outemu Milk Peach
36.1,0.38,0,Outemu Milk Peach
36.2,0.385,0,Outemu Milk Peach
36.4,0.39,0,Outemu Milk Peach
36.4,0.395,0,Outemu Milk Peach
36.5,0.4,0,Outemu Milk Peach
36.5,0.41,0,Outemu Milk Peach
36.5,0.415,0,Outemu Milk Peach
36.5,0.42,0,Outemu Milk Peach
36.4,0.425,0,Outemu Milk Peach
36.4,0.43,0,Outemu Milk Peach
36.5,0.435,0,Outemu Milk Peach
36.4,0.44,0,Outemu Milk Peach
36.4,0.45,0,Outemu Milk Peach
36.4,0.455,0,Outemu Milk Peach
36.4,0.455,0,Outemu Milk Peach
36.4,0.46,0,Outemu Milk Peach
36.4,0.465,0,Outemu Milk Peach
36.5,0.47,0,Outemu Milk Peach
36.6,0.475,0,Outemu Milk Peach
36.8,0.48,0,Outemu Milk Peach
36.9,0.48,0,Outemu Milk Peach
37,0.485,0,Outemu Milk Peach
37.1,0.49,0,Outemu Milk Peach
37.2,0.49,0,Outemu Milk Peach
37.3,0.495,0,Outemu Milk Peach
37.3,0.5,0,Outemu Milk Peach
37.2,0.505,0,Outemu Milk Peach
37.2,0.505,0,Outemu Milk Peach
37.2,0.51,0,Outemu Milk Peach
37.3,0.51,0,Outemu Milk Peach
37.2,0.515,0,Outemu Milk Peach
37.2,0.52,0,Outemu Milk Peach
37.2,0.525,0,Outemu Milk Peach
37.1,0.53,0,Outemu Milk Peach
37.1,0.535,0,Outemu Milk Peach
37.1,0.54,0,Outemu Milk Peach
37.2,0.545,0,Outemu Milk Peach
37.2,0.55,0,Outemu Milk Peach
37.2,0.555,0,Outemu Milk Peach
37.2,0.56,0,Outemu Milk Peach
37.3,0.565,0,Outemu Milk Peach
37.4,0.57,0,Outemu Milk Peach
37.5,0.575,0,Outemu Milk Peach
37.5,0.58,0,Outemu Milk Peach
37.6,0.585,0,Outemu Milk Peach
37.7,0.59,0,Outemu Milk Peach
37.6,0.595,0,Outemu Milk Peach
37.7,0.6,0,Outemu Milk Peach
37.7,0.605,0,Outemu Milk Peach
37.7,0.61,0,Outemu Milk Peach
37.8,0.615,0,Outemu Milk Peach
37.8,0.62,0,Outemu Milk Peach
37.8,0.625,0,Outemu Milk Peach
37.8,0.625,0,Outemu Milk Peach
37.8,0.63,0,Outemu Milk Peach
37.8,0.635,0,Outemu Milk Peach
37.8,0.64,0,Outemu Milk Peach
37.9,0.64,0,Outemu Milk Peach
37.8,0.645,0,Outemu Milk Peach
37.9,0.65,0,Outemu Milk Peach
38,0.65,0,Outemu Milk Peach
38,0.655,0,Outemu Milk Peach
38,0.655,0,Outemu Milk Peach
38,0.66,0,Outemu Milk Peach
