force,displacement,judge,name
0,0,0,Outemu Ocean Silent Linear
0,0,0,Outemu Ocean Silent Linear
0.1,0,0,Outemu Ocean Silent Linear
0,0,0,Outemu Ocean Silent Linear
-0.1,0,0,Outemu Ocean Silent Linear
0,0,0,Outemu Ocean Silent Linear
0.1,0,0,Outemu Ocean Silent Linear
0,0,0,Outemu Ocean Silent Linear
0.1,0,0,Outemu Ocean Silent Linear
0,0,0,Outemu Ocean Silent Linear
0,0,0,Outemu Ocean Silent Linear
0,0,0,Outemu Ocean Silent Linear
0,0,0,Outemu Ocean Silent Linear
-0.1,0,0,Outemu Ocean Silent Linear
0,0,0,Outemu Ocean Silent Linear
0.1,0,0,Outemu Ocean Silent Linear
0,0,0,Outemu Ocean Silent Linear
-0.1,0,0,Outemu Ocean Silent Linear
0,0,0,Outemu Ocean Silent Linear
0.2,0,0,Outemu Ocean Silent Linear
0.1,0,0,Outemu Ocean Silent Linear
-0.1,0,0,Outemu Ocean Silent Linear
-0.1,0,0,Outemu Ocean Silent Linear
0,0,0,Outemu Ocean Silent Linear
0.2,0.005,0,Outemu Ocean Silent Linear
0,0.005,0,Outemu Ocean Silent Linear
-0.1,0.005,0,Outemu Ocean Silent Linear
0,0.005,0,Outemu Ocean Silent Linear
0.2,0.01,0,Outemu Ocean Silent Linear
0,0.01,0,Outemu Ocean Silent Linear
-0.1,0.015,0,Outemu Ocean Silent Linear
-0.1,0.015,0,Outemu Ocean Silent Linear
0.1,0.02,0,Outemu Ocean Silent Linear
1.7,0.02,0,Outemu Ocean Silent Linear
4.5,0.025,0,Outemu Ocean Silent Linear
7,0.03,0,Outemu Ocean Silent Linear
9.1,0.03,0,Outemu Ocean Silent Linear
10,0.035,0,Outemu Ocean Silent Linear
11.1,0.035,0,Outemu Ocean Silent Linear
12.1,0.04,0,Outemu Ocean Silent Linear
13,0.04,0,Outemu Ocean Silent Linear
13.9,0.04,0,Outemu Ocean Silent Linear
14.6,0.045,0,Outemu Ocean Silent Linear
15.1,0.045,0,Outemu Ocean Silent Linear
16,0.045,0,Outemu Ocean Silent Linear
16.7,0.05,0,Outemu Ocean Silent Linear
16.9,0.05,0,Outemu Ocean Silent Linear
17.8,0.055,0,Outemu Ocean Silent Linear
18.6,0.055,0,Outemu Ocean Silent Linear
19.3,0.055,0,Outemu Ocean Silent Linear
20,0.06,0,Outemu Ocean Silent Linear
20.6,0.06,0,Outemu Ocean Silent Linear
21.3,0.065,0,Outemu Ocean Silent Linear
21.8,0.065,0,Outemu Ocean Silent Linear
22.1,0.065,0,Outemu Ocean Silent Linear
22.4,0.065,0,Outemu Ocean Silent Linear
22.8,0.07,0,Outemu Ocean Silent Linear
23.2,0.07,0,Outemu Ocean Silent Linear
23.5,0.07,0,Outemu Ocean Silent Linear
23.9,0.07,0,Outemu Ocean Silent Linear
24.4,0.075,0,Outemu Ocean Silent Linear
24.7,0.075,0,Outemu Ocean Silent Linear
25.1,0.075,0,Outemu Ocean Silent Linear
25.5,0.075,0,Outemu Ocean Silent Linear
25.8,0.08,0,Outemu Ocean Silent Linear
26.2,0.08,0,Outemu Ocean Silent Linear
26.5,0.08,0,Outemu Ocean Silent Linear
27,0.08,0,Outemu Ocean Silent Linear
27.6,0.085,0,Outemu Ocean Silent Linear
28.1,0.085,0,Outemu Ocean Silent Linear
28.4,0.09,0,Outemu Ocean Silent Linear
28.9,0.09,0,Outemu Ocean Silent Linear
29.4,0.095,0,Outemu Ocean Silent Linear
29.8,0.095,0,Outemu Ocean Silent Linear
30.2,0.1,0,Outemu Ocean Silent Linear
30.6,0.1,0,Outemu Ocean Silent Linear
31,0.1,0,Outemu Ocean Silent Linear
31.3,0.105,0,Outemu Ocean Silent Linear
31.5,0.105,0,Outemu Ocean Silent Linear
31.8,0.105,0,Outemu Ocean Silent Linear
32,0.11,0,Outemu Ocean Silent Linear
32.2,0.11,0,Outemu Ocean Silent Linear
32.4,0.11,0,Outemu Ocean Silent Linear
32.6,0.11,0,Outemu Ocean Silent Linear
32.6,0.115,0,Outemu Ocean Silent Linear
32.6,0.115,0,Outemu Ocean Silent Linear
32.7,0.115,0,Outemu Ocean Silent Linear
32.8,0.115,0,Outemu Ocean Silent Linear
32.8,0.12,0,Outemu Ocean Silent Linear
32.9,0.12,0,Outemu Ocean Silent Linear
33.1,0.12,0,Outemu Ocean Silent Linear
33.2,0.125,0,Outemu Ocean Silent Linear
33.3,0.125,0,Outemu Ocean Silent Linear
33.4,0.125,0,Outemu Ocean Silent Linear
33.5,0.13,0,Outemu Ocean Silent Linear
33.6,0.13,0,Outemu Ocean Silent Linear
33.8,0.13,0,Outemu Ocean Silent Linear
34,0.13,0,Outemu Ocean Silent Linear
34.1,0.135,0,Outemu Ocean Silent Linear
34.2,0.135,0,Outemu Ocean Silent Linear
34.4,0.135,0,Outemu Ocean Silent Linear
34.6,0.14,0,Outemu Ocean Silent Linear
34.8,0.14,0,Outemu Ocean Silent Linear
34.9,0.145,0,Outemu Ocean Silent Linear
35.1,0.145,0,Outemu Ocean Silent Linear
35.3,0.145,0,Outemu Ocean Silent Linear
35.5,0.15,0,Outemu Ocean Silent Linear
35.7,0.15,0,Outemu Ocean Silent Linear
36,0.155,0,Outemu Ocean Silent Linear
35.1,0.155,0,Outemu Ocean Silent Linear
35.3,0.16,0,Outemu Ocean Silent Linear
35.7,0.16,0,Outemu Ocean Silent Linear
36.1,0.16,0,Outemu Ocean Silent Linear
36.3,0.165,0,Outemu Ocean Silent Linear
36.5,0.165,0,Outemu Ocean Silent Linear
36.5,0.165,0,Outemu Ocean Silent Linear
36.4,0.17,0,Outemu Ocean Silent Linear
36.5,0.17,0,Outemu Ocean Silent Linear
36.5,0.17,0,Outemu Ocean Silent Linear
36.7,0.175,0,Outemu Ocean Silent Linear
36.5,0.175,0,Outemu Ocean Silent Linear
36.3,0.18,0,Outemu Ocean Silent Linear
36.4,0.18,0,Outemu Ocean Silent Linear
36.3,0.185,0,Outemu Ocean Silent Linear
36.3,0.185,0,Outemu Ocean Silent Linear
36.2,0.185,0,Outemu Ocean Silent Linear
36.3,0.19,0,Outemu Ocean Silent Linear
36.4,0.19,0,Outemu Ocean Silent Linear
36.5,0.195,0,Outemu Ocean Silent Linear
36.5,0.195,0,Outemu Ocean Silent Linear
36.5,0.2,0,Outemu Ocean Silent Linear
36.6,0.2,0,Outemu Ocean Silent Linear
36.7,0.205,0,Outemu Ocean Silent Linear
36.6,0.21,0,Outemu Ocean Silent Linear
36.7,0.21,0,Outemu Ocean Silent Linear
36.6,0.215,0,Outemu Ocean Silent Linear
36.5,0.22,0,Outemu Ocean Silent Linear
36.5,0.22,0,Outemu Ocean Silent Linear
36.5,0.225,0,Outemu Ocean Silent Linear
36.5,0.225,0,Outemu Ocean Silent Linear
36.6,0.23,0,Outemu Ocean Silent Linear
