force,displacement,judge,name
0,0,0,Outemu Peach V2
0,0,0,Outemu Peach V2
0,0,0,Outemu Peach V2
0,0,0,Outemu Peach V2
0,0,0,Outemu Peach V2
0,0,0,Outemu Peach V2
0,0,0,Outemu Peach V2
0,0,0,Outemu Peach V2
0,0,0,Outemu Peach V2
0,0,0,Outemu Peach V2
0,0,0,Outemu Peach V2
0,0,0,Outemu Peach V2
0,0,0,Outemu Peach V2
0,0,0,Outemu Peach V2
0,0,0,Outemu Peach V2
0,0,0,Outemu Peach V2
0,0,0,Outemu Peach V2
0,0,0,Outemu Peach V2
0,0.005,0,Outemu Peach V2
0,0.005,0,Outemu Peach V2
0,0.005,0,Outemu Peach V2
0,0.005,0,Outemu Peach V2
0,0.005,0,Outemu Peach V2
0,0.005,0,Outemu Peach V2
0,0.01,0,Outemu Peach V2
0,0.01,0,Outemu Peach V2
0,0.01,0,Outemu Peach V2
0,0.01,0,Outemu Peach V2
0,0.015,0,Outemu Peach V2
0,0.015,0,Outemu Peach V2
0.8,0.015,0,Outemu Peach V2
2.1,0.02,0,Outemu Peach V2
3.7,0.02,0,Outemu Peach V2
4.4,0.025,0,Outemu Peach V2
5.2,0.025,0,Outemu Peach V2
5.9,0.025,0,Outemu Peach V2
6.7,0.03,0,Outemu Peach V2
7.4,0.03,0,Outemu Peach V2
8.3,0.035,0,Outemu Peach V2
9,0.035,0,Outemu Peach V2
9.6,0.035,0,Outemu Peach V2
10,0.04,0,Outemu Peach V2
10.7,0.04,0,Outemu Peach V2
11.6,0.04,0,Outemu Peach V2
12.1,0.045,0,Outemu Peach V2
12.5,0.045,0,Outemu Peach V2
13.2,0.045,0,Outemu Peach V2
13.8,0.05,0,Outemu Peach V2
14.4,0.05,0,Outemu Peach V2
15,0.055,0,Outemu Peach V2
15.4,0.055,0,Outemu Peach V2
15.6,0.055,0,Outemu Peach V2
16.1,0.06,0,Outemu Peach V2
16.7,0.06,0,Outemu Peach V2
17.3,0.065,0,Outemu Peach V2
17.8,0.065,0,Outemu Peach V2
18.1,0.065,0,Outemu Peach V2
18.7,0.07,0,Outemu Peach V2
19.2,0.07,0,Outemu Peach V2
19.6,0.07,0,Outemu Peach V2
20.3,0.075,0,Outemu Peach V2
20.9,0.075,0,Outemu Peach V2
21.5,0.08,0,Outemu Peach V2
22.2,0.08,0,Outemu Peach V2
22.8,0.085,0,Outemu Peach V2
23.3,0.085,0,Outemu Peach V2
23.9,0.09,0,Outemu Peach V2
24.7,0.095,0,Outemu Peach V2
25.7,0.095,0,Outemu Peach V2
26.5,0.1,0,Outemu Peach V2
27.2,0.105,0,Outemu Peach V2
28.2,0.105,0,Outemu Peach V2
29.4,0.115,0,Outemu Peach V2
30.6,0.12,0,Outemu Peach V2
31.7,0.125,0,Outemu Peach V2
32.6,0.13,0,Outemu Peach V2
33.1,0.14,0,Outemu Peach V2
33.2,0.14,0,Outemu Peach V2
33.5,0.145,0,Outemu Peach V2
33.5,0.15,0,Outemu Peach V2
33.5,0.155,0,Outemu Peach V2
33.4,0.16,0,Outemu Peach V2
33.3,0.16,0,Outemu Peach V2
33.3,0.165,0,Outemu Peach V2
33.3,0.165,0,Outemu Peach V2
33.4,0.17,0,Outemu Peach V2
33.4,0.175,0,Outemu Peach V2
33.2,0.175,0,Outemu Peach V2
33.2,0.18,0,Outemu Peach V2
33.3,0.18,0,Outemu Peach V2
33.3,0.185,0,Outemu Peach V2
33.3,0.19,0,Outemu Peach V2
