force,displacement,judge,name
0,0,0,Outemu Red (Black Housing)
0,0,0,Outemu Red (Black Housing)
0,0,0,Outemu Red (Black Housing)
0,0,0,Outemu Red (Black Housing)
0,0,0,Outemu Red (Black Housing)
0,0,0,Outemu Red (Black Housing)
0,0,0,Outemu Red (Black Housing)
0,0,0,Outemu Red (Black Housing)
0,0,0,Outemu Red (Black Housing)
0,0,0,Outemu Red (Black Housing)
0,0,0,Outemu Red (Black Housing)
0,0,0,Outemu Red (Black Housing)
0,0,0,Outemu Red (Black Housing)
0,0,0,Outemu Red (Black Housing)
0,0,0,Outemu Red (Black Housing)
0,0,0,Outemu Red (Black Housing)
0,0,0,Outemu Red (Black Housing)
0,0,0,Outemu Red (Black Housing)
0,0,0,Outemu Red (Black Housing)
0,0,0,Outemu Red (Black Housing)
0.1,0,0,Outemu Red (Black Housing)
0,0,0,Outemu Red (Black Housing)
0,0,0,Outemu Red (Black Housing)
0,0.005,0,Outemu Red (Black Housing)
0,0.005,0,Outemu Red (Black Housing)
0,0.005,0,Outemu Red (Black Housing)
0,0.005,0,Outemu Red (Black Housing)
0,0.005,0,Outemu Red (Black Housing)
0,0.005,0,Outemu Red (Black Housing)
0,0.01,0,Outemu Red (Black Housing)
0,0.01,0,Outemu Red (Black Housing)
0.1,0.01,0,Outemu Red (Black Housing)
0.2,0.01,0,Outemu Red (Black Housing)
0.3,0.015,0,Outemu Red (Black Housing)
0.5,0.015,0,Outemu Red (Black Housing)
0.6,0.015,0,Outemu Red (Black Housing)
0.8,0.015,0,Outemu Red (Black Housing)
1.2,0.02,0,Outemu Red (Black Housing)
2.2,0.02,0,Outemu Red (Black Housing)
3.3,0.02,0,Outemu Red (Black Housing)
4.4,0.02,0,Outemu Red (Black Housing)
5.7,0.025,0,Outemu Red (Black Housing)
6.7,0.025,0,Outemu Red (Black Housing)
7.7,0.025,0,Outemu Red (Black Housing)
8.4,0.025,0,Outemu Red (Black Housing)
9.3,0.03,0,Outemu Red (Black Housing)
10.2,0.03,0,Outemu Red (Black Housing)
11.1,0.03,0,Outemu Red (Black Housing)
12.1,0.03,0,Outemu Red (Black Housing)
