force,displacement,judge,name
0,0,0,Outemu Smoky Blue
0,0,0,Outemu Smoky Blue
-0.1,0,0,Outemu Smoky Blue
0,0,0,Outemu Smoky Blue
0,0,0,Outemu Smoky Blue
0,0,0,Outemu Smoky Blue
0,0,0,Outemu Smoky Blue
0,0,0,Outemu Smoky Blue
0,0,0,Outemu Smoky Blue
0,0,0,Outemu Smoky Blue
-0.1,0,0,Outemu Smoky Blue
0,0,0,Outemu Smoky Blue
-0.1,0,0,Outemu Smoky Blue
-0.7,0,0,Outemu Smoky Blue
-0.3,0,0,Outemu Smoky Blue
0,0,0,Outemu Smoky Blue
0.1,0,0,Outemu Smoky Blue
0,0,0,Outemu Smoky Blue
0,0,0,Outemu Smoky Blue
0,0,0,Outemu Smoky Blue
0,0.005,0,Outemu Smoky Blue
0,0.005,0,Outemu Smoky Blue
0,0.01,0,Outemu Smoky Blue
0,0.015,0,Outemu Smoky Blue
0,0.03,0,Outemu Smoky Blue
0,0.04,0,Outemu Smoky Blue
4.6,0.045,0,Outemu Smoky Blue
10.3,0.055,0,Outemu Smoky Blue
15.5,0.06,0,Outemu Smoky Blue
19.9,0.065,0,Outemu Smoky Blue
23.2,0.07,0,Outemu Smoky Blue
26.3,0.07,0,Outemu Smoky Blue
27,0.075,0,Outemu Smoky Blue
27.1,0.08,0,Outemu Smoky Blue
27.7,0.08,0,Outemu Smoky Blue
28.5,0.085,0,Outemu Smoky Blue
29.3,0.09,0,Outemu Smoky Blue
30,0.095,0,Outemu Smoky Blue
30,0.095,0,Outemu Smoky Blue
29.9,0.1,0,Outemu Smoky Blue
29.9,0.105,0,Outemu Smoky Blue
29.9,0.105,0,Outemu Smoky Blue
29.8,0.105,0,Outemu Smoky Blue
30,0.11,0,Outemu Smoky Blue
30,0.11,0,Outemu Smoky Blue
30,0.115,0,Outemu Smoky Blue
29.9,0.115,0,Outemu Smoky Blue
30,0.115,0,Outemu Smoky Blue
30.1,0.12,0,Outemu Smoky Blue
30.2,0.12,0,Outemu Smoky Blue
30.3,0.12,0,Outemu Smoky Blue
30.3,0.125,0,Outemu Smoky Blue
30.2,0.13,0,Outemu Smoky Blue
30.1,0.13,0,Outemu Smoky Blue
30,0.135,0,Outemu Smoky Blue
30,0.135,0,Outemu Smoky Blue
29.9,0.14,0,Outemu Smoky Blue
29.8,0.14,0,Outemu Smoky Blue
29.8,0.145,0,Outemu Smoky Blue
29.6,0.15,0,Outemu Smoky Blue
29.4,0.15,0,Outemu Smoky Blue
29.2,0.15,0,Outemu Smoky Blue
29.2,0.155,0,Outemu Smoky Blue
29.1,0.155,0,Outemu Smoky Blue
29.1,0.155,0,Outemu Smoky Blue
29.3,0.16,0,Outemu Smoky Blue
29,0.16,0,Outemu Smoky Blue
28.8,0.165,0,Outemu Smoky Blue
28.8,0.165,0,Outemu Smoky Blue
28.9,0.17,0,Outemu Smoky Blue
28.9,0.175,0,Outemu Smoky Blue
28.9,0.175,0,Outemu Smoky Blue
28.9,0.18,0,Outemu Smoky Blue
28.8,0.185,0,Outemu Smoky Blue
28.7,0.19,0,Outemu Smoky Blue
28.7,0.19,0,Outemu Smoky Blue
28.6,0.195,0,Outemu Smoky Blue
28.7,0.195,0,Outemu Smoky Blue
28.7,0.2,0,Outemu Smoky Blue
