force,displacement,judge,name
0.1,0,0,Outemu Tom
-0.1,0,0,Outemu Tom
0,0,0,Outemu Tom
0,0,0,Outemu Tom
0,0,0,Outemu Tom
0,0,0,Outemu Tom
0.1,0,0,Outemu Tom
0,0,0,Outemu Tom
-0.1,0,0,Outemu Tom
0,0,0,Outemu Tom
0.1,0,0,Outemu Tom
-0.1,0,0,Outemu Tom
0,0,0,Outemu Tom
-0.1,0,0,Outemu Tom
0,0,0,Outemu Tom
0,0,0,Outemu Tom
-0.1,0,0,Outemu Tom
0.1,0,0,Outemu Tom
0.1,0,0,Outemu Tom
0,0.005,0,Outemu Tom
0,0.005,0,Outemu Tom
0,0.005,0,Outemu Tom
-0.1,0.005,0,Outemu Tom
0,0.01,0,Outemu Tom
-0.1,0.01,0,Outemu Tom
0,0.015,0,Outemu Tom
-0.1,0.02,0,Outemu Tom
-0.1,0.02,0,Outemu Tom
0,0.025,0,Outemu Tom
0,0.03,0,Outemu Tom
0,0.035,0,Outemu Tom
0.1,0.04,0,Outemu Tom
1.7,0.045,0,Outemu Tom
6.4,0.05,0,Outemu Tom
9.2,0.055,0,Outemu Tom
11.8,0.065,0,Outemu Tom
14.5,0.07,0,Outemu Tom
17,0.075,0,Outemu Tom
19.1,0.08,0,Outemu Tom
20.7,0.085,0,Outemu Tom
22.4,0.09,0,Outemu Tom
24.3,0.095,0,Outemu Tom
25.8,0.1,0,Outemu Tom
27.3,0.105,0,Outemu Tom
28.7,0.11,0,Outemu Tom
30,0.115,0,Outemu Tom
31,0.125,0,Outemu Tom
31.8,0.125,0,Outemu Tom
32.4,0.13,0,Outemu Tom
32.8,0.135,0,Outemu Tom
33.2,0.135,0,Outemu Tom
33.4,0.14,0,Outemu Tom
33.5,0.145,0,Outemu Tom
33.6,0.145,0,Outemu Tom
33.7,0.15,0,Outemu Tom
33.8,0.155,0,Outemu Tom
33.8,0.155,0,Outemu Tom
34,0.16,0,Outemu Tom
33.9,0.165,0,Outemu Tom
33.9,0.165,0,Outemu Tom
33.9,0.165,0,Outemu Tom
34,0.17,0,Outemu Tom
34,0.17,0,Outemu Tom
34,0.175,0,Outemu Tom
33.9,0.175,0,Outemu Tom
33.8,0.175,0,Outemu Tom
33.8,0.175,0,Outemu Tom
33.8,0.175,0,Outemu Tom
33.9,0.18,0,Outemu Tom
34,0.18,0,Outemu Tom
34.1,0.18,0,Outemu Tom
34.2,0.185,0,Outemu Tom
34.5,0.19,0,Outemu Tom
34.7,0.195,0,Outemu Tom
34.8,0.2,0,Outemu Tom
35,0.21,0,Outemu Tom
35.1,0.215,0,Outemu Tom
35.2,0.22,0,Outemu Tom
35.4,0.225,0,Outemu Tom
