force,displacement,judge,name
0,0,0,Philikey Blue and White
0,0,0,Philikey Blue and White
0,0,0,Philikey Blue and White
0,0,0,Philikey Blue and White
0,0,0,Philikey Blue and White
0,0,0,Philikey Blue and White
0,0,0,Philikey Blue and White
0,0,0,Philikey Blue and White
0,0,0,Philikey Blue and White
0,0,0,Philikey Blue and White
0,0,0,Philikey Blue and White
0,0,0,Philikey Blue and White
0,0,0,Philikey Blue and White
0,0,0,Philikey Blue and White
0,0,0,Philikey Blue and White
0,0,0,Philikey Blue and White
0,0,0,Philikey Blue and White
0,0,0,Philikey Blue and White
0,0,0,Philikey Blue and White
0,0,0,Philikey Blue and White
0,0,0,Philikey Blue and White
0,0,0,Philikey Blue and White
0,0.005,0,Philikey Blue and White
0,0.005,0,Philikey Blue and White
0,0.005,0,Philikey Blue and White
0,0.005,0,Philikey Blue and White
-0.1,0.005,0,Philikey Blue and White
0,0.005,0,Philikey Blue and White
0,0.01,0,Philikey Blue and White
0,0.015,0,Philikey Blue and White
3.9,0.02,0,Philikey Blue and White
9.3,0.025,0,Philikey Blue and White
14.2,0.03,0,Philikey Blue and White
17.9,0.035,0,Philikey Blue and White
21,0.04,0,Philikey Blue and White
23.2,0.04,0,Philikey Blue and White
25.2,0.04,0,Philikey Blue and White
26.6,0.045,0,Philikey Blue and White
29.6,0.045,0,Philikey Blue and White
31.9,0.05,0,Philikey Blue and White
33.7,0.05,0,Philikey Blue and White
34.8,0.055,0,Philikey Blue and White
36.1,0.055,0,Philikey Blue and White
36.9,0.06,0,Philikey Blue and White
36.5,0.065,0,Philikey Blue and White
36.7,0.065,0,Philikey Blue and White
36.8,0.065,0,Philikey Blue and White
36.9,0.07,0,Philikey Blue and White
37.3,0.07,0,Philikey Blue and White
37.4,0.075,0,Philikey Blue and White
37.4,0.075,0,Philikey Blue and White
37.5,0.08,0,Philikey Blue and White
37.7,0.08,0,Philikey Blue and White
37.8,0.08,0,Philikey Blue and White
37.5,0.08,0,Philikey Blue and White
37.4,0.08,0,Philikey Blue and White
37.7,0.085,0,Philikey Blue and White
37.9,0.085,0,Philikey Blue and White
37.9,0.085,0,Philikey Blue and White
37.8,0.085,0,Philikey Blue and White
37.9,0.085,0,Philikey Blue and White
38.2,0.085,0,Philikey Blue and White
38.5,0.09,0,Philikey Blue and White
38.5,0.09,0,Philikey Blue and White
38.5,0.09,0,Philikey Blue and White
38.5,0.095,0,Philikey Blue and White
38.8,0.1,0,Philikey Blue and White
38.6,0.1,0,Philikey Blue and White
38.5,0.105,0,Philikey Blue and White
38.5,0.11,0,Philikey Blue and White
38.5,0.11,0,Philikey Blue and White
38.5,0.115,0,Philikey Blue and White
38.4,0.115,0,Philikey Blue and White
38.5,0.12,0,Philikey Blue and White
38.6,0.12,0,Philikey Blue and White
38.5,0.12,0,Philikey Blue and White
38.5,0.125,0,Philikey Blue and White
38.4,0.13,0,Philikey Blue and White
38.2,0.13,0,Philikey Blue and White
38.2,0.135,0,Philikey Blue and White
37.9,0.14,0,Philikey Blue and White
37.8,0.14,0,Philikey Blue and White
37.8,0.145,0,Philikey Blue and White
37.9,0.15,0,Philikey Blue and White
37.9,0.15,0,Philikey Blue and White
