force,displacement,judge,name
0,0,0,Philikeys White
0,0,0,Philikeys White
0,0,0,Philikeys White
0,0,0,Philikeys White
0,0,0,Philikeys White
0,0,0,Philikeys White
0,0,0,Philikeys White
0,0,0,Philikeys White
0,0,0,Philikeys White
0,0,0,Philikeys White
0,0,0,Philikeys White
0,0,0,Philikeys White
0,0,0,Philikeys White
0,0,0,Philikeys White
0,0,0,Philikeys White
0,0,0,Philikeys White
0,0,0,Philikeys White
0,0.005,0,Philikeys White
0,0.005,0,Philikeys White
0,0.005,0,Philikeys White
0,0.01,0,Philikeys White
0,0.01,0,Philikeys White
0,0.015,0,Philikeys White
0,0.015,0,Philikeys White
0,0.02,0,Philikeys White
0,0.02,0,Philikeys White
0,0.025,0,Philikeys White
0.6,0.03,0,Philikeys White
1.7,0.03,0,Philikeys White
5.4,0.035,0,Philikeys White
9.3,0.04,0,Philikeys White
12.6,0.045,0,Philikeys White
15.9,0.05,0,Philikeys White
19.1,0.055,0,Philikeys White
22,0.055,0,Philikeys White
24.4,0.06,0,Philikeys White
26.4,0.06,0,Philikeys White
28.4,0.06,0,Philikeys White
30.3,0.065,0,Philikeys White
32.3,0.065,0,Philikeys White
34.2,0.07,0,Philikeys White
36,0.075,0,Philikeys White
37.4,0.075,0,Philikeys White
38.2,0.08,0,Philikeys White
38.6,0.08,0,Philikeys White
38.8,0.085,0,Philikeys White
38.3,0.09,0,Philikeys White
37.8,0.095,0,Philikeys White
37.7,0.095,0,Philikeys White
37.6,0.1,0,Philikeys White
37.3,0.105,0,Philikeys White
37.2,0.11,0,Philikeys White
37.2,0.115,0,Philikeys White
36.9,0.12,0,Philikeys White
36.7,0.12,0,Philikeys White
36.5,0.125,0,Philikeys White
36.3,0.13,0,Philikeys White
36,0.135,0,Philikeys White
35.8,0.14,0,Philikeys White
35.7,0.145,0,Philikeys White
35.4,0.15,0,Philikeys White
35.4,0.155,0,Philikeys White
35.3,0.16,0,Philikeys White
35.1,0.165,0,Philikeys White
35,0.17,0,Philikeys White
34.8,0.175,0,Philikeys White
34.8,0.18,0,Philikeys White
34.7,0.185,0,Philikeys White
34.6,0.19,0,Philikeys White
34.6,0.19,0,Philikeys White
34.6,0.195,0,Philikeys White
34.6,0.2,0,Philikeys White
34.6,0.2,0,Philikeys White
34.6,0.205,0,Philikeys White
34.7,0.205,0,Philikeys White
34.8,0.21,0,Philikeys White
34.7,0.215,0,Philikeys White
34.9,0.215,0,Philikeys White
34.9,0.22,0,Philikeys White
34.9,0.225,0,Philikeys White
34.9,0.225,0,Philikeys White
35,0.23,0,Philikeys White
34.9,0.23,0,Philikeys White
35.1,0.235,0,Philikeys White
35.1,0.235,0,Philikeys White
35.2,0.24,0,Philikeys White
35.4,0.24,0,Philikeys White
35.5,0.245,0,Philikeys White
35.7,0.245,0,Philikeys White
35.7,0.25,0,Philikeys White
36,0.25,0,Philikeys White
36.1,0.255,0,Philikeys White
36.2,0.26,0,Philikeys White
36.3,0.26,0,Philikeys White
36.4,0.265,0,Philikeys White
36.5,0.265,0,Philikeys White
36.7,0.27,0,Philikeys White
37,0.275,0,Philikeys White
37.1,0.28,0,Philikeys White
37.1,0.28,0,Philikeys White
37.2,0.285,0,Philikeys White
37.4,0.29,0,Philikeys White
37.5,0.295,0,Philikeys White
37.7,0.3,0,Philikeys White
38.2,0.3,0,Philikeys White
38.3,0.305,0,Philikeys White
38.4,0.31,0,Philikeys White
38.5,0.315,0,Philikeys White
39,0.315,0,Philikeys White
39.4,0.32,0,Philikeys White
39.6,0.325,0,Philikeys White
39.9,0.33,0,Philikeys White
40.3,0.335,0,Philikeys White
40.5,0.345,0,Philikeys White
40.3,0.345,0,Philikeys White
40.8,0.35,0,Philikeys White
41,0.355,0,Philikeys White
41.3,0.36,0,Philikeys White
41.7,0.37,0,Philikeys White
42,0.38,0,Philikeys White
42.4,0.385,0,Philikeys White
42.8,0.395,0,Philikeys White
42.8,0.4,0,Philikeys White
43.2,0.405,0,Philikeys White
44,0.41,0,Philikeys White
45.3,0.425,0,Philikeys White
46.3,0.435,0,Philikeys White
47.1,0.44,0,Philikeys White
47.3,0.445,0,Philikeys White
47.4,0.45,0,Philikeys White
47.4,0.455,0,Philikeys White
46.4,0.455,0,Philikeys White
46.9,0.46,0,Philikeys White
45.4,0.465,0,Philikeys White
44.6,0.47,0,Philikeys White
45.1,0.475,0,Philikeys White
46,0.48,0,Philikeys White
46.8,0.485,0,Philikeys White
47.1,0.485,0,Philikeys White
47.2,0.49,0,Philikeys White
47.7,0.49,0,Philikeys White
47.9,0.495,0,Philikeys White
48.1,0.495,0,Philikeys White
48.2,0.495,0,Philikeys White
48.3,0.5,0,Philikeys White
48.5,0.5,0,Philikeys White
48.8,0.5,0,Philikeys White
49.1,0.5,0,Philikeys White
49.3,0.505,0,Philikeys White
49.7,0.505,0,Philikeys White
49.8,0.51,0,Philikeys White
49.7,0.51,0,Philikeys White
49.4,0.51,0,Philikeys White
49.7,0.51,0,Philikeys White
49.9,0.515,0,Philikeys White
50.2,0.515,0,Philikeys White
50.7,0.515,0,Philikeys White
50.7,0.52,0,Philikeys White
51.3,0.525,0,Philikeys White
52.6,0.53,0,Philikeys White
54,0.54,0,Philikeys White
54.9,0.55,0,Philikeys White
55.7,0.555,0,Philikeys White
56,0.56,0,Philikeys White
56.1,0.565,0,Philikeys White
56.1,0.57,0,Philikeys White
56.4,0.57,0,Philikeys White
56.1,0.575,0,Philikeys White
56.6,0.575,0,Philikeys White
56.5,0.58,0,Philikeys White
56.5,0.585,0,Philikeys White
56.9,0.59,0,Philikeys White
56.9,0.595,0,Philikeys White
56.8,0.6,0,Philikeys White
56.8,0.605,0,Philikeys White
56.6,0.61,0,Philikeys White
56.6,0.61,0,Philikeys White
56.6,0.615,0,Philikeys White
56.4,0.615,0,Philikeys White
56.4,0.615,0,Philikeys White
56.5,0.615,0,Philikeys White
56.9,0.615,0,Philikeys White
57.4,0.62,0,Philikeys White
56.8,0.625,0,Philikeys White
57,0.63,0,Philikeys White
56.8,0.635,0,Philikeys White
56.7,0.635,0,Philikeys White
56.5,0.64,0,Philikeys White
56.7,0.64,0,Philikeys White
56.5,0.64,0,Philikeys White
56.5,0.64,0,Philikeys White
56.5,0.64,0,Philikeys White
56.8,0.645,0,Philikeys White
56.7,0.645,0,Philikeys White
56.8,0.645,0,Philikeys White
57.1,0.645,0,Philikeys White
57.3,0.65,0,Philikeys White
57.2,0.65,0,Philikeys White
57.1,0.655,0,Philikeys White
57.1,0.655,0,Philikeys White
56.8,0.655,0,Philikeys White
57,0.655,0,Philikeys White
57.1,0.66,0,Philikeys White
57.4,0.66,0,Philikeys White
57.4,0.66,0,Philikeys White
57,0.665,0,Philikeys White
56.9,0.665,0,Philikeys White
57.4,0.665,0,Philikeys White
57.8,0.67,0,Philikeys White
57.5,0.67,0,Philikeys White
57.5,0.67,0,Philikeys White
57.4,0.675,0,Philikeys White
57.5,0.675,0,Philikeys White
57.7,0.675,0,Philikeys White
57.9,0.68,0,Philikeys White
57.9,0.685,0,Philikeys White
58,0.69,0,Philikeys White
58,0.69,0,Philikeys White
58.2,0.695,0,Philikeys White
58,0.7,0,Philikeys White
58.4,0.705,0,Philikeys White
58.3,0.71,0,Philikeys White
58.3,0.71,0,Philikeys White
58.3,0.715,0,Philikeys White
58.3,0.715,0,Philikeys White
58.3,0.72,0,Philikeys White
58.5,0.72,0,Philikeys White
58.4,0.72,0,Philikeys White
58.6,0.725,0,Philikeys White
