force,displacement,judge,name
0,0,0,Pink 43Studio Prototype
-0.1,0,0,Pink 43Studio Prototype
0,0,0,Pink 43Studio Prototype
0,0,0,Pink 43Studio Prototype
0,0,0,Pink 43Studio Prototype
0,0,0,Pink 43Studio Prototype
-0.1,0,0,Pink 43Studio Prototype
-0.1,0,0,Pink 43Studio Prototype
0,0,0,Pink 43Studio Prototype
0,0,0,Pink 43Studio Prototype
0,0,0,Pink 43Studio Prototype
0,0,0,Pink 43Studio Prototype
0,0,0,Pink 43Studio Prototype
0,0,0,Pink 43Studio Prototype
-0.1,0,0,Pink 43Studio Prototype
0.1,0,0,Pink 43Studio Prototype
0,0,0,Pink 43Studio Prototype
-0.1,0,0,Pink 43Studio Prototype
0,0,0,Pink 43Studio Prototype
0,0,0,Pink 43Studio Prototype
0,0,0,Pink 43Studio Prototype
0,0,0,Pink 43Studio Prototype
-0.1,0,0,Pink 43Studio Prototype
0,0.005,0,Pink 43Studio Prototype
0,0.005,0,Pink 43Studio Prototype
0,0.005,0,Pink 43Studio Prototype
-0.1,0.005,0,Pink 43Studio Prototype
0,0.01,0,Pink 43Studio Prototype
0,0.01,0,Pink 43Studio Prototype
0,0.015,0,Pink 43Studio Prototype
0,0.025,0,Pink 43Studio Prototype
0,0.03,0,Pink 43Studio Prototype
0,0.04,0,Pink 43Studio Prototype
-0.1,0.05,0,Pink 43Studio Prototype
0,0.06,0,Pink 43Studio Prototype
0,0.07,0,Pink 43Studio Prototype
0,0.08,0,Pink 43Studio Prototype
-0.1,0.09,0,Pink 43Studio Prototype
0,0.1,0,Pink 43Studio Prototype
0.9,0.105,0,Pink 43Studio Prototype
6.2,0.115,0,Pink 43Studio Prototype
12.7,0.12,0,Pink 43Studio Prototype
19.1,0.13,0,Pink 43Studio Prototype
24.8,0.135,0,Pink 43Studio Prototype
27.7,0.14,0,Pink 43Studio Prototype
28.7,0.145,0,Pink 43Studio Prototype
28.5,0.145,0,Pink 43Studio Prototype
28.7,0.15,0,Pink 43Studio Prototype
28.8,0.155,0,Pink 43Studio Prototype
29.6,0.16,0,Pink 43Studio Prototype
30.4,0.165,0,Pink 43Studio Prototype
30.6,0.17,0,Pink 43Studio Prototype
31.2,0.175,0,Pink 43Studio Prototype
31.7,0.175,0,Pink 43Studio Prototype
32.2,0.18,0,Pink 43Studio Prototype
32.9,0.185,0,Pink 43Studio Prototype
33.3,0.19,0,Pink 43Studio Prototype
33.6,0.195,0,Pink 43Studio Prototype
33.4,0.2,0,Pink 43Studio Prototype
33.2,0.2,0,Pink 43Studio Prototype
33.2,0.205,0,Pink 43Studio Prototype
33.4,0.21,0,Pink 43Studio Prototype
33.5,0.21,0,Pink 43Studio Prototype
33.6,0.215,0,Pink 43Studio Prototype
33.6,0.215,0,Pink 43Studio Prototype
33.6,0.22,0,Pink 43Studio Prototype
33.4,0.225,0,Pink 43Studio Prototype
