force,displacement,judge,name
0,0,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
0,0,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
0,0,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
0,0,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
0.1,0,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
0,0,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
0,0,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
-0.1,0,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
0,0,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
-0.1,0,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
0,0,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
0,0,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
0.1,0,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
0,0,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
0,0,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
0,0,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
0,0.005,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
0,0.005,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
0,0.01,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
0.5,0.015,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
6.6,0.02,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
12.1,0.03,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
16.4,0.035,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
19.6,0.035,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
22.4,0.04,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
25.2,0.04,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
27.5,0.045,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
29.8,0.045,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
31.7,0.05,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
33.1,0.05,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
34.6,0.05,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
35.7,0.055,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
36.9,0.055,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
37.8,0.055,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
38.7,0.06,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
39.4,0.06,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
39.9,0.06,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.1,0.06,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.5,0.065,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.6,0.065,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.9,0.065,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.7,0.07,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.7,0.07,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.8,0.07,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.8,0.075,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.8,0.075,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.9,0.075,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41,0.08,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41,0.08,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41,0.085,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.1,0.085,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.3,0.09,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.3,0.09,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.4,0.095,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.3,0.1,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.5,0.1,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.3,0.105,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.3,0.11,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.3,0.115,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.1,0.12,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.1,0.125,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.1,0.13,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.1,0.135,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41,0.14,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.9,0.14,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.9,0.145,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.8,0.15,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.9,0.15,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.9,0.155,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.9,0.16,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.9,0.16,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.9,0.165,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.8,0.17,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.8,0.175,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.8,0.18,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.9,0.18,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.9,0.185,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.9,0.19,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.8,0.195,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.8,0.2,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.7,0.2,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.6,0.205,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.6,0.21,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.8,0.21,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.8,0.215,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.7,0.22,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.7,0.225,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.8,0.225,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.8,0.23,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.8,0.235,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.8,0.235,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.9,0.24,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.8,0.245,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.8,0.25,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.8,0.25,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.7,0.255,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.7,0.26,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.7,0.26,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.6,0.265,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.7,0.265,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.7,0.27,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.7,0.27,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.7,0.275,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.7,0.275,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.7,0.28,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.7,0.28,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.7,0.285,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.8,0.285,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.7,0.29,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.8,0.295,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.8,0.295,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.9,0.3,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.9,0.3,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.9,0.305,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.9,0.31,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.9,0.31,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.9,0.315,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.9,0.32,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41,0.32,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.9,0.325,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.9,0.33,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.9,0.335,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.9,0.34,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.9,0.34,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
40.9,0.345,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41,0.35,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.1,0.355,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.1,0.355,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.1,0.36,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.2,0.365,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.2,0.37,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.2,0.375,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.2,0.375,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.2,0.38,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.3,0.385,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.3,0.385,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.3,0.39,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.3,0.39,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.3,0.395,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.3,0.4,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.3,0.4,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.3,0.405,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.3,0.41,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.3,0.41,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.3,0.415,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.3,0.42,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.4,0.42,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.4,0.425,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.4,0.43,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.4,0.435,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.4,0.435,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.5,0.44,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
41.5,0.445,0,Polycarbonate over Nylon Matcha Latte V2 Prototype
