force,displacement,judge,name
0.1,0,0,Popcorn
0.2,0,0,Popcorn
-0.1,0,0,Popcorn
-0.1,0,0,Popcorn
0,0,0,Popcorn
-0.1,0,0,Popcorn
-0.1,0,0,Popcorn
0,0,0,Popcorn
0.1,0,0,Popcorn
-0.1,0,0,Popcorn
0.1,0,0,Popcorn
0,0,0,Popcorn
0,0,0,Popcorn
0,0,0,Popcorn
0,0,0,Popcorn
0.1,0,0,Popcorn
0,0,0,Popcorn
-0.1,0,0,Popcorn
-0.1,0,0,Popcorn
0,0,0,Popcorn
0,0,0,Popcorn
0.1,0,0,Popcorn
0,0,0,Popcorn
-0.1,0,0,Popcorn
-0.1,0,0,Popcorn
0,0,0,Popcorn
-0.1,0,0,Popcorn
-0.1,0,0,Popcorn
0,0.005,0,Popcorn
0,0.005,0,Popcorn
-0.1,0.015,0,Popcorn
-0.2,0.02,0,Popcorn
0,0.025,0,Popcorn
-0.1,0.035,0,Popcorn
0,0.04,0,Popcorn
0,0.055,0,Popcorn
0.1,0.07,0,Popcorn
-0.1,0.09,0,Popcorn
-0.2,0.11,0,Popcorn
-0.1,0.125,0,Popcorn
0,0.135,0,Popcorn
0,0.145,0,Popcorn
-0.1,0.16,0,Popcorn
-0.1,0.17,0,Popcorn
-0.1,0.18,0,Popcorn
0,0.195,0,Popcorn
0.1,0.205,0,Popcorn
0,0.215,0,Popcorn
0,0.225,0,Popcorn
3.6,0.235,0,Popcorn
16.5,0.25,0,Popcorn
28,0.265,0,Popcorn
36.4,0.275,0,Popcorn
43.4,0.28,0,Popcorn
49.2,0.29,0,Popcorn
53.7,0.295,0,Popcorn
57.3,0.3,0,Popcorn
58.2,0.305,0,Popcorn
58.5,0.31,0,Popcorn
58.7,0.315,0,Popcorn
58.3,0.315,0,Popcorn
58.2,0.32,0,Popcorn
58.3,0.325,0,Popcorn
58.3,0.33,0,Popcorn
58.4,0.335,0,Popcorn
58.4,0.34,0,Popcorn
58.3,0.35,0,Popcorn
58.4,0.355,0,Popcorn
58.3,0.36,0,Popcorn
58.3,0.365,0,Popcorn
58.3,0.37,0,Popcorn
58.4,0.375,0,Popcorn
58.3,0.385,0,Popcorn
58.3,0.39,0,Popcorn
58.2,0.395,0,Popcorn
58.2,0.4,0,Popcorn
58.1,0.405,0,Popcorn
58,0.41,0,Popcorn
58,0.415,0,Popcorn
57.9,0.42,0,Popcorn
57.8,0.43,0,Popcorn
57.7,0.435,0,Popcorn
57.7,0.445,0,Popcorn
57.6,0.45,0,Popcorn
57.5,0.455,0,Popcorn
57.4,0.46,0,Popcorn
57.3,0.47,0,Popcorn
57.2,0.475,0,Popcorn
57.1,0.48,0,Popcorn
57,0.485,0,Popcorn
56.9,0.49,0,Popcorn
57,0.495,0,Popcorn
56.9,0.5,0,Popcorn
56.9,0.5,0,Popcorn
56.7,0.505,0,Popcorn
56.9,0.505,0,Popcorn
56.8,0.51,0,Popcorn
56.8,0.515,0,Popcorn
56.6,0.515,0,Popcorn
56.5,0.52,0,Popcorn
56.5,0.525,0,Popcorn
56.4,0.53,0,Popcorn
56.4,0.53,0,Popcorn
56.3,0.535,0,Popcorn
56.3,0.54,0,Popcorn
56.2,0.54,0,Popcorn
56.2,0.545,0,Popcorn
56.1,0.55,0,Popcorn
56,0.555,0,Popcorn
56,0.555,0,Popcorn
55.9,0.56,0,Popcorn
55.7,0.565,0,Popcorn
55.5,0.57,0,Popcorn
55.4,0.575,0,Popcorn
55.4,0.58,0,Popcorn
55.3,0.585,0,Popcorn
55.2,0.59,0,Popcorn
55.2,0.595,0,Popcorn
55.1,0.6,0,Popcorn
55.2,0.6,0,Popcorn
55.1,0.605,0,Popcorn
55.1,0.605,0,Popcorn
55.1,0.61,0,Popcorn
55,0.61,0,Popcorn
55,0.615,0,Popcorn
55,0.615,0,Popcorn
55,0.62,0,Popcorn
54.9,0.62,0,Popcorn
54.9,0.62,0,Popcorn
54.9,0.625,0,Popcorn
55,0.625,0,Popcorn
