force,displacement,judge,name
0,0,0,Popu
0,0,0,Popu
0,0,0,Popu
-0.1,0,0,Popu
0.1,0,0,Popu
0.2,0,0,Popu
0,0,0,Popu
0,0,0,Popu
0,0,0,Popu
0.1,0,0,Popu
0.1,0,0,Popu
0,0,0,Popu
0,0,0,Popu
-0.3,0,0,Popu
-0.3,0,0,Popu
0,0,0,Popu
0.2,0,0,Popu
0,0,0,Popu
0,0,0,Popu
0,0,0,Popu
0.1,0,0,Popu
0,0,0,Popu
0,0,0,Popu
0,0,0,Popu
0,0,0,Popu
0,0,0,Popu
0,0.005,0,Popu
0,0.005,0,Popu
0,0.01,0,Popu
0,0.01,0,Popu
0,0.015,0,Popu
0,0.02,0,Popu
0,0.025,0,Popu
0,0.03,0,Popu
0,0.035,0,Popu
0.1,0.045,0,Popu
0,0.05,0,Popu
0,0.06,0,Popu
0,0.065,0,Popu
0,0.065,0,Popu
0,0.07,0,Popu
0.1,0.075,0,Popu
0,0.075,0,Popu
0,0.08,0,Popu
0.1,0.08,0,Popu
0,0.085,0,Popu
0,0.085,0,Popu
0.1,0.09,0,Popu
0.1,0.095,0,Popu
0,0.095,0,Popu
0,0.095,0,Popu
0,0.1,0,Popu
0.1,0.1,0,Popu
0.1,0.105,0,Popu
0,0.105,0,Popu
0,0.11,0,Popu
0.1,0.11,0,Popu
-0.1,0.115,0,Popu
0.1,0.115,0,Popu
0,0.12,0,Popu
0,0.125,0,Popu
0,0.13,0,Popu
0.1,0.13,0,Popu
0,0.135,0,Popu
0,0.14,0,Popu
0,0.145,0,Popu
0,0.15,0,Popu
0.1,0.155,0,Popu
0.1,0.16,0,Popu
0,0.165,0,Popu
0,0.17,0,Popu
0.1,0.175,0,Popu
0.1,0.18,0,Popu
0,0.185,0,Popu
0,0.195,0,Popu
0,0.2,0,Popu
0.1,0.21,0,Popu
0,0.22,0,Popu
0,0.235,0,Popu
0,0.24,0,Popu
0,0.245,0,Popu
0,0.25,0,Popu
0.1,0.255,0,Popu
0,0.265,0,Popu
0,0.27,0,Popu
0.1,0.275,0,Popu
0,0.28,0,Popu
0.1,0.28,0,Popu
0,0.285,0,Popu
0,0.29,0,Popu
0,0.29,0,Popu
0,0.295,0,Popu
0,0.3,0,Popu
0,0.3,0,Popu
0,0.305,0,Popu
0,0.31,0,Popu
0,0.31,0,Popu
0,0.315,0,Popu
0.1,0.315,0,Popu
0,0.32,0,Popu
0.1,0.325,0,Popu
0.1,0.33,0,Popu
0.1,0.33,0,Popu
0,0.335,0,Popu
0,0.34,0,Popu
0,0.345,0,Popu
0.1,0.345,0,Popu
0,0.35,0,Popu
-0.1,0.355,0,Popu
0,0.36,0,Popu
0,0.365,0,Popu
0,0.37,0,Popu
0,0.375,0,Popu
0,0.375,0,Popu
0,0.38,0,Popu
0.1,0.38,0,Popu
0,0.385,0,Popu
0,0.39,0,Popu
0,0.39,0,Popu
0,0.395,0,Popu
0,0.4,0,Popu
0,0.4,0,Popu
0,0.405,0,Popu
0,0.41,0,Popu
0,0.415,0,Popu
0,0.42,0,Popu
0,0.425,0,Popu
0,0.435,0,Popu
0,0.44,0,Popu
0.1,0.445,0,Popu
3.1,0.45,0,Popu
8.5,0.455,0,Popu
13.5,0.46,0,Popu
17.6,0.465,0,Popu
20.6,0.47,0,Popu
22.9,0.47,0,Popu
25.2,0.475,0,Popu
27.6,0.475,0,Popu
30.1,0.48,0,Popu
32.5,0.48,0,Popu
34.8,0.485,0,Popu
37.1,0.485,0,Popu
38.1,0.49,0,Popu
38.1,0.495,0,Popu
38.3,0.495,0,Popu
38.1,0.5,0,Popu
38.4,0.505,0,Popu
38.5,0.505,0,Popu
38.6,0.51,0,Popu
38.5,0.51,0,Popu
38.5,0.515,0,Popu
38.6,0.515,0,Popu
38.5,0.52,0,Popu
38.5,0.52,0,Popu
38.5,0.525,0,Popu
38.4,0.525,0,Popu
38.3,0.525,0,Popu
38.3,0.53,0,Popu
38.3,0.53,0,Popu
38.2,0.53,0,Popu
38.3,0.535,0,Popu
38.3,0.535,0,Popu
38.4,0.54,0,Popu
38.4,0.54,0,Popu
38.4,0.545,0,Popu
38.3,0.545,0,Popu
38.3,0.55,0,Popu
38.4,0.55,0,Popu
38.4,0.555,0,Popu
38.3,0.56,0,Popu
38,0.56,0,Popu
37.9,0.565,0,Popu
37.7,0.57,0,Popu
37.6,0.57,0,Popu
37.5,0.575,0,Popu
37.4,0.58,0,Popu
37.1,0.58,0,Popu
37,0.58,0,Popu
37.1,0.58,0,Popu
