force,displacement,judge,name
0,0,0,ProWorld Clicky
-0.1,0,0,ProWorld Clicky
-0.2,0,0,ProWorld Clicky
0.2,0,0,ProWorld Clicky
0,0,0,ProWorld Clicky
0,0,0,ProWorld Clicky
-0.1,0,0,ProWorld Clicky
0,0,0,ProWorld Clicky
-0.1,0,0,ProWorld Clicky
0,0,0,ProWorld Clicky
0.1,0,0,ProWorld Clicky
0.2,0,0,ProWorld Clicky
0,0,0,ProWorld Clicky
-0.1,0,0,ProWorld Clicky
0.1,0,0,ProWorld Clicky
0,0,0,ProWorld Clicky
0,0,0,ProWorld Clicky
0,0,0,ProWorld Clicky
0.1,0,0,ProWorld Clicky
0,0.005,0,ProWorld Clicky
-0.1,0.005,0,ProWorld Clicky
0,0.01,0,ProWorld Clicky
0,0.015,0,ProWorld Clicky
0,0.025,0,ProWorld Clicky
0,0.04,0,ProWorld Clicky
0.1,0.05,0,ProWorld Clicky
0.1,0.06,0,ProWorld Clicky
0,0.07,0,ProWorld Clicky
0,0.08,0,ProWorld Clicky
7.3,0.09,0,ProWorld Clicky
14.5,0.095,0,ProWorld Clicky
21.5,0.105,0,ProWorld Clicky
27.9,0.11,0,ProWorld Clicky
33.4,0.12,0,ProWorld Clicky
37.7,0.125,0,ProWorld Clicky
40.4,0.125,0,ProWorld Clicky
40,0.13,0,ProWorld Clicky
40.8,0.135,0,ProWorld Clicky
41.2,0.14,0,ProWorld Clicky
42,0.145,0,ProWorld Clicky
42.7,0.155,0,ProWorld Clicky
43,0.165,0,ProWorld Clicky
42.1,0.17,0,ProWorld Clicky
42,0.175,0,ProWorld Clicky
42.1,0.18,0,ProWorld Clicky
42.3,0.185,0,ProWorld Clicky
42.2,0.185,0,ProWorld Clicky
41.8,0.19,0,ProWorld Clicky
42,0.2,0,ProWorld Clicky
41.4,0.2,0,ProWorld Clicky
41.8,0.205,0,ProWorld Clicky
42,0.21,0,ProWorld Clicky
41.8,0.215,0,ProWorld Clicky
41.6,0.215,0,ProWorld Clicky
41.5,0.215,0,ProWorld Clicky
42,0.22,0,ProWorld Clicky
42.1,0.225,0,ProWorld Clicky
42,0.23,0,ProWorld Clicky
41.8,0.23,0,ProWorld Clicky
41.7,0.235,0,ProWorld Clicky
41.8,0.24,0,ProWorld Clicky
42,0.245,0,ProWorld Clicky
41.8,0.25,0,ProWorld Clicky
41.5,0.255,0,ProWorld Clicky
41.7,0.26,0,ProWorld Clicky
41.9,0.265,0,ProWorld Clicky
41.8,0.27,0,ProWorld Clicky
