force,displacement,judge,name
0.1,0,0,PunkShoo Melody
0,0,0,PunkShoo Melody
0.1,0,0,PunkShoo Melody
0,0,0,PunkShoo Melody
0,0,0,PunkShoo Melody
0,0,0,PunkShoo Melody
0.1,0,0,PunkShoo Melody
0,0,0,PunkShoo Melody
0,0,0,PunkShoo Melody
0,0,0,PunkShoo Melody
0,0,0,PunkShoo Melody
0,0,0,PunkShoo Melody
-0.1,0,0,PunkShoo Melody
0.2,0,0,PunkShoo Melody
-0.2,0,0,PunkShoo Melody
0,0,0,PunkShoo Melody
-0.1,0,0,PunkShoo Melody
-0.1,0,0,PunkShoo Melody
0,0,0,PunkShoo Melody
0.1,0,0,PunkShoo Melody
0,0,0,PunkShoo Melody
0,0.005,0,PunkShoo Melody
0,0.005,0,PunkShoo Melody
0,0.005,0,PunkShoo Melody
0,0.01,0,PunkShoo Melody
0,0.01,0,PunkShoo Melody
0,0.015,0,PunkShoo Melody
0,0.015,0,PunkShoo Melody
0,0.02,0,PunkShoo Melody
0,0.025,0,PunkShoo Melody
0,0.025,0,PunkShoo Melody
0,0.03,0,PunkShoo Melody
0,0.03,0,PunkShoo Melody
0,0.035,0,PunkShoo Melody
0.1,0.035,0,PunkShoo Melody
0.1,0.04,0,PunkShoo Melody
0,0.04,0,PunkShoo Melody
0,0.045,0,PunkShoo Melody
1.5,0.045,0,PunkShoo Melody
3.1,0.045,0,PunkShoo Melody
4.7,0.05,0,PunkShoo Melody
6.1,0.05,0,PunkShoo Melody
7.5,0.05,0,PunkShoo Melody
8.8,0.05,0,PunkShoo Melody
10.1,0.055,0,PunkShoo Melody
11.5,0.055,0,PunkShoo Melody
12.7,0.055,0,PunkShoo Melody
14,0.06,0,PunkShoo Melody
15.4,0.06,0,PunkShoo Melody
16.8,0.06,0,PunkShoo Melody
18.2,0.06,0,PunkShoo Melody
19.2,0.065,0,PunkShoo Melody
20,0.065,0,PunkShoo Melody
20.9,0.065,0,PunkShoo Melody
21.9,0.065,0,PunkShoo Melody
22.8,0.065,0,PunkShoo Melody
23.8,0.07,0,PunkShoo Melody
24.8,0.07,0,PunkShoo Melody
26,0.07,0,PunkShoo Melody
26.8,0.07,0,PunkShoo Melody
28.3,0.075,0,PunkShoo Melody
28.3,0.075,0,PunkShoo Melody
28.7,0.075,0,PunkShoo Melody
29.8,0.075,0,PunkShoo Melody
30.4,0.075,0,PunkShoo Melody
30.9,0.075,0,PunkShoo Melody
31.2,0.075,0,PunkShoo Melody
31.7,0.075,0,PunkShoo Melody
31.8,0.075,0,PunkShoo Melody
32,0.08,0,PunkShoo Melody
32.2,0.08,0,PunkShoo Melody
32.5,0.08,0,PunkShoo Melody
33,0.08,0,PunkShoo Melody
33.1,0.08,0,PunkShoo Melody
33.3,0.08,0,PunkShoo Melody
33.6,0.08,0,PunkShoo Melody
33.9,0.08,0,PunkShoo Melody
33.9,0.08,0,PunkShoo Melody
34,0.08,0,PunkShoo Melody
34,0.08,0,PunkShoo Melody
34.2,0.08,0,PunkShoo Melody
34.4,0.08,0,PunkShoo Melody
34.7,0.08,0,PunkShoo Melody
34.9,0.085,0,PunkShoo Melody
36,0.085,0,PunkShoo Melody
36.5,0.085,0,PunkShoo Melody
36.9,0.09,0,PunkShoo Melody
37.4,0.09,0,PunkShoo Melody
37.5,0.095,0,PunkShoo Melody
37.3,0.095,0,PunkShoo Melody
37.5,0.095,0,PunkShoo Melody
38,0.1,0,PunkShoo Melody
38.2,0.1,0,PunkShoo Melody
38.4,0.105,0,PunkShoo Melody
38.5,0.105,0,PunkShoo Melody
39.2,0.105,0,PunkShoo Melody
39.9,0.11,0,PunkShoo Melody
40.9,0.11,0,PunkShoo Melody
41.7,0.115,0,PunkShoo Melody
42.2,0.115,0,PunkShoo Melody
42.5,0.12,0,PunkShoo Melody
43.2,0.12,0,PunkShoo Melody
43.7,0.125,0,PunkShoo Melody
43.8,0.125,0,PunkShoo Melody
43.8,0.13,0,PunkShoo Melody
43.8,0.13,0,PunkShoo Melody
44.1,0.135,0,PunkShoo Melody
44.3,0.135,0,PunkShoo Melody
44.5,0.14,0,PunkShoo Melody
44.8,0.14,0,PunkShoo Melody
44.9,0.145,0,PunkShoo Melody
45.1,0.145,0,PunkShoo Melody
45.3,0.145,0,PunkShoo Melody
45.6,0.15,0,PunkShoo Melody
45.9,0.15,0,PunkShoo Melody
46,0.155,0,PunkShoo Melody
46.1,0.155,0,PunkShoo Melody
46.2,0.155,0,PunkShoo Melody
46.4,0.16,0,PunkShoo Melody
46.5,0.16,0,PunkShoo Melody
46.4,0.16,0,PunkShoo Melody
46.3,0.16,0,PunkShoo Melody
46.4,0.165,0,PunkShoo Melody
46.5,0.165,0,PunkShoo Melody
46.6,0.165,0,PunkShoo Melody
46.7,0.165,0,PunkShoo Melody
46.8,0.17,0,PunkShoo Melody
47,0.17,0,PunkShoo Melody
47.2,0.175,0,PunkShoo Melody
47.3,0.175,0,PunkShoo Melody
47.4,0.175,0,PunkShoo Melody
47.6,0.18,0,PunkShoo Melody
47.7,0.18,0,PunkShoo Melody
47.7,0.185,0,PunkShoo Melody
47.5,0.185,0,PunkShoo Melody
47.6,0.19,0,PunkShoo Melody
47.5,0.19,0,PunkShoo Melody
47.6,0.19,0,PunkShoo Melody
47.7,0.195,0,PunkShoo Melody
47.6,0.195,0,PunkShoo Melody
47.7,0.2,0,PunkShoo Melody
47.7,0.2,0,PunkShoo Melody
47.7,0.205,0,PunkShoo Melody
47.7,0.205,0,PunkShoo Melody
47.6,0.21,0,PunkShoo Melody
47.5,0.21,0,PunkShoo Melody
47.5,0.21,0,PunkShoo Melody
47.6,0.215,0,PunkShoo Melody
47.6,0.215,0,PunkShoo Melody
47.6,0.22,0,PunkShoo Melody
47.7,0.22,0,PunkShoo Melody
47.7,0.225,0,PunkShoo Melody
47.8,0.225,0,PunkShoo Melody
47.8,0.23,0,PunkShoo Melody
47.9,0.23,0,PunkShoo Melody
48.1,0.235,0,PunkShoo Melody
48.4,0.235,0,PunkShoo Melody
48.4,0.24,0,PunkShoo Melody
48.4,0.24,0,PunkShoo Melody
48.7,0.245,0,PunkShoo Melody
48.7,0.245,0,PunkShoo Melody
48.7,0.25,0,PunkShoo Melody
48.8,0.25,0,PunkShoo Melody
48.9,0.255,0,PunkShoo Melody
48.9,0.255,0,PunkShoo Melody
48.9,0.26,0,PunkShoo Melody
48.8,0.26,0,PunkShoo Melody
48.7,0.265,0,PunkShoo Melody
48.8,0.265,0,PunkShoo Melody
48.8,0.27,0,PunkShoo Melody
48.9,0.27,0,PunkShoo Melody
48.9,0.275,0,PunkShoo Melody
48.9,0.275,0,PunkShoo Melody
48.9,0.28,0,PunkShoo Melody
49,0.28,0,PunkShoo Melody
49,0.285,0,PunkShoo Melody
49.1,0.285,0,PunkShoo Melody
49.2,0.29,0,PunkShoo Melody
49.3,0.29,0,PunkShoo Melody
49.5,0.295,0,PunkShoo Melody
49.6,0.295,0,PunkShoo Melody
49.6,0.295,0,PunkShoo Melody
49.7,0.3,0,PunkShoo Melody
49.7,0.3,0,PunkShoo Melody
49.7,0.3,0,PunkShoo Melody
49.8,0.305,0,PunkShoo Melody
49.9,0.305,0,PunkShoo Melody
49.9,0.305,0,PunkShoo Melody
50.1,0.305,0,PunkShoo Melody
50.1,0.31,0,PunkShoo Melody
50.2,0.31,0,PunkShoo Melody
50.3,0.31,0,PunkShoo Melody
50.4,0.315,0,PunkShoo Melody
50.5,0.315,0,PunkShoo Melody
50.6,0.32,0,PunkShoo Melody
50.7,0.32,0,PunkShoo Melody
50.6,0.32,0,PunkShoo Melody
50.6,0.325,0,PunkShoo Melody
50.7,0.325,0,PunkShoo Melody
50.8,0.325,0,PunkShoo Melody
51,0.33,0,PunkShoo Melody
51.1,0.33,0,PunkShoo Melody
51.1,0.335,0,PunkShoo Melody
51.1,0.335,0,PunkShoo Melody
51.1,0.335,0,PunkShoo Melody
51.1,0.34,0,PunkShoo Melody
51.2,0.34,0,PunkShoo Melody
51.2,0.34,0,PunkShoo Melody
51.1,0.345,0,PunkShoo Melody
51.2,0.345,0,PunkShoo Melody
51.2,0.345,0,PunkShoo Melody
51.3,0.345,0,PunkShoo Melody
51.3,0.35,0,PunkShoo Melody
51.3,0.35,0,PunkShoo Melody
51.3,0.35,0,PunkShoo Melody
51.3,0.355,0,PunkShoo Melody
51.2,0.355,0,PunkShoo Melody
51.2,0.355,0,PunkShoo Melody
51.4,0.36,0,PunkShoo Melody
51.5,0.36,0,PunkShoo Melody
51.5,0.36,0,PunkShoo Melody
51.5,0.365,0,PunkShoo Melody
51.6,0.365,0,PunkShoo Melody
51.7,0.365,0,PunkShoo Melody
51.8,0.37,0,PunkShoo Melody
51.8,0.37,0,PunkShoo Melody
51.9,0.375,0,PunkShoo Melody
52,0.375,0,PunkShoo Melody
52.1,0.375,0,PunkShoo Melody
52.2,0.38,0,PunkShoo Melody
52.3,0.38,0,PunkShoo Melody
52.5,0.385,0,PunkShoo Melody
52.5,0.385,0,PunkShoo Melody
52.6,0.385,0,PunkShoo Melody
52.8,0.39,0,PunkShoo Melody
53,0.39,0,PunkShoo Melody
53.1,0.395,0,PunkShoo Melody
53.2,0.395,0,PunkShoo Melody
53.2,0.4,0,PunkShoo Melody
53.3,0.4,0,PunkShoo Melody
53.4,0.405,0,PunkShoo Melody
53.4,0.405,0,PunkShoo Melody
53.5,0.405,0,PunkShoo Melody
53.6,0.41,0,PunkShoo Melody
53.7,0.41,0,PunkShoo Melody
53.8,0.41,0,PunkShoo Melody
54,0.415,0,PunkShoo Melody
54.2,0.42,0,PunkShoo Melody
54.1,0.42,0,PunkShoo Melody
54.3,0.42,0,PunkShoo Melody
54.9,0.425,0,PunkShoo Melody
54.8,0.43,0,PunkShoo Melody
54.7,0.435,0,PunkShoo Melody
54.8,0.435,0,PunkShoo Melody
55,0.44,0,PunkShoo Melody
55.1,0.445,0,PunkShoo Melody
55.4,0.445,0,PunkShoo Melody
55.4,0.45,0,PunkShoo Melody
55.7,0.455,0,PunkShoo Melody
55.8,0.46,0,PunkShoo Melody
56,0.465,0,PunkShoo Melody
56.3,0.475,0,PunkShoo Melody
56.6,0.48,0,PunkShoo Melody
56.9,0.485,0,PunkShoo Melody
57.3,0.495,0,PunkShoo Melody
