force,displacement,judge,name
0,0,0,PunkShoo Runner Fat Housing Prototype
0,0,0,PunkShoo Runner Fat Housing Prototype
0,0,0,PunkShoo Runner Fat Housing Prototype
0,0,0,PunkShoo Runner Fat Housing Prototype
0,0,0,PunkShoo Runner Fat Housing Prototype
0,0,0,PunkShoo Runner Fat Housing Prototype
0,0,0,PunkShoo Runner Fat Housing Prototype
0,0,0,PunkShoo Runner Fat Housing Prototype
0,0,0,PunkShoo Runner Fat Housing Prototype
0,0,0,PunkShoo Runner Fat Housing Prototype
0,0,0,PunkShoo Runner Fat Housing Prototype
0,0,0,PunkShoo Runner Fat Housing Prototype
0,0,0,PunkShoo Runner Fat Housing Prototype
0,0,0,PunkShoo Runner Fat Housing Prototype
0,0,0,PunkShoo Runner Fat Housing Prototype
0,0.005,0,PunkShoo Runner Fat Housing Prototype
0,0.005,0,PunkShoo Runner Fat Housing Prototype
0,0.005,0,PunkShoo Runner Fat Housing Prototype
0,0.005,0,PunkShoo Runner Fat Housing Prototype
0,0.005,0,PunkShoo Runner Fat Housing Prototype
0,0.005,0,PunkShoo Runner Fat Housing Prototype
0,0.01,0,PunkShoo Runner Fat Housing Prototype
0,0.01,0,PunkShoo Runner Fat Housing Prototype
0,0.01,0,PunkShoo Runner Fat Housing Prototype
0,0.01,0,PunkShoo Runner Fat Housing Prototype
0,0.015,0,PunkShoo Runner Fat Housing Prototype
0,0.015,0,PunkShoo Runner Fat Housing Prototype
0.1,0.015,0,PunkShoo Runner Fat Housing Prototype
0,0.015,0,PunkShoo Runner Fat Housing Prototype
0.1,0.015,0,PunkShoo Runner Fat Housing Prototype
0,0.02,0,PunkShoo Runner Fat Housing Prototype
-0.1,0.02,0,PunkShoo Runner Fat Housing Prototype
0,0.02,0,PunkShoo Runner Fat Housing Prototype
0,0.02,0,PunkShoo Runner Fat Housing Prototype
0.5,0.025,0,PunkShoo Runner Fat Housing Prototype
1.6,0.025,0,PunkShoo Runner Fat Housing Prototype
2.6,0.025,0,PunkShoo Runner Fat Housing Prototype
3.5,0.025,0,PunkShoo Runner Fat Housing Prototype
4.1,0.025,0,PunkShoo Runner Fat Housing Prototype
4.7,0.03,0,PunkShoo Runner Fat Housing Prototype
5,0.03,0,PunkShoo Runner Fat Housing Prototype
5.6,0.03,0,PunkShoo Runner Fat Housing Prototype
6.5,0.03,0,PunkShoo Runner Fat Housing Prototype
7.5,0.03,0,PunkShoo Runner Fat Housing Prototype
8.4,0.03,0,PunkShoo Runner Fat Housing Prototype
9.3,0.03,0,PunkShoo Runner Fat Housing Prototype
10.2,0.035,0,PunkShoo Runner Fat Housing Prototype
11.3,0.035,0,PunkShoo Runner Fat Housing Prototype
