force,displacement,judge,name
0,0,0,PunkShoo Runner
0,0,0,PunkShoo Runner
0,0,0,PunkShoo Runner
0,0,0,PunkShoo Runner
0,0,0,PunkShoo Runner
-0.1,0,0,PunkShoo Runner
0,0,0,PunkShoo Runner
0,0,0,PunkShoo Runner
0,0,0,PunkShoo Runner
0,0,0,PunkShoo Runner
-0.1,0,0,PunkShoo Runner
0,0,0,PunkShoo Runner
0,0,0,PunkShoo Runner
0,0,0,PunkShoo Runner
0,0,0,PunkShoo Runner
0,0,0,PunkShoo Runner
0,0,0,PunkShoo Runner
-0.1,0,0,PunkShoo Runner
0,0,0,PunkShoo Runner
0,0,0,PunkShoo Runner
0,0,0,PunkShoo Runner
0,0.005,0,PunkShoo Runner
0,0.005,0,PunkShoo Runner
0,0.005,0,PunkShoo Runner
0,0.01,0,PunkShoo Runner
0,0.01,0,PunkShoo Runner
0,0.01,0,PunkShoo Runner
0,0.015,0,PunkShoo Runner
0,0.015,0,PunkShoo Runner
0,0.02,0,PunkShoo Runner
0,0.02,0,PunkShoo Runner
0.1,0.025,0,PunkShoo Runner
0,0.025,0,PunkShoo Runner
0,0.03,0,PunkShoo Runner
0,0.03,0,PunkShoo Runner
0,0.035,0,PunkShoo Runner
0,0.035,0,PunkShoo Runner
0,0.04,0,PunkShoo Runner
0.1,0.04,0,PunkShoo Runner
0,0.045,0,PunkShoo Runner
0,0.045,0,PunkShoo Runner
0.7,0.05,0,PunkShoo Runner
2.6,0.05,0,PunkShoo Runner
4.6,0.05,0,PunkShoo Runner
6.3,0.055,0,PunkShoo Runner
7.8,0.055,0,PunkShoo Runner
9.1,0.055,0,PunkShoo Runner
10.2,0.055,0,PunkShoo Runner
11.6,0.06,0,PunkShoo Runner
12.7,0.06,0,PunkShoo Runner
13.7,0.06,0,PunkShoo Runner
14.4,0.06,0,PunkShoo Runner
15.2,0.065,0,PunkShoo Runner
15.9,0.065,0,PunkShoo Runner
16.7,0.065,0,PunkShoo Runner
17.5,0.065,0,PunkShoo Runner
18.6,0.065,0,PunkShoo Runner
19.7,0.065,0,PunkShoo Runner
20.8,0.07,0,PunkShoo Runner
22.1,0.07,0,PunkShoo Runner
23.4,0.07,0,PunkShoo Runner
24.5,0.07,0,PunkShoo Runner
25.7,0.075,0,PunkShoo Runner
27,0.075,0,PunkShoo Runner
28.3,0.075,0,PunkShoo Runner
29.7,0.08,0,PunkShoo Runner
31.1,0.08,0,PunkShoo Runner
32.6,0.08,0,PunkShoo Runner
34.2,0.085,0,PunkShoo Runner
35.7,0.085,0,PunkShoo Runner
37.1,0.085,0,PunkShoo Runner
38.4,0.085,0,PunkShoo Runner
39.7,0.09,0,PunkShoo Runner
41.1,0.09,0,PunkShoo Runner
42.2,0.09,0,PunkShoo Runner
43.2,0.095,0,PunkShoo Runner
43.1,0.095,0,PunkShoo Runner
43,0.095,0,PunkShoo Runner
43.3,0.1,0,PunkShoo Runner
43.8,0.1,0,PunkShoo Runner
44.3,0.105,0,PunkShoo Runner
44.6,0.105,0,PunkShoo Runner
44.6,0.105,0,PunkShoo Runner
44.7,0.11,0,PunkShoo Runner
44.7,0.11,0,PunkShoo Runner
44.7,0.115,0,PunkShoo Runner
44.7,0.115,0,PunkShoo Runner
44.8,0.115,0,PunkShoo Runner
44.8,0.115,0,PunkShoo Runner
45,0.115,0,PunkShoo Runner
45.4,0.12,0,PunkShoo Runner
45.4,0.12,0,PunkShoo Runner
45.3,0.12,0,PunkShoo Runner
45.4,0.125,0,PunkShoo Runner
45.3,0.125,0,PunkShoo Runner
45.4,0.13,0,PunkShoo Runner
45.9,0.13,0,PunkShoo Runner
46,0.135,0,PunkShoo Runner
46,0.14,0,PunkShoo Runner
46.2,0.145,0,PunkShoo Runner
46.2,0.15,0,PunkShoo Runner
46.3,0.155,0,PunkShoo Runner
46.4,0.165,0,PunkShoo Runner
46.5,0.17,0,PunkShoo Runner
46.5,0.175,0,PunkShoo Runner
46.6,0.18,0,PunkShoo Runner
46.8,0.185,0,PunkShoo Runner
46.9,0.19,0,PunkShoo Runner
47,0.195,0,PunkShoo Runner
47.1,0.2,0,PunkShoo Runner
47.2,0.205,0,PunkShoo Runner
47.3,0.205,0,PunkShoo Runner
47.4,0.21,0,PunkShoo Runner
47.5,0.21,0,PunkShoo Runner
47.6,0.215,0,PunkShoo Runner
47.7,0.22,0,PunkShoo Runner
47.8,0.22,0,PunkShoo Runner
47.9,0.225,0,PunkShoo Runner
47.9,0.225,0,PunkShoo Runner
48,0.225,0,PunkShoo Runner
48,0.23,0,PunkShoo Runner
48.1,0.23,0,PunkShoo Runner
48.2,0.235,0,PunkShoo Runner
48.2,0.235,0,PunkShoo Runner
48.4,0.24,0,PunkShoo Runner
48.5,0.24,0,PunkShoo Runner
48.6,0.24,0,PunkShoo Runner
48.6,0.245,0,PunkShoo Runner
48.6,0.245,0,PunkShoo Runner
48.6,0.25,0,PunkShoo Runner
48.6,0.25,0,PunkShoo Runner
48.7,0.25,0,PunkShoo Runner
48.8,0.255,0,PunkShoo Runner
48.8,0.255,0,PunkShoo Runner
48.9,0.255,0,PunkShoo Runner
49,0.26,0,PunkShoo Runner
49.1,0.26,0,PunkShoo Runner
49.1,0.265,0,PunkShoo Runner
49.3,0.265,0,PunkShoo Runner
49.3,0.27,0,PunkShoo Runner
49.4,0.27,0,PunkShoo Runner
49.5,0.275,0,PunkShoo Runner
49.7,0.28,0,PunkShoo Runner
49.8,0.28,0,PunkShoo Runner
50,0.285,0,PunkShoo Runner
50.1,0.285,0,PunkShoo Runner
50.2,0.29,0,PunkShoo Runner
50.3,0.295,0,PunkShoo Runner
50.4,0.295,0,PunkShoo Runner
50.4,0.295,0,PunkShoo Runner
50.6,0.3,0,PunkShoo Runner
50.8,0.3,0,PunkShoo Runner
50.9,0.305,0,PunkShoo Runner
51.2,0.305,0,PunkShoo Runner
51.3,0.31,0,PunkShoo Runner
51.5,0.315,0,PunkShoo Runner
51.7,0.32,0,PunkShoo Runner
51.9,0.325,0,PunkShoo Runner
52.1,0.33,0,PunkShoo Runner
52.3,0.335,0,PunkShoo Runner
52.4,0.335,0,PunkShoo Runner
52.6,0.34,0,PunkShoo Runner
52.7,0.345,0,PunkShoo Runner
52.8,0.345,0,PunkShoo Runner
52.9,0.35,0,PunkShoo Runner
53,0.35,0,PunkShoo Runner
53.1,0.355,0,PunkShoo Runner
53.2,0.355,0,PunkShoo Runner
53.3,0.36,0,PunkShoo Runner
53.5,0.36,0,PunkShoo Runner
53.7,0.365,0,PunkShoo Runner
53.8,0.365,0,PunkShoo Runner
53.9,0.37,0,PunkShoo Runner
54,0.37,0,PunkShoo Runner
54.1,0.375,0,PunkShoo Runner
54.2,0.375,0,PunkShoo Runner
54.3,0.38,0,PunkShoo Runner
54.4,0.38,0,PunkShoo Runner
54.5,0.38,0,PunkShoo Runner
54.6,0.385,0,PunkShoo Runner
54.7,0.385,0,PunkShoo Runner
54.8,0.39,0,PunkShoo Runner
54.9,0.39,0,PunkShoo Runner
55,0.39,0,PunkShoo Runner
55.1,0.395,0,PunkShoo Runner
55.1,0.395,0,PunkShoo Runner
55.3,0.4,0,PunkShoo Runner
55.5,0.4,0,PunkShoo Runner
55.6,0.405,0,PunkShoo Runner
55.7,0.405,0,PunkShoo Runner
55.8,0.41,0,PunkShoo Runner
55.9,0.415,0,PunkShoo Runner
55.9,0.415,0,PunkShoo Runner
56,0.42,0,PunkShoo Runner
56.1,0.425,0,PunkShoo Runner
56.3,0.43,0,PunkShoo Runner
56.5,0.43,0,PunkShoo Runner
56.7,0.435,0,PunkShoo Runner
56.9,0.44,0,PunkShoo Runner
57.2,0.445,0,PunkShoo Runner
57.4,0.45,0,PunkShoo Runner
57.7,0.455,0,PunkShoo Runner
58,0.46,0,PunkShoo Runner
58.3,0.465,0,PunkShoo Runner
58.4,0.47,0,PunkShoo Runner
58.7,0.475,0,PunkShoo Runner
59,0.48,0,PunkShoo Runner
59.1,0.485,0,PunkShoo Runner
59.3,0.49,0,PunkShoo Runner
59.6,0.495,0,PunkShoo Runner
59.7,0.5,0,PunkShoo Runner
59.8,0.505,0,PunkShoo Runner
60,0.51,0,PunkShoo Runner
60.1,0.515,0,PunkShoo Runner
60.1,0.52,0,PunkShoo Runner
60.4,0.525,0,PunkShoo Runner
60.6,0.53,0,PunkShoo Runner
60.7,0.535,0,PunkShoo Runner
60.8,0.545,0,PunkShoo Runner
60.9,0.55,0,PunkShoo Runner
61.1,0.56,0,PunkShoo Runner
61.2,0.565,0,PunkShoo Runner
61.3,0.57,0,PunkShoo Runner
61.6,0.57,0,PunkShoo Runner
61.7,0.575,0,PunkShoo Runner
61.7,0.58,0,PunkShoo Runner
61.9,0.585,0,PunkShoo Runner
61.9,0.585,0,PunkShoo Runner
61.9,0.59,0,PunkShoo Runner
62,0.59,0,PunkShoo Runner
62.1,0.595,0,PunkShoo Runner
62.1,0.595,0,PunkShoo Runner
62.1,0.6,0,PunkShoo Runner
62.2,0.6,0,PunkShoo Runner
62.2,0.605,0,PunkShoo Runner
62.2,0.605,0,PunkShoo Runner
62.1,0.61,0,PunkShoo Runner
62.1,0.61,0,PunkShoo Runner
62.1,0.615,0,PunkShoo Runner
62.1,0.62,0,PunkShoo Runner
62,0.62,0,PunkShoo Runner
62,0.625,0,PunkShoo Runner
62,0.625,0,PunkShoo Runner
61.9,0.63,0,PunkShoo Runner
62,0.63,0,PunkShoo Runner
61.9,0.635,0,PunkShoo Runner
62,0.635,0,PunkShoo Runner
61.9,0.64,0,PunkShoo Runner
62,0.645,0,PunkShoo Runner
62,0.645,0,PunkShoo Runner
62,0.65,0,PunkShoo Runner
62,0.655,0,PunkShoo Runner
62,0.655,0,PunkShoo Runner
62,0.66,0,PunkShoo Runner
61.9,0.665,0,PunkShoo Runner
61.9,0.67,0,PunkShoo Runner
61.9,0.67,0,PunkShoo Runner
61.8,0.675,0,PunkShoo Runner
61.8,0.675,0,PunkShoo Runner
61.7,0.68,0,PunkShoo Runner
61.8,0.68,0,PunkShoo Runner
61.8,0.68,0,PunkShoo Runner
61.7,0.685,0,PunkShoo Runner
61.7,0.685,0,PunkShoo Runner
61.7,0.685,0,PunkShoo Runner
61.8,0.69,0,PunkShoo Runner
61.8,0.69,0,PunkShoo Runner
61.8,0.695,0,PunkShoo Runner
61.7,0.695,0,PunkShoo Runner
61.7,0.695,0,PunkShoo Runner
61.7,0.7,0,PunkShoo Runner
61.8,0.7,0,PunkShoo Runner
61.8,0.705,0,PunkShoo Runner
61.8,0.705,0,PunkShoo Runner
61.8,0.71,0,PunkShoo Runner
61.8,0.715,0,PunkShoo Runner
61.9,0.72,0,PunkShoo Runner
62,0.725,0,PunkShoo Runner
62,0.725,0,PunkShoo Runner
62.1,0.73,0,PunkShoo Runner
62.1,0.74,0,PunkShoo Runner
62,0.745,0,PunkShoo Runner
62,0.75,0,PunkShoo Runner
62,0.755,0,PunkShoo Runner
61.9,0.76,0,PunkShoo Runner
61.9,0.765,0,PunkShoo Runner
61.8,0.77,0,PunkShoo Runner
61.7,0.775,0,PunkShoo Runner
61.8,0.78,0,PunkShoo Runner
61.8,0.785,0,PunkShoo Runner
61.7,0.79,0,PunkShoo Runner
61.6,0.795,0,PunkShoo Runner
61.5,0.8,0,PunkShoo Runner
61.6,0.805,0,PunkShoo Runner
61.5,0.81,0,PunkShoo Runner
61.5,0.815,0,PunkShoo Runner
61.5,0.825,0,PunkShoo Runner
61.3,0.83,0,PunkShoo Runner
61.3,0.835,0,PunkShoo Runner
61.2,0.845,0,PunkShoo Runner
61,0.85,0,PunkShoo Runner
61,0.86,0,PunkShoo Runner
60.9,0.865,0,PunkShoo Runner
60.8,0.875,0,PunkShoo Runner
60.7,0.88,0,PunkShoo Runner
60.5,0.89,0,PunkShoo Runner
60.4,0.9,0,PunkShoo Runner
60.1,0.905,0,PunkShoo Runner
60,0.915,0,PunkShoo Runner
59.9,0.925,0,PunkShoo Runner
59.8,0.93,0,PunkShoo Runner
59.6,0.94,0,PunkShoo Runner
59.3,0.95,0,PunkShoo Runner
59,0.955,0,PunkShoo Runner
58.9,0.965,0,PunkShoo Runner
58.7,0.97,0,PunkShoo Runner
58.6,0.98,0,PunkShoo Runner
58.4,0.99,0,PunkShoo Runner
58.4,1,0,PunkShoo Runner
58.1,1.005,0,PunkShoo Runner
57.9,1.015,0,PunkShoo Runner
57.7,1.025,0,PunkShoo Runner
57.4,1.03,0,PunkShoo Runner
57.3,1.04,0,PunkShoo Runner
57.2,1.05,0,PunkShoo Runner
57,1.055,0,PunkShoo Runner
56.7,1.065,0,PunkShoo Runner
56.5,1.075,0,PunkShoo Runner
56.3,1.08,0,PunkShoo Runner
56.2,1.09,0,PunkShoo Runner
56.1,1.095,0,PunkShoo Runner
56,1.105,0,PunkShoo Runner
55.8,1.11,0,PunkShoo Runner
55.8,1.115,0,PunkShoo Runner
55.6,1.125,0,PunkShoo Runner
55.5,1.13,0,PunkShoo Runner
55.3,1.14,0,PunkShoo Runner
55,1.145,0,PunkShoo Runner
54.8,1.155,0,PunkShoo Runner
54.7,1.16,0,PunkShoo Runner
54.6,1.165,0,PunkShoo Runner
54.4,1.17,0,PunkShoo Runner
54.1,1.18,0,PunkShoo Runner
53.9,1.185,0,PunkShoo Runner
53.7,1.195,0,PunkShoo Runner
53.7,1.2,0,PunkShoo Runner
53.6,1.205,0,PunkShoo Runner
53.5,1.21,0,PunkShoo Runner
53.6,1.21,0,PunkShoo Runner
53.5,1.215,0,PunkShoo Runner
53.4,1.22,0,PunkShoo Runner
53.4,1.225,0,PunkShoo Runner
53.3,1.23,0,PunkShoo Runner
53.2,1.23,0,PunkShoo Runner
53.1,1.235,0,PunkShoo Runner
53.1,1.24,0,PunkShoo Runner
53.1,1.245,0,PunkShoo Runner
53,1.245,0,PunkShoo Runner
52.9,1.25,0,PunkShoo Runner
52.9,1.25,0,PunkShoo Runner
52.9,1.255,0,PunkShoo Runner
52.9,1.255,0,PunkShoo Runner
52.8,1.26,0,PunkShoo Runner
52.7,1.265,0,PunkShoo Runner
52.7,1.265,0,PunkShoo Runner
52.7,1.265,0,PunkShoo Runner
52.6,1.27,0,PunkShoo Runner
52.6,1.27,0,PunkShoo Runner
52.6,1.27,0,PunkShoo Runner
52.4,1.275,0,PunkShoo Runner
52.6,1.275,0,PunkShoo Runner
52.5,1.275,0,PunkShoo Runner
52.4,1.275,0,PunkShoo Runner
52.3,1.275,0,PunkShoo Runner
52.5,1.28,0,PunkShoo Runner
52.4,1.28,0,PunkShoo Runner
52.5,1.28,0,PunkShoo Runner
52.3,1.28,0,PunkShoo Runner
52.4,1.285,0,PunkShoo Runner
52.4,1.285,0,PunkShoo Runner
52.4,1.285,0,PunkShoo Runner
52.4,1.285,0,PunkShoo Runner
52.4,1.29,0,PunkShoo Runner
52.5,1.29,0,PunkShoo Runner
52.4,1.295,0,PunkShoo Runner
52.4,1.295,0,PunkShoo Runner
52.4,1.3,0,PunkShoo Runner
52.4,1.305,0,PunkShoo Runner
52.3,1.31,0,PunkShoo Runner
52.2,1.315,0,PunkShoo Runner
52,1.32,0,PunkShoo Runner
52,1.325,0,PunkShoo Runner
51.8,1.33,0,PunkShoo Runner
51.6,1.33,0,PunkShoo Runner
51.6,1.335,0,PunkShoo Runner
51.6,1.34,0,PunkShoo Runner
51.5,1.345,0,PunkShoo Runner
51.4,1.35,0,PunkShoo Runner
51.5,1.35,0,PunkShoo Runner
51.5,1.355,0,PunkShoo Runner
51.3,1.36,0,PunkShoo Runner
51.2,1.365,0,PunkShoo Runner
51.2,1.37,0,PunkShoo Runner
51.1,1.37,0,PunkShoo Runner
50.9,1.375,0,PunkShoo Runner
50.8,1.38,0,PunkShoo Runner
50.8,1.385,0,PunkShoo Runner
50.8,1.385,0,PunkShoo Runner
50.6,1.39,0,PunkShoo Runner
50.6,1.395,0,PunkShoo Runner
50.6,1.4,0,PunkShoo Runner
50.5,1.4,0,PunkShoo Runner
50.4,1.405,0,PunkShoo Runner
50.4,1.41,0,PunkShoo Runner
50.4,1.41,0,PunkShoo Runner
50.3,1.415,0,PunkShoo Runner
50.2,1.415,0,PunkShoo Runner
50.2,1.42,0,PunkShoo Runner
50.1,1.425,0,PunkShoo Runner
50,1.425,0,PunkShoo Runner
49.9,1.43,0,PunkShoo Runner
49.9,1.43,0,PunkShoo Runner
49.9,1.435,0,PunkShoo Runner
49.9,1.435,0,PunkShoo Runner
49.8,1.44,0,PunkShoo Runner
49.8,1.44,0,PunkShoo Runner
49.7,1.445,0,PunkShoo Runner
49.7,1.45,0,PunkShoo Runner
49.6,1.45,0,PunkShoo Runner
49.5,1.455,0,PunkShoo Runner
49.5,1.455,0,PunkShoo Runner
49.5,1.46,0,PunkShoo Runner
49.5,1.46,0,PunkShoo Runner
49.5,1.465,0,PunkShoo Runner
49.4,1.465,0,PunkShoo Runner
49.4,1.47,0,PunkShoo Runner
49.4,1.475,0,PunkShoo Runner
49.4,1.475,0,PunkShoo Runner
49.3,1.48,0,PunkShoo Runner
49.3,1.485,0,PunkShoo Runner
49.2,1.485,0,PunkShoo Runner
49.1,1.49,0,PunkShoo Runner
49,1.495,0,PunkShoo Runner
48.9,1.5,0,PunkShoo Runner
48.8,1.5,0,PunkShoo Runner
48.8,1.505,0,PunkShoo Runner
48.7,1.51,0,PunkShoo Runner
48.6,1.515,0,PunkShoo Runner
48.5,1.515,0,PunkShoo Runner
48.4,1.52,0,PunkShoo Runner
48.3,1.525,0,PunkShoo Runner
48.3,1.525,0,PunkShoo Runner
48.2,1.53,0,PunkShoo Runner
48.2,1.53,0,PunkShoo Runner
48.2,1.53,0,PunkShoo Runner
48.2,1.535,0,PunkShoo Runner
48.1,1.535,0,PunkShoo Runner
48.2,1.54,0,PunkShoo Runner
48.1,1.545,0,PunkShoo Runner
48,1.545,0,PunkShoo Runner
48,1.55,0,PunkShoo Runner
48,1.55,0,PunkShoo Runner
47.9,1.555,0,PunkShoo Runner
47.9,1.555,0,PunkShoo Runner
47.8,1.56,0,PunkShoo Runner
47.7,1.56,0,PunkShoo Runner
47.7,1.565,0,PunkShoo Runner
47.7,1.565,0,PunkShoo Runner
47.7,1.57,0,PunkShoo Runner
47.6,1.57,0,PunkShoo Runner
47.7,1.575,0,PunkShoo Runner
47.7,1.58,0,PunkShoo Runner
47.6,1.585,0,PunkShoo Runner
47.5,1.585,0,PunkShoo Runner
47.5,1.59,0,PunkShoo Runner
47.4,1.595,0,PunkShoo Runner
47.5,1.6,0,PunkShoo Runner
47.4,1.605,0,PunkShoo Runner
47.3,1.61,0,PunkShoo Runner
47.2,1.61,0,PunkShoo Runner
47.1,1.615,0,PunkShoo Runner
47.1,1.62,0,PunkShoo Runner
47,1.62,0,PunkShoo Runner
46.9,1.625,0,PunkShoo Runner
47,1.625,0,PunkShoo Runner
46.8,1.63,0,PunkShoo Runner
46.7,1.635,0,PunkShoo Runner
46.7,1.635,0,PunkShoo Runner
46.7,1.64,0,PunkShoo Runner
46.7,1.64,0,PunkShoo Runner
46.6,1.645,0,PunkShoo Runner
46.6,1.645,0,PunkShoo Runner
46.6,1.65,0,PunkShoo Runner
46.7,1.65,0,PunkShoo Runner
46.6,1.655,0,PunkShoo Runner
46.9,1.66,0,PunkShoo Runner
46.6,1.665,0,PunkShoo Runner
46.4,1.67,0,PunkShoo Runner
46.4,1.67,0,PunkShoo Runner
46.4,1.675,0,PunkShoo Runner
46.3,1.675,0,PunkShoo Runner
46.3,1.68,0,PunkShoo Runner
46.3,1.685,0,PunkShoo Runner
46,1.69,0,PunkShoo Runner
46.1,1.69,0,PunkShoo Runner
46,1.695,0,PunkShoo Runner
45.8,1.695,0,PunkShoo Runner
45.9,1.7,0,PunkShoo Runner
46,1.705,0,PunkShoo Runner
45.9,1.705,0,PunkShoo Runner
45.7,1.71,0,PunkShoo Runner
45.7,1.715,0,PunkShoo Runner
45.6,1.715,0,PunkShoo Runner
45.6,1.72,0,PunkShoo Runner
45.5,1.725,0,PunkShoo Runner
45.3,1.73,0,PunkShoo Runner
45.1,1.74,0,PunkShoo Runner
44.9,1.745,0,PunkShoo Runner
44.9,1.75,0,PunkShoo Runner
44.7,1.755,0,PunkShoo Runner
44.7,1.76,0,PunkShoo Runner
44.7,1.765,0,PunkShoo Runner
44.6,1.775,0,PunkShoo Runner
44.4,1.78,0,PunkShoo Runner
44.3,1.785,0,PunkShoo Runner
44.1,1.79,0,PunkShoo Runner
44,1.795,0,PunkShoo Runner
43.9,1.8,0,PunkShoo Runner
43.9,1.805,0,PunkShoo Runner
43.7,1.81,0,PunkShoo Runner
43.7,1.81,0,PunkShoo Runner
43.7,1.815,0,PunkShoo Runner
43.6,1.82,0,PunkShoo Runner
43.5,1.825,0,PunkShoo Runner
43.4,1.825,0,PunkShoo Runner
43.4,1.83,0,PunkShoo Runner
43.1,1.835,0,PunkShoo Runner
43,1.84,0,PunkShoo Runner
43,1.84,0,PunkShoo Runner
43,1.845,0,PunkShoo Runner
42.9,1.845,0,PunkShoo Runner
42.9,1.85,0,PunkShoo Runner
42.8,1.855,0,PunkShoo Runner
42.8,1.855,0,PunkShoo Runner
42.8,1.86,0,PunkShoo Runner
42.7,1.865,0,PunkShoo Runner
42.7,1.865,0,PunkShoo Runner
42.6,1.87,0,PunkShoo Runner
42.6,1.87,0,PunkShoo Runner
42.6,1.875,0,PunkShoo Runner
42.5,1.88,0,PunkShoo Runner
42.5,1.88,0,PunkShoo Runner
42.6,1.885,0,PunkShoo Runner
42.6,1.885,0,PunkShoo Runner
42.6,1.89,0,PunkShoo Runner
42.5,1.89,0,PunkShoo Runner
42.5,1.895,0,PunkShoo Runner
42.6,1.895,0,PunkShoo Runner
42.5,1.9,0,PunkShoo Runner
42.6,1.905,0,PunkShoo Runner
42.4,1.91,0,PunkShoo Runner
42.5,1.915,0,PunkShoo Runner
42.5,1.915,0,PunkShoo Runner
42.4,1.92,0,PunkShoo Runner
42.3,1.925,0,PunkShoo Runner
42.3,1.93,0,PunkShoo Runner
42.1,1.935,0,PunkShoo Runner
42.1,1.94,0,PunkShoo Runner
42.2,1.945,0,PunkShoo Runner
42,1.95,0,PunkShoo Runner
41.9,1.95,0,PunkShoo Runner
41.8,1.955,0,PunkShoo Runner
41.7,1.96,0,PunkShoo Runner
41.7,1.96,0,PunkShoo Runner
41.7,1.965,0,PunkShoo Runner
41.7,1.965,0,PunkShoo Runner
41.7,1.97,0,PunkShoo Runner
41.5,1.97,0,PunkShoo Runner
41.5,1.975,0,PunkShoo Runner
41.4,1.98,0,PunkShoo Runner
41.4,1.98,0,PunkShoo Runner
41.3,1.985,0,PunkShoo Runner
41.3,1.99,0,PunkShoo Runner
41.2,1.99,0,PunkShoo Runner
41.2,1.995,0,PunkShoo Runner
41.2,1.995,0,PunkShoo Runner
41.2,2,0,PunkShoo Runner
41.3,2,0,PunkShoo Runner
41.3,2.005,0,PunkShoo Runner
41.2,2.005,0,PunkShoo Runner
41.2,2.01,0,PunkShoo Runner
41.3,2.01,0,PunkShoo Runner
41.3,2.015,0,PunkShoo Runner
41.2,2.02,0,PunkShoo Runner
41.2,2.025,0,PunkShoo Runner
41.3,2.025,0,PunkShoo Runner
41.3,2.03,0,PunkShoo Runner
41.5,2.035,0,PunkShoo Runner
41.5,2.04,0,PunkShoo Runner
41.4,2.045,0,PunkShoo Runner
41.5,2.05,0,PunkShoo Runner
41.7,2.05,0,PunkShoo Runner
41.7,2.055,0,PunkShoo Runner
41.7,2.06,0,PunkShoo Runner
41.7,2.06,0,PunkShoo Runner
41.7,2.065,0,PunkShoo Runner
41.8,2.07,0,PunkShoo Runner
41.8,2.075,0,PunkShoo Runner
41.9,2.08,0,PunkShoo Runner
41.8,2.085,0,PunkShoo Runner
41.8,2.085,0,PunkShoo Runner
41.8,2.09,0,PunkShoo Runner
41.9,2.095,0,PunkShoo Runner
41.9,2.095,0,PunkShoo Runner
42,2.1,0,PunkShoo Runner
41.9,2.105,0,PunkShoo Runner
41.7,2.11,0,PunkShoo Runner
41.5,2.11,0,PunkShoo Runner
41.4,2.11,0,PunkShoo Runner
41.3,2.11,0,PunkShoo Runner
41.3,2.115,0,PunkShoo Runner
41.5,2.115,0,PunkShoo Runner
41.7,2.12,0,PunkShoo Runner
