force,displacement,judge,name
-0.1,0,0,RAMA WORKS Duck
-0.1,0,0,RAMA WORKS Duck
0,0,0,RAMA WORKS Duck
0,0,0,RAMA WORKS Duck
-0.1,0,0,RAMA WORKS Duck
0,0,0,RAMA WORKS Duck
0,0,0,RAMA WORKS Duck
0,0,0,RAMA WORKS Duck
0,0,0,RAMA WORKS Duck
0,0,0,RAMA WORKS Duck
0,0,0,RAMA WORKS Duck
0,0,0,RAMA WORKS Duck
0,0,0,RAMA WORKS Duck
0,0,0,RAMA WORKS Duck
0,0,0,RAMA WORKS Duck
0,0,0,RAMA WORKS Duck
0,0,0,RAMA WORKS Duck
0,0,0,RAMA WORKS Duck
0.1,0.005,0,RAMA WORKS Duck
0.1,0.005,0,RAMA WORKS Duck
0.4,0.005,0,RAMA WORKS Duck
1.4,0.005,0,RAMA WORKS Duck
2.4,0.005,0,RAMA WORKS Duck
3.5,0.01,0,RAMA WORKS Duck
4.6,0.01,0,RAMA WORKS Duck
5.8,0.01,0,RAMA WORKS Duck
6.6,0.01,0,RAMA WORKS Duck
7.3,0.01,0,RAMA WORKS Duck
7.9,0.01,0,RAMA WORKS Duck
8.4,0.015,0,RAMA WORKS Duck
9,0.015,0,RAMA WORKS Duck
9.5,0.015,0,RAMA WORKS Duck
10.2,0.015,0,RAMA WORKS Duck
10.8,0.015,0,RAMA WORKS Duck
11.2,0.015,0,RAMA WORKS Duck
11.5,0.015,0,RAMA WORKS Duck
11.9,0.015,0,RAMA WORKS Duck
12.4,0.015,0,RAMA WORKS Duck
12.8,0.015,0,RAMA WORKS Duck
13.4,0.015,0,RAMA WORKS Duck
13.9,0.02,0,RAMA WORKS Duck
14.5,0.02,0,RAMA WORKS Duck
15,0.02,0,RAMA WORKS Duck
15.5,0.02,0,RAMA WORKS Duck
16,0.02,0,RAMA WORKS Duck
16.4,0.02,0,RAMA WORKS Duck
16.8,0.02,0,RAMA WORKS Duck
17.2,0.02,0,RAMA WORKS Duck
17.7,0.02,0,RAMA WORKS Duck
18.1,0.025,0,RAMA WORKS Duck
18.6,0.025,0,RAMA WORKS Duck
19.3,0.025,0,RAMA WORKS Duck
19.7,0.025,0,RAMA WORKS Duck
