force,displacement,judge,name
0,0,0,RK Pink
0,0,0,RK Pink
0,0,0,RK Pink
0,0,0,RK Pink
0,0,0,RK Pink
0,0,0,RK Pink
0,0,0,RK Pink
0,0,0,RK Pink
0,0,0,RK Pink
0,0,0,RK Pink
0,0,0,RK Pink
0,0,0,RK Pink
0,0,0,RK Pink
0,0,0,RK Pink
0,0,0,RK Pink
0,0,0,RK Pink
-0.1,0,0,RK Pink
0,0,0,RK Pink
0,0,0,RK Pink
0,0,0,RK Pink
0,0,0,RK Pink
0,0,0,RK Pink
0,0,0,RK Pink
0,0,0,RK Pink
0,0,0,RK Pink
0,0,0,RK Pink
0,0,0,RK Pink
0,0,0,RK Pink
0,0.005,0,RK Pink
0,0.005,0,RK Pink
0,0.005,0,RK Pink
0,0.005,0,RK Pink
0,0.01,0,RK Pink
0,0.01,0,RK Pink
0,0.015,0,RK Pink
0,0.015,0,RK Pink
0,0.02,0,RK Pink
0,0.025,0,RK Pink
1.3,0.025,0,RK Pink
4.8,0.03,0,RK Pink
8.6,0.035,0,RK Pink
12,0.04,0,RK Pink
15.2,0.04,0,RK Pink
18.5,0.045,0,RK Pink
20.9,0.045,0,RK Pink
22.8,0.05,0,RK Pink
24.6,0.055,0,RK Pink
25.2,0.055,0,RK Pink
24.6,0.06,0,RK Pink
24.6,0.06,0,RK Pink
25,0.065,0,RK Pink
25.4,0.065,0,RK Pink
25.7,0.07,0,RK Pink
25.9,0.07,0,RK Pink
26,0.075,0,RK Pink
26.1,0.075,0,RK Pink
26.6,0.08,0,RK Pink
27,0.08,0,RK Pink
27.2,0.085,0,RK Pink
27.4,0.085,0,RK Pink
27.8,0.085,0,RK Pink
27.9,0.09,0,RK Pink
27.9,0.09,0,RK Pink
27.8,0.095,0,RK Pink
28,0.095,0,RK Pink
28.1,0.095,0,RK Pink
28.4,0.1,0,RK Pink
28.3,0.1,0,RK Pink
28.2,0.105,0,RK Pink
28.2,0.105,0,RK Pink
28.2,0.11,0,RK Pink
28.2,0.11,0,RK Pink
28.2,0.115,0,RK Pink
28.3,0.115,0,RK Pink
28.3,0.12,0,RK Pink
28.5,0.12,0,RK Pink
28.6,0.125,0,RK Pink
28.6,0.125,0,RK Pink
28.6,0.13,0,RK Pink
28.5,0.135,0,RK Pink
28.5,0.135,0,RK Pink
28.5,0.14,0,RK Pink
28.4,0.145,0,RK Pink
28.4,0.145,0,RK Pink
28.4,0.15,0,RK Pink
28.4,0.155,0,RK Pink
28.3,0.155,0,RK Pink
28.3,0.16,0,RK Pink
28.3,0.165,0,RK Pink
28.4,0.165,0,RK Pink
28.3,0.17,0,RK Pink
28.2,0.175,0,RK Pink
28.2,0.18,0,RK Pink
28.2,0.18,0,RK Pink
28.2,0.185,0,RK Pink
28.1,0.185,0,RK Pink
28.1,0.19,0,RK Pink
28.1,0.19,0,RK Pink
28.1,0.19,0,RK Pink
28.1,0.195,0,RK Pink
28.1,0.195,0,RK Pink
28.1,0.2,0,RK Pink
28.1,0.2,0,RK Pink
28.2,0.2,0,RK Pink
28.1,0.205,0,RK Pink
28.1,0.205,0,RK Pink
28.1,0.205,0,RK Pink
28.1,0.205,0,RK Pink
28.2,0.21,0,RK Pink
28.1,0.21,0,RK Pink
28.1,0.21,0,RK Pink
28.1,0.215,0,RK Pink
28.1,0.215,0,RK Pink
28.1,0.215,0,RK Pink
28.1,0.215,0,RK Pink
28.1,0.22,0,RK Pink
28.1,0.22,0,RK Pink
28.1,0.22,0,RK Pink
28.1,0.22,0,RK Pink
28.1,0.22,0,RK Pink
28.1,0.225,0,RK Pink
28.1,0.225,0,RK Pink
28.1,0.225,0,RK Pink
28.2,0.225,0,RK Pink
28.2,0.23,0,RK Pink
28.2,0.23,0,RK Pink
28.2,0.23,0,RK Pink
28.2,0.235,0,RK Pink
28.2,0.235,0,RK Pink
28.2,0.235,0,RK Pink
28.3,0.24,0,RK Pink
28.3,0.24,0,RK Pink
28.3,0.245,0,RK Pink
28.2,0.245,0,RK Pink
28.2,0.25,0,RK Pink
28.3,0.25,0,RK Pink
28.3,0.255,0,RK Pink
28.3,0.255,0,RK Pink
28.3,0.26,0,RK Pink
28.4,0.26,0,RK Pink
28.5,0.265,0,RK Pink
28.3,0.27,0,RK Pink
28.4,0.27,0,RK Pink
28.4,0.27,0,RK Pink
28.4,0.275,0,RK Pink
28.4,0.275,0,RK Pink
28.4,0.275,0,RK Pink
28.5,0.28,0,RK Pink
28.5,0.285,0,RK Pink
28.5,0.285,0,RK Pink
28.5,0.29,0,RK Pink
28.5,0.29,0,RK Pink
28.5,0.295,0,RK Pink
28.6,0.295,0,RK Pink
28.5,0.3,0,RK Pink
28.5,0.3,0,RK Pink
28.5,0.305,0,RK Pink
28.5,0.305,0,RK Pink
28.6,0.31,0,RK Pink
28.7,0.31,0,RK Pink
28.6,0.315,0,RK Pink
28.6,0.32,0,RK Pink
28.6,0.325,0,RK Pink
28.6,0.325,0,RK Pink
28.6,0.33,0,RK Pink
28.7,0.335,0,RK Pink
28.5,0.34,0,RK Pink
28.5,0.345,0,RK Pink
28.5,0.35,0,RK Pink
28.5,0.355,0,RK Pink
28.7,0.36,0,RK Pink
28.7,0.365,0,RK Pink
28.6,0.37,0,RK Pink
28.7,0.37,0,RK Pink
28.7,0.375,0,RK Pink
28.7,0.38,0,RK Pink
28.8,0.385,0,RK Pink
28.8,0.39,0,RK Pink
28.8,0.395,0,RK Pink
28.7,0.4,0,RK Pink
28.8,0.405,0,RK Pink
28.8,0.41,0,RK Pink
28.8,0.415,0,RK Pink
28.8,0.42,0,RK Pink
28.8,0.425,0,RK Pink
28.8,0.43,0,RK Pink
28.9,0.43,0,RK Pink
28.9,0.435,0,RK Pink
29,0.44,0,RK Pink
29,0.445,0,RK Pink
29,0.45,0,RK Pink
29,0.45,0,RK Pink
28.9,0.455,0,RK Pink
29.1,0.46,0,RK Pink
29.2,0.465,0,RK Pink
29.2,0.475,0,RK Pink
29.3,0.485,0,RK Pink
29.3,0.495,0,RK Pink
29.4,0.505,0,RK Pink
29.4,0.515,0,RK Pink
29.8,0.53,0,RK Pink
29.5,0.54,0,RK Pink
29.5,0.55,0,RK Pink
29.5,0.56,0,RK Pink
29.4,0.57,0,RK Pink
29.3,0.575,0,RK Pink
29.3,0.58,0,RK Pink
29.4,0.585,0,RK Pink
29.4,0.595,0,RK Pink
