force,displacement,judge,name
0.1,0,0,RK Sea Blue
0,0,0,RK Sea Blue
0,0,0,RK Sea Blue
0.1,0,0,RK Sea Blue
0.1,0,0,RK Sea Blue
0.1,0,0,RK Sea Blue
0,0,0,RK Sea Blue
0.1,0,0,RK Sea Blue
0,0,0,RK Sea Blue
0,0,0,RK Sea Blue
0.1,0,0,RK Sea Blue
0.1,0,0,RK Sea Blue
0,0,0,RK Sea Blue
-0.1,0,0,RK Sea Blue
0.2,0,0,RK Sea Blue
0,0,0,RK Sea Blue
-0.1,0,0,RK Sea Blue
0,0,0,RK Sea Blue
0.2,0,0,RK Sea Blue
0.2,0,0,RK Sea Blue
0.1,0,0,RK Sea Blue
-0.1,0,0,RK Sea Blue
0,0,0,RK Sea Blue
0,0,0,RK Sea Blue
0.1,0,0,RK Sea Blue
0,0,0,RK Sea Blue
0.1,0.005,0,RK Sea Blue
0,0.005,0,RK Sea Blue
0,0.005,0,RK Sea Blue
-0.1,0.01,0,RK Sea Blue
0,0.015,0,RK Sea Blue
0.1,0.015,0,RK Sea Blue
0.8,0.02,0,RK Sea Blue
4.1,0.025,0,RK Sea Blue
8.2,0.025,0,RK Sea Blue
12.2,0.03,0,RK Sea Blue
15.2,0.035,0,RK Sea Blue
18,0.04,0,RK Sea Blue
20.5,0.04,0,RK Sea Blue
22.9,0.045,0,RK Sea Blue
24.8,0.045,0,RK Sea Blue
26.2,0.045,0,RK Sea Blue
27.6,0.045,0,RK Sea Blue
29.1,0.05,0,RK Sea Blue
31,0.05,0,RK Sea Blue
32.1,0.05,0,RK Sea Blue
33.3,0.055,0,RK Sea Blue
34,0.055,0,RK Sea Blue
34.4,0.06,0,RK Sea Blue
34.2,0.065,0,RK Sea Blue
34.3,0.065,0,RK Sea Blue
34.5,0.07,0,RK Sea Blue
34,0.075,0,RK Sea Blue
33.8,0.075,0,RK Sea Blue
33.4,0.075,0,RK Sea Blue
33.1,0.08,0,RK Sea Blue
33.6,0.08,0,RK Sea Blue
34,0.08,0,RK Sea Blue
34.5,0.085,0,RK Sea Blue
35.5,0.085,0,RK Sea Blue
37,0.09,0,RK Sea Blue
37.7,0.095,0,RK Sea Blue
37.9,0.1,0,RK Sea Blue
38.3,0.1,0,RK Sea Blue
38.3,0.11,0,RK Sea Blue
38.2,0.115,0,RK Sea Blue
38.1,0.12,0,RK Sea Blue
38.1,0.125,0,RK Sea Blue
37.9,0.13,0,RK Sea Blue
38,0.135,0,RK Sea Blue
37.8,0.135,0,RK Sea Blue
37.6,0.14,0,RK Sea Blue
37.9,0.14,0,RK Sea Blue
37.9,0.14,0,RK Sea Blue
38,0.145,0,RK Sea Blue
38.1,0.145,0,RK Sea Blue
38,0.155,0,RK Sea Blue
37.9,0.16,0,RK Sea Blue
37.6,0.165,0,RK Sea Blue
37.6,0.17,0,RK Sea Blue
37.7,0.175,0,RK Sea Blue
37.5,0.18,0,RK Sea Blue
37.6,0.18,0,RK Sea Blue
37.6,0.185,0,RK Sea Blue
37.6,0.19,0,RK Sea Blue
37.5,0.195,0,RK Sea Blue
37.4,0.2,0,RK Sea Blue
37.3,0.21,0,RK Sea Blue
37.1,0.215,0,RK Sea Blue
37.1,0.22,0,RK Sea Blue
37.1,0.225,0,RK Sea Blue
37.2,0.23,0,RK Sea Blue
37.3,0.235,0,RK Sea Blue
37.6,0.24,0,RK Sea Blue
37.6,0.25,0,RK Sea Blue
37.6,0.26,0,RK Sea Blue
37.6,0.265,0,RK Sea Blue
37.8,0.275,0,RK Sea Blue
37.7,0.28,0,RK Sea Blue
37.6,0.29,0,RK Sea Blue
37.3,0.3,0,RK Sea Blue
37,0.305,0,RK Sea Blue
36.9,0.315,0,RK Sea Blue
36.9,0.325,0,RK Sea Blue
36.8,0.335,0,RK Sea Blue
37,0.345,0,RK Sea Blue
37,0.35,0,RK Sea Blue
37.1,0.355,0,RK Sea Blue
37.2,0.36,0,RK Sea Blue
37.5,0.365,0,RK Sea Blue
37.5,0.37,0,RK Sea Blue
37.6,0.375,0,RK Sea Blue
37.7,0.38,0,RK Sea Blue
37.7,0.38,0,RK Sea Blue
37.7,0.385,0,RK Sea Blue
37.7,0.39,0,RK Sea Blue
37.7,0.39,0,RK Sea Blue
37.7,0.395,0,RK Sea Blue
37.6,0.4,0,RK Sea Blue
37.5,0.4,0,RK Sea Blue
37.6,0.405,0,RK Sea Blue
37.7,0.41,0,RK Sea Blue
37.6,0.415,0,RK Sea Blue
37.7,0.42,0,RK Sea Blue
37.7,0.425,0,RK Sea Blue
37.7,0.43,0,RK Sea Blue
37.8,0.435,0,RK Sea Blue
37.8,0.44,0,RK Sea Blue
38,0.445,0,RK Sea Blue
38.1,0.45,0,RK Sea Blue
38,0.46,0,RK Sea Blue
38.2,0.465,0,RK Sea Blue
38.2,0.475,0,RK Sea Blue
38.1,0.48,0,RK Sea Blue
38,0.485,0,RK Sea Blue
38.1,0.49,0,RK Sea Blue
