force,displacement,judge,name
0,0,0,Rapoo Black (Black Bottom)
0,0,0,Rapoo Black (Black Bottom)
0,0,0,Rapoo Black (Black Bottom)
0,0,0,Rapoo Black (Black Bottom)
0,0,0,Rapoo Black (Black Bottom)
0,0,0,Rapoo Black (Black Bottom)
0,0,0,Rapoo Black (Black Bottom)
0,0,0,Rapoo Black (Black Bottom)
0,0,0,Rapoo Black (Black Bottom)
0,0,0,Rapoo Black (Black Bottom)
0,0,0,Rapoo Black (Black Bottom)
-0.1,0,0,Rapoo Black (Black Bottom)
-0.1,0,0,Rapoo Black (Black Bottom)
-0.1,0,0,Rapoo Black (Black Bottom)
0,0,0,Rapoo Black (Black Bottom)
0,0,0,Rapoo Black (Black Bottom)
0,0,0,Rapoo Black (Black Bottom)
0,0,0,Rapoo Black (Black Bottom)
0,0,0,Rapoo Black (Black Bottom)
0,0,0,Rapoo Black (Black Bottom)
0,0,0,Rapoo Black (Black Bottom)
0,0,0,Rapoo Black (Black Bottom)
0,0,0,Rapoo Black (Black Bottom)
0,0,0,Rapoo Black (Black Bottom)
0,0,0,Rapoo Black (Black Bottom)
0,0.005,0,Rapoo Black (Black Bottom)
0.1,0.005,0,Rapoo Black (Black Bottom)
0,0.005,0,Rapoo Black (Black Bottom)
0,0.01,0,Rapoo Black (Black Bottom)
0,0.01,0,Rapoo Black (Black Bottom)
0,0.015,0,Rapoo Black (Black Bottom)
0,0.025,0,Rapoo Black (Black Bottom)
0,0.035,0,Rapoo Black (Black Bottom)
0,0.045,0,Rapoo Black (Black Bottom)
0,0.05,0,Rapoo Black (Black Bottom)
0,0.06,0,Rapoo Black (Black Bottom)
0,0.065,0,Rapoo Black (Black Bottom)
0,0.07,0,Rapoo Black (Black Bottom)
0,0.075,0,Rapoo Black (Black Bottom)
0,0.08,0,Rapoo Black (Black Bottom)
0,0.085,0,Rapoo Black (Black Bottom)
0,0.085,0,Rapoo Black (Black Bottom)
0,0.09,0,Rapoo Black (Black Bottom)
0,0.09,0,Rapoo Black (Black Bottom)
0,0.095,0,Rapoo Black (Black Bottom)
0,0.1,0,Rapoo Black (Black Bottom)
0,0.1,0,Rapoo Black (Black Bottom)
0,0.105,0,Rapoo Black (Black Bottom)
0,0.105,0,Rapoo Black (Black Bottom)
0,0.11,0,Rapoo Black (Black Bottom)
2.1,0.115,0,Rapoo Black (Black Bottom)
4.8,0.115,0,Rapoo Black (Black Bottom)
7,0.12,0,Rapoo Black (Black Bottom)
9.1,0.12,0,Rapoo Black (Black Bottom)
10.7,0.125,0,Rapoo Black (Black Bottom)
12.3,0.125,0,Rapoo Black (Black Bottom)
14.1,0.125,0,Rapoo Black (Black Bottom)
15.6,0.13,0,Rapoo Black (Black Bottom)
17.1,0.13,0,Rapoo Black (Black Bottom)
18.6,0.13,0,Rapoo Black (Black Bottom)
20.2,0.135,0,Rapoo Black (Black Bottom)
21.7,0.135,0,Rapoo Black (Black Bottom)
23.1,0.135,0,Rapoo Black (Black Bottom)
24.4,0.14,0,Rapoo Black (Black Bottom)
25.8,0.14,0,Rapoo Black (Black Bottom)
27.3,0.14,0,Rapoo Black (Black Bottom)
28.6,0.145,0,Rapoo Black (Black Bottom)
29.7,0.145,0,Rapoo Black (Black Bottom)
30.8,0.145,0,Rapoo Black (Black Bottom)
32.1,0.145,0,Rapoo Black (Black Bottom)
33.5,0.15,0,Rapoo Black (Black Bottom)
34.8,0.15,0,Rapoo Black (Black Bottom)
35.9,0.15,0,Rapoo Black (Black Bottom)
36.2,0.155,0,Rapoo Black (Black Bottom)
36.8,0.155,0,Rapoo Black (Black Bottom)
37.2,0.16,0,Rapoo Black (Black Bottom)
36.7,0.16,0,Rapoo Black (Black Bottom)
36.7,0.16,0,Rapoo Black (Black Bottom)
36.7,0.165,0,Rapoo Black (Black Bottom)
36.8,0.165,0,Rapoo Black (Black Bottom)
36.5,0.17,0,Rapoo Black (Black Bottom)
36.5,0.17,0,Rapoo Black (Black Bottom)
36.5,0.175,0,Rapoo Black (Black Bottom)
36.8,0.175,0,Rapoo Black (Black Bottom)
37.3,0.18,0,Rapoo Black (Black Bottom)
37.6,0.18,0,Rapoo Black (Black Bottom)
38,0.185,0,Rapoo Black (Black Bottom)
37.9,0.185,0,Rapoo Black (Black Bottom)
38,0.185,0,Rapoo Black (Black Bottom)
38.4,0.19,0,Rapoo Black (Black Bottom)
38.7,0.19,0,Rapoo Black (Black Bottom)
38.9,0.195,0,Rapoo Black (Black Bottom)
39.2,0.2,0,Rapoo Black (Black Bottom)
39.3,0.2,0,Rapoo Black (Black Bottom)
39.4,0.205,0,Rapoo Black (Black Bottom)
40.2,0.21,0,Rapoo Black (Black Bottom)
40.7,0.21,0,Rapoo Black (Black Bottom)
41,0.215,0,Rapoo Black (Black Bottom)
41.2,0.215,0,Rapoo Black (Black Bottom)
41.4,0.22,0,Rapoo Black (Black Bottom)
41.4,0.225,0,Rapoo Black (Black Bottom)
41.2,0.225,0,Rapoo Black (Black Bottom)
41,0.23,0,Rapoo Black (Black Bottom)
41,0.24,0,Rapoo Black (Black Bottom)
40.8,0.245,0,Rapoo Black (Black Bottom)
40.6,0.25,0,Rapoo Black (Black Bottom)
40.5,0.26,0,Rapoo Black (Black Bottom)
40.4,0.265,0,Rapoo Black (Black Bottom)
40.4,0.27,0,Rapoo Black (Black Bottom)
40.4,0.28,0,Rapoo Black (Black Bottom)
40.7,0.29,0,Rapoo Black (Black Bottom)
40.6,0.295,0,Rapoo Black (Black Bottom)
40.3,0.305,0,Rapoo Black (Black Bottom)
40.5,0.31,0,Rapoo Black (Black Bottom)
40.4,0.315,0,Rapoo Black (Black Bottom)
40.4,0.325,0,Rapoo Black (Black Bottom)
40.3,0.33,0,Rapoo Black (Black Bottom)
40.3,0.335,0,Rapoo Black (Black Bottom)
40.3,0.335,0,Rapoo Black (Black Bottom)
40.3,0.34,0,Rapoo Black (Black Bottom)
40.2,0.345,0,Rapoo Black (Black Bottom)
40.2,0.35,0,Rapoo Black (Black Bottom)
40.2,0.355,0,Rapoo Black (Black Bottom)
40.1,0.36,0,Rapoo Black (Black Bottom)
40,0.365,0,Rapoo Black (Black Bottom)
40,0.365,0,Rapoo Black (Black Bottom)
40.1,0.37,0,Rapoo Black (Black Bottom)
40.1,0.37,0,Rapoo Black (Black Bottom)
40.2,0.375,0,Rapoo Black (Black Bottom)
40.3,0.375,0,Rapoo Black (Black Bottom)
40.6,0.38,0,Rapoo Black (Black Bottom)
40.4,0.385,0,Rapoo Black (Black Bottom)
40.4,0.385,0,Rapoo Black (Black Bottom)
40.5,0.39,0,Rapoo Black (Black Bottom)
40.5,0.395,0,Rapoo Black (Black Bottom)
40.8,0.4,0,Rapoo Black (Black Bottom)
41.1,0.405,0,Rapoo Black (Black Bottom)
41.3,0.415,0,Rapoo Black (Black Bottom)
41.1,0.42,0,Rapoo Black (Black Bottom)
41.2,0.43,0,Rapoo Black (Black Bottom)
41.1,0.435,0,Rapoo Black (Black Bottom)
41.2,0.44,0,Rapoo Black (Black Bottom)
41.2,0.445,0,Rapoo Black (Black Bottom)
41.1,0.45,0,Rapoo Black (Black Bottom)
41,0.455,0,Rapoo Black (Black Bottom)
41,0.46,0,Rapoo Black (Black Bottom)
41,0.46,0,Rapoo Black (Black Bottom)
41.1,0.465,0,Rapoo Black (Black Bottom)
41.2,0.47,0,Rapoo Black (Black Bottom)
41.4,0.47,0,Rapoo Black (Black Bottom)
41.4,0.475,0,Rapoo Black (Black Bottom)
41.3,0.48,0,Rapoo Black (Black Bottom)
41.3,0.485,0,Rapoo Black (Black Bottom)
41.2,0.49,0,Rapoo Black (Black Bottom)
41.2,0.495,0,Rapoo Black (Black Bottom)
41.2,0.495,0,Rapoo Black (Black Bottom)
41.4,0.5,0,Rapoo Black (Black Bottom)
41.3,0.505,0,Rapoo Black (Black Bottom)
41.4,0.51,0,Rapoo Black (Black Bottom)
41.4,0.515,0,Rapoo Black (Black Bottom)
41.5,0.515,0,Rapoo Black (Black Bottom)
41.7,0.52,0,Rapoo Black (Black Bottom)
41.8,0.525,0,Rapoo Black (Black Bottom)
41.7,0.53,0,Rapoo Black (Black Bottom)
41.7,0.53,0,Rapoo Black (Black Bottom)
41.6,0.535,0,Rapoo Black (Black Bottom)
41.6,0.54,0,Rapoo Black (Black Bottom)
41.6,0.54,0,Rapoo Black (Black Bottom)
41.6,0.545,0,Rapoo Black (Black Bottom)
41.8,0.545,0,Rapoo Black (Black Bottom)
41.9,0.55,0,Rapoo Black (Black Bottom)
42.1,0.55,0,Rapoo Black (Black Bottom)
42.2,0.555,0,Rapoo Black (Black Bottom)
42.2,0.56,0,Rapoo Black (Black Bottom)
42.1,0.56,0,Rapoo Black (Black Bottom)
42.1,0.565,0,Rapoo Black (Black Bottom)
42,0.57,0,Rapoo Black (Black Bottom)
41.9,0.575,0,Rapoo Black (Black Bottom)
42,0.575,0,Rapoo Black (Black Bottom)
42,0.58,0,Rapoo Black (Black Bottom)
42.1,0.585,0,Rapoo Black (Black Bottom)
42.1,0.59,0,Rapoo Black (Black Bottom)
42.1,0.595,0,Rapoo Black (Black Bottom)
42,0.6,0,Rapoo Black (Black Bottom)
42.1,0.6,0,Rapoo Black (Black Bottom)
42.1,0.605,0,Rapoo Black (Black Bottom)
42.2,0.61,0,Rapoo Black (Black Bottom)
42.3,0.615,0,Rapoo Black (Black Bottom)
42.3,0.62,0,Rapoo Black (Black Bottom)
42.3,0.62,0,Rapoo Black (Black Bottom)
42.3,0.625,0,Rapoo Black (Black Bottom)
42.2,0.63,0,Rapoo Black (Black Bottom)
42.2,0.635,0,Rapoo Black (Black Bottom)
42.3,0.635,0,Rapoo Black (Black Bottom)
42.5,0.64,0,Rapoo Black (Black Bottom)
42.6,0.645,0,Rapoo Black (Black Bottom)
42.5,0.65,0,Rapoo Black (Black Bottom)
42.4,0.655,0,Rapoo Black (Black Bottom)
42.4,0.66,0,Rapoo Black (Black Bottom)
42.6,0.665,0,Rapoo Black (Black Bottom)
42.6,0.665,0,Rapoo Black (Black Bottom)
42.8,0.67,0,Rapoo Black (Black Bottom)
42.9,0.675,0,Rapoo Black (Black Bottom)
43,0.68,0,Rapoo Black (Black Bottom)
42.7,0.69,0,Rapoo Black (Black Bottom)
42.6,0.695,0,Rapoo Black (Black Bottom)
42.6,0.7,0,Rapoo Black (Black Bottom)
42.4,0.705,0,Rapoo Black (Black Bottom)
42.6,0.71,0,Rapoo Black (Black Bottom)
42.5,0.715,0,Rapoo Black (Black Bottom)
42.5,0.72,0,Rapoo Black (Black Bottom)
42.5,0.725,0,Rapoo Black (Black Bottom)
42.7,0.73,0,Rapoo Black (Black Bottom)
42.7,0.735,0,Rapoo Black (Black Bottom)
42.7,0.74,0,Rapoo Black (Black Bottom)
42.7,0.74,0,Rapoo Black (Black Bottom)
42.8,0.745,0,Rapoo Black (Black Bottom)
42.9,0.745,0,Rapoo Black (Black Bottom)
42.8,0.75,0,Rapoo Black (Black Bottom)
43,0.75,0,Rapoo Black (Black Bottom)
42.9,0.755,0,Rapoo Black (Black Bottom)
42.9,0.755,0,Rapoo Black (Black Bottom)
43.2,0.76,0,Rapoo Black (Black Bottom)
43.3,0.765,0,Rapoo Black (Black Bottom)
43.1,0.765,0,Rapoo Black (Black Bottom)
43.2,0.765,0,Rapoo Black (Black Bottom)
43.5,0.765,0,Rapoo Black (Black Bottom)
43.6,0.77,0,Rapoo Black (Black Bottom)
43.7,0.77,0,Rapoo Black (Black Bottom)
43.8,0.775,0,Rapoo Black (Black Bottom)
44,0.775,0,Rapoo Black (Black Bottom)
43.9,0.78,0,Rapoo Black (Black Bottom)
43.8,0.78,0,Rapoo Black (Black Bottom)
43.7,0.785,0,Rapoo Black (Black Bottom)
43.6,0.785,0,Rapoo Black (Black Bottom)
43.6,0.79,0,Rapoo Black (Black Bottom)
43.6,0.795,0,Rapoo Black (Black Bottom)
43.4,0.795,0,Rapoo Black (Black Bottom)
43.4,0.8,0,Rapoo Black (Black Bottom)
43.5,0.8,0,Rapoo Black (Black Bottom)
43.7,0.805,0,Rapoo Black (Black Bottom)
43.7,0.805,0,Rapoo Black (Black Bottom)
43.7,0.81,0,Rapoo Black (Black Bottom)
43.8,0.81,0,Rapoo Black (Black Bottom)
44,0.815,0,Rapoo Black (Black Bottom)
44.1,0.815,0,Rapoo Black (Black Bottom)
44,0.82,0,Rapoo Black (Black Bottom)
44,0.825,0,Rapoo Black (Black Bottom)
44,0.825,0,Rapoo Black (Black Bottom)
