force,displacement,judge,name
-0.1,0,0,Readson K Yellow
0,0,0,Readson K Yellow
0,0,0,Readson K Yellow
0,0,0,Readson K Yellow
0,0,0,Readson K Yellow
0,0,0,Readson K Yellow
0,0,0,Readson K Yellow
0,0,0,Readson K Yellow
0,0,0,Readson K Yellow
0,0,0,Readson K Yellow
0,0,0,Readson K Yellow
0,0,0,Readson K Yellow
0,0,0,Readson K Yellow
0,0,0,Readson K Yellow
0,0,0,Readson K Yellow
0,0,0,Readson K Yellow
0,0,0,Readson K Yellow
0,0,0,Readson K Yellow
0.1,0,0,Readson K Yellow
0.1,0,0,Readson K Yellow
0,0,0,Readson K Yellow
0,0,0,Readson K Yellow
0,0,0,Readson K Yellow
0,0,0,Readson K Yellow
0,0,0,Readson K Yellow
0,0,0,Readson K Yellow
0,0,0,Readson K Yellow
0,0,0,Readson K Yellow
0,0.005,0,Readson K Yellow
0,0.005,0,Readson K Yellow
0,0.005,0,Readson K Yellow
0,0.005,0,Readson K Yellow
0,0.01,0,Readson K Yellow
0,0.01,0,Readson K Yellow
0,0.015,0,Readson K Yellow
0,0.015,0,Readson K Yellow
0,0.02,0,Readson K Yellow
0,0.025,0,Readson K Yellow
0,0.025,0,Readson K Yellow
0,0.03,0,Readson K Yellow
0,0.03,0,Readson K Yellow
0,0.035,0,Readson K Yellow
0,0.035,0,Readson K Yellow
0,0.04,0,Readson K Yellow
0,0.04,0,Readson K Yellow
0.6,0.04,0,Readson K Yellow
2.6,0.045,0,Readson K Yellow
4.3,0.045,0,Readson K Yellow
5.7,0.045,0,Readson K Yellow
7.2,0.05,0,Readson K Yellow
8.4,0.05,0,Readson K Yellow
9.7,0.05,0,Readson K Yellow
10.9,0.05,0,Readson K Yellow
12.3,0.055,0,Readson K Yellow
13.9,0.055,0,Readson K Yellow
15.7,0.055,0,Readson K Yellow
17.6,0.06,0,Readson K Yellow
19.4,0.06,0,Readson K Yellow
21.3,0.06,0,Readson K Yellow
23.5,0.065,0,Readson K Yellow
25.6,0.065,0,Readson K Yellow
27.5,0.07,0,Readson K Yellow
29.2,0.07,0,Readson K Yellow
30.6,0.07,0,Readson K Yellow
32.1,0.075,0,Readson K Yellow
33.5,0.075,0,Readson K Yellow
34.1,0.08,0,Readson K Yellow
34.3,0.08,0,Readson K Yellow
34.7,0.085,0,Readson K Yellow
34.8,0.085,0,Readson K Yellow
34.8,0.09,0,Readson K Yellow
35,0.09,0,Readson K Yellow
35.2,0.09,0,Readson K Yellow
35.4,0.095,0,Readson K Yellow
35.5,0.095,0,Readson K Yellow
35.6,0.1,0,Readson K Yellow
35.6,0.1,0,Readson K Yellow
36,0.105,0,Readson K Yellow
36.4,0.105,0,Readson K Yellow
36.7,0.105,0,Readson K Yellow
37,0.11,0,Readson K Yellow
37.2,0.11,0,Readson K Yellow
37.5,0.11,0,Readson K Yellow
37.7,0.115,0,Readson K Yellow
37.7,0.115,0,Readson K Yellow
37.9,0.12,0,Readson K Yellow
38.3,0.12,0,Readson K Yellow
39.3,0.12,0,Readson K Yellow
39.9,0.125,0,Readson K Yellow
40.1,0.13,0,Readson K Yellow
40.4,0.13,0,Readson K Yellow
40.8,0.135,0,Readson K Yellow
41.3,0.135,0,Readson K Yellow
41.8,0.14,0,Readson K Yellow
42.4,0.14,0,Readson K Yellow
42.8,0.145,0,Readson K Yellow
43.2,0.15,0,Readson K Yellow
42.8,0.15,0,Readson K Yellow
42.6,0.155,0,Readson K Yellow
42.7,0.16,0,Readson K Yellow
42.7,0.16,0,Readson K Yellow
42.7,0.165,0,Readson K Yellow
42.5,0.17,0,Readson K Yellow
42.3,0.17,0,Readson K Yellow
42.1,0.175,0,Readson K Yellow
42.2,0.175,0,Readson K Yellow
42.1,0.18,0,Readson K Yellow
42.2,0.18,0,Readson K Yellow
42.1,0.185,0,Readson K Yellow
42.1,0.185,0,Readson K Yellow
42.2,0.185,0,Readson K Yellow
42.1,0.19,0,Readson K Yellow
42,0.19,0,Readson K Yellow
42.3,0.195,0,Readson K Yellow
42.4,0.195,0,Readson K Yellow
42.4,0.2,0,Readson K Yellow
42.4,0.2,0,Readson K Yellow
42.2,0.205,0,Readson K Yellow
42.1,0.21,0,Readson K Yellow
42.2,0.21,0,Readson K Yellow
42,0.215,0,Readson K Yellow
42,0.22,0,Readson K Yellow
41.9,0.225,0,Readson K Yellow
41.7,0.225,0,Readson K Yellow
41.8,0.23,0,Readson K Yellow
41.8,0.235,0,Readson K Yellow
41.8,0.235,0,Readson K Yellow
41.8,0.24,0,Readson K Yellow
41.8,0.245,0,Readson K Yellow
41.9,0.25,0,Readson K Yellow
41.9,0.255,0,Readson K Yellow
41.7,0.26,0,Readson K Yellow
41.3,0.265,0,Readson K Yellow
41.2,0.27,0,Readson K Yellow
41.4,0.27,0,Readson K Yellow
41.2,0.275,0,Readson K Yellow
41.2,0.28,0,Readson K Yellow
41.3,0.28,0,Readson K Yellow
41.2,0.285,0,Readson K Yellow
41.2,0.285,0,Readson K Yellow
41.3,0.285,0,Readson K Yellow
41.3,0.29,0,Readson K Yellow
41.3,0.29,0,Readson K Yellow
41.3,0.295,0,Readson K Yellow
41.4,0.295,0,Readson K Yellow
41.4,0.295,0,Readson K Yellow
41.4,0.3,0,Readson K Yellow
41.4,0.3,0,Readson K Yellow
41.4,0.3,0,Readson K Yellow
41.4,0.305,0,Readson K Yellow
41.3,0.305,0,Readson K Yellow
41.3,0.31,0,Readson K Yellow
41.2,0.31,0,Readson K Yellow
41.4,0.31,0,Readson K Yellow
41.5,0.315,0,Readson K Yellow
41.4,0.315,0,Readson K Yellow
41.3,0.315,0,Readson K Yellow
41.3,0.32,0,Readson K Yellow
41.3,0.32,0,Readson K Yellow
41.2,0.325,0,Readson K Yellow
41.1,0.325,0,Readson K Yellow
41.2,0.325,0,Readson K Yellow
41.3,0.33,0,Readson K Yellow
41.4,0.33,0,Readson K Yellow
41.4,0.33,0,Readson K Yellow
41.4,0.335,0,Readson K Yellow
41.4,0.335,0,Readson K Yellow
41.4,0.34,0,Readson K Yellow
41.4,0.34,0,Readson K Yellow
41.3,0.34,0,Readson K Yellow
41.1,0.345,0,Readson K Yellow
41.2,0.345,0,Readson K Yellow
41.3,0.345,0,Readson K Yellow
41.4,0.35,0,Readson K Yellow
41.4,0.35,0,Readson K Yellow
41.3,0.35,0,Readson K Yellow
41.4,0.355,0,Readson K Yellow
41.5,0.355,0,Readson K Yellow
41.6,0.355,0,Readson K Yellow
41.7,0.36,0,Readson K Yellow
41.8,0.36,0,Readson K Yellow
41.8,0.36,0,Readson K Yellow
41.8,0.365,0,Readson K Yellow
41.8,0.365,0,Readson K Yellow
41.9,0.365,0,Readson K Yellow
41.9,0.365,0,Readson K Yellow
41.9,0.37,0,Readson K Yellow
41.9,0.37,0,Readson K Yellow
41.9,0.37,0,Readson K Yellow
41.9,0.375,0,Readson K Yellow
41.9,0.375,0,Readson K Yellow
41.8,0.375,0,Readson K Yellow
41.8,0.38,0,Readson K Yellow
41.8,0.38,0,Readson K Yellow
41.8,0.385,0,Readson K Yellow
41.8,0.385,0,Readson K Yellow
41.8,0.385,0,Readson K Yellow
41.5,0.39,0,Readson K Yellow
41.5,0.39,0,Readson K Yellow
41.5,0.39,0,Readson K Yellow
41.6,0.39,0,Readson K Yellow
41.6,0.395,0,Readson K Yellow
41.6,0.395,0,Readson K Yellow
41.7,0.395,0,Readson K Yellow
41.8,0.395,0,Readson K Yellow
41.8,0.395,0,Readson K Yellow
41.8,0.4,0,Readson K Yellow
41.9,0.4,0,Readson K Yellow
41.9,0.4,0,Readson K Yellow
42,0.405,0,Readson K Yellow
42.1,0.405,0,Readson K Yellow
42.1,0.405,0,Readson K Yellow
41.9,0.41,0,Readson K Yellow
41.9,0.41,0,Readson K Yellow
42,0.41,0,Readson K Yellow
42.1,0.415,0,Readson K Yellow
42,0.415,0,Readson K Yellow
41.9,0.42,0,Readson K Yellow
41.9,0.42,0,Readson K Yellow
41.9,0.42,0,Readson K Yellow
42,0.425,0,Readson K Yellow
41.8,0.425,0,Readson K Yellow
41.8,0.425,0,Readson K Yellow
41.9,0.43,0,Readson K Yellow
41.9,0.43,0,Readson K Yellow
41.8,0.435,0,Readson K Yellow
41.6,0.435,0,Readson K Yellow
41.6,0.44,0,Readson K Yellow
41.6,0.44,0,Readson K Yellow
41.8,0.44,0,Readson K Yellow
41.7,0.445,0,Readson K Yellow
41.6,0.445,0,Readson K Yellow
41.7,0.45,0,Readson K Yellow
41.7,0.45,0,Readson K Yellow
41.7,0.45,0,Readson K Yellow
41.6,0.455,0,Readson K Yellow
41.6,0.46,0,Readson K Yellow
41.5,0.46,0,Readson K Yellow
41.5,0.465,0,Readson K Yellow
41.6,0.465,0,Readson K Yellow
41.7,0.47,0,Readson K Yellow
41.9,0.47,0,Readson K Yellow
41.9,0.475,0,Readson K Yellow
41.8,0.475,0,Readson K Yellow
41.6,0.48,0,Readson K Yellow
41.6,0.48,0,Readson K Yellow
41.7,0.485,0,Readson K Yellow
41.6,0.485,0,Readson K Yellow
41.4,0.49,0,Readson K Yellow
41.3,0.49,0,Readson K Yellow
41.3,0.495,0,Readson K Yellow
41.3,0.495,0,Readson K Yellow
41.4,0.5,0,Readson K Yellow
41.4,0.5,0,Readson K Yellow
41.5,0.5,0,Readson K Yellow
41.6,0.505,0,Readson K Yellow
41.6,0.505,0,Readson K Yellow
41.7,0.51,0,Readson K Yellow
41.7,0.51,0,Readson K Yellow
41.7,0.51,0,Readson K Yellow
41.7,0.515,0,Readson K Yellow
41.8,0.515,0,Readson K Yellow
41.8,0.515,0,Readson K Yellow
41.7,0.52,0,Readson K Yellow
41.8,0.52,0,Readson K Yellow
41.6,0.525,0,Readson K Yellow
41.5,0.525,0,Readson K Yellow
41.6,0.53,0,Readson K Yellow
41.6,0.53,0,Readson K Yellow
41.6,0.535,0,Readson K Yellow
41.6,0.535,0,Readson K Yellow
41.5,0.54,0,Readson K Yellow
41.4,0.54,0,Readson K Yellow
41.7,0.545,0,Readson K Yellow
41.7,0.55,0,Readson K Yellow
41.5,0.555,0,Readson K Yellow
41.8,0.555,0,Readson K Yellow
41.7,0.56,0,Readson K Yellow
41.6,0.565,0,Readson K Yellow
41.4,0.565,0,Readson K Yellow
41.6,0.57,0,Readson K Yellow
41.7,0.57,0,Readson K Yellow
41.5,0.575,0,Readson K Yellow
41.5,0.575,0,Readson K Yellow
41.6,0.575,0,Readson K Yellow
41.8,0.58,0,Readson K Yellow
41.8,0.58,0,Readson K Yellow
41.5,0.585,0,Readson K Yellow
41.3,0.585,0,Readson K Yellow
41.5,0.585,0,Readson K Yellow
41.5,0.585,0,Readson K Yellow
41.7,0.59,0,Readson K Yellow
41.7,0.59,0,Readson K Yellow
41.6,0.59,0,Readson K Yellow
41.5,0.595,0,Readson K Yellow
41.4,0.595,0,Readson K Yellow
41.4,0.595,0,Readson K Yellow
41.6,0.595,0,Readson K Yellow
41.8,0.6,0,Readson K Yellow
41.9,0.6,0,Readson K Yellow
41.9,0.605,0,Readson K Yellow
41.9,0.61,0,Readson K Yellow
42,0.61,0,Readson K Yellow
42.1,0.615,0,Readson K Yellow
42.1,0.62,0,Readson K Yellow
42.1,0.62,0,Readson K Yellow
42.2,0.625,0,Readson K Yellow
42.3,0.63,0,Readson K Yellow
42.2,0.63,0,Readson K Yellow
42.1,0.635,0,Readson K Yellow
42,0.64,0,Readson K Yellow
42.1,0.645,0,Readson K Yellow
42.1,0.65,0,Readson K Yellow
42.2,0.655,0,Readson K Yellow
42.2,0.66,0,Readson K Yellow
41.8,0.665,0,Readson K Yellow
41.9,0.67,0,Readson K Yellow
41.8,0.675,0,Readson K Yellow
42,0.675,0,Readson K Yellow
41.8,0.68,0,Readson K Yellow
41.9,0.685,0,Readson K Yellow
42,0.685,0,Readson K Yellow
42.1,0.69,0,Readson K Yellow
41.8,0.695,0,Readson K Yellow
41.9,0.695,0,Readson K Yellow
41.8,0.7,0,Readson K Yellow
41.7,0.705,0,Readson K Yellow
41.9,0.705,0,Readson K Yellow
42,0.71,0,Readson K Yellow
41.9,0.715,0,Readson K Yellow
41.9,0.715,0,Readson K Yellow
41.7,0.72,0,Readson K Yellow
41.6,0.72,0,Readson K Yellow
41.9,0.725,0,Readson K Yellow
41.9,0.725,0,Readson K Yellow
42,0.73,0,Readson K Yellow
41.8,0.73,0,Readson K Yellow
41.6,0.735,0,Readson K Yellow
41.8,0.735,0,Readson K Yellow
41.8,0.74,0,Readson K Yellow
41.8,0.745,0,Readson K Yellow
41.8,0.745,0,Readson K Yellow
41.7,0.75,0,Readson K Yellow
