force,displacement,judge,name
0,0,0,S1 Peaches
0,0,0,S1 Peaches
-0.1,0,0,S1 Peaches
0,0,0,S1 Peaches
0,0,0,S1 Peaches
0,0,0,S1 Peaches
0,0,0,S1 Peaches
0,0,0,S1 Peaches
0,0,0,S1 Peaches
0,0,0,S1 Peaches
0,0,0,S1 Peaches
0,0,0,S1 Peaches
0,0,0,S1 Peaches
-0.1,0,0,S1 Peaches
0,0,0,S1 Peaches
0,0,0,S1 Peaches
0,0,0,S1 Peaches
0,0,0,S1 Peaches
0.1,0.005,0,S1 Peaches
0,0.005,0,S1 Peaches
0,0.005,0,S1 Peaches
0,0.005,0,S1 Peaches
0,0.005,0,S1 Peaches
0,0.01,0,S1 Peaches
0,0.01,0,S1 Peaches
0,0.015,0,S1 Peaches
0,0.02,0,S1 Peaches
2.8,0.025,0,S1 Peaches
6.7,0.03,0,S1 Peaches
10.4,0.03,0,S1 Peaches
13.9,0.035,0,S1 Peaches
16.6,0.04,0,S1 Peaches
18.5,0.04,0,S1 Peaches
20.1,0.04,0,S1 Peaches
21.3,0.045,0,S1 Peaches
22.6,0.045,0,S1 Peaches
23.8,0.045,0,S1 Peaches
25,0.045,0,S1 Peaches
26.2,0.05,0,S1 Peaches
27.3,0.05,0,S1 Peaches
28.3,0.05,0,S1 Peaches
29.3,0.05,0,S1 Peaches
30.1,0.05,0,S1 Peaches
30.7,0.055,0,S1 Peaches
31.3,0.055,0,S1 Peaches
32,0.055,0,S1 Peaches
32.7,0.055,0,S1 Peaches
33.7,0.055,0,S1 Peaches
34.4,0.055,0,S1 Peaches
35.1,0.06,0,S1 Peaches
35.8,0.06,0,S1 Peaches
36.2,0.06,0,S1 Peaches
36.9,0.06,0,S1 Peaches
37.5,0.06,0,S1 Peaches
38,0.06,0,S1 Peaches
38.3,0.06,0,S1 Peaches
38.7,0.06,0,S1 Peaches
39.1,0.065,0,S1 Peaches
39.5,0.065,0,S1 Peaches
39.9,0.065,0,S1 Peaches
40.2,0.065,0,S1 Peaches
40.6,0.065,0,S1 Peaches
41.1,0.065,0,S1 Peaches
41.5,0.065,0,S1 Peaches
41.8,0.065,0,S1 Peaches
42.2,0.065,0,S1 Peaches
42.5,0.07,0,S1 Peaches
42.7,0.07,0,S1 Peaches
42.7,0.07,0,S1 Peaches
42.8,0.07,0,S1 Peaches
43,0.07,0,S1 Peaches
43.1,0.07,0,S1 Peaches
43.2,0.07,0,S1 Peaches
43.4,0.07,0,S1 Peaches
43.5,0.07,0,S1 Peaches
43.6,0.07,0,S1 Peaches
43.7,0.075,0,S1 Peaches
43.9,0.075,0,S1 Peaches
44.1,0.075,0,S1 Peaches
44.3,0.075,0,S1 Peaches
44.5,0.075,0,S1 Peaches
44.8,0.08,0,S1 Peaches
45.1,0.08,0,S1 Peaches
45.4,0.08,0,S1 Peaches
45.3,0.085,0,S1 Peaches
45.2,0.085,0,S1 Peaches
45.1,0.09,0,S1 Peaches
45.2,0.09,0,S1 Peaches
45.2,0.095,0,S1 Peaches
45.1,0.095,0,S1 Peaches
45,0.1,0,S1 Peaches
45,0.1,0,S1 Peaches
44.9,0.105,0,S1 Peaches
45,0.11,0,S1 Peaches
45,0.11,0,S1 Peaches
44.9,0.115,0,S1 Peaches
44.7,0.12,0,S1 Peaches
44.7,0.125,0,S1 Peaches
44.6,0.125,0,S1 Peaches
44.6,0.13,0,S1 Peaches
44.6,0.135,0,S1 Peaches
44.7,0.135,0,S1 Peaches
44.6,0.14,0,S1 Peaches
44.5,0.14,0,S1 Peaches
44.6,0.145,0,S1 Peaches
44.6,0.15,0,S1 Peaches
44.6,0.15,0,S1 Peaches
44.5,0.155,0,S1 Peaches
44.5,0.155,0,S1 Peaches
44.5,0.155,0,S1 Peaches
