force,displacement,judge,name
0.1,0,0,SP Star Meteor Orange (Grey Housing)
-0.1,0,0,SP Star Meteor Orange (Grey Housing)
-0.1,0,0,SP Star Meteor Orange (Grey Housing)
0.2,0,0,SP Star Meteor Orange (Grey Housing)
0,0,0,SP Star Meteor Orange (Grey Housing)
0,0,0,SP Star Meteor Orange (Grey Housing)
-0.1,0,0,SP Star Meteor Orange (Grey Housing)
0,0,0,SP Star Meteor Orange (Grey Housing)
0.1,0,0,SP Star Meteor Orange (Grey Housing)
0.2,0,0,SP Star Meteor Orange (Grey Housing)
0.1,0,0,SP Star Meteor Orange (Grey Housing)
-0.1,0,0,SP Star Meteor Orange (Grey Housing)
-0.1,0,0,SP Star Meteor Orange (Grey Housing)
0.1,0,0,SP Star Meteor Orange (Grey Housing)
0.2,0,0,SP Star Meteor Orange (Grey Housing)
-0.1,0,0,SP Star Meteor Orange (Grey Housing)
-0.1,0,0,SP Star Meteor Orange (Grey Housing)
0,0,0,SP Star Meteor Orange (Grey Housing)
0.1,0,0,SP Star Meteor Orange (Grey Housing)
0.2,0.005,0,SP Star Meteor Orange (Grey Housing)
0,0.005,0,SP Star Meteor Orange (Grey Housing)
-0.1,0.005,0,SP Star Meteor Orange (Grey Housing)
0.1,0.005,0,SP Star Meteor Orange (Grey Housing)
0.2,0.005,0,SP Star Meteor Orange (Grey Housing)
0,0.01,0,SP Star Meteor Orange (Grey Housing)
-0.1,0.01,0,SP Star Meteor Orange (Grey Housing)
0.1,0.01,0,SP Star Meteor Orange (Grey Housing)
0.2,0.015,0,SP Star Meteor Orange (Grey Housing)
0.1,0.015,0,SP Star Meteor Orange (Grey Housing)
0,0.015,0,SP Star Meteor Orange (Grey Housing)
0,0.02,0,SP Star Meteor Orange (Grey Housing)
0,0.02,0,SP Star Meteor Orange (Grey Housing)
0,0.025,0,SP Star Meteor Orange (Grey Housing)
0.1,0.025,0,SP Star Meteor Orange (Grey Housing)
0.1,0.03,0,SP Star Meteor Orange (Grey Housing)
-0.1,0.035,0,SP Star Meteor Orange (Grey Housing)
0,0.04,0,SP Star Meteor Orange (Grey Housing)
0,0.045,0,SP Star Meteor Orange (Grey Housing)
0,0.05,0,SP Star Meteor Orange (Grey Housing)
0.1,0.055,0,SP Star Meteor Orange (Grey Housing)
0,0.055,0,SP Star Meteor Orange (Grey Housing)
2.5,0.06,0,SP Star Meteor Orange (Grey Housing)
6.7,0.065,0,SP Star Meteor Orange (Grey Housing)
10.7,0.07,0,SP Star Meteor Orange (Grey Housing)
14,0.07,0,SP Star Meteor Orange (Grey Housing)
16.8,0.075,0,SP Star Meteor Orange (Grey Housing)
19.3,0.08,0,SP Star Meteor Orange (Grey Housing)
21.8,0.08,0,SP Star Meteor Orange (Grey Housing)
24.3,0.085,0,SP Star Meteor Orange (Grey Housing)
26.7,0.085,0,SP Star Meteor Orange (Grey Housing)
28.8,0.09,0,SP Star Meteor Orange (Grey Housing)
29.9,0.09,0,SP Star Meteor Orange (Grey Housing)
30.1,0.095,0,SP Star Meteor Orange (Grey Housing)
30,0.095,0,SP Star Meteor Orange (Grey Housing)
30.1,0.1,0,SP Star Meteor Orange (Grey Housing)
30.3,0.1,0,SP Star Meteor Orange (Grey Housing)
30.6,0.1,0,SP Star Meteor Orange (Grey Housing)
30.8,0.105,0,SP Star Meteor Orange (Grey Housing)
31,0.105,0,SP Star Meteor Orange (Grey Housing)
31.1,0.11,0,SP Star Meteor Orange (Grey Housing)
30.9,0.11,0,SP Star Meteor Orange (Grey Housing)
30.9,0.115,0,SP Star Meteor Orange (Grey Housing)
31.1,0.115,0,SP Star Meteor Orange (Grey Housing)
31.3,0.115,0,SP Star Meteor Orange (Grey Housing)
31.2,0.12,0,SP Star Meteor Orange (Grey Housing)
31.6,0.12,0,SP Star Meteor Orange (Grey Housing)
31.8,0.125,0,SP Star Meteor Orange (Grey Housing)
31.7,0.13,0,SP Star Meteor Orange (Grey Housing)
31.5,0.13,0,SP Star Meteor Orange (Grey Housing)
31.5,0.135,0,SP Star Meteor Orange (Grey Housing)
31.1,0.14,0,SP Star Meteor Orange (Grey Housing)
30.4,0.145,0,SP Star Meteor Orange (Grey Housing)
30.3,0.145,0,SP Star Meteor Orange (Grey Housing)
30.3,0.15,0,SP Star Meteor Orange (Grey Housing)
30.2,0.155,0,SP Star Meteor Orange (Grey Housing)
30.3,0.155,0,SP Star Meteor Orange (Grey Housing)
31.5,0.16,0,SP Star Meteor Orange (Grey Housing)
33.1,0.16,0,SP Star Meteor Orange (Grey Housing)
34.4,0.165,0,SP Star Meteor Orange (Grey Housing)
35.1,0.17,0,SP Star Meteor Orange (Grey Housing)
35.3,0.17,0,SP Star Meteor Orange (Grey Housing)
35.4,0.175,0,SP Star Meteor Orange (Grey Housing)
35.6,0.175,0,SP Star Meteor Orange (Grey Housing)
35.7,0.18,0,SP Star Meteor Orange (Grey Housing)
35.5,0.18,0,SP Star Meteor Orange (Grey Housing)
35.7,0.18,0,SP Star Meteor Orange (Grey Housing)
36,0.18,0,SP Star Meteor Orange (Grey Housing)
36.4,0.185,0,SP Star Meteor Orange (Grey Housing)
36.6,0.185,0,SP Star Meteor Orange (Grey Housing)
36.8,0.19,0,SP Star Meteor Orange (Grey Housing)
37,0.19,0,SP Star Meteor Orange (Grey Housing)
36.8,0.195,0,SP Star Meteor Orange (Grey Housing)
36.8,0.2,0,SP Star Meteor Orange (Grey Housing)
36.6,0.2,0,SP Star Meteor Orange (Grey Housing)
36.4,0.205,0,SP Star Meteor Orange (Grey Housing)
36.5,0.205,0,SP Star Meteor Orange (Grey Housing)
36.8,0.205,0,SP Star Meteor Orange (Grey Housing)
36.7,0.21,0,SP Star Meteor Orange (Grey Housing)
36.8,0.21,0,SP Star Meteor Orange (Grey Housing)
36.9,0.215,0,SP Star Meteor Orange (Grey Housing)
36.8,0.215,0,SP Star Meteor Orange (Grey Housing)
36.5,0.215,0,SP Star Meteor Orange (Grey Housing)
36.5,0.22,0,SP Star Meteor Orange (Grey Housing)
36.7,0.22,0,SP Star Meteor Orange (Grey Housing)
36.8,0.225,0,SP Star Meteor Orange (Grey Housing)
36.9,0.225,0,SP Star Meteor Orange (Grey Housing)
36.6,0.23,0,SP Star Meteor Orange (Grey Housing)
36.4,0.23,0,SP Star Meteor Orange (Grey Housing)
36.4,0.235,0,SP Star Meteor Orange (Grey Housing)
36.4,0.24,0,SP Star Meteor Orange (Grey Housing)
36.3,0.24,0,SP Star Meteor Orange (Grey Housing)
36.2,0.245,0,SP Star Meteor Orange (Grey Housing)
35.9,0.245,0,SP Star Meteor Orange (Grey Housing)
35.7,0.25,0,SP Star Meteor Orange (Grey Housing)
35.8,0.25,0,SP Star Meteor Orange (Grey Housing)
35.6,0.25,0,SP Star Meteor Orange (Grey Housing)
35.5,0.255,0,SP Star Meteor Orange (Grey Housing)
35.7,0.255,0,SP Star Meteor Orange (Grey Housing)
35.7,0.255,0,SP Star Meteor Orange (Grey Housing)
35.8,0.26,0,SP Star Meteor Orange (Grey Housing)
