force,displacement,judge,name
-0.1,0,0,SP Star Meteor Purple (Grey Housing)
0.1,0,0,SP Star Meteor Purple (Grey Housing)
0,0,0,SP Star Meteor Purple (Grey Housing)
0,0,0,SP Star Meteor Purple (Grey Housing)
0,0,0,SP Star Meteor Purple (Grey Housing)
0.1,0,0,SP Star Meteor Purple (Grey Housing)
-0.1,0,0,SP Star Meteor Purple (Grey Housing)
-0.1,0,0,SP Star Meteor Purple (Grey Housing)
0,0,0,SP Star Meteor Purple (Grey Housing)
0.1,0,0,SP Star Meteor Purple (Grey Housing)
0.1,0,0,SP Star Meteor Purple (Grey Housing)
0,0,0,SP Star Meteor Purple (Grey Housing)
0.1,0,0,SP Star Meteor Purple (Grey Housing)
-0.1,0,0,SP Star Meteor Purple (Grey Housing)
0,0,0,SP Star Meteor Purple (Grey Housing)
0,0,0,SP Star Meteor Purple (Grey Housing)
0.1,0,0,SP Star Meteor Purple (Grey Housing)
0,0,0,SP Star Meteor Purple (Grey Housing)
0,0,0,SP Star Meteor Purple (Grey Housing)
0.1,0,0,SP Star Meteor Purple (Grey Housing)
0,0,0,SP Star Meteor Purple (Grey Housing)
-0.1,0,0,SP Star Meteor Purple (Grey Housing)
-0.1,0,0,SP Star Meteor Purple (Grey Housing)
0.1,0.005,0,SP Star Meteor Purple (Grey Housing)
0.1,0.005,0,SP Star Meteor Purple (Grey Housing)
0.1,0.005,0,SP Star Meteor Purple (Grey Housing)
0,0.01,0,SP Star Meteor Purple (Grey Housing)
0,0.01,0,SP Star Meteor Purple (Grey Housing)
-0.1,0.015,0,SP Star Meteor Purple (Grey Housing)
0,0.02,0,SP Star Meteor Purple (Grey Housing)
0.1,0.02,0,SP Star Meteor Purple (Grey Housing)
1.2,0.025,0,SP Star Meteor Purple (Grey Housing)
1.5,0.03,0,SP Star Meteor Purple (Grey Housing)
2.5,0.035,0,SP Star Meteor Purple (Grey Housing)
5.1,0.035,0,SP Star Meteor Purple (Grey Housing)
7.5,0.04,0,SP Star Meteor Purple (Grey Housing)
