force,displacement,judge,name
0,0,0,SP Star Meteor White (Grey Housing)
-0.1,0,0,SP Star Meteor White (Grey Housing)
-0.1,0,0,SP Star Meteor White (Grey Housing)
0,0,0,SP Star Meteor White (Grey Housing)
0,0,0,SP Star Meteor White (Grey Housing)
0.1,0,0,SP Star Meteor White (Grey Housing)
0,0,0,SP Star Meteor White (Grey Housing)
-0.1,0,0,SP Star Meteor White (Grey Housing)
0,0,0,SP Star Meteor White (Grey Housing)
-0.1,0,0,SP Star Meteor White (Grey Housing)
0.1,0,0,SP Star Meteor White (Grey Housing)
0.1,0,0,SP Star Meteor White (Grey Housing)
-0.1,0,0,SP Star Meteor White (Grey Housing)
-0.1,0,0,SP Star Meteor White (Grey Housing)
0,0,0,SP Star Meteor White (Grey Housing)
0.2,0,0,SP Star Meteor White (Grey Housing)
-0.1,0,0,SP Star Meteor White (Grey Housing)
-0.1,0,0,SP Star Meteor White (Grey Housing)
-0.1,0,0,SP Star Meteor White (Grey Housing)
0.1,0.005,0,SP Star Meteor White (Grey Housing)
0,0.005,0,SP Star Meteor White (Grey Housing)
-0.1,0.01,0,SP Star Meteor White (Grey Housing)
0,0.01,0,SP Star Meteor White (Grey Housing)
-0.1,0.015,0,SP Star Meteor White (Grey Housing)
-0.1,0.02,0,SP Star Meteor White (Grey Housing)
0,0.025,0,SP Star Meteor White (Grey Housing)
1.8,0.03,0,SP Star Meteor White (Grey Housing)
7.3,0.035,0,SP Star Meteor White (Grey Housing)
13.4,0.04,0,SP Star Meteor White (Grey Housing)
19,0.05,0,SP Star Meteor White (Grey Housing)
23.7,0.055,0,SP Star Meteor White (Grey Housing)
27.6,0.055,0,SP Star Meteor White (Grey Housing)
30.8,0.06,0,SP Star Meteor White (Grey Housing)
32.7,0.065,0,SP Star Meteor White (Grey Housing)
32.2,0.07,0,SP Star Meteor White (Grey Housing)
32.2,0.075,0,SP Star Meteor White (Grey Housing)
32.3,0.08,0,SP Star Meteor White (Grey Housing)
32.6,0.085,0,SP Star Meteor White (Grey Housing)
32.5,0.09,0,SP Star Meteor White (Grey Housing)
32.3,0.09,0,SP Star Meteor White (Grey Housing)
32.5,0.095,0,SP Star Meteor White (Grey Housing)
32.8,0.1,0,SP Star Meteor White (Grey Housing)
33.1,0.105,0,SP Star Meteor White (Grey Housing)
33.4,0.11,0,SP Star Meteor White (Grey Housing)
33.4,0.115,0,SP Star Meteor White (Grey Housing)
33.4,0.115,0,SP Star Meteor White (Grey Housing)
33.4,0.12,0,SP Star Meteor White (Grey Housing)
33.3,0.125,0,SP Star Meteor White (Grey Housing)
33.3,0.125,0,SP Star Meteor White (Grey Housing)
33.2,0.13,0,SP Star Meteor White (Grey Housing)
33.3,0.135,0,SP Star Meteor White (Grey Housing)
33.4,0.135,0,SP Star Meteor White (Grey Housing)
33.5,0.14,0,SP Star Meteor White (Grey Housing)
33.3,0.145,0,SP Star Meteor White (Grey Housing)
33.1,0.145,0,SP Star Meteor White (Grey Housing)
32.8,0.15,0,SP Star Meteor White (Grey Housing)
32.9,0.15,0,SP Star Meteor White (Grey Housing)
33,0.155,0,SP Star Meteor White (Grey Housing)
32.7,0.155,0,SP Star Meteor White (Grey Housing)
32.7,0.16,0,SP Star Meteor White (Grey Housing)
32.8,0.16,0,SP Star Meteor White (Grey Housing)
32.7,0.16,0,SP Star Meteor White (Grey Housing)
32.7,0.165,0,SP Star Meteor White (Grey Housing)
32.7,0.165,0,SP Star Meteor White (Grey Housing)
32.5,0.165,0,SP Star Meteor White (Grey Housing)
32.5,0.165,0,SP Star Meteor White (Grey Housing)
32.6,0.17,0,SP Star Meteor White (Grey Housing)
32.7,0.17,0,SP Star Meteor White (Grey Housing)
32.9,0.17,0,SP Star Meteor White (Grey Housing)
32.9,0.175,0,SP Star Meteor White (Grey Housing)
33,0.175,0,SP Star Meteor White (Grey Housing)
32.5,0.18,0,SP Star Meteor White (Grey Housing)
32.6,0.18,0,SP Star Meteor White (Grey Housing)
32.5,0.18,0,SP Star Meteor White (Grey Housing)
32.3,0.185,0,SP Star Meteor White (Grey Housing)
32.2,0.185,0,SP Star Meteor White (Grey Housing)
32.5,0.185,0,SP Star Meteor White (Grey Housing)
32.7,0.185,0,SP Star Meteor White (Grey Housing)
32.7,0.19,0,SP Star Meteor White (Grey Housing)
33.1,0.19,0,SP Star Meteor White (Grey Housing)
32.8,0.195,0,SP Star Meteor White (Grey Housing)
32.3,0.195,0,SP Star Meteor White (Grey Housing)
32.5,0.195,0,SP Star Meteor White (Grey Housing)
32.8,0.2,0,SP Star Meteor White (Grey Housing)
33.2,0.2,0,SP Star Meteor White (Grey Housing)
33.1,0.205,0,SP Star Meteor White (Grey Housing)
33.2,0.21,0,SP Star Meteor White (Grey Housing)
33.2,0.215,0,SP Star Meteor White (Grey Housing)
33.5,0.225,0,SP Star Meteor White (Grey Housing)
33.1,0.235,0,SP Star Meteor White (Grey Housing)
33.3,0.25,0,SP Star Meteor White (Grey Housing)
33.1,0.26,0,SP Star Meteor White (Grey Housing)
32.8,0.265,0,SP Star Meteor White (Grey Housing)
33.3,0.275,0,SP Star Meteor White (Grey Housing)
33.5,0.295,0,SP Star Meteor White (Grey Housing)
33.3,0.315,0,SP Star Meteor White (Grey Housing)
33.2,0.325,0,SP Star Meteor White (Grey Housing)
33.2,0.335,0,SP Star Meteor White (Grey Housing)
33.1,0.34,0,SP Star Meteor White (Grey Housing)
33.2,0.345,0,SP Star Meteor White (Grey Housing)
33.1,0.35,0,SP Star Meteor White (Grey Housing)
33.2,0.36,0,SP Star Meteor White (Grey Housing)
33.3,0.365,0,SP Star Meteor White (Grey Housing)
33.4,0.38,0,SP Star Meteor White (Grey Housing)
33.4,0.395,0,SP Star Meteor White (Grey Housing)
33.3,0.4,0,SP Star Meteor White (Grey Housing)
33.1,0.405,0,SP Star Meteor White (Grey Housing)
33.1,0.415,0,SP Star Meteor White (Grey Housing)
33.4,0.42,0,SP Star Meteor White (Grey Housing)
33.4,0.425,0,SP Star Meteor White (Grey Housing)
33.4,0.43,0,SP Star Meteor White (Grey Housing)
33.3,0.435,0,SP Star Meteor White (Grey Housing)
33.4,0.44,0,SP Star Meteor White (Grey Housing)
33.6,0.44,0,SP Star Meteor White (Grey Housing)
33.7,0.445,0,SP Star Meteor White (Grey Housing)
33.7,0.45,0,SP Star Meteor White (Grey Housing)
33.5,0.455,0,SP Star Meteor White (Grey Housing)
33.7,0.46,0,SP Star Meteor White (Grey Housing)
33.5,0.46,0,SP Star Meteor White (Grey Housing)
33.5,0.465,0,SP Star Meteor White (Grey Housing)
33.6,0.465,0,SP Star Meteor White (Grey Housing)
33.6,0.47,0,SP Star Meteor White (Grey Housing)
