force,displacement,judge,name
0,0,0,Sarokeys BCP 34000 Actuations
0,0,0,Sarokeys BCP 34000 Actuations
0,0,0,Sarokeys BCP 34000 Actuations
-0.1,0,0,Sarokeys BCP 34000 Actuations
0,0,0,Sarokeys BCP 34000 Actuations
0,0,0,Sarokeys BCP 34000 Actuations
0,0,0,Sarokeys BCP 34000 Actuations
0,0,0,Sarokeys BCP 34000 Actuations
0,0,0,Sarokeys BCP 34000 Actuations
0,0,0,Sarokeys BCP 34000 Actuations
0,0,0,Sarokeys BCP 34000 Actuations
0,0,0,Sarokeys BCP 34000 Actuations
0,0,0,Sarokeys BCP 34000 Actuations
-0.1,0,0,Sarokeys BCP 34000 Actuations
0.1,0,0,Sarokeys BCP 34000 Actuations
0.1,0,0,Sarokeys BCP 34000 Actuations
0,0,0,Sarokeys BCP 34000 Actuations
0,0,0,Sarokeys BCP 34000 Actuations
0,0,0,Sarokeys BCP 34000 Actuations
0,0,0,Sarokeys BCP 34000 Actuations
0,0.005,0,Sarokeys BCP 34000 Actuations
0,0.005,0,Sarokeys BCP 34000 Actuations
0,0.005,0,Sarokeys BCP 34000 Actuations
0,0.005,0,Sarokeys BCP 34000 Actuations
0,0.005,0,Sarokeys BCP 34000 Actuations
0,0.005,0,Sarokeys BCP 34000 Actuations
-0.1,0.005,0,Sarokeys BCP 34000 Actuations
0,0.005,0,Sarokeys BCP 34000 Actuations
0,0.005,0,Sarokeys BCP 34000 Actuations
0,0.005,0,Sarokeys BCP 34000 Actuations
0,0.01,0,Sarokeys BCP 34000 Actuations
0,0.01,0,Sarokeys BCP 34000 Actuations
0,0.01,0,Sarokeys BCP 34000 Actuations
0,0.01,0,Sarokeys BCP 34000 Actuations
0,0.01,0,Sarokeys BCP 34000 Actuations
0,0.01,0,Sarokeys BCP 34000 Actuations
0,0.015,0,Sarokeys BCP 34000 Actuations
0,0.015,0,Sarokeys BCP 34000 Actuations
0,0.02,0,Sarokeys BCP 34000 Actuations
0,0.025,0,Sarokeys BCP 34000 Actuations
0,0.025,0,Sarokeys BCP 34000 Actuations
0,0.03,0,Sarokeys BCP 34000 Actuations
1,0.035,0,Sarokeys BCP 34000 Actuations
