force,displacement,judge,name
0,0,0,Skyloong Brown Iceberg
0,0,0,Skyloong Brown Iceberg
0,0,0,Skyloong Brown Iceberg
0,0,0,Skyloong Brown Iceberg
0,0,0,Skyloong Brown Iceberg
0,0,0,Skyloong Brown Iceberg
0,0,0,Skyloong Brown Iceberg
0,0,0,Skyloong Brown Iceberg
0,0,0,Skyloong Brown Iceberg
0,0,0,Skyloong Brown Iceberg
0,0,0,Skyloong Brown Iceberg
0,0,0,Skyloong Brown Iceberg
0,0,0,Skyloong Brown Iceberg
0,0,0,Skyloong Brown Iceberg
0,0,0,Skyloong Brown Iceberg
0,0,0,Skyloong Brown Iceberg
0,0,0,Skyloong Brown Iceberg
-0.1,0,0,Skyloong Brown Iceberg
0,0,0,Skyloong Brown Iceberg
0,0.005,0,Skyloong Brown Iceberg
0,0.005,0,Skyloong Brown Iceberg
0,0.01,0,Skyloong Brown Iceberg
0,0.01,0,Skyloong Brown Iceberg
0,0.015,0,Skyloong Brown Iceberg
0,0.015,0,Skyloong Brown Iceberg
0,0.015,0,Skyloong Brown Iceberg
0,0.02,0,Skyloong Brown Iceberg
0.9,0.025,0,Skyloong Brown Iceberg
3.9,0.025,0,Skyloong Brown Iceberg
6.6,0.03,0,Skyloong Brown Iceberg
8.9,0.03,0,Skyloong Brown Iceberg
11.1,0.035,0,Skyloong Brown Iceberg
13.1,0.035,0,Skyloong Brown Iceberg
15,0.04,0,Skyloong Brown Iceberg
17.2,0.04,0,Skyloong Brown Iceberg
19.4,0.045,0,Skyloong Brown Iceberg
21.2,0.045,0,Skyloong Brown Iceberg
23.3,0.045,0,Skyloong Brown Iceberg
26.1,0.05,0,Skyloong Brown Iceberg
29.3,0.055,0,Skyloong Brown Iceberg
33.7,0.06,0,Skyloong Brown Iceberg
37.6,0.06,0,Skyloong Brown Iceberg
40.7,0.065,0,Skyloong Brown Iceberg
43,0.07,0,Skyloong Brown Iceberg
44.7,0.07,0,Skyloong Brown Iceberg
45.7,0.075,0,Skyloong Brown Iceberg
45.9,0.075,0,Skyloong Brown Iceberg
46.2,0.08,0,Skyloong Brown Iceberg
46.6,0.08,0,Skyloong Brown Iceberg
46.9,0.08,0,Skyloong Brown Iceberg
47.2,0.085,0,Skyloong Brown Iceberg
47.5,0.085,0,Skyloong Brown Iceberg
47.6,0.09,0,Skyloong Brown Iceberg
47.7,0.09,0,Skyloong Brown Iceberg
47.6,0.09,0,Skyloong Brown Iceberg
47.6,0.095,0,Skyloong Brown Iceberg
47.4,0.095,0,Skyloong Brown Iceberg
47.3,0.1,0,Skyloong Brown Iceberg
47.3,0.1,0,Skyloong Brown Iceberg
47.2,0.105,0,Skyloong Brown Iceberg
47.2,0.105,0,Skyloong Brown Iceberg
47.2,0.11,0,Skyloong Brown Iceberg
47.2,0.115,0,Skyloong Brown Iceberg
47.3,0.12,0,Skyloong Brown Iceberg
47.1,0.125,0,Skyloong Brown Iceberg
47.1,0.13,0,Skyloong Brown Iceberg
47,0.135,0,Skyloong Brown Iceberg
46.9,0.14,0,Skyloong Brown Iceberg
46.8,0.15,0,Skyloong Brown Iceberg
46.8,0.15,0,Skyloong Brown Iceberg
46.8,0.155,0,Skyloong Brown Iceberg
46.7,0.16,0,Skyloong Brown Iceberg
46.7,0.165,0,Skyloong Brown Iceberg
46.7,0.17,0,Skyloong Brown Iceberg
46.7,0.175,0,Skyloong Brown Iceberg
46.7,0.175,0,Skyloong Brown Iceberg
46.6,0.18,0,Skyloong Brown Iceberg
46.6,0.185,0,Skyloong Brown Iceberg
46.5,0.19,0,Skyloong Brown Iceberg
46.5,0.195,0,Skyloong Brown Iceberg
46.5,0.195,0,Skyloong Brown Iceberg
46.4,0.2,0,Skyloong Brown Iceberg
46.4,0.205,0,Skyloong Brown Iceberg
46.4,0.205,0,Skyloong Brown Iceberg
46.4,0.21,0,Skyloong Brown Iceberg
46.4,0.215,0,Skyloong Brown Iceberg
46.4,0.215,0,Skyloong Brown Iceberg
46.4,0.22,0,Skyloong Brown Iceberg
46.4,0.225,0,Skyloong Brown Iceberg
46.4,0.23,0,Skyloong Brown Iceberg
46.4,0.235,0,Skyloong Brown Iceberg
46.4,0.24,0,Skyloong Brown Iceberg
