force,displacement,judge,name
0,0,0,Skyloong Yellow Iceberg
0,0,0,Skyloong Yellow Iceberg
0,0,0,Skyloong Yellow Iceberg
0,0,0,Skyloong Yellow Iceberg
-0.1,0,0,Skyloong Yellow Iceberg
0,0,0,Skyloong Yellow Iceberg
0,0,0,Skyloong Yellow Iceberg
0,0,0,Skyloong Yellow Iceberg
0,0,0,Skyloong Yellow Iceberg
0,0,0,Skyloong Yellow Iceberg
0,0,0,Skyloong Yellow Iceberg
0,0,0,Skyloong Yellow Iceberg
0,0,0,Skyloong Yellow Iceberg
0,0,0,Skyloong Yellow Iceberg
0,0,0,Skyloong Yellow Iceberg
0,0,0,Skyloong Yellow Iceberg
0,0,0,Skyloong Yellow Iceberg
0,0,0,Skyloong Yellow Iceberg
0,0,0,Skyloong Yellow Iceberg
0,0.005,0,Skyloong Yellow Iceberg
0,0.005,0,Skyloong Yellow Iceberg
0,0.01,0,Skyloong Yellow Iceberg
0,0.015,0,Skyloong Yellow Iceberg
0,0.02,0,Skyloong Yellow Iceberg
0.6,0.02,0,Skyloong Yellow Iceberg
4.5,0.025,0,Skyloong Yellow Iceberg
8.3,0.03,0,Skyloong Yellow Iceberg
11.4,0.035,0,Skyloong Yellow Iceberg
14.1,0.035,0,Skyloong Yellow Iceberg
16.6,0.04,0,Skyloong Yellow Iceberg
19,0.04,0,Skyloong Yellow Iceberg
21.4,0.045,0,Skyloong Yellow Iceberg
23.9,0.045,0,Skyloong Yellow Iceberg
26.5,0.05,0,Skyloong Yellow Iceberg
29.1,0.055,0,Skyloong Yellow Iceberg
31.1,0.055,0,Skyloong Yellow Iceberg
31.9,0.06,0,Skyloong Yellow Iceberg
31.3,0.06,0,Skyloong Yellow Iceberg
31.1,0.065,0,Skyloong Yellow Iceberg
31.1,0.065,0,Skyloong Yellow Iceberg
31.1,0.07,0,Skyloong Yellow Iceberg
31.1,0.07,0,Skyloong Yellow Iceberg
31,0.075,0,Skyloong Yellow Iceberg
30.9,0.075,0,Skyloong Yellow Iceberg
30.9,0.08,0,Skyloong Yellow Iceberg
30.9,0.085,0,Skyloong Yellow Iceberg
30.9,0.085,0,Skyloong Yellow Iceberg
30.8,0.09,0,Skyloong Yellow Iceberg
30.8,0.09,0,Skyloong Yellow Iceberg
30.8,0.095,0,Skyloong Yellow Iceberg
30.7,0.1,0,Skyloong Yellow Iceberg
30.6,0.1,0,Skyloong Yellow Iceberg
30.6,0.105,0,Skyloong Yellow Iceberg
30.5,0.105,0,Skyloong Yellow Iceberg
30.5,0.11,0,Skyloong Yellow Iceberg
30.6,0.11,0,Skyloong Yellow Iceberg
30.6,0.115,0,Skyloong Yellow Iceberg
30.6,0.115,0,Skyloong Yellow Iceberg
30.6,0.12,0,Skyloong Yellow Iceberg
30.7,0.12,0,Skyloong Yellow Iceberg
30.6,0.125,0,Skyloong Yellow Iceberg
30.6,0.125,0,Skyloong Yellow Iceberg
30.7,0.125,0,Skyloong Yellow Iceberg
30.6,0.13,0,Skyloong Yellow Iceberg
30.6,0.13,0,Skyloong Yellow Iceberg
30.6,0.135,0,Skyloong Yellow Iceberg
30.7,0.135,0,Skyloong Yellow Iceberg
30.7,0.135,0,Skyloong Yellow Iceberg
30.7,0.14,0,Skyloong Yellow Iceberg
30.6,0.14,0,Skyloong Yellow Iceberg
30.6,0.14,0,Skyloong Yellow Iceberg
