force,displacement,judge,name
0,0,0,Splash Brothers
0,0,0,Splash Brothers
0,0,0,Splash Brothers
0,0,0,Splash Brothers
0.1,0,0,Splash Brothers
0,0,0,Splash Brothers
0,0,0,Splash Brothers
-0.1,0,0,Splash Brothers
-0.1,0,0,Splash Brothers
0.1,0,0,Splash Brothers
0.1,0,0,Splash Brothers
0,0,0,Splash Brothers
-0.1,0.005,0,Splash Brothers
0,0.005,0,Splash Brothers
0,0.005,0,Splash Brothers
0,0.005,0,Splash Brothers
0,0.01,0,Splash Brothers
0,0.01,0,Splash Brothers
-0.1,0.015,0,Splash Brothers
-0.1,0.015,0,Splash Brothers
-0.1,0.02,0,Splash Brothers
0,0.025,0,Splash Brothers
0.1,0.025,0,Splash Brothers
0,0.03,0,Splash Brothers
0,0.03,0,Splash Brothers
0,0.03,0,Splash Brothers
0,0.03,0,Splash Brothers
0,0.035,0,Splash Brothers
0,0.035,0,Splash Brothers
0,0.035,0,Splash Brothers
-0.1,0.035,0,Splash Brothers
0,0.035,0,Splash Brothers
0.1,0.035,0,Splash Brothers
0.1,0.04,0,Splash Brothers
0.4,0.04,0,Splash Brothers
1.9,0.04,0,Splash Brothers
3.2,0.045,0,Splash Brothers
4.4,0.045,0,Splash Brothers
5.7,0.045,0,Splash Brothers
6.8,0.045,0,Splash Brothers
8.1,0.05,0,Splash Brothers
9.3,0.05,0,Splash Brothers
10.4,0.05,0,Splash Brothers
11.4,0.05,0,Splash Brothers
12.5,0.055,0,Splash Brothers
13.5,0.055,0,Splash Brothers
14.4,0.055,0,Splash Brothers
15.6,0.055,0,Splash Brothers
16.6,0.055,0,Splash Brothers
17.5,0.06,0,Splash Brothers
18.4,0.06,0,Splash Brothers
19.5,0.06,0,Splash Brothers
20.6,0.06,0,Splash Brothers
21.5,0.065,0,Splash Brothers
22.3,0.065,0,Splash Brothers
23,0.065,0,Splash Brothers
23.6,0.065,0,Splash Brothers
24.2,0.065,0,Splash Brothers
24.8,0.065,0,Splash Brothers
25.3,0.065,0,Splash Brothers
25.9,0.065,0,Splash Brothers
26.5,0.07,0,Splash Brothers
27,0.07,0,Splash Brothers
27.6,0.07,0,Splash Brothers
28.1,0.07,0,Splash Brothers
28.6,0.07,0,Splash Brothers
29.1,0.07,0,Splash Brothers
29.7,0.07,0,Splash Brothers
30.2,0.07,0,Splash Brothers
30.8,0.07,0,Splash Brothers
31.3,0.075,0,Splash Brothers
31.9,0.075,0,Splash Brothers
32.5,0.075,0,Splash Brothers
33.1,0.075,0,Splash Brothers
33.6,0.075,0,Splash Brothers
34.3,0.075,0,Splash Brothers
35,0.075,0,Splash Brothers
35.6,0.075,0,Splash Brothers
36.3,0.08,0,Splash Brothers
36.9,0.08,0,Splash Brothers
37.6,0.08,0,Splash Brothers
38.1,0.08,0,Splash Brothers
38.7,0.08,0,Splash Brothers
39.2,0.08,0,Splash Brothers
39.6,0.08,0,Splash Brothers
40.1,0.08,0,Splash Brothers
40.5,0.085,0,Splash Brothers
40.9,0.085,0,Splash Brothers
41.3,0.085,0,Splash Brothers
41.7,0.085,0,Splash Brothers
42,0.085,0,Splash Brothers
42.5,0.085,0,Splash Brothers
42.8,0.085,0,Splash Brothers
42.7,0.085,0,Splash Brothers
42.1,0.09,0,Splash Brothers
41.8,0.09,0,Splash Brothers
41.5,0.09,0,Splash Brothers
41.4,0.09,0,Splash Brothers
41.1,0.095,0,Splash Brothers
40.8,0.095,0,Splash Brothers
40.7,0.095,0,Splash Brothers
40.6,0.1,0,Splash Brothers
40.6,0.1,0,Splash Brothers
40.3,0.105,0,Splash Brothers
40.3,0.105,0,Splash Brothers
40.1,0.11,0,Splash Brothers
40.1,0.11,0,Splash Brothers
40.1,0.115,0,Splash Brothers
40.1,0.115,0,Splash Brothers
40.1,0.12,0,Splash Brothers
40.1,0.125,0,Splash Brothers
40.1,0.125,0,Splash Brothers
40,0.13,0,Splash Brothers
40,0.135,0,Splash Brothers
40,0.14,0,Splash Brothers
40,0.14,0,Splash Brothers
39.9,0.145,0,Splash Brothers
39.9,0.15,0,Splash Brothers
39.8,0.155,0,Splash Brothers
39.7,0.155,0,Splash Brothers
39.7,0.16,0,Splash Brothers
39.6,0.165,0,Splash Brothers
39.6,0.165,0,Splash Brothers
39.5,0.17,0,Splash Brothers
39.4,0.17,0,Splash Brothers
39.4,0.175,0,Splash Brothers
39.5,0.18,0,Splash Brothers
39.3,0.185,0,Splash Brothers
39.2,0.19,0,Splash Brothers
39.2,0.195,0,Splash Brothers
39.1,0.2,0,Splash Brothers
39.1,0.205,0,Splash Brothers
39.1,0.21,0,Splash Brothers
39.1,0.215,0,Splash Brothers
39.2,0.22,0,Splash Brothers
39.2,0.22,0,Splash Brothers
39.1,0.225,0,Splash Brothers
39.2,0.23,0,Splash Brothers
39.1,0.23,0,Splash Brothers
39,0.235,0,Splash Brothers
39.1,0.24,0,Splash Brothers
39.1,0.24,0,Splash Brothers
39.1,0.245,0,Splash Brothers
39.2,0.245,0,Splash Brothers
39.1,0.25,0,Splash Brothers
39.1,0.255,0,Splash Brothers
39.1,0.255,0,Splash Brothers
39,0.26,0,Splash Brothers
39.1,0.265,0,Splash Brothers
39.1,0.265,0,Splash Brothers
39.1,0.27,0,Splash Brothers
39,0.27,0,Splash Brothers
39.1,0.27,0,Splash Brothers
39.2,0.275,0,Splash Brothers
39.1,0.28,0,Splash Brothers
39.1,0.28,0,Splash Brothers
39.1,0.285,0,Splash Brothers
39,0.285,0,Splash Brothers
39,0.29,0,Splash Brothers
38.9,0.295,0,Splash Brothers
38.8,0.295,0,Splash Brothers
38.8,0.295,0,Splash Brothers
38.8,0.3,0,Splash Brothers
38.7,0.3,0,Splash Brothers
38.8,0.305,0,Splash Brothers
38.8,0.305,0,Splash Brothers
38.7,0.31,0,Splash Brothers
38.7,0.31,0,Splash Brothers
38.8,0.315,0,Splash Brothers
38.7,0.315,0,Splash Brothers
38.6,0.315,0,Splash Brothers
38.6,0.32,0,Splash Brothers
38.6,0.32,0,Splash Brothers
38.6,0.325,0,Splash Brothers
38.6,0.325,0,Splash Brothers
38.6,0.33,0,Splash Brothers
38.6,0.33,0,Splash Brothers
38.6,0.33,0,Splash Brothers
38.6,0.335,0,Splash Brothers
38.6,0.335,0,Splash Brothers
38.5,0.34,0,Splash Brothers
38.5,0.34,0,Splash Brothers
38.5,0.345,0,Splash Brothers
38.5,0.345,0,Splash Brothers
38.6,0.345,0,Splash Brothers
38.5,0.35,0,Splash Brothers
38.5,0.35,0,Splash Brothers
38.5,0.355,0,Splash Brothers
38.5,0.355,0,Splash Brothers
38.4,0.355,0,Splash Brothers
38.5,0.355,0,Splash Brothers
38.5,0.36,0,Splash Brothers
38.4,0.36,0,Splash Brothers
38.4,0.36,0,Splash Brothers
38.4,0.365,0,Splash Brothers
38.5,0.365,0,Splash Brothers
38.5,0.365,0,Splash Brothers
38.5,0.37,0,Splash Brothers
38.5,0.37,0,Splash Brothers
38.4,0.37,0,Splash Brothers
38.4,0.375,0,Splash Brothers
38.5,0.375,0,Splash Brothers
38.5,0.375,0,Splash Brothers
38.5,0.38,0,Splash Brothers
38.5,0.38,0,Splash Brothers
38.4,0.385,0,Splash Brothers
38.4,0.385,0,Splash Brothers
38.4,0.385,0,Splash Brothers
38.4,0.39,0,Splash Brothers
38.3,0.39,0,Splash Brothers
38.3,0.39,0,Splash Brothers
38.4,0.395,0,Splash Brothers
38.3,0.395,0,Splash Brothers
38.3,0.395,0,Splash Brothers
38.4,0.4,0,Splash Brothers
38.4,0.4,0,Splash Brothers
38.4,0.405,0,Splash Brothers
38.4,0.41,0,Splash Brothers
38.2,0.41,0,Splash Brothers
38.2,0.415,0,Splash Brothers
38.1,0.42,0,Splash Brothers
38.2,0.425,0,Splash Brothers
38.1,0.425,0,Splash Brothers
38.2,0.43,0,Splash Brothers
38.1,0.43,0,Splash Brothers
38.3,0.43,0,Splash Brothers
38.1,0.435,0,Splash Brothers
38.2,0.435,0,Splash Brothers
38.2,0.435,0,Splash Brothers
38.2,0.44,0,Splash Brothers
38.2,0.44,0,Splash Brothers
38.2,0.445,0,Splash Brothers
38.2,0.445,0,Splash Brothers
38.1,0.45,0,Splash Brothers
38.1,0.45,0,Splash Brothers
38.1,0.455,0,Splash Brothers
38.1,0.455,0,Splash Brothers
38.1,0.46,0,Splash Brothers
38.1,0.46,0,Splash Brothers
38.1,0.465,0,Splash Brothers
38.1,0.465,0,Splash Brothers
38.1,0.465,0,Splash Brothers
38.1,0.47,0,Splash Brothers
38.1,0.47,0,Splash Brothers
38.1,0.47,0,Splash Brothers
38.1,0.47,0,Splash Brothers
38.1,0.47,0,Splash Brothers
38.1,0.475,0,Splash Brothers
38.1,0.475,0,Splash Brothers
38.1,0.475,0,Splash Brothers
38.2,0.475,0,Splash Brothers
38.3,0.475,0,Splash Brothers
38.2,0.48,0,Splash Brothers
38.1,0.48,0,Splash Brothers
38,0.485,0,Splash Brothers
38.1,0.485,0,Splash Brothers
38.1,0.49,0,Splash Brothers
38,0.495,0,Splash Brothers
38,0.495,0,Splash Brothers
38,0.505,0,Splash Brothers
38,0.51,0,Splash Brothers
38.1,0.515,0,Splash Brothers
38,0.52,0,Splash Brothers
38,0.525,0,Splash Brothers
38.1,0.53,0,Splash Brothers
38.1,0.53,0,Splash Brothers
38,0.535,0,Splash Brothers
38.1,0.54,0,Splash Brothers
38,0.545,0,Splash Brothers
38,0.545,0,Splash Brothers
38.1,0.55,0,Splash Brothers
38.1,0.555,0,Splash Brothers
38.1,0.56,0,Splash Brothers
38.1,0.56,0,Splash Brothers
38.1,0.565,0,Splash Brothers
38.1,0.57,0,Splash Brothers
38.1,0.57,0,Splash Brothers
38.1,0.575,0,Splash Brothers
38.2,0.58,0,Splash Brothers
38.1,0.58,0,Splash Brothers
38.1,0.585,0,Splash Brothers
38.1,0.59,0,Splash Brothers
38.1,0.59,0,Splash Brothers
38.1,0.595,0,Splash Brothers
38.2,0.595,0,Splash Brothers
38.2,0.6,0,Splash Brothers
38.2,0.605,0,Splash Brothers
38.2,0.605,0,Splash Brothers
38.2,0.61,0,Splash Brothers
38.3,0.61,0,Splash Brothers
38.3,0.61,0,Splash Brothers
38.3,0.615,0,Splash Brothers
38.4,0.615,0,Splash Brothers
38.4,0.615,0,Splash Brothers
38.3,0.62,0,Splash Brothers
38.3,0.625,0,Splash Brothers
38.2,0.625,0,Splash Brothers
38.2,0.63,0,Splash Brothers
38.2,0.63,0,Splash Brothers
38.2,0.63,0,Splash Brothers
38.2,0.635,0,Splash Brothers
38.2,0.635,0,Splash Brothers
38.1,0.64,0,Splash Brothers
38.1,0.64,0,Splash Brothers
38.1,0.645,0,Splash Brothers
38,0.65,0,Splash Brothers
38,0.65,0,Splash Brothers
38,0.655,0,Splash Brothers
38,0.655,0,Splash Brothers
38.1,0.66,0,Splash Brothers
38,0.66,0,Splash Brothers
38.1,0.665,0,Splash Brothers
38.1,0.665,0,Splash Brothers
38.1,0.67,0,Splash Brothers
38,0.67,0,Splash Brothers
38.1,0.675,0,Splash Brothers
38.1,0.675,0,Splash Brothers
38.1,0.68,0,Splash Brothers
38.1,0.68,0,Splash Brothers
38.1,0.685,0,Splash Brothers
38.1,0.685,0,Splash Brothers
38.2,0.69,0,Splash Brothers
38.1,0.695,0,Splash Brothers
38.1,0.695,0,Splash Brothers
38.1,0.7,0,Splash Brothers
38.1,0.705,0,Splash Brothers
38.2,0.705,0,Splash Brothers
38.3,0.71,0,Splash Brothers
38.3,0.715,0,Splash Brothers
38.2,0.72,0,Splash Brothers
38.2,0.725,0,Splash Brothers
38.2,0.725,0,Splash Brothers
38.2,0.73,0,Splash Brothers
38.3,0.73,0,Splash Brothers
38.3,0.735,0,Splash Brothers
38.4,0.735,0,Splash Brothers
38.5,0.74,0,Splash Brothers
38.7,0.74,0,Splash Brothers
39.2,0.745,0,Splash Brothers
39.5,0.75,0,Splash Brothers
39.5,0.75,0,Splash Brothers
39.7,0.755,0,Splash Brothers
39.7,0.755,0,Splash Brothers
39.8,0.76,0,Splash Brothers
39.8,0.76,0,Splash Brothers
39.9,0.76,0,Splash Brothers
40,0.765,0,Splash Brothers
40.1,0.765,0,Splash Brothers
40.2,0.765,0,Splash Brothers
