force,displacement,judge,name
0,0,0,Strawberry Jelly V4
0.1,0,0,Strawberry Jelly V4
0,0,0,Strawberry Jelly V4
-0.1,0,0,Strawberry Jelly V4
-0.1,0,0,Strawberry Jelly V4
-0.1,0,0,Strawberry Jelly V4
0,0,0,Strawberry Jelly V4
0,0,0,Strawberry Jelly V4
0,0,0,Strawberry Jelly V4
0,0,0,Strawberry Jelly V4
0,0,0,Strawberry Jelly V4
-0.1,0,0,Strawberry Jelly V4
0.1,0,0,Strawberry Jelly V4
0.1,0,0,Strawberry Jelly V4
0.1,0.005,0,Strawberry Jelly V4
0,0.005,0,Strawberry Jelly V4
0,0.005,0,Strawberry Jelly V4
0,0.005,0,Strawberry Jelly V4
0,0.005,0,Strawberry Jelly V4
0,0.01,0,Strawberry Jelly V4
0,0.01,0,Strawberry Jelly V4
0.1,0.01,0,Strawberry Jelly V4
0,0.01,0,Strawberry Jelly V4
-0.1,0.015,0,Strawberry Jelly V4
0,0.015,0,Strawberry Jelly V4
0.1,0.015,0,Strawberry Jelly V4
0.1,0.02,0,Strawberry Jelly V4
0,0.02,0,Strawberry Jelly V4
0.1,0.025,0,Strawberry Jelly V4
0,0.025,0,Strawberry Jelly V4
0,0.025,0,Strawberry Jelly V4
-0.1,0.03,0,Strawberry Jelly V4
0,0.03,0,Strawberry Jelly V4
0.1,0.03,0,Strawberry Jelly V4
0,0.035,0,Strawberry Jelly V4
0.1,0.035,0,Strawberry Jelly V4
0.1,0.04,0,Strawberry Jelly V4
0.6,0.04,0,Strawberry Jelly V4
3.8,0.045,0,Strawberry Jelly V4
7.8,0.05,0,Strawberry Jelly V4
11.3,0.055,0,Strawberry Jelly V4
14.5,0.055,0,Strawberry Jelly V4
17.6,0.06,0,Strawberry Jelly V4
20.8,0.06,0,Strawberry Jelly V4
23.9,0.065,0,Strawberry Jelly V4
26.8,0.07,0,Strawberry Jelly V4
30.5,0.07,0,Strawberry Jelly V4
34.2,0.075,0,Strawberry Jelly V4
36.6,0.08,0,Strawberry Jelly V4
37.2,0.085,0,Strawberry Jelly V4
38.8,0.09,0,Strawberry Jelly V4
