force,displacement,judge,name
0,0,0,SO Springs Linear Gazzew Progressive 72g
0,0,0,SO Springs Linear Gazzew Progressive 72g
0,0,0,SO Springs Linear Gazzew Progressive 72g
0,0,0,SO Springs Linear Gazzew Progressive 72g
-0.1,0,0,SO Springs Linear Gazzew Progressive 72g
0,0,0,SO Springs Linear Gazzew Progressive 72g
0,0,0,SO Springs Linear Gazzew Progressive 72g
0,0,0,SO Springs Linear Gazzew Progressive 72g
0,0,0,SO Springs Linear Gazzew Progressive 72g
-0.1,0,0,SO Springs Linear Gazzew Progressive 72g
0,0,0,SO Springs Linear Gazzew Progressive 72g
0,0,0,SO Springs Linear Gazzew Progressive 72g
0,0,0,SO Springs Linear Gazzew Progressive 72g
0,0,0,SO Springs Linear Gazzew Progressive 72g
0,0.005,0,SO Springs Linear Gazzew Progressive 72g
0,0.005,0,SO Springs Linear Gazzew Progressive 72g
0,0.005,0,SO Springs Linear Gazzew Progressive 72g
0,0.005,0,SO Springs Linear Gazzew Progressive 72g
0,0.005,0,SO Springs Linear Gazzew Progressive 72g
0,0.005,0,SO Springs Linear Gazzew Progressive 72g
0,0.005,0,SO Springs Linear Gazzew Progressive 72g
0,0.005,0,SO Springs Linear Gazzew Progressive 72g
0,0.005,0,SO Springs Linear Gazzew Progressive 72g
0,0.005,0,SO Springs Linear Gazzew Progressive 72g
0,0.005,0,SO Springs Linear Gazzew Progressive 72g
0,0.01,0,SO Springs Linear Gazzew Progressive 72g
0,0.01,0,SO Springs Linear Gazzew Progressive 72g
0,0.01,0,SO Springs Linear Gazzew Progressive 72g
0,0.01,0,SO Springs Linear Gazzew Progressive 72g
-0.1,0.01,0,SO Springs Linear Gazzew Progressive 72g
0,0.015,0,SO Springs Linear Gazzew Progressive 72g
0,0.015,0,SO Springs Linear Gazzew Progressive 72g
0,0.015,0,SO Springs Linear Gazzew Progressive 72g
0,0.015,0,SO Springs Linear Gazzew Progressive 72g
0,0.02,0,SO Springs Linear Gazzew Progressive 72g
0,0.02,0,SO Springs Linear Gazzew Progressive 72g
0,0.02,0,SO Springs Linear Gazzew Progressive 72g
0,0.025,0,SO Springs Linear Gazzew Progressive 72g
0,0.03,0,SO Springs Linear Gazzew Progressive 72g
0,0.03,0,SO Springs Linear Gazzew Progressive 72g
0,0.035,0,SO Springs Linear Gazzew Progressive 72g
1.4,0.04,0,SO Springs Linear Gazzew Progressive 72g
5.7,0.045,0,SO Springs Linear Gazzew Progressive 72g
9.9,0.045,0,SO Springs Linear Gazzew Progressive 72g
13.8,0.05,0,SO Springs Linear Gazzew Progressive 72g
17.5,0.055,0,SO Springs Linear Gazzew Progressive 72g
20.7,0.06,0,SO Springs Linear Gazzew Progressive 72g
23.5,0.06,0,SO Springs Linear Gazzew Progressive 72g
26.2,0.065,0,SO Springs Linear Gazzew Progressive 72g
28.6,0.07,0,SO Springs Linear Gazzew Progressive 72g
30.9,0.07,0,SO Springs Linear Gazzew Progressive 72g
33.2,0.075,0,SO Springs Linear Gazzew Progressive 72g
35.1,0.075,0,SO Springs Linear Gazzew Progressive 72g
36.7,0.08,0,SO Springs Linear Gazzew Progressive 72g
37.1,0.08,0,SO Springs Linear Gazzew Progressive 72g
37.2,0.08,0,SO Springs Linear Gazzew Progressive 72g
37.5,0.085,0,SO Springs Linear Gazzew Progressive 72g
37.9,0.085,0,SO Springs Linear Gazzew Progressive 72g
38.2,0.085,0,SO Springs Linear Gazzew Progressive 72g
38.5,0.09,0,SO Springs Linear Gazzew Progressive 72g
38.9,0.09,0,SO Springs Linear Gazzew Progressive 72g
39.2,0.09,0,SO Springs Linear Gazzew Progressive 72g
39.5,0.09,0,SO Springs Linear Gazzew Progressive 72g
39.8,0.095,0,SO Springs Linear Gazzew Progressive 72g
40,0.095,0,SO Springs Linear Gazzew Progressive 72g
40.2,0.095,0,SO Springs Linear Gazzew Progressive 72g
40.5,0.095,0,SO Springs Linear Gazzew Progressive 72g
40.7,0.1,0,SO Springs Linear Gazzew Progressive 72g
40.8,0.1,0,SO Springs Linear Gazzew Progressive 72g
40.9,0.1,0,SO Springs Linear Gazzew Progressive 72g
41,0.1,0,SO Springs Linear Gazzew Progressive 72g
40.9,0.1,0,SO Springs Linear Gazzew Progressive 72g
40.9,0.105,0,SO Springs Linear Gazzew Progressive 72g
40.9,0.105,0,SO Springs Linear Gazzew Progressive 72g
40.9,0.105,0,SO Springs Linear Gazzew Progressive 72g
40.9,0.105,0,SO Springs Linear Gazzew Progressive 72g
40.9,0.11,0,SO Springs Linear Gazzew Progressive 72g
40.8,0.11,0,SO Springs Linear Gazzew Progressive 72g
40.8,0.115,0,SO Springs Linear Gazzew Progressive 72g
40.8,0.115,0,SO Springs Linear Gazzew Progressive 72g
40.8,0.12,0,SO Springs Linear Gazzew Progressive 72g
40.6,0.12,0,SO Springs Linear Gazzew Progressive 72g
40.7,0.12,0,SO Springs Linear Gazzew Progressive 72g
40.6,0.125,0,SO Springs Linear Gazzew Progressive 72g
40.6,0.125,0,SO Springs Linear Gazzew Progressive 72g
40.6,0.13,0,SO Springs Linear Gazzew Progressive 72g
40.5,0.13,0,SO Springs Linear Gazzew Progressive 72g
40.4,0.135,0,SO Springs Linear Gazzew Progressive 72g
40.4,0.135,0,SO Springs Linear Gazzew Progressive 72g
40.4,0.135,0,SO Springs Linear Gazzew Progressive 72g
40.4,0.14,0,SO Springs Linear Gazzew Progressive 72g
40.3,0.14,0,SO Springs Linear Gazzew Progressive 72g
40.3,0.14,0,SO Springs Linear Gazzew Progressive 72g
40.3,0.14,0,SO Springs Linear Gazzew Progressive 72g
40.3,0.145,0,SO Springs Linear Gazzew Progressive 72g
40.3,0.145,0,SO Springs Linear Gazzew Progressive 72g
40.3,0.145,0,SO Springs Linear Gazzew Progressive 72g
40.3,0.145,0,SO Springs Linear Gazzew Progressive 72g
40.4,0.15,0,SO Springs Linear Gazzew Progressive 72g
40.4,0.15,0,SO Springs Linear Gazzew Progressive 72g
40.4,0.15,0,SO Springs Linear Gazzew Progressive 72g
40.4,0.155,0,SO Springs Linear Gazzew Progressive 72g
40.4,0.155,0,SO Springs Linear Gazzew Progressive 72g
40.4,0.155,0,SO Springs Linear Gazzew Progressive 72g
40.4,0.155,0,SO Springs Linear Gazzew Progressive 72g
40.4,0.16,0,SO Springs Linear Gazzew Progressive 72g
40.4,0.16,0,SO Springs Linear Gazzew Progressive 72g
40.4,0.16,0,SO Springs Linear Gazzew Progressive 72g
40.4,0.16,0,SO Springs Linear Gazzew Progressive 72g
40.4,0.165,0,SO Springs Linear Gazzew Progressive 72g
40.3,0.165,0,SO Springs Linear Gazzew Progressive 72g
40.3,0.17,0,SO Springs Linear Gazzew Progressive 72g
40.3,0.17,0,SO Springs Linear Gazzew Progressive 72g
40.3,0.17,0,SO Springs Linear Gazzew Progressive 72g
40.3,0.175,0,SO Springs Linear Gazzew Progressive 72g
