force,displacement,judge,name
0,0,0,SO Springs Linear Jtailn Turbo 60g
0,0,0,SO Springs Linear Jtailn Turbo 60g
0,0,0,SO Springs Linear Jtailn Turbo 60g
0,0,0,SO Springs Linear Jtailn Turbo 60g
0,0,0,SO Springs Linear Jtailn Turbo 60g
0,0,0,SO Springs Linear Jtailn Turbo 60g
0,0,0,SO Springs Linear Jtailn Turbo 60g
0,0,0,SO Springs Linear Jtailn Turbo 60g
0,0,0,SO Springs Linear Jtailn Turbo 60g
0,0,0,SO Springs Linear Jtailn Turbo 60g
0,0,0,SO Springs Linear Jtailn Turbo 60g
0,0,0,SO Springs Linear Jtailn Turbo 60g
0,0,0,SO Springs Linear Jtailn Turbo 60g
0,0,0,SO Springs Linear Jtailn Turbo 60g
0,0,0,SO Springs Linear Jtailn Turbo 60g
0,0,0,SO Springs Linear Jtailn Turbo 60g
0,0,0,SO Springs Linear Jtailn Turbo 60g
0,0,0,SO Springs Linear Jtailn Turbo 60g
0,0.005,0,SO Springs Linear Jtailn Turbo 60g
0,0.005,0,SO Springs Linear Jtailn Turbo 60g
0,0.005,0,SO Springs Linear Jtailn Turbo 60g
0,0.005,0,SO Springs Linear Jtailn Turbo 60g
0,0.01,0,SO Springs Linear Jtailn Turbo 60g
0,0.01,0,SO Springs Linear Jtailn Turbo 60g
0,0.015,0,SO Springs Linear Jtailn Turbo 60g
0,0.015,0,SO Springs Linear Jtailn Turbo 60g
0,0.015,0,SO Springs Linear Jtailn Turbo 60g
0,0.02,0,SO Springs Linear Jtailn Turbo 60g
0,0.02,0,SO Springs Linear Jtailn Turbo 60g
0,0.025,0,SO Springs Linear Jtailn Turbo 60g
0,0.03,0,SO Springs Linear Jtailn Turbo 60g
0,0.035,0,SO Springs Linear Jtailn Turbo 60g
0,0.04,0,SO Springs Linear Jtailn Turbo 60g
0,0.05,0,SO Springs Linear Jtailn Turbo 60g
0,0.055,0,SO Springs Linear Jtailn Turbo 60g
0.1,0.065,0,SO Springs Linear Jtailn Turbo 60g
2.9,0.07,0,SO Springs Linear Jtailn Turbo 60g
10.2,0.08,0,SO Springs Linear Jtailn Turbo 60g
16.9,0.085,0,SO Springs Linear Jtailn Turbo 60g
22.9,0.095,0,SO Springs Linear Jtailn Turbo 60g
28.2,0.1,0,SO Springs Linear Jtailn Turbo 60g
32.3,0.105,0,SO Springs Linear Jtailn Turbo 60g
35.1,0.11,0,SO Springs Linear Jtailn Turbo 60g
