force,displacement,judge,name
0,0,0,SO Springs Linear Kaidi 28p5mm 45g
0,0,0,SO Springs Linear Kaidi 28p5mm 45g
0,0,0,SO Springs Linear Kaidi 28p5mm 45g
0,0,0,SO Springs Linear Kaidi 28p5mm 45g
0,0,0,SO Springs Linear Kaidi 28p5mm 45g
0,0,0,SO Springs Linear Kaidi 28p5mm 45g
0,0,0,SO Springs Linear Kaidi 28p5mm 45g
-0.1,0,0,SO Springs Linear Kaidi 28p5mm 45g
0,0,0,SO Springs Linear Kaidi 28p5mm 45g
0,0,0,SO Springs Linear Kaidi 28p5mm 45g
0,0,0,SO Springs Linear Kaidi 28p5mm 45g
-0.1,0,0,SO Springs Linear Kaidi 28p5mm 45g
0.2,0,0,SO Springs Linear Kaidi 28p5mm 45g
-0.3,0,0,SO Springs Linear Kaidi 28p5mm 45g
0.2,0,0,SO Springs Linear Kaidi 28p5mm 45g
0.1,0,0,SO Springs Linear Kaidi 28p5mm 45g
0,0,0,SO Springs Linear Kaidi 28p5mm 45g
0,0,0,SO Springs Linear Kaidi 28p5mm 45g
0,0,0,SO Springs Linear Kaidi 28p5mm 45g
0,0,0,SO Springs Linear Kaidi 28p5mm 45g
0,0,0,SO Springs Linear Kaidi 28p5mm 45g
0,0,0,SO Springs Linear Kaidi 28p5mm 45g
0,0,0,SO Springs Linear Kaidi 28p5mm 45g
0,0.005,0,SO Springs Linear Kaidi 28p5mm 45g
0,0.005,0,SO Springs Linear Kaidi 28p5mm 45g
0,0.005,0,SO Springs Linear Kaidi 28p5mm 45g
0,0.01,0,SO Springs Linear Kaidi 28p5mm 45g
0,0.01,0,SO Springs Linear Kaidi 28p5mm 45g
0,0.02,0,SO Springs Linear Kaidi 28p5mm 45g
0,0.025,0,SO Springs Linear Kaidi 28p5mm 45g
0,0.03,0,SO Springs Linear Kaidi 28p5mm 45g
1.9,0.04,0,SO Springs Linear Kaidi 28p5mm 45g
8.2,0.045,0,SO Springs Linear Kaidi 28p5mm 45g
15.1,0.05,0,SO Springs Linear Kaidi 28p5mm 45g
22.3,0.06,0,SO Springs Linear Kaidi 28p5mm 45g
28.4,0.065,0,SO Springs Linear Kaidi 28p5mm 45g
33,0.07,0,SO Springs Linear Kaidi 28p5mm 45g
34.2,0.075,0,SO Springs Linear Kaidi 28p5mm 45g
35.1,0.08,0,SO Springs Linear Kaidi 28p5mm 45g
36.1,0.085,0,SO Springs Linear Kaidi 28p5mm 45g
37.1,0.09,0,SO Springs Linear Kaidi 28p5mm 45g
37.8,0.095,0,SO Springs Linear Kaidi 28p5mm 45g
38.5,0.1,0,SO Springs Linear Kaidi 28p5mm 45g
38.5,0.105,0,SO Springs Linear Kaidi 28p5mm 45g
38.3,0.105,0,SO Springs Linear Kaidi 28p5mm 45g
38.1,0.11,0,SO Springs Linear Kaidi 28p5mm 45g
38.1,0.115,0,SO Springs Linear Kaidi 28p5mm 45g
38.2,0.115,0,SO Springs Linear Kaidi 28p5mm 45g
38,0.12,0,SO Springs Linear Kaidi 28p5mm 45g
38.1,0.125,0,SO Springs Linear Kaidi 28p5mm 45g
38,0.13,0,SO Springs Linear Kaidi 28p5mm 45g
38,0.135,0,SO Springs Linear Kaidi 28p5mm 45g
37.9,0.14,0,SO Springs Linear Kaidi 28p5mm 45g
37.9,0.145,0,SO Springs Linear Kaidi 28p5mm 45g
37.7,0.145,0,SO Springs Linear Kaidi 28p5mm 45g
37.6,0.15,0,SO Springs Linear Kaidi 28p5mm 45g
37.6,0.155,0,SO Springs Linear Kaidi 28p5mm 45g
37.8,0.165,0,SO Springs Linear Kaidi 28p5mm 45g
37.4,0.17,0,SO Springs Linear Kaidi 28p5mm 45g
37.3,0.175,0,SO Springs Linear Kaidi 28p5mm 45g
37.2,0.18,0,SO Springs Linear Kaidi 28p5mm 45g
37.2,0.185,0,SO Springs Linear Kaidi 28p5mm 45g
37.3,0.19,0,SO Springs Linear Kaidi 28p5mm 45g
37.2,0.195,0,SO Springs Linear Kaidi 28p5mm 45g
37.2,0.2,0,SO Springs Linear Kaidi 28p5mm 45g
37.1,0.2,0,SO Springs Linear Kaidi 28p5mm 45g
37,0.205,0,SO Springs Linear Kaidi 28p5mm 45g
37,0.21,0,SO Springs Linear Kaidi 28p5mm 45g
37.1,0.21,0,SO Springs Linear Kaidi 28p5mm 45g
37.2,0.215,0,SO Springs Linear Kaidi 28p5mm 45g
37.2,0.215,0,SO Springs Linear Kaidi 28p5mm 45g
37.3,0.22,0,SO Springs Linear Kaidi 28p5mm 45g
37.3,0.225,0,SO Springs Linear Kaidi 28p5mm 45g
37.3,0.23,0,SO Springs Linear Kaidi 28p5mm 45g
37.3,0.23,0,SO Springs Linear Kaidi 28p5mm 45g
37.4,0.235,0,SO Springs Linear Kaidi 28p5mm 45g
37.4,0.24,0,SO Springs Linear Kaidi 28p5mm 45g
37.2,0.24,0,SO Springs Linear Kaidi 28p5mm 45g
37.3,0.245,0,SO Springs Linear Kaidi 28p5mm 45g
37.3,0.25,0,SO Springs Linear Kaidi 28p5mm 45g
37.3,0.25,0,SO Springs Linear Kaidi 28p5mm 45g
37.2,0.255,0,SO Springs Linear Kaidi 28p5mm 45g
37.3,0.255,0,SO Springs Linear Kaidi 28p5mm 45g
37.2,0.26,0,SO Springs Linear Kaidi 28p5mm 45g
37.3,0.26,0,SO Springs Linear Kaidi 28p5mm 45g
37.2,0.265,0,SO Springs Linear Kaidi 28p5mm 45g
37.1,0.27,0,SO Springs Linear Kaidi 28p5mm 45g
37,0.27,0,SO Springs Linear Kaidi 28p5mm 45g
37.1,0.27,0,SO Springs Linear Kaidi 28p5mm 45g
37.1,0.275,0,SO Springs Linear Kaidi 28p5mm 45g
37.2,0.275,0,SO Springs Linear Kaidi 28p5mm 45g
37.2,0.28,0,SO Springs Linear Kaidi 28p5mm 45g
