force,displacement,judge,name
0,0,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0,0,SO Springs Tactile Kaidi 28.5mm 45g
-0.1,0,0,SO Springs Tactile Kaidi 28.5mm 45g
0.1,0,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0,0,SO Springs Tactile Kaidi 28.5mm 45g
0.1,0,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0,0,SO Springs Tactile Kaidi 28.5mm 45g
0.1,0,0,SO Springs Tactile Kaidi 28.5mm 45g
0.1,0,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0.005,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0.005,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0.005,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0.005,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0.005,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0.005,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0.005,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0.005,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0.005,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0.01,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0.01,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0.01,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0.01,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0.01,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0.01,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0.015,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0.015,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0.015,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0.015,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0.015,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0.02,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0.02,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0.02,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0.025,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0.025,0,SO Springs Tactile Kaidi 28.5mm 45g
0,0.03,0,SO Springs Tactile Kaidi 28.5mm 45g
0.9,0.035,0,SO Springs Tactile Kaidi 28.5mm 45g
4.9,0.04,0,SO Springs Tactile Kaidi 28.5mm 45g
10.1,0.045,0,SO Springs Tactile Kaidi 28.5mm 45g
15.6,0.05,0,SO Springs Tactile Kaidi 28.5mm 45g
21.3,0.055,0,SO Springs Tactile Kaidi 28.5mm 45g
26,0.06,0,SO Springs Tactile Kaidi 28.5mm 45g
30.6,0.065,0,SO Springs Tactile Kaidi 28.5mm 45g
34.5,0.07,0,SO Springs Tactile Kaidi 28.5mm 45g
37.7,0.075,0,SO Springs Tactile Kaidi 28.5mm 45g
40.4,0.075,0,SO Springs Tactile Kaidi 28.5mm 45g
43.3,0.08,0,SO Springs Tactile Kaidi 28.5mm 45g
47.7,0.085,0,SO Springs Tactile Kaidi 28.5mm 45g
50.2,0.09,0,SO Springs Tactile Kaidi 28.5mm 45g
51.8,0.095,0,SO Springs Tactile Kaidi 28.5mm 45g
53.2,0.1,0,SO Springs Tactile Kaidi 28.5mm 45g
53.9,0.105,0,SO Springs Tactile Kaidi 28.5mm 45g
54.3,0.105,0,SO Springs Tactile Kaidi 28.5mm 45g
54.5,0.105,0,SO Springs Tactile Kaidi 28.5mm 45g
54.6,0.11,0,SO Springs Tactile Kaidi 28.5mm 45g
54.5,0.11,0,SO Springs Tactile Kaidi 28.5mm 45g
54.4,0.11,0,SO Springs Tactile Kaidi 28.5mm 45g
55,0.115,0,SO Springs Tactile Kaidi 28.5mm 45g
55.6,0.12,0,SO Springs Tactile Kaidi 28.5mm 45g
56,0.12,0,SO Springs Tactile Kaidi 28.5mm 45g
56.5,0.125,0,SO Springs Tactile Kaidi 28.5mm 45g
57,0.13,0,SO Springs Tactile Kaidi 28.5mm 45g
57.4,0.135,0,SO Springs Tactile Kaidi 28.5mm 45g
57.7,0.135,0,SO Springs Tactile Kaidi 28.5mm 45g
58,0.14,0,SO Springs Tactile Kaidi 28.5mm 45g
58.2,0.14,0,SO Springs Tactile Kaidi 28.5mm 45g
58.2,0.14,0,SO Springs Tactile Kaidi 28.5mm 45g
58.3,0.145,0,SO Springs Tactile Kaidi 28.5mm 45g
58.1,0.145,0,SO Springs Tactile Kaidi 28.5mm 45g
58,0.15,0,SO Springs Tactile Kaidi 28.5mm 45g
57.9,0.15,0,SO Springs Tactile Kaidi 28.5mm 45g
58.1,0.155,0,SO Springs Tactile Kaidi 28.5mm 45g
58,0.155,0,SO Springs Tactile Kaidi 28.5mm 45g
58,0.16,0,SO Springs Tactile Kaidi 28.5mm 45g
57.8,0.165,0,SO Springs Tactile Kaidi 28.5mm 45g
