force,displacement,judge,name
0,0,0,SO Springs Linear Kelowna 3 Stage 55g
0,0,0,SO Springs Linear Kelowna 3 Stage 55g
0,0,0,SO Springs Linear Kelowna 3 Stage 55g
0,0,0,SO Springs Linear Kelowna 3 Stage 55g
0,0,0,SO Springs Linear Kelowna 3 Stage 55g
0,0,0,SO Springs Linear Kelowna 3 Stage 55g
0,0,0,SO Springs Linear Kelowna 3 Stage 55g
0,0,0,SO Springs Linear Kelowna 3 Stage 55g
0,0,0,SO Springs Linear Kelowna 3 Stage 55g
0,0,0,SO Springs Linear Kelowna 3 Stage 55g
0,0,0,SO Springs Linear Kelowna 3 Stage 55g
0,0,0,SO Springs Linear Kelowna 3 Stage 55g
0,0,0,SO Springs Linear Kelowna 3 Stage 55g
0,0,0,SO Springs Linear Kelowna 3 Stage 55g
0,0,0,SO Springs Linear Kelowna 3 Stage 55g
0,0,0,SO Springs Linear Kelowna 3 Stage 55g
0,0,0,SO Springs Linear Kelowna 3 Stage 55g
0,0,0,SO Springs Linear Kelowna 3 Stage 55g
0,0,0,SO Springs Linear Kelowna 3 Stage 55g
0,0.005,0,SO Springs Linear Kelowna 3 Stage 55g
0,0.005,0,SO Springs Linear Kelowna 3 Stage 55g
0,0.005,0,SO Springs Linear Kelowna 3 Stage 55g
0,0.005,0,SO Springs Linear Kelowna 3 Stage 55g
0,0.01,0,SO Springs Linear Kelowna 3 Stage 55g
0,0.01,0,SO Springs Linear Kelowna 3 Stage 55g
0,0.01,0,SO Springs Linear Kelowna 3 Stage 55g
0,0.01,0,SO Springs Linear Kelowna 3 Stage 55g
0,0.015,0,SO Springs Linear Kelowna 3 Stage 55g
0.8,0.015,0,SO Springs Linear Kelowna 3 Stage 55g
2.2,0.015,0,SO Springs Linear Kelowna 3 Stage 55g
3.7,0.02,0,SO Springs Linear Kelowna 3 Stage 55g
4,0.02,0,SO Springs Linear Kelowna 3 Stage 55g
5.2,0.02,0,SO Springs Linear Kelowna 3 Stage 55g
5.9,0.02,0,SO Springs Linear Kelowna 3 Stage 55g
5.9,0.02,0,SO Springs Linear Kelowna 3 Stage 55g
