force,displacement,judge,name
0,0,0,SO Springs Tactile M-Stone 15mm 55g
0,0,0,SO Springs Tactile M-Stone 15mm 55g
0,0,0,SO Springs Tactile M-Stone 15mm 55g
0,0,0,SO Springs Tactile M-Stone 15mm 55g
0,0,0,SO Springs Tactile M-Stone 15mm 55g
0,0,0,SO Springs Tactile M-Stone 15mm 55g
0,0,0,SO Springs Tactile M-Stone 15mm 55g
0,0,0,SO Springs Tactile M-Stone 15mm 55g
0,0,0,SO Springs Tactile M-Stone 15mm 55g
0,0,0,SO Springs Tactile M-Stone 15mm 55g
0,0,0,SO Springs Tactile M-Stone 15mm 55g
0,0,0,SO Springs Tactile M-Stone 15mm 55g
0,0,0,SO Springs Tactile M-Stone 15mm 55g
0,0,0,SO Springs Tactile M-Stone 15mm 55g
0,0,0,SO Springs Tactile M-Stone 15mm 55g
0,0,0,SO Springs Tactile M-Stone 15mm 55g
0,0,0,SO Springs Tactile M-Stone 15mm 55g
0,0,0,SO Springs Tactile M-Stone 15mm 55g
0,0,0,SO Springs Tactile M-Stone 15mm 55g
0,0,0,SO Springs Tactile M-Stone 15mm 55g
0,0,0,SO Springs Tactile M-Stone 15mm 55g
0,0,0,SO Springs Tactile M-Stone 15mm 55g
0,0.005,0,SO Springs Tactile M-Stone 15mm 55g
0,0.005,0,SO Springs Tactile M-Stone 15mm 55g
0,0.005,0,SO Springs Tactile M-Stone 15mm 55g
0,0.005,0,SO Springs Tactile M-Stone 15mm 55g
0,0.005,0,SO Springs Tactile M-Stone 15mm 55g
0,0.005,0,SO Springs Tactile M-Stone 15mm 55g
0,0.005,0,SO Springs Tactile M-Stone 15mm 55g
0,0.005,0,SO Springs Tactile M-Stone 15mm 55g
0,0.01,0,SO Springs Tactile M-Stone 15mm 55g
0,0.01,0,SO Springs Tactile M-Stone 15mm 55g
0,0.01,0,SO Springs Tactile M-Stone 15mm 55g
0,0.015,0,SO Springs Tactile M-Stone 15mm 55g
0.2,0.015,0,SO Springs Tactile M-Stone 15mm 55g
0.5,0.02,0,SO Springs Tactile M-Stone 15mm 55g
2.1,0.025,0,SO Springs Tactile M-Stone 15mm 55g
6.6,0.03,0,SO Springs Tactile M-Stone 15mm 55g
11.6,0.035,0,SO Springs Tactile M-Stone 15mm 55g
16.6,0.04,0,SO Springs Tactile M-Stone 15mm 55g
21.7,0.045,0,SO Springs Tactile M-Stone 15mm 55g
26.4,0.05,0,SO Springs Tactile M-Stone 15mm 55g
31.9,0.055,0,SO Springs Tactile M-Stone 15mm 55g
36.9,0.06,0,SO Springs Tactile M-Stone 15mm 55g
41.8,0.065,0,SO Springs Tactile M-Stone 15mm 55g
47.1,0.07,0,SO Springs Tactile M-Stone 15mm 55g
51.8,0.075,0,SO Springs Tactile M-Stone 15mm 55g
54.8,0.08,0,SO Springs Tactile M-Stone 15mm 55g
55.3,0.085,0,SO Springs Tactile M-Stone 15mm 55g
56,0.09,0,SO Springs Tactile M-Stone 15mm 55g
56.9,0.095,0,SO Springs Tactile M-Stone 15mm 55g
56.7,0.1,0,SO Springs Tactile M-Stone 15mm 55g
56,0.105,0,SO Springs Tactile M-Stone 15mm 55g
55.6,0.11,0,SO Springs Tactile M-Stone 15mm 55g
56.2,0.115,0,SO Springs Tactile M-Stone 15mm 55g
56.4,0.12,0,SO Springs Tactile M-Stone 15mm 55g
56.2,0.125,0,SO Springs Tactile M-Stone 15mm 55g
56.8,0.13,0,SO Springs Tactile M-Stone 15mm 55g
57.1,0.135,0,SO Springs Tactile M-Stone 15mm 55g
57.1,0.14,0,SO Springs Tactile M-Stone 15mm 55g
57.1,0.14,0,SO Springs Tactile M-Stone 15mm 55g
57.4,0.14,0,SO Springs Tactile M-Stone 15mm 55g
57.7,0.145,0,SO Springs Tactile M-Stone 15mm 55g
57.9,0.15,0,SO Springs Tactile M-Stone 15mm 55g
58.5,0.15,0,SO Springs Tactile M-Stone 15mm 55g
59.3,0.16,0,SO Springs Tactile M-Stone 15mm 55g
60.8,0.17,0,SO Springs Tactile M-Stone 15mm 55g
61.3,0.175,0,SO Springs Tactile M-Stone 15mm 55g
61.8,0.185,0,SO Springs Tactile M-Stone 15mm 55g
61.6,0.205,0,SO Springs Tactile M-Stone 15mm 55g
61.2,0.21,0,SO Springs Tactile M-Stone 15mm 55g
61.1,0.215,0,SO Springs Tactile M-Stone 15mm 55g
61.1,0.22,0,SO Springs Tactile M-Stone 15mm 55g
61.1,0.225,0,SO Springs Tactile M-Stone 15mm 55g
61,0.225,0,SO Springs Tactile M-Stone 15mm 55g
61.1,0.23,0,SO Springs Tactile M-Stone 15mm 55g
61.1,0.23,0,SO Springs Tactile M-Stone 15mm 55g
61.1,0.235,0,SO Springs Tactile M-Stone 15mm 55g
61.2,0.235,0,SO Springs Tactile M-Stone 15mm 55g
61.2,0.24,0,SO Springs Tactile M-Stone 15mm 55g
61.2,0.24,0,SO Springs Tactile M-Stone 15mm 55g
61.2,0.245,0,SO Springs Tactile M-Stone 15mm 55g
61.2,0.245,0,SO Springs Tactile M-Stone 15mm 55g
61.1,0.245,0,SO Springs Tactile M-Stone 15mm 55g
61,0.25,0,SO Springs Tactile M-Stone 15mm 55g
61.2,0.25,0,SO Springs Tactile M-Stone 15mm 55g
61.2,0.255,0,SO Springs Tactile M-Stone 15mm 55g
61.1,0.26,0,SO Springs Tactile M-Stone 15mm 55g
61.1,0.26,0,SO Springs Tactile M-Stone 15mm 55g
61.3,0.265,0,SO Springs Tactile M-Stone 15mm 55g
61.2,0.27,0,SO Springs Tactile M-Stone 15mm 55g
61.1,0.275,0,SO Springs Tactile M-Stone 15mm 55g
61,0.28,0,SO Springs Tactile M-Stone 15mm 55g
61.1,0.285,0,SO Springs Tactile M-Stone 15mm 55g
61,0.29,0,SO Springs Tactile M-Stone 15mm 55g
60.9,0.29,0,SO Springs Tactile M-Stone 15mm 55g
60.9,0.295,0,SO Springs Tactile M-Stone 15mm 55g
61,0.295,0,SO Springs Tactile M-Stone 15mm 55g
