force,displacement,judge,name
0,0,0,SO Springs Linear M-Stone 22mm 55g
0,0,0,SO Springs Linear M-Stone 22mm 55g
0,0,0,SO Springs Linear M-Stone 22mm 55g
0,0,0,SO Springs Linear M-Stone 22mm 55g
0,0,0,SO Springs Linear M-Stone 22mm 55g
0,0,0,SO Springs Linear M-Stone 22mm 55g
0,0,0,SO Springs Linear M-Stone 22mm 55g
0,0,0,SO Springs Linear M-Stone 22mm 55g
0,0,0,SO Springs Linear M-Stone 22mm 55g
0,0,0,SO Springs Linear M-Stone 22mm 55g
0,0,0,SO Springs Linear M-Stone 22mm 55g
0,0,0,SO Springs Linear M-Stone 22mm 55g
0,0,0,SO Springs Linear M-Stone 22mm 55g
0,0,0,SO Springs Linear M-Stone 22mm 55g
0,0,0,SO Springs Linear M-Stone 22mm 55g
0,0,0,SO Springs Linear M-Stone 22mm 55g
0,0,0,SO Springs Linear M-Stone 22mm 55g
0,0,0,SO Springs Linear M-Stone 22mm 55g
0,0,0,SO Springs Linear M-Stone 22mm 55g
0,0,0,SO Springs Linear M-Stone 22mm 55g
0,0,0,SO Springs Linear M-Stone 22mm 55g
0,0,0,SO Springs Linear M-Stone 22mm 55g
0,0,0,SO Springs Linear M-Stone 22mm 55g
0,0,0,SO Springs Linear M-Stone 22mm 55g
0,0,0,SO Springs Linear M-Stone 22mm 55g
0,0.005,0,SO Springs Linear M-Stone 22mm 55g
0,0.005,0,SO Springs Linear M-Stone 22mm 55g
0,0.005,0,SO Springs Linear M-Stone 22mm 55g
0,0.005,0,SO Springs Linear M-Stone 22mm 55g
0,0.005,0,SO Springs Linear M-Stone 22mm 55g
0,0.005,0,SO Springs Linear M-Stone 22mm 55g
0,0.01,0,SO Springs Linear M-Stone 22mm 55g
0,0.015,0,SO Springs Linear M-Stone 22mm 55g
0,0.02,0,SO Springs Linear M-Stone 22mm 55g
0,0.025,0,SO Springs Linear M-Stone 22mm 55g
4.6,0.035,0,SO Springs Linear M-Stone 22mm 55g
9.7,0.04,0,SO Springs Linear M-Stone 22mm 55g
15.8,0.045,0,SO Springs Linear M-Stone 22mm 55g
19.9,0.05,0,SO Springs Linear M-Stone 22mm 55g
22.3,0.055,0,SO Springs Linear M-Stone 22mm 55g
26.3,0.055,0,SO Springs Linear M-Stone 22mm 55g
29,0.06,0,SO Springs Linear M-Stone 22mm 55g
30.6,0.06,0,SO Springs Linear M-Stone 22mm 55g
32.5,0.065,0,SO Springs Linear M-Stone 22mm 55g
33.9,0.065,0,SO Springs Linear M-Stone 22mm 55g
35.2,0.065,0,SO Springs Linear M-Stone 22mm 55g
37,0.065,0,SO Springs Linear M-Stone 22mm 55g
40.2,0.07,0,SO Springs Linear M-Stone 22mm 55g
43.3,0.075,0,SO Springs Linear M-Stone 22mm 55g
45.5,0.075,0,SO Springs Linear M-Stone 22mm 55g
46.3,0.08,0,SO Springs Linear M-Stone 22mm 55g
46.8,0.08,0,SO Springs Linear M-Stone 22mm 55g
47.3,0.085,0,SO Springs Linear M-Stone 22mm 55g
47.9,0.085,0,SO Springs Linear M-Stone 22mm 55g
48.2,0.09,0,SO Springs Linear M-Stone 22mm 55g
47.8,0.095,0,SO Springs Linear M-Stone 22mm 55g
47.3,0.095,0,SO Springs Linear M-Stone 22mm 55g
47.1,0.095,0,SO Springs Linear M-Stone 22mm 55g
47,0.1,0,SO Springs Linear M-Stone 22mm 55g
47,0.1,0,SO Springs Linear M-Stone 22mm 55g
47.1,0.1,0,SO Springs Linear M-Stone 22mm 55g
47.2,0.105,0,SO Springs Linear M-Stone 22mm 55g
46.9,0.11,0,SO Springs Linear M-Stone 22mm 55g
46.8,0.11,0,SO Springs Linear M-Stone 22mm 55g
46.7,0.115,0,SO Springs Linear M-Stone 22mm 55g
46.7,0.12,0,SO Springs Linear M-Stone 22mm 55g
46.7,0.12,0,SO Springs Linear M-Stone 22mm 55g
46.5,0.12,0,SO Springs Linear M-Stone 22mm 55g
46.5,0.125,0,SO Springs Linear M-Stone 22mm 55g
46.6,0.125,0,SO Springs Linear M-Stone 22mm 55g
46.6,0.125,0,SO Springs Linear M-Stone 22mm 55g
46.4,0.13,0,SO Springs Linear M-Stone 22mm 55g
46.4,0.13,0,SO Springs Linear M-Stone 22mm 55g
46.5,0.13,0,SO Springs Linear M-Stone 22mm 55g
46.5,0.135,0,SO Springs Linear M-Stone 22mm 55g
46.4,0.135,0,SO Springs Linear M-Stone 22mm 55g
46.2,0.135,0,SO Springs Linear M-Stone 22mm 55g
46.1,0.135,0,SO Springs Linear M-Stone 22mm 55g
46.2,0.14,0,SO Springs Linear M-Stone 22mm 55g
46.2,0.14,0,SO Springs Linear M-Stone 22mm 55g
46.3,0.14,0,SO Springs Linear M-Stone 22mm 55g
46.4,0.14,0,SO Springs Linear M-Stone 22mm 55g
46.5,0.145,0,SO Springs Linear M-Stone 22mm 55g
46.5,0.145,0,SO Springs Linear M-Stone 22mm 55g
46.5,0.15,0,SO Springs Linear M-Stone 22mm 55g
46.6,0.15,0,SO Springs Linear M-Stone 22mm 55g
46.8,0.155,0,SO Springs Linear M-Stone 22mm 55g
46.8,0.16,0,SO Springs Linear M-Stone 22mm 55g
46.8,0.165,0,SO Springs Linear M-Stone 22mm 55g
46.7,0.17,0,SO Springs Linear M-Stone 22mm 55g
46.7,0.17,0,SO Springs Linear M-Stone 22mm 55g
46.8,0.175,0,SO Springs Linear M-Stone 22mm 55g
46.8,0.18,0,SO Springs Linear M-Stone 22mm 55g
46.7,0.185,0,SO Springs Linear M-Stone 22mm 55g
46.7,0.19,0,SO Springs Linear M-Stone 22mm 55g
46.5,0.19,0,SO Springs Linear M-Stone 22mm 55g
46.6,0.195,0,SO Springs Linear M-Stone 22mm 55g
46.5,0.2,0,SO Springs Linear M-Stone 22mm 55g
46.4,0.21,0,SO Springs Linear M-Stone 22mm 55g
46.3,0.21,0,SO Springs Linear M-Stone 22mm 55g
46.3,0.215,0,SO Springs Linear M-Stone 22mm 55g
46.3,0.22,0,SO Springs Linear M-Stone 22mm 55g
46.3,0.225,0,SO Springs Linear M-Stone 22mm 55g
46.3,0.23,0,SO Springs Linear M-Stone 22mm 55g
46.3,0.23,0,SO Springs Linear M-Stone 22mm 55g
46.2,0.235,0,SO Springs Linear M-Stone 22mm 55g
46.2,0.235,0,SO Springs Linear M-Stone 22mm 55g
46.2,0.24,0,SO Springs Linear M-Stone 22mm 55g
46.3,0.24,0,SO Springs Linear M-Stone 22mm 55g
46.4,0.245,0,SO Springs Linear M-Stone 22mm 55g
46.3,0.245,0,SO Springs Linear M-Stone 22mm 55g
46.2,0.25,0,SO Springs Linear M-Stone 22mm 55g
46.3,0.25,0,SO Springs Linear M-Stone 22mm 55g
46.3,0.255,0,SO Springs Linear M-Stone 22mm 55g
46.4,0.255,0,SO Springs Linear M-Stone 22mm 55g
46.4,0.255,0,SO Springs Linear M-Stone 22mm 55g
46.4,0.26,0,SO Springs Linear M-Stone 22mm 55g
46.6,0.26,0,SO Springs Linear M-Stone 22mm 55g
