force,displacement,judge,name
0,0,0,SO Springs Tactile M-Stone 3 Stage 75g
0,0,0,SO Springs Tactile M-Stone 3 Stage 75g
0,0,0,SO Springs Tactile M-Stone 3 Stage 75g
0,0,0,SO Springs Tactile M-Stone 3 Stage 75g
0,0,0,SO Springs Tactile M-Stone 3 Stage 75g
0,0,0,SO Springs Tactile M-Stone 3 Stage 75g
0,0,0,SO Springs Tactile M-Stone 3 Stage 75g
0,0,0,SO Springs Tactile M-Stone 3 Stage 75g
0,0,0,SO Springs Tactile M-Stone 3 Stage 75g
0,0,0,SO Springs Tactile M-Stone 3 Stage 75g
0,0,0,SO Springs Tactile M-Stone 3 Stage 75g
0,0,0,SO Springs Tactile M-Stone 3 Stage 75g
0,0,0,SO Springs Tactile M-Stone 3 Stage 75g
-0.1,0,0,SO Springs Tactile M-Stone 3 Stage 75g
0,0,0,SO Springs Tactile M-Stone 3 Stage 75g
0,0,0,SO Springs Tactile M-Stone 3 Stage 75g
0,0,0,SO Springs Tactile M-Stone 3 Stage 75g
0,0,0,SO Springs Tactile M-Stone 3 Stage 75g
0,0,0,SO Springs Tactile M-Stone 3 Stage 75g
0,0,0,SO Springs Tactile M-Stone 3 Stage 75g
0,0,0,SO Springs Tactile M-Stone 3 Stage 75g
0,0.005,0,SO Springs Tactile M-Stone 3 Stage 75g
0,0.005,0,SO Springs Tactile M-Stone 3 Stage 75g
0,0.005,0,SO Springs Tactile M-Stone 3 Stage 75g
0,0.01,0,SO Springs Tactile M-Stone 3 Stage 75g
0,0.01,0,SO Springs Tactile M-Stone 3 Stage 75g
0,0.015,0,SO Springs Tactile M-Stone 3 Stage 75g
0,0.015,0,SO Springs Tactile M-Stone 3 Stage 75g
0,0.02,0,SO Springs Tactile M-Stone 3 Stage 75g
0,0.025,0,SO Springs Tactile M-Stone 3 Stage 75g
0.1,0.03,0,SO Springs Tactile M-Stone 3 Stage 75g
6.1,0.035,0,SO Springs Tactile M-Stone 3 Stage 75g
12.5,0.045,0,SO Springs Tactile M-Stone 3 Stage 75g
18.2,0.05,0,SO Springs Tactile M-Stone 3 Stage 75g
23.1,0.055,0,SO Springs Tactile M-Stone 3 Stage 75g
27.3,0.06,0,SO Springs Tactile M-Stone 3 Stage 75g
31.2,0.065,0,SO Springs Tactile M-Stone 3 Stage 75g
34.7,0.065,0,SO Springs Tactile M-Stone 3 Stage 75g
38,0.07,0,SO Springs Tactile M-Stone 3 Stage 75g
